Japanese::N5::Location & Directions | ここはどこですか。 | Where is this place? | [ko.ko.wa.do.ko.de.sɯ.ka. ‖] | [ko.ko.wa.do.ko.des.ka]
Japanese::N5::Location & Directions | ここは教室です。 | This place is a classroom. | [ko.ko.wa.kʲoː.ɕi.tsɯ.de.sɯ. ‖] | [ko.ko.wa.kʲoː.ɕi.tsɯ.des]
Japanese::N5::Location & Directions | 受付はそこです。 | The reception desk is there. | [ɯ.ke.tsɯ.ke.wa.so.ko.de.sɯ. ‖] | [ɯ.ke.tsɯ.ke.wa.so.ko.des]
Japanese::N5::Location & Directions | あそこに銀行があります。 | There is a bank over there. | [a.so.ko.ni.ɡiɴ.koː.ɡa.a.ɾi.ma.sɯ. ‖] | [a.so.ko.ni.ɡiŋ.koː.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | トイレはどこですか。 | Where is the restroom? | [to.i.ɾe.wa.do.ko.de.sɯ.ka. ‖] | [to.i.ɾe.wa.do.ko.des.ka]
Japanese::N5::Location & Directions | トイレはあちらです。 | The restroom is in that direction over there. | [to.i.ɾe.wa.a.tɕi.ɾa.de.sɯ. ‖] | [to.i.ɾe.wa.a.tɕi.ɾa.des]
Japanese::N5::Location & Directions | 事務所は二階にあります。 | The office is on the second floor. | [ʑi.mɯ.ɕo.wa.ni.ka.i.ni.a.ɾi.ma.sɯ. ‖] | [ʑi.mɯ.ɕo.wa.ni.ka.i.ni.a.ɾi.mas]
Japanese::N5::Location & Directions | 田中さんは部屋にいます。 | Mr. Tanaka is in the room. | [ta.na.ka.saɴ.wa.he.ja.ni.i.ma.sɯ. ‖] | [ta.na.ka.sam.wa.he.ja.ni.i.mas]
Japanese::N5::Location & Directions | 図書館で勉強します。 | I study at the library. | [to.ɕo.kaɴ.de.beɴ.kʲoː.ɕi.ma.sɯ. ‖] | [to.ɕo.kaɳ.de.beŋ.kʲoː.ɕi.mas]
Japanese::N5::Location & Directions | 駅で友達に会います。 | I will meet a friend at the station. | [e.ki.de.to.mo.da.tɕi.ni.a.i.ma.sɯ. ‖] | [e.ki.de.to.mo.da.tɕi.ni.a.i.mas]
Japanese::N5::Location & Directions | レストランでご飯を食べました。 | I ate a meal at a restaurant. | [ɾe.sɯ.to.ɾaɴ.de.ɡo.haɴ.o.ta.be.ma.ɕi.ta. ‖] | [ɾe.sɯ.to.ɾan.de.ɡo.ha.no.ta.be.ma.ɕta]
Japanese::N5::Location & Directions | 郵便局の前にポストがあります。 | There is a mailbox in front of the post office. | [jɯː.biɴ.kʲo.kɯ.no.ma.e.ni.po.sɯ.to.ɡa.a.ɾi.ma.sɯ. ‖] | [jɯː.biŋ.kʲo.kɯ.no.ma.e.ni.po.sɯ.to.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | 本屋のとなりにコンビニがあります。 | There is a convenience store next to the bookstore. | [hoɴ.ja.no.to.na.ɾi.ni.koɴ.bi.ni.ɡa.a.ɾi.ma.sɯ. ‖] | [hoɲ.ja.no.to.na.ɾi.ni.kom.bi.ni.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | デパートの中にレストランがあります。 | There is a restaurant inside the department store. | [de.paː.to.no.na.ka.ni.ɾe.sɯ.to.ɾaɴ.ɡa.a.ɾi.ma.sɯ. ‖] | [de.paː.to.no.na.ka.ni.ɾe.sɯ.to.ɾaŋ.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | 車の右に犬がいます。 | There is a dog to the right of the car. | [kɯ.ɾɯ.ma.no.mi.ɡi.ni.i.nɯ.ɡa.i.ma.sɯ. ‖] | [kɯ.ɾɯ.ma.no.mi.ɡi.ni.i.nɯ.ɡa.i.mas]
Japanese::N5::Location & Directions | テーブルの左に椅子があります。 | There is a chair to the left of the table. | [teː.bɯ.ɾɯ.no.çi.da.ɾi.ni.i.sɯ.ɡa.a.ɾi.ma.sɯ. ‖] | [teː.bɯ.ɾɯ.no.çi.da.ɾi.ni.i.sɯ.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | 家の後ろに大きな木があります。 | There is a large tree behind the house. | [i.e.no.ɯ.ɕi.ɾo.ni.oː.ki.na.ki.ɡa.a.ɾi.ma.sɯ. ‖] | [i.e.no.ɯ.ɕi.ɾo.ni.oː.ki.na.ki.ɡa.a.ɾi.mas]
