German::A1::Health & Body | Wie geht es dir? | How are you? | [viː ɡeːt ʔɛs diːɐ̯] | [vi ɡeːt‿s diɐ̯]
German::A1::Health & Body | Mir geht es nicht gut. | I am not feeling well. | [miːɐ̯ ɡeːt ʔɛs nɪçt ɡuːt] | [miɐ̯ ɡeːt‿s nɪç ɡuːt]
German::A1::Health & Body | Ich habe Kopfschmerzen. | I have a headache. | [ʔɪç ˈhaː.bə ˈkʰɔpf.ʃmɛʁ.tsn̩] | [ɪç ˈhaːbə ˈkɔpfʃmɛɐ̯tsn̩]
German::A1::Health & Body | Mein Bauch tut weh. | My stomach hurts. | [maɪ̯n baʊ̯x tʰuːt veː] | [maɪ̯n baʊ̯x tuːt veː]
German::A1::Health & Body | Ich habe Halsschmerzen. | I have a sore throat. | [ʔɪç ˈhaː.bə ˈhals.ʃmɛʁ.tsn̩] | [ɪç ˈhaːbə ˈhalsʃmɛɐ̯tsn̩]
German::A1::Health & Body | Er hat Rückenschmerzen. | He has back pain. | [ʔeːɐ̯ hat ˈʁʏ.kn̩.ʃmɛʁ.tsn̩] | [ɛɐ̯ hat ˈʁʏkn̩ʃmɛɐ̯tsn̩]
German::A1::Health & Body | Sie hat Fieber. | She has a fever. | [ziː hat ˈfiː.bɐ] | [zi hat ˈfiːbɐ]
German::A1::Health & Body | Ich habe eine Erkältung. | I have a cold. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ʔɛɐ̯ˈkʰɛl.tʊŋ] | [ɪç ˈhaːbə‿n ɛɐ̯ˈkɛltʊŋ]
German::A1::Health & Body | Er hustet sehr stark. | He is coughing very badly. | [ʔeːɐ̯ ˈhuːs.tət zeːɐ̯ ʃtaʁk] | [ɛɐ̯ ˈhuːstət zeɐ̯ ʃtaɐ̯k]
German::A1::Health & Body | Ich habe Schnupfen. | I have a runny nose. | [ʔɪç ˈhaː.bə ˈʃnʊp.fn̩] | [ɪç ˈhaːbə ˈʃnʊpfn̩]
German::A1::Health & Body | Du musst zum Arzt gehen. | You must go to the doctor. | [duː mʊst tsʊm ʔaʁtst ˈɡeː.ən] | [du mʊs tsʊm‿aɐ̯tst ˈɡeːn̩]
German::A1::Health & Body | Ich muss ein Medikament nehmen. | I must take a medicine. | [ʔɪç mʊs ʔaɪ̯n me.di.kaˈmɛnt ˈneː.mən] | [ɪç mʊs‿n mediˈkamɛnt ˈneːmən]
German::A1::Health & Body | Wir müssen in die Apotheke gehen. | We must go to the pharmacy. | [viːɐ̯ ˈmʏ.sn̩ ʔɪn diː ʔa.poˈtʰeː.kə ˈɡeː.ən] | [viɐ̯ ˈmʏsn̩‿ɪn di apoˈteːkə ˈɡeːn̩]
German::A1::Health & Body | Nimm diese Tablette! | Take this tablet! | [nɪm ˈdiː.zə tʰaˈblɛ.tə] | [nɪm ˈdiːzə taˈblɛtə]
German::A1::Health & Body | Trink viel Wasser! | Drink lots of water! | [tʁɪŋk fiːl ˈva.sɐ] | [tʁɪŋk fiːl ˈvasɐ]
German::A1::Health & Body | Ruh dich aus! | Rest! | [ʁuː dɪç ʔaʊ̯s] | [ʁu dɪç‿aʊ̯s]
German::A1::Health & Body | Schlaf gut! | Sleep well! | [ʃlaːf ɡuːt] | [ʃlaːf ɡuːt]
German::A1::Health & Body | Geh früh ins Bett! | Go to bed early! | [ɡeː fʁyː ʔɪns bɛt] | [ɡeː fʁy‿ɪns bɛt]
German::A1::Health & Body | Bleib heute zu Hause! | Stay at home today! | [blaɪ̯p ˈhɔʏ̯.tə tsuː ˈhaʊ̯.zə] | [blaɪ̯p ˈhɔʏ̯tə tsu ˈhaʊ̯zə]
German::A1::Health & Body | Iss mehr Obst und Gemüse! | Eat more fruit and vegetables! | [ʔɪs meːɐ̯ ʔoːpst ʔʊnt ɡəˈmyː.zə] | [ɪs meɐ̯ oːpst‿ʊn ɡəˈmyːzə]
German::A1::Health & Body | Mein Kopf tut sehr weh. | My head hurts a lot. | [maɪ̯n kʰɔpf tʰuːt zeːɐ̯ veː] | [maɪ̯n kɔpf tuːt zeɐ̯ veː]
