Japanese::N5::Te-Form Formation | 本を書いています。 | I am writing a book. | [ho̞ɴ o̞ ka̠ite̞ ima̠sɨᵝ] | [ho̞ŋ o̞ ka̠ite̞ ima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 水を飲んでください。 | Please drink water. | [mizɯ̟ᵝ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i] | [mizɯ̟ᵝ o̞ no̞nde̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 写真を撮ってください。 | Please take a photo. | [ɕa̠ɕiɴ o̞ to̞tte̞ kɯ̟ᵝda̠sa̠i] | [ɕa̠ɕiŋ o̞ to̞tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 急いでください。 | Please hurry up. | [iso̞ide̞ kɯ̟ᵝda̠sa̠i] | [iso̞ide̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 手紙を貸してください。 | Please lend me a letter. | [te̞ɡa̠mi o̞ ka̠ɕite̞ kɯ̟ᵝda̠sa̠i] | [te̞ɡa̠mi o̞ ka̠ɕite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 友達と話して、帰ります。 | I will talk with my friend and go home. | [to̞mo̞da̠tɕi to̞ ha̠na̠ɕite̞ ka̠e̞ɾima̠sɨᵝ] | [to̞mo̞da̠tɕi to̞ ha̠na̠ɕte̞ ka̠e̞ɾima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 音楽を聴いて勉強します。 | I listen to music and study. | [o̞ŋɡa̠kɯ̟ᵝ o̞ kiːte̞ be̞ŋkyoːɕima̠sɨᵝ] | [o̞ŋɡa̠kɯ̟ᵝ o̞ kiːte̞ be̞ŋkyoːɕima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 買物をしていえへ帰ります。 | I will do shopping and go home. | [ka me̞mo̞no̞ o̞ ɕite̞ ie e̞ ka̠e̞ɾima̠sɨᵝ] | [ka me̞mo̞no̞ o̞ ɕte̞ ie e̞ ka̠e̞ɾima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 朝起きて顔を洗います。 | I get up in the morning and wash my face. | [a̠sa̠ o̞kite̞ ka̠o̞ o̞ a̠ɾa̠ima̠sɨᵝ] | [a̠sa̠ o̞kte̞ ka̠o̞ o̞ a̠ɾa̠ima̠sɨᵝ]
Japanese::N5::Te-Form Formation | ご飯を食べて学校へ行きます。 | I eat meals and go to school. | [ɡo̞ha̠ɴ o̞ ta̠be̞te̞ ɡa̠kːoː e̞ ikima̠sɨᵝ] | [ɡo̞ha̠ŋ o̞ ta̠be̞te̞ ɡa̠kːoː e̞ ikima̠sɨᵝ]
Japanese::N5::Te-Form Formation | ここに来てください。 | Please come here. | [ko̞ko̞ ni kite̞ kɯ̟ᵝda̠sa̠i] | [ko̞ko̞ ni kite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | ドアを開けてください。 | Please open the door. | [do̞a̠ o̞ a̠ke̞te̞ kɯ̟ᵝda̠sa̠i] | [do̞a̠ o̞ a̠ke̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 窓を閉めてください。 | Please close the window. | [ma̠do̞ o̞ ɕime̞te̞ kɯ̟ᵝda̠sa̠i] | [ma̠do̞ o̞ ɕime̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | ここで待ってください。 | Please wait here. | [ko̞ko̞ de̞ ma̠tte̞ kɯ̟ᵝda̠sa̠i] | [ko̞ko̞ de̞ ma̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 傘を持って行きます。 | I will take an umbrella with me. | [ka̠sa̠ o̞ mo̞tte̞ ikima̠sɨᵝ] | [ka̠sa̠ o̞ mo̞tte̞ ikima̠sɨᵝ]
Japanese::N5::Formation | 歌を歌って、踊ります。 | I will sing a song and dance. | [ɯ̟ᵝta̠ o̞ ɯ̟ᵝta̠tte̞ o̞do̞ɾima̠sɨᵝ] | [ɯ̟ᵝta̠ o̞ ɯ̟ᵝta̠tte̞ o̞do̞ɾima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 荷物を置いてください。 | Please put down your luggage. | [ni mo̞tsɨᵝ o̞ o̞ite̞ kɯ̟ᵝda̠sa̠i] | [ni mo̞tsɨᵝ o̞ o̞ite̞ kɯ̟ᵝda̠sa̠i]
