Spanish::A1::Likes, dislikes, preferences | Me gusta el café. | I like coffee. | [me ˈɣ̞us.ta el ka.ˈfe] | [meˈɣ̞us.taelkaˈfe]
Spanish::A1::Likes, dislikes, preferences | ¿Te gusta la música clásica? | Do you like classical music? | [te ˈɣ̞us.ta la ˈmu.si.ka ˈkla.si.ka] | [teˈɣ̞us.ta.laˈmu.si.kaˈkla.si.ka]
Spanish::A1::Likes, dislikes, preferences | Le gusta viajar. | He likes to travel. | [le ˈɣ̞us.ta bja.ˈxaɾ] | [leˈɣ̞us.tabjaˈxaɾ]
Spanish::A1::Likes, dislikes, preferences | Nos gustan las playas. | We like beaches. | [noz ˈɣ̞us.tan las ˈpla.ʝas] | [noˈɣ̞us.tan.lasˈpla.ʝas]
Spanish::A1::Likes, dislikes, preferences | Les gusta el fútbol. | They like soccer. | [lez ˈɣ̞us.ta el ˈfud̪.β̞ol] | [leˈɣ̞us.taelˈfud̪.β̞ol]
Spanish::A1::Likes, dislikes, preferences | Me encanta esta ciudad. | I love this city. | [me eŋ.ˈkan.ta ˈes.ta sju.ˈð̞að̞] | [meeŋˈkan.taes.tasjuˈð̞að̞]
Spanish::A1::Likes, dislikes, preferences | ¿Te encantan los animales? | Do you love animals? | [te eŋ.ˈkan.tan los a.ni.ˈma.les] | [teeŋˈkan.tan.losaniˈma.les]
Spanish::A1::Likes, dislikes, preferences | Le interesa la historia. | He is interested in history. | [le in.te.ˈɾe.sa la is.ˈto.ɾja] | [leinteˈɾe.sala.isˈto.ɾja]
Spanish::A1::Likes, dislikes, preferences | Nos interesan las noticias. | We are interested in the news. | [nos in.te.ˈɾe.san laz no.ˈti.sjas] | [nosinteˈɾe.san.laznoˈti.sjas]
Spanish::A1::Likes, dislikes, preferences | Les interesa aprender español. | They are interested in learning Spanish. | [les in.te.ˈɾe.sa a.pɾen.ˈdeɾ es.pa.ˈɲol] | [lesinteˈɾe.saapɾenˈdeɾ.esˈpa.ɲol]
Spanish::A1::Likes, dislikes, preferences | No me gusta el frío. | I don't like the cold. | [no me ˈɣ̞us.ta el ˈfɾi.o] | [nomeˈɣ̞us.taelˈfɾi.o]
Spanish::A1::Likes, dislikes, preferences | ¿No te gusta el chocolate? | Don't you like chocolate? | [no te ˈɣ̞us.ta el tʃo.ko.ˈla.te] | [note.ˈɣ̞us.taeltʃokoˈla.te]
Spanish::A1::Likes, dislikes, preferences | A ella le gusta bailar. | She likes to dance. | [a ˈe.ʝa le ˈɣ̞us.ta bai̯.ˈlaɾ] | [aˈe.ʝaleˈɣ̞us.tabai̯ˈlaɾ]
Spanish::A1::Likes, dislikes, preferences | A él le gustan los libros. | He likes books. | [a el le ˈɣ̞us.tan loz ˈli.β̞ɾos] | [aelleˈɣ̞us.tan.loˈli.β̞ɾos]
Spanish::A1::Likes, dislikes, preferences | A nosotros nos gusta cocinar. | We like to cook. | [a no.ˈso.tɾoz nos ˈɣ̞us.ta ko.si.ˈnaɾ] | [anoˈso.tɾoz.nosˈɣ̞us.takosiˈnaɾ]
Spanish::A1::Likes, dislikes, preferences | A ustedes les gusta el cine. | You all like the cinema. | [a us.ˈte.ð̞es lez ˈɣ̞us.ta el ˈsi.ne] | [aus.ˈte.ð̞esleˈɣ̞us.taelˈsi.ne]
Spanish::A1::Likes, dislikes, preferences | Me molesta el ruido. | Noise bothers me. | [me mo.ˈles.ta el ˈrwi.ð̞o] | [memoˈles.taelˈrwi.ð̞o]
Spanish::A1::Likes, dislikes, preferences | ¿Te molesta la luz? | Does the light bother you? | [te mo.ˈles.ta la ˈlus] | [temoˈles.talalus]
Spanish::A1::Likes, dislikes, preferences | Le importa mucho su trabajo. | His work matters a lot to him. | [le im.ˈpoɾ.ta ˈmu.tʃo su tɾa.ˈβ̞a.xo] | [leimˈpoɾ.taˈmu.tʃosu.tɾaˈβ̞a.xo]
Spanish::A1::Likes, dislikes, preferences | Nos importa la familia. | Family matters to us. | [nos im.ˈpoɾ.ta la fa.ˈmi.lja] | [nosimˈpoɾ.tala.faˈmi.lja]
Spanish::A1::Likes, dislikes, preferences | Me fascina el arte. | Art fascinates me. | [me fas.ˈsi.na el ˈaɾ.te] | [mefasˈsi.naelˈaɾ.te]
Spanish::A1::Likes, dislikes, preferences | ¿Te fascinan las estrellas? | Do stars fascinate you? | [te fas.ˈsi.nan las es.ˈtɾe.ʝas] | [tefasˈsi.nan.lasesˈtɾe.ʝas]
Spanish::A1::Likes, dislikes, preferences | Me apetece un café. | I feel like having a coffee. | [me a.pe.ˈte.se um ka.ˈfe] | [meape.ˈte.seuŋ.kaˈfe]
Spanish::A1::Likes, dislikes, preferences | ¿Te apetece salir hoy? | Do you feel like going out today? | [te a.pe.ˈte.se sa.ˈliɾ oi̯] | [teape.ˈte.sesaˈliɾoi̯]
Spanish::A1::Likes, dislikes, preferences | A mi hermana le gusta dibujar. | My sister likes to draw. | [a mi eɾ.ˈma.na le ˈɣ̞us.ta d̪i.β̞u.ˈxaɾ] | [amjeɾˈma.naleˈɣ̞us.tað̞iβ̞uˈxaɾ]
Spanish::A1::Likes, dislikes, preferences | A mis padres les gusta caminar. | My parents like to walk. | [a mis ˈpa.ð̞ɾes lez ˈɣ̞us.ta ka.mi.ˈnaɾ] | [amisˈpa.ð̞ɾesleˈɣ̞us.takamiˈnaɾ]
Spanish::A1::Likes, dislikes, preferences | Me gustan mucho los perros. | I like dogs a lot. | [me ˈɣ̞us.tam ˈmu.tʃo los ˈpe.ros] | [meˈɣ̞us.tamˈmu.tʃolosˈpe.ros]
Spanish::A1::Likes, dislikes, preferences | No nos gusta esperar. | We don't like waiting. | [no noz ˈɣ̞us.ta es.pe.ˈɾaɾ] | [nonoˈɣ̞us.taespeˈɾaɾ]
Spanish::A1::Likes, dislikes, preferences | Le encanta la playa en verano. | He loves the beach in summer. | [le eŋ.ˈkan.ta la ˈpla.ʝa em be.ˈɾa.no] | [leeŋˈkan.tala.ˈpla.ʝaembeˈɾa.no]
Spanish::A1::Likes, dislikes, preferences | Nos encanta viajar juntos. | We love traveling together. | [nos eŋ.ˈkan.ta bja.ˈxaɾ ˈxun.tos] | [noseŋˈkan.tabjaˈxaɾˈxun.tos]
Spanish::A1::Likes, dislikes, preferences | ¿Qué te gusta hacer los fines de semana? | What do you like to do on weekends? | [ˈke te ˈɣ̞us.ta a.ˈseɾ los ˈfi.nes ð̞e se.ˈma.na] | [ˈke.teˈɣ̞us.taaˈseɾlo.ˈfi.neð̞e.seˈma.na]
Spanish::A1::Likes, dislikes, preferences | Prefiero el té al café. | I prefer tea to coffee. | [pɾe.ˈfje.ɾo el ˈte al ka.ˈfe] | [pɾeˈfje.ɾoelˈtealkaˈfe]
Spanish::A1::Likes, dislikes, preferences | ¿Prefieres el verano o el invierno? | Do you prefer summer or winter? | [pɾe.ˈfje.ɾes el be.ˈɾa.no o el im.ˈbjeɾ.no] | [pɾeˈfje.ɾeselbeˈɾa.noel.imˈbjeɾ.no]
Spanish::A1::Likes, dislikes, preferences | Ella prefiere leer por la noche. | She prefers to read at night. | [ˈe.ʝa pɾe.ˈfje.ɾe le.ˈeɾ poɾ la ˈno.tʃe] | [ˈe.ʝapɾeˈfje.ɾeleˈeɾpoɾ.laˈno.tʃe]
Spanish::A1::Likes, dislikes, preferences | Nosotros preferimos la comida picante. | We prefer spicy food. | [no.ˈso.tɾos pɾe.fe.ˈɾi.mos la ko.ˈmi.ð̞a pi.ˈkan.te] | [noˈso.tɾospɾefeˈɾi.mosla.koˈmi.ð̞apiˈkan.te]
Spanish::A1::Likes, dislikes, preferences | Me gusta más el color azul. | I like the color blue more. | [me ˈɣ̞us.ta mas el ko.ˈloɾ a.ˈsul] | [meˈɣ̞us.tamasel.koˈloɾaˈsul]
Spanish::A1::Likes, dislikes, preferences | A él no le gustan las verduras. | He doesn't like vegetables. | [a el no le ˈɣ̞us.tan laz beɾ.ˈð̞u.ɾas] | [aelnoleˈɣ̞us.tan.lazbeɾˈð̞u.ɾas]
Spanish::A1::Likes, dislikes, preferences | Me duele la cabeza cuando trabajo mucho. | My head hurts when I work a lot. | [me ˈd̪we.le la ka.ˈβ̞e.sa ˈkwan.do tɾa.ˈβ̞a.xo ˈmu.tʃo] | [meˈd̪we.lela.kaˈβ̞e.sakwan.dotɾaˈβ̞a.xoˈmu.tʃo]
Spanish::A1::Likes, dislikes, preferences | ¿Te duelen los pies? | Do your feet hurt? | [te ˈd̪we.len los ˈpjes] | [teˈd̪we.len.lospjes]
Spanish::A1::Likes, dislikes, preferences | Nos encantan las películas de terror. | We love horror movies. | [nos eŋ.ˈkan.tan las pe.ˈli.ku.laz ð̞e te.ˈror] | [noseŋˈkan.tan.laspeˈli.ku.lað̞e.teˈror]
Spanish::A1::Likes, dislikes, preferences | Le gusta mucho su nuevo trabajo. | He likes his new job a lot. | [le ˈɣ̞us.ta ˈmu.tʃo su ˈnwe.β̞o tɾa.ˈβ̞a.xo] | [leˈɣ̞us.taˈmu.tʃosu.ˈnwe.β̞otɾaˈβ̞a.xo]
Spanish::A1::Likes, dislikes, preferences | A ellos les gusta jugar videojuegos. | They like playing video games. | [a ˈe.ʝoz lez ˈɣ̞us.ta xu.ˈɣ̞aɾ β̞i.ð̞e.o.ˈxwe.ɣ̞os] | [aˈe.ʝozleˈɣ̞us.taxuˈɣ̞aɾβ̞i.ð̞eoˈxwe.ɣ̞os]
Spanish::A1::Likes, dislikes, preferences | Me gusta el silencio por la mañana. | I like silence in the morning. | [me ˈɣ̞us.ta el si.ˈlen.sjo poɾ la ma.ˈɲa.na] | [meˈɣ̞us.taelsiˈlen.sjopoɾ.laˈɲa.na]
Spanish::A1::Likes, dislikes, preferences | A ustedes, ¿les gusta la comida mexicana? | Do you all like Mexican food? | [a us.ˈte.ð̞es lez ˈɣ̞us.ta la ko.ˈmi.ð̞a me.xi.ˈka.na] | [aus.ˈte.ð̞esleˈɣ̞us.tala.koˈmi.ð̞amexiˈka.na]
Spanish::A1::Likes, dislikes, preferences | Nos gusta pasear por el parque. | We like to walk in the park. | [noz ˈɣ̞us.ta pa.se.ˈaɾ poɾ el ˈpaɾ.ke] | [noˈɣ̞us.tapa.seˈaɾpoɾ.elˈpaɾ.ke]
