Spanish::A1::Irregular "backbone" verbs | Yo tengo un perro. | I have a dog. | [ˈʝo ˈteŋ.ɡo um ˈpe.ro] | [ˈʝoˈteŋɡoumˈpero]
Spanish::A1::Irregular "backbone" verbs | Tú tienes dos hermanos. | You have two brothers. | [ˈtu ˈtje.nes dos eɾˈma.nos] | [ˈtuˈtjenezðoseɾˈmanoh]
Spanish::A1::Irregular "backbone" verbs | Él tiene un coche nuevo. | He has a new car. | [ˈel ˈtje.ne uŋ ˈko.tʃe ˈnwe.βo] | [ˈelˈtjeneuŋˈkotʃeˈnweβo]
Spanish::A1::Irregular "backbone" verbs | Ella tiene mucho trabajo. | She has a lot of work. | [ˈe.ʝa ˈtje.ne ˈmu.tʃo tɾaˈβa.xo] | [ˈe.ʝaˈtjeneˈmutʃotɾaˈβaxo]
Spanish::A1::Irregular "backbone" verbs | Nosotros tenemos una casa grande. | We have a big house. | [noˈso.tɾos teˈne.mos ˈu.na ˈka.sa ˈɡɾan.de] | [noˈso.tɾosteˈnemosuˈnaˈkasaˈɡɾande]
Spanish::A1::Irregular "backbone" verbs | Ellos tienen tres hijos. | They have three children. | [ˈe.ʝos ˈtje.nen tɾes ˈi.xos] | [ˈe.ʝosˈtjenentɾeˈsi.xoh]
Spanish::A1::Irregular "backbone" verbs | Yo voy a la escuela. | I go to school. | [ˈʝo ˈβoi̯ a la esˈkwe.la] | [ˈʝoˈβoi̯alaeˈskwela]
Spanish::A1::Irregular "backbone" verbs | Tú vas al mercado. | You go to the market. | [ˈtu ˈbas al meɾˈka.ðo] | [ˈtuˈβasalmeɾˈkao]
Spanish::A1::Irregular "backbone" verbs | Él va a trabajar. | He goes to work. | [ˈel ˈba a tɾa.βaˈxaɾ] | [ˈelˈβaatɾaβaˈxaɾ]
Spanish::A1::Irregular "backbone" verbs | Ella va al gimnasio. | She goes to the gym. | [ˈe.ʝa ˈba al ximˈna.sjo] | [ˈe.ʝaˈβaalximˈnasjo]
Spanish::A1::Irregular "backbone" verbs | Nosotros vamos al cine. | We go to the movies. | [noˈso.tɾos ˈba.mos al ˈsi.ne] | [noˈso.tɾosˈβamosalˈsine]
Spanish::A1::Irregular "backbone" verbs | Ellos van a la playa. | They go to the beach. | [ˈe.ʝos ˈban a la ˈpla.ʝa] | [ˈe.ʝosˈβanalaˈplaʝa]
Spanish::A1::Irregular "backbone" verbs | Yo hago la tarea. | I do homework. | [ˈʝo ˈa.ɣo la taˈɾe.a] | [ˈʝoˈaɣolataˈɾe.a]
Spanish::A1::Irregular "backbone" verbs | Tú haces ejercicio. | You do exercise. | [ˈtu ˈa.ses e.xeɾˈsi.sjo] | [ˈtuˈasesexeɾˈsisjo]
Spanish::A1::Irregular "backbone" verbs | Él hace la cena. | He makes dinner. | [ˈel ˈa.se la ˈse.na] | [ˈelˈaselaˈsena]
Spanish::A1::Irregular "backbone" verbs | Ella hace preguntas. | She asks questions. | [ˈe.ʝa ˈa.se pɾeˈɣun.tas] | [ˈe.ʝaˈasepɾeˈɣuntah]
Spanish::A1::Irregular "backbone" verbs | Nosotros hacemos planes. | We make plans. | [noˈso.tɾos aˈse.mos ˈpla.nes] | [noˈso.tɾosaˈsemosˈplaneh]
Spanish::A1::Irregular "backbone" verbs | Ellos hacen mucho ruido. | They make a lot of noise. | [ˈe.ʝos ˈa.sen ˈmu.tʃo ˈrwi.ðo] | [ˈe.ʝosˈasenˈmutʃoˈrwiðo]
Spanish::A1::Irregular "backbone" verbs | Yo digo la verdad. | I tell the truth. | [ˈʝo ˈdi.ɣo la beɾˈðað] | [ˈʝoˈðiɣolaβeɾˈða]
Spanish::A1::Irregular "backbone" verbs | Tú dices cosas interesantes. | You say interesting things. | [ˈtu ˈdi.ses ˈko.sas in.te.ɾeˈsan.tes] | [ˈtuˈðisesˈkosasinteɾeˈsanteh]
Spanish::A1::Irregular "backbone" verbs | Él dice que sí. | He says yes. | [ˈel ˈdi.se ke ˈsi] | [ˈelˈðisekeˈsi]
Spanish::A1::Irregular "backbone" verbs | Ella dice que no. | She says no. | [ˈe.ʝa ˈdi.se ke ˈno] | [ˈe.ʝaˈðisekeˈno]
Spanish::A1::Irregular "backbone" verbs | Nosotros decimos gracias. | We say thank you. | [noˈso.tɾos deˈsi.mos ˈɡɾa.sjas] | [noˈso.tɾosðeˈsimosˈɣɾasjah]
Spanish::A1::Irregular "backbone" verbs | Ellos dicen la hora. | They say the time. | [ˈe.ʝos ˈdi.sen la ˈo.ɾa] | [ˈe.ʝosˈðisenlaˈoɾa]
Spanish::A1::Irregular "backbone" verbs | Yo tengo hambre. | I am hungry. | [ˈʝo ˈteŋ.ɡo ˈam.bɾe] | [ˈʝoˈteŋɡoˈambɾe]
Spanish::A1::Irregular "backbone" verbs | Tú tienes sed. | You are thirsty. | [ˈtu ˈtje.nes ˈseð] | [ˈtuˈtjeneˈse]
Spanish::A1::Irregular "backbone" verbs | Él tiene sueño. | He is sleepy. | [ˈel ˈtje.ne ˈswe.ɲo] | [ˈelˈtjeneˈsweɲo]
Spanish::A1::Irregular "backbone" verbs | Ella tiene frío. | She is cold. | [ˈe.ʝa ˈtje.ne ˈfɾi.o] | [ˈe.ʝaˈtjeneˈfɾi.o]
Spanish::A1::Irregular "backbone" verbs | Nosotros tenemos calor. | We are hot. | [noˈso.tɾos teˈne.mos kaˈloɾ] | [noˈso.tɾosteˈnemoskaˈloɾ]
Spanish::A1::Irregular "backbone" verbs | Ellos tienen prisa. | They are in a hurry. | [ˈe.ʝos ˈtje.nem ˈpɾi.sa] | [ˈe.ʝosˈtjenemˈpɾisa]
Spanish::A1::Irregular "backbone" verbs | Yo voy a comer ahora. | I am going to eat now. | [ˈʝo ˈβoi̯ a koˈmeɾ aˈo.ɾa] | [ˈʝoˈβoi̯akoˈmeɾaˈoɾa]
Spanish::A1::Irregular "backbone" verbs | Tú vas a estudiar mañana. | You are going to study tomorrow. | [ˈtu ˈbas a es.tuˈðjaɾ maˈɲa.na] | [ˈtuˈβasaestuˈðjaɾmaˈɲana]
Spanish::A1::Irregular "backbone" verbs | Él va a llamar a su madre. | He is going to call his mother. | [ˈel ˈba a ʝaˈmaɾ a su ˈma.ðɾe] | [ˈelˈβaaʝaˈmaɾasuˈmaðɾe]
Spanish::A1::Irregular "backbone" verbs | Ella va a viajar en junio. | She is going to travel in June. | [ˈe.ʝa ˈba a bjaˈxaɾ en ˈxu.njo] | [ˈe.ʝaˈβaaβjaˈxaɾeŋˈxunjo]
Spanish::A1::Irregular "backbone" verbs | Nosotros vamos a cocinar juntos. | We are going to cook together. | [noˈso.tɾos ˈba.mos a ko.siˈnaɾ ˈxun.tos] | [noˈso.tɾosˈβamosakosiˈnaɾˈxuntoh]
Spanish::A1::Irregular "backbone" verbs | Ellos van a llegar tarde. | They are going to arrive late. | [ˈe.ʝos ˈban a ʝeˈɣaɾ ˈtaɾ.ðe] | [ˈe.ʝosˈβanaʝeˈɣaɾˈtaɾðe]
Spanish::A1::Irregular "backbone" verbs | Yo quiero ir contigo. | I want to go with you. | [ˈʝo ˈkje.ɾo iɾ konˈti.ɣo] | [ˈʝoˈkjeɾoiɾkonˈtiɣo]
Spanish::A1::Irregular "backbone" verbs | Tú quieres hacer la tarea. | You want to do the homework. | [ˈtu ˈkje.ɾes aˈseɾ la taˈɾe.a] | [ˈtuˈkjeɾesaˈseɾlataˈɾe.a]
Spanish::A1::Irregular "backbone" verbs | Yo puedo hacer la comida. | I can make the food. | [ˈʝo ˈpwe.ðo aˈseɾ la koˈmi.ða] | [ˈʝoˈpweðoaˈseɾlakoˈmiða]
Spanish::A1::Irregular "backbone" verbs | Tú puedes decir la verdad. | You can tell the truth. | [ˈtu ˈpwe.ðes deˈsiɾ la beɾˈðað] | [ˈtuˈpweðezðeˈsiɾlaβeɾˈða]
Spanish::A1::Irregular "backbone" verbs | Él puede tener razón. | He can be right. | [ˈel ˈpwe.ðe teˈneɾ raˈson] | [ˈelˈpweðeteˈneɾraˈson]
Spanish::A1::Irregular "backbone" verbs | Nosotros tenemos que estudiar. | We have to study. | [noˈso.tɾos teˈne.mos ke es.tuˈðjaɾ] | [noˈso.tɾosteˈnemoskestuˈðjaɾ]
Spanish::A1::Irregular "backbone" verbs | Ellos tienen que trabajar. | They have to work. | [ˈe.ʝos ˈtje.nen ke tɾa.βaˈxaɾ] | [ˈe.ʝosˈtjeneŋketɾaβaˈxaɾ]
Spanish::A1::Irregular "backbone" verbs | Yo hago mi cama todos los días. | I make my bed every day. | [ˈʝo ˈa.ɣo mi ˈka.ma ˈto.ðos loz ˈdi.as] | [ˈʝoˈaɣomiˈkamatoðozloˈzði.ah]
Spanish::A1::Irregular "backbone" verbs | Ella hace las compras los sábados. | She does the shopping on Saturdays. | [ˈe.ʝa ˈa.se las ˈkom.pɾas los ˈsa.βa.ðos] | [ˈe.ʝaˈaselaˈskompɾaslosˈsaβaðoh]
