English::A1::Shopping & prices | How much is this book? | كم سعر هذا الكتاب؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ˈðɪs ˈbʊk] | [haʊ̯ ˈmʌt͡ʃ ɪz ðɪs ˈbʊk]
English::A1::Shopping & prices | This book is ten pounds. | هذا الكتاب بَعَشَرَةِ جنيهات. | [ˈðɪs ˈbʊk ˈɪz ˈtʰɛn ˈpʰaʊ̯ndz] | [ðɪs ˈbʊk s tʰɛn ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How much are these shoes? | كم سعر هذه الأحذية؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɑː ˈðiːz ˈʃuːz] | [haʊ̯ ˈmʌt͡ʃ ə ðiːz ˈʃuːz]
English::A1::Shopping & prices | These shoes are fifty pounds. | هذه الأحذية بَخَمْسِينَ جنيهاً. | [ˈðiːz ˈʃuːz ˈɑː ˈfɪf.tʰi ˈpʰaʊ̯ndz] | [ðiːz ˈʃuːz ə ˈfɪf.ti ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How much is the shirt? | كم سعر القميص؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ðə ˈʃɜːt] | [haʊ̯ ˈmʌt͡ʃ ɪz ðə ˈʃɜːt]
English::A1::Shopping & prices | The shirt is twenty pounds. | القميص بَعِشْرِينَ جنيهاً. | [ðə ˈʃɜːt ˈɪz ˈtʰwɛn.tʰi ˈpʰaʊ̯ndz] | [ðə ˈʃɜːt s ˈtʰwɛn.ti ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How many apples do you want? | كم تفاحة تريد؟ | [ˈhaʊ̯ ˈmɛn.i ˈæp.l̩z dʊ jʊ ˈwɒnt] | [haʊ̯ ˈmɛn.i ˈæp.l̩z də jə ˈwɒnt]
English::A1::Shopping & prices | I want five apples. | أريد خمس تفاحات. | [ˈaɪ̯ ˈwɒnt ˈfaɪ̯v ˈæp.l̩z] | [aɪ̯ ˈwɒn ˈfaɪ̯v ˈæp.l̩z]
English::A1::Shopping & prices | How many bags do you need? | كم حقيبة تحتاج؟ | [ˈhaʊ̯ ˈmɛn.i ˈbæɡz dʊ jʊ ˈniːd] | [haʊ̯ ˈmɛn.i ˈbæɡz də jə ˈniːd]
English::A1::Shopping & prices | I need one bag. | أحتاج إلى حقيبة واحدة. | [ˈaɪ̯ ˈniːd ˈwʌn ˈbæɡ] | [aɪ̯ ˈniːd ˈwʌn ˈbæɡ]
English::A1::Shopping & prices | How much is this hat? | كم سعر هذه القبعة؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ˈðɪs ˈhæt] | [haʊ̯ ˈmʌt͡ʃ ɪz ðɪs ˈhæt]
English::A1::Shopping & prices | It is fifteen pounds. | إنها بَخَمْسَةَ عَشَرَ جنيهاً. | [ˈɪt ˈɪz ˌfɪfˈtʰiːn ˈpʰaʊ̯ndz] | [ɪt s ˌfɪfˈtʰiːn ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How much are these socks? | كم سعر هذه الجوارب؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɑː ˈðiːz ˈsɒks] | [haʊ̯ ˈmʌt͡ʃ ə ðiːz ˈsɒks]
English::A1::Shopping & prices | They are four pounds. | إنها بأربعة جنيهات. | [ˈðeɪ̯ ˈɑː ˈfɔː ˈpʰaʊ̯ndz] | [ðeɪ̯ ə ˈfɔː ˈpʰaʊ̯nz]
English::A1::Shopping & prices | Is this jacket cheap? | هل هذا المعطف رخيص؟ | [ˈɪz ˈðɪs ˈd͡ʒæk.ɪt ˈt͡ʃiːp] | [ɪz ðɪs ˈd͡ʒæk.ɪt ˈt͡ʃiːp]
English::A1::Shopping & prices | No, it is expensive. | لا، إنه غالي الثمن. | [ˈnəʊ̯ ˈɪt ˈɪz ɪkˈspʰɛn.sɪv] | [nəʊ̯ ɪt s ɪkˈspʰɛn.sɪv]
English::A1::Shopping & prices | How much is a cup of coffee? | كم سعر فنجان القهوة؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ə ˈkʰʌp ɒv ˈkʰɒf.i] | [haʊ̯ ˈmʌt͡ʃ ɪz ə ˈkʰʌp əv ˈkʰɒf.i]
English::A1::Shopping & prices | A coffee is three pounds. | القهوة بثلاثة جنيهات. | [ə ˈkʰɒf.i ˈɪz ˈθɹiː ˈpʰaʊ̯ndz] | [ə ˈkʰɒf.i z ˈθɹiː ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How many oranges do you have? | كم برتقالة لديك؟ | [ˈhaʊ̯ ˈmɛn.i ˈɒɹ.ɪn.d͡ʒɪz dʊ jʊ ˈhæv] | [haʊ̯ ˈmɛn.i ˈɒɹ.ɪn.d͡ʒɪz də jə ˈhæv]
English::A1::Shopping & prices | I have six oranges. | لدي ست برتقالات. | [ˈaɪ̯ ˈhæv ˈsɪks ˈɒɹ.ɪn.d͡ʒɪz] | [aɪ̯ həv ˈsɪks ˈɒɹ.ɪn.d͡ʒɪz]
English::A1::Shopping & prices | This dress is thirty pounds. | هذا الفستان بثلاثين جنيهاً. | [ˈðɪs ˈdɹɛs ˈɪz ˈθɜː.tʰi ˈpʰaʊ̯ndz] | [ðɪs ˈdɹɛs ɪz ˈθɜː.ti ˈpʰaʊ̯nz]
English::A1::Shopping & prices | That coat is very expensive. | ذلك المعطف غالي الثمن جداً. | [ˈðæt ˈkʰəʊ̯t ˈɪz ˈvɛɹ.i ɪkˈspʰɛn.sɪv] | [ðæk ˈkʰəʊ̯t s ˈvɛɹ.i ɪkˈspʰɛn.sɪv]
English::A1::Shopping & prices | These pens are one pound. | هذه الأقلام بجنيه واحد. | [ˈðiːz ˈpʰɛnz ˈɑː ˈwʌn ˈpʰaʊ̯nd] | [ðiːz ˈpʰɛnz ə ˈwʌn ˈpʰaʊ̯nd]
English::A1::Shopping & prices | How much is that umbrella? | كم سعر تلك المظلة؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ˈðæt ʌmˈbɹɛl.ə] | [haʊ̯ ˈmʌt͡ʃ ɪz ðæt ʌmˈbɹɛl.ə]
English::A1::Shopping & prices | It is eight pounds. | إنها بثمانية جنيهات. | [ˈɪt ˈɪz ˈeɪ̯t ˈpʰaʊ̯ndz] | [ɪt s ˈeɪ̯t ˈpʰaʊ̯nz]
English::A1::Shopping & prices | How many boxes do you buy? | كم صندوقاً تشتري؟ | [ˈhaʊ̯ ˈmɛn.i ˈbɒk.sɪz dʊ jʊ ˈbaɪ̯] | [haʊ̯ ˈmɛn.i ˈbɒk.sɪz də jə ˈbaɪ̯]
English::A1::Shopping & prices | I buy two boxes. | أشتري صندوقين. | [ˈaɪ̯ ˈbaɪ̯ ˈtʰuː ˈbɒk.sɪz] | [aɪ̯ ˈbaɪ̯ ˈtʰuː ˈbɒk.sɪz]
English::A1::Shopping & prices | This watch is ninety pounds. | هذه الساعة بتسعين جنيهاً. | [ˈðɪs ˈwɒt͡ʃ ˈɪz ˈnaɪ̯n.tʰi ˈpʰaʊ̯ndz] | [ðɪs ˈwɒt͡ʃ ɪz ˈnaɪ̯n.ti ˈpʰaʊ̯nz]
English::A1::Shopping & prices | Those trousers are cheap. | ذلك البنطال رخيص. | [ˈðəʊ̯z ˈtʰɹaʊ̯.zəz ˈɑː ˈt͡ʃiːp] | [ðəʊ̯z ˈtʰɹaʊ̯.zəz ə ˈt͡ʃiːp]
English::A1::Shopping & prices | How much is total? | كم المجموع؟ | [ˈhaʊ̯ ˈmʌt͡ʃ ˈɪz ˈtʰəʊ̯.tl̩] | [haʊ̯ ˈmʌt͡ʃ ɪz ˈtʰəʊ̯.tl̩]
