Japanese::N2::~わりに(は) | このレストランは値段が高いわりには、量が少ない。 | Considering how expensive this restaurant is, the portions are small. | [ko.no ɾe̞.sɯ.to.ɾa.ɴ wa ne̞.da.ɴ ɡa ta.ka.i wa.ɾi ni wa ɾjoː ɡa sɯ.kɯ.na.i] | [ko.no ɾe̞sɯto̞ɾaɴ wa ne̞.daŋ ɡa ta.kai wa.ɾini wa ɾjoː ɡa sɯkɯ.naː]
Japanese::N2::~わりに(は) | 彼は年齢のわりには、若く見える。 | Considering his age, he looks young. | [ka.ɾe wa ne̞ɴ.ɾe̞ː no wa.ɾi ni wa wa.ka.kɯ mi.e̞.ɾɯ] | [ka.ɾe wa ne̞ɴɾe̞ː no wa.ɾini wa wa.kakɯ mi.e̞ɾɯ]
Japanese::N2::~わりに(は) | 練習した時間のわりには、上達していない。 | Considering how much time was spent practicing, there's little improvement. | [ɾe̞ɴ.ɕɯː ɕi.ta ʑi.ka.ɴ no wa.ɾi ni wa ʑoː.ta.tsɯ ɕi.te i.na.i] | [ɾe̞ɲɕɯː ɕta ʑkaŋ no wa.ɾini wa ʑoːtatsɯ ɕte.naː]
Japanese::N2::~わりに(は) | この仕事は簡単なわりには、給料が良い。 | Considering how easy this job is, the pay is good. | [ko.no ɕi.ɡo.to wa ka.n.ta.ɴ na wa.ɾi ni wa kʲɯː.ɾjoː ɡa jo.i] | [ko.no ɕiɡo̞to̞ wa kaɲtaŋ na wa.ɾini wa kʲɯːɾjoː ɡa joi]
Japanese::N2::~わりに(は) | 彼女は忙しいわりには、いつも元気そうだ。 | Considering how busy she is, she always seems energetic. | [ka.no.ʑo wa i.so.ɡa.ɕiː wa.ɾi ni wa i.tsɯ.mo ɡe̞ɴ.ki soː da] | [ka.no.dʑo wa i.so̞ɡaɕiː wa.ɾini wa i.tsɯmo ɡeŋki soːda]
Japanese::N2::~わりに(は) | 準備期間が短かったわりには、うまく発表できた。 | Considering how short the preparation period was, the presentation went well. | [ʑɯɴ.bi ki.ka.ɴ ɡa mi.ʑi.ka.ka.ta wa.ɾi ni wa ɯ.ma.kɯ ha.ppjoː de̞.ki.ta] | [ʑɯɴbi kikaŋ ɡa mi.ʑkakːatːa wa.ɾini wa ɯmakɯ haʔpjoː de̞kiːta]
Japanese::N2::~わりに(は) | この製品は安いわりには、耐久性が高い。 | Considering how cheap this product is, its durability is high. | [ko.no se̞ː.çi.ɴ wa ja.sɯ.i wa.ɾi ni wa ta.i.kʲɯː.se̞ː ɡa ta.ka.i] | [ko.no se̞ːçiŋ wa ja.sɯi wa.ɾini wa ta.ikʲɯːse̞ː ɡa ta.kai]
Japanese::N2::~わりに(は) | 苦労したわりには、思ったほど成果が出なかった。 | Considering how hard we worked, the results weren't as good as expected. | [kɯ.ɾoː ɕi.ta wa.ɾi ni wa o.mo.ta ho.do se̞ː.ka ɡa de̞.na.ka.ta] | [kɯɾoː ɕta wa.ɾini wa o.mo̞ːta ho̞do̞ se̞ːka ɡa de̞.naːta]
Japanese::N2::~わりに(は) | 彼は背が高いわりには、力があまりない。 | Considering how tall he is, he doesn't have much strength. | [ka.ɾe wa se̞ ɡa ta.ka.i wa.ɾi ni wa tɕi.ka.ɾa ɡa a.ma.ɾi na.i] | [ka.ɾe wa se̞ ɡa ta.kai wa.ɾini wa tɕi.kaɾa ɡa a.maɾinaː]
Japanese::N2::~わりに(は) | この地域は都会に近いわりには、自然が豊かだ。 | Considering how close this area is to the city, it's rich in nature. | [ko.no tɕi.i.ki wa to.ka.i ni tɕi.ka.i wa.ɾi ni wa ɕi.ze̞ɴ ɡa jɯ.ta.ka da] | [ko.no tɕiːki wa to.kai ni tɕikai wa.ɾini wa ɕize̞ŋ ɡa jɯtakada]
Japanese::N2::~わりに(は) | 値段が安いわりには、味は悪くない。 | Considering how cheap it is, the taste isn't bad. | [ne̞.da.ɴ ɡa ja.sɯ.i wa.ɾi ni wa a.ʑi wa wa.ɾɯ.kɯ na.i] | [ne̞.daŋ ɡa ja.sɯi wa.ɾini wa a.dʑi wa wa.ɾɯkɯ naː]
Japanese::N2::~わりに(は) | 彼はよく勉強するわりには、成績が伸びない。 | Considering how much he studies, his grades aren't improving. | [ka.ɾe wa jo.kɯ be̞ɴ.kjoː sɯ.ɾɯ wa.ɾi ni wa se̞ː.se̞.ki ɡa no.bi.na.i] | [ka.ɾe wa jokɯ be̞ŋkjoː sɯɾɯ wa.ɾini wa se̞ːse̞ki ɡa no.bina̠ː]
Japanese::N2::~わりに(は) | この部屋は狭いわりには、収納スペースが多い。 | Considering how small this room is, there's a lot of storage space. | [ko.no he̞.ja wa se̞.ma.i wa.ɾi ni wa ɕɯː.noː sɯ.pe̞ː.sɯ ɡa oː.i] | [ko.no he̞ja wa se̞mai wa.ɾini wa ɕɯːnoː sɯpe̞ːsɯ ɡa oːi]
Japanese::N2::~わりに(は) | 彼女は経験が浅いわりには、対応がしっかりしている。 | Considering how little experience she has, her handling of things is solid. | [ka.no.ʑo wa ke̞ː.ke̞ɴ ɡa a.sa.i wa.ɾi ni wa ta.i.oː ɡa ɕi.kːa.ɾi ɕi.te i.ɾɯ] | [ka.no.dʑo wa ke̞ːke̞ŋ ɡa a.saːi wa.ɾini wa ta.ioː ɡa ɕiʔkaɾi ɕte.ɾɯ]
Japanese::N2::~わりに(は) | 天気予報が悪かったわりには、今日は晴れている。 | Considering how bad the weather forecast was, it's clear today. | [te̞ɴ.ki jo.hoː ɡa wa.ɾɯ.ka.ta wa.ɾi ni wa kjoː wa ha.ɾe̞.te i.ɾɯ] | [teŋki jo.ho̞ː ɡa wa.ɾɯkatːa wa.ɾini wa kjoː wa ha.ɾe̞te.ɾɯ]
Japanese::N2::~わりに(は) | 睡眠時間が短いわりには、彼は元気そうに見える。 | Considering how little he sleeps, he looks pretty energetic. | [sɯi.mi.ɴ ʑi.ka.ɴ ɡa mi.ʑi.ka.i wa.ɾi ni wa ka.ɾe wa ɡe̞ɴ.ki soː ni mi.e̞.ɾɯ] | [sɯimiɲ ʑkaŋ ɡa mi.ʑkai wa.ɾini wa ka.ɾe wa ɡeŋki soː ni mi.e̞ɾɯ]
Japanese::N2::~わりに(は) | この会社は規模が小さいわりには、業績が良い。 | Considering how small this company is, its performance is good. | [ko.no ka.i.ɕa wa ki.bo ɡa tɕi.i.sa.i wa.ɾi ni wa ɡjoː.se̞.ki ɡa jo.i] | [ko.no ka.i.ɕa wa ki.bo̞ ɡa tɕiːsai wa.ɾini wa ɡjoːse̞ki ɡa joi]
Japanese::N2::~わりに(は) | 予算が少なかったわりには、良い結果を出せた。 | Considering how small the budget was, we got a good result. | [jo.sa.ɴ ɡa sɯ.kɯ.na.ka.ta wa.ɾi ni wa jo.i ke̞k.ka o da.se̞.ta] | [jo.saŋ ɡa sɯkɯ.nakatːa wa.ɾini wa joi ke̞ʔka o da.se̞ta]
Japanese::N2::~わりに(は) | 彼は口が悪いわりには、根は優しい人だ。 | Considering how harsh his speech is, he's fundamentally a kind person. | [ka.ɾe wa kɯ.tɕi ɡa wa.ɾɯ.i wa.ɾi ni wa ne̞ wa ja.sa.ɕiː çi.to da] | [ka.ɾe wa kɯtɕi ɡa wa.ɾɯi wa.ɾini wa ne̞ wa ja.saɕiː çito da]
Japanese::N2::~わりに(は) | この靴は安いわりには、履き心地がいい。 | Considering how cheap these shoes are, they're comfortable to wear. | [ko.no kɯ.tsɯ wa ja.sɯ.i wa.ɾi ni wa ha.ki.ɡo.tɕi ɡa iː] | [ko.no kɯtsɯ wa ja.sɯi wa.ɾini wa ha.ki.ɡo̞tɕi ɡa iː]
Japanese::N2::~わりに(は) | 人数が多いわりには、会場は静かだった。 | Considering how many people there were, the venue was quiet. | [ni.n.zɯː ɡa oː.i wa.ɾi ni wa ka.i.ʑoː wa ɕi.zɯ.ka da.ta] | [niɲzɯː ɡa oːi wa.ɾini wa ka.i.ʑoː wa ɕzɯ.kadaːta]
Japanese::N2::~わりに(は) | このパソコンは軽いわりには、性能が良い。 | Considering how light this laptop is, the performance is good. | [ko.no pa.so.ko.ɴ wa ka.ɾɯ.i wa.ɾi ni wa se̞ː.noː ɡa jo.i] | [ko.no pa.so.ko̞ɴ wa ka.ɾɯi wa.ɾini wa se̞ːnoː ɡa joi]
Japanese::N2::~わりに(は) | 彼女は仕事が忙しいわりには、家事もこなしている。 | Considering how busy she is with work, she still manages the housework. | [ka.no.ʑo wa ɕi.ɡo.to ɡa i.so.ɡa.ɕiː wa.ɾi ni wa ka.ʑi mo ko.na.ɕi.te i.ɾɯ] | [ka.no.dʑo wa ɕiɡo̞to̞ ɡa i.so̞ɡaɕiː wa.ɾini wa ka.dʑi mo ko̞.naɕte.ɾɯ]
Japanese::N2::~わりに(は) | 難しい試験のわりには、簡単な問題も多かった。 | Considering how difficult the exam was said to be, there were many easy questions too. | [mɯ.zɯ.ka.ɕiː ɕi.ke̞ɴ no wa.ɾi ni wa ka.n.ta.n na mo.n da.i mo oː.ka.ta] | [mɯzɯ.kaɕiː ɕke̞ɴ no wa.ɾini wa kaɲtaɲ na moɲdai mo oːkatːa]
Japanese::N2::~わりに(は) | このアパートは駅から近いわりには、家賃が安い。 | Considering how close this apartment is to the station, the rent is cheap. | [ko.no a.paː.to wa e̞.ki ka.ɾa tɕi.ka.i wa.ɾi ni wa ja.tɕi.ɴ ɡa ja.sɯ.i] | [ko.no a.paːto̞ wa e̞ki kaɾa tɕikai wa.ɾini wa ja.tɕiŋ ɡa ja.sɯi]
