Japanese::N5::Basic Potential | 日本語が分かりますか。 | Do you understand Japanese? | [niho̞ɴɡo̞ ɡa̠ wa̠ka̠ɾima̠sɨᵝ ka̠] | [niho̞ŋɡo̞ ɡa̠ wa̠ka̠ɾima̠sɨᵝ ka̠]
Japanese::N5::Basic Potential | はい、少し分かります。 | Yes, I understand a little. | [ha̠i sɨᵝko̞ɕi wa̠ka̠ɾima̠sɨᵝ] | [ha̠i sɨᵝko̞ɕi wa̠ka̠ɾima̠sɨᵝ]
Japanese::N5::Basic Potential | いいえ、全然分かりません。 | No, I do not understand at all. | [iːe̞ ze̞ɴze̞ɴ wa̠ka̠ɾima̠se̞ɴ] | [iːe̞ ze̞ɴze̞ŋ wa̠ka̠ɾima̠se̞ŋ]
Japanese::N5::Basic Potential | 英語が分かりますか。 | Do you understand English? | [eːɡo̞ ɡa̠ wa̠ka̠ɾima̠sɨᵝ ka̠] | [eːɡo̞ ɡa̠ wa̠ka̠ɾima̠sɨᵝ ka̠]
Japanese::N5::Basic Potential | 漢字がよく分かります。 | I understand kanji well. | [ka̠ndʑi ɡa̠ yo̞kɯ̟ᵝ wa̠ka̠ɾima̠sɨᵝ] | [ka̠ndʑi ɡa̠ yo̞kɯ̟ᵝ wa̠ka̠ɾima̠sɨᵝ]
Japanese::N5::Basic Potential | 平仮名が分かります。 | I understand hiragana. | [hiɾa̠ɡa̠na̠ ɡa̠ wa̠ka̠ɾima̠sɨᵝ] | [hiɾa̠ɡa̠na̠ ɡa̠ wa̠ka̠ɾima̠sɨᵝ]
Japanese::N5::Basic Potential | ひらがなを書くことができます。 | I can write hiragana. | [hiɾa̠ɡa̠na̠ o̞ ka̠kɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ] | [hiɾa̠ɡa̠na̠ o̞ ka̠kɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ]
Japanese::N5::Basic Potential | 漢字を読むことができますか。 | Can you read kanji? | [ka̠ndʑi o̞ yo̞mɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠] | [ka̠ndʑi o̞ yo̞mɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠]
Japanese::N5::Basic Potential | 泳ぐことができます。 | I can swim. | [o̞yo̞ɡɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ] | [o̞yo̞ɡɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ]
Japanese::N5::Basic Potential | ピアノを弾くことができます。 | I can play the piano. | [pia̠no̞ o̞ hikɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ] | [pia̠no̞ o̞ çikɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ]
Japanese::N5::Basic Potential | 車を運転することができますか。 | Can you drive a car? | [kɯ̟ᵝɾɯ̟ᵝma̠ o̞ ɯ̟ᵝnte̞ɴsɨᵝɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠] | [kɯ̟ᵝɾɯ̟ᵝma̠ o̞ ɯ̟ᵝnte̞ɴsɨᵝɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠]
Japanese::N5::Basic Potential | 日本料理を作ることができます。 | I can make Japanese food. | [niho̞ɴɾyoːɾi o̞ tsɨᵝkɯ̟ᵝɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ] | [niho̞ɴɾyoːɾi o̞ tsɨᵝkɯ̟ᵝɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ]
Japanese::N5::Basic Potential | ここでカードを使うことができますか。 | Can I use a credit card here? | [ko̞ko̞ de̞ kaːdo̞ o̞ tsɨᵝka̠ɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠] | [ko̞ko̞ de̞ kaːdo̞ o̞ tsɨᵝka̠ɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ ka̠]
Japanese::N5::Basic Potential | ここでお金を換えることができます。 | You can exchange money here. | [ko̞ko̞ de̞ o̞ka̠ne̞ o̞ ka̠e̞ɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ] | [ko̞ko̞ de̞ o̞ka̠ne̞ o̞ ka̠e̞ɾɯ̟ᵝ ko̞to̞ ɡa̠ de̞kima̠sɨᵝ]
