English::A1::Past events (regular verbs) | I walked to school yesterday. | مشيت إلى المدرسة الأمس. | [ˈaɪ̯ ˈwɔːkt tʰʊ ˈskuːl ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈwɔːkt tə ˈskuːl ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | She played tennis last weekend. | لعبت التنس عطلة نهاية الأسبوع الماضي. | [ˈʃiː ˈpʰleɪ̯d ˈtʰɛn.ɪs ˈlɑːst ˌwiːkˈɛnd] | [ʃi ˈpʰleɪ̯d ˈtʰɛn.ɪs ˈlɑːs ˌwiːkˈɛnd]
English::A1::Past events (regular verbs) | They cooked dinner last night. | طبخوا العشاء الليلة الماضية. | [ˈðeɪ̯ ˈkʰʊkt ˈdɪn.ə ˈlɑːst ˈnaɪ̯t] | [ðeɪ̯ ˈkʰʊkt ˈdɪn.ə ˈlɑːs ˈnaɪ̯t]
English::A1::Past events (regular verbs) | He watched a film yesterday. | شاهد فيلماً الأمس. | [ˈhiː ˈwɒt͡ʃt ə ˈfɪlm ˈjɛs.tə.deɪ̯] | [hi ˈwɒt͡ʃt ə ˈfɪlm ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | We visited London last year. | زرنا لندن العام الماضي. | [ˈwiː ˈvɪz.ɪt.ɪd ˈlʌn.dən ˈlɑːst ˈjɪə̯] | [wi ˈvɪz.ɪt.ɪd ˈlʌn.dən ˈlɑːst ˈjɪə̯]
English::A1::Past events (regular verbs) | It rained all day yesterday. | أمطرت طوال اليوم الأمس. | [ˈɪt ˈɹeɪ̯nd ˈɔːl ˈdeɪ̯ ˈjɛs.tə.deɪ̯] | [ɪt ˈɹeɪ̯nd ˈɔːl ˈdeɪ̯ ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | I washed my car on Saturday. | غسلت سيارتي يوم السبت. | [ˈaɪ̯ ˈwɒʃt maɪ̯ ˈkʰɑː ɒn ˈsæt.ə.deɪ̯] | [aɪ̯ ˈwɒʃt maɪ̯ ˈkʰɑː ɒn ˈsæt.ə.deɪ̯]
English::A1::Past events (regular verbs) | She cleaned the house yesterday morning. | نظفت المنزل صباح الأمس. | [ˈʃiː ˈkliːnd ðə ˈhaʊ̯s ˈjɛs.tə.deɪ̯ ˈmɔː.nɪŋ] | [ʃi ˈkliːnd ðə ˈhaʊ̯s ˈjɛs.tə.deɪ̯ ˈmɔː.nɪŋ]
English::A1::Past events (regular verbs) | He stayed at home yesterday. | بقي في المنزل الأمس. | [ˈhiː ˈstʰeɪ̯d æt ˈhəʊ̯m ˈjɛs.tə.deɪ̯] | [hi ˈstʰeɪ̯d ət ˈhəʊ̯m ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | They listened to music last night. | استمعوا إلى الموسيقى الليلة الماضية. | [ˈðeɪ̯ ˈlɪs.n̩d tʰʊ ˈmjuː.zɪk ˈlɑːst ˈnaɪ̯t] | [ðeɪ̯ ˈlɪs.n̩d tə ˈmjuː.zɪk ˈlɑːs ˈnaɪ̯t]
English::A1::Past events (regular verbs) | I lived in London in 2020. | عشت في لندن عام 2020. | [ˈaɪ̯ ˈlɪvd ɪn ˈlʌn.dən ɪn ˈtʰuː ˈθaʊ̯.zənd ænd ˈtwɛn.tʰi] | [aɪ̯ ˈlɪvd ɪn ˈlʌn.dən ɪn ˈtʰuː ˈθaʊ̯.zən ən ˈtwɛn.tʰi]
