Japanese::N2::~とたん(に) | ドアを開けたとたんに、猫が飛び出してきた。 | The moment I opened the door, the cat darted out. | [do.a o a.ke.ta to.ta.ɲ ɲi ne.ko ɡa to.bi.da.ɕi.te ki.ta] | [do.a a.kʲe.ta to.ta.ɲ ɲi ne.ko to.bʲi.da.ɕi̥.te kʲi̥.ta]
Japanese::N2::~とたん(に) | 彼の顔を見たとたん、彼女は泣き出した。 | The instant she saw his face, she burst into tears. | [ka.ɾe no ka.o o mi.ta to.ta.ɴ ka.no.dʑo wa na.ki.da.ɕi.ta] | [ka.ɾe no ka.o mʲi.ta to.ta.ɴ ka.no.dʑo na.kʲi.da.ɕi̥.ta]
Japanese::N2::~とたん(に) | 家に着いたとたんに、雨が降り始めた。 | The moment I got home, it started to rain. | [i.e ɲi t͡sɯ.i.ta to.ta.ɲ ɲi a.me ɡa fɯ.ɾi.ha.dʑi.me.ta] | [i.e t͡sɯ.i̥.ta to.ta.ɲ ɲi a.me fɯ.ɾi.ha.dʑi.me.ta]
Japanese::N2::~とたん(に) | 立ち上がったとたん、めまいがした。 | The instant I stood up, I felt dizzy. | [ta.tɕi.a.ɡa.tːa to.ta.ɴ me.ma.i ɡa ɕi.ta] | [ta.tɕi.a.ɡa.tːa to.ta.ɴ me.ma.i ɕi̥.ta]
Japanese::N2::~とたん(に) | 彼はその話を聞いたとたんに、顔色を変えた。 | The moment he heard the story, his expression changed. | [ka.ɾe wa so.no ha.na.ɕi o ki.i.ta to.ta.ɲ ɲi ka.o.i.ɾo o ka.e.ta] | [ka.ɾe so.no ha.na.ɕi kʲiː.ta to.ta.ɲ ɲi ka.o.i.ɾo ka.e.ta]
Japanese::N2::~とたん(に) | 教室に入ったとたん、みんなが静かになった。 | The instant she walked into the classroom, everyone went quiet. | [kʲoː.ɕi.t͡sɯ ɲi ha.i.tːa to.ta.ɴ mi.nːa ɡa ɕi.zɯ.ka ɲi na.tːa] | [kʲoː.ɕi.t͡sɯ ha.i.tːa to.ta.ɴ mi.nːa ɕi.zɯ.ka ɲi na.tːa]
Japanese::N2::~とたん(に) | 電気を消したとたんに、部屋は真っ暗になった。 | The moment I turned off the light, the room went pitch black. | [de.ɲ.ki o ke.ɕi.ta to.ta.ɲ ɲi he.ja wa ma.kːɯ.ɾa ɲi na.tːa] | [de.ɲ.ki ke.ɕi̥.ta to.ta.ɲ ɲi he.ja ma.kːɯ.ɾa ɲi na.tːa]
Japanese::N2::~とたん(に) | 舞台に上がったとたん、彼は緊張で足が震えた。 | The instant he stepped onto the stage, his legs shook with nerves. | [bɯ.ta.i ɲi a.ɡa.tːa to.ta.ɴ ka.ɾe wa kʲi.ɲ.tɕoː de a.ɕi ɡa fɯ.ɾɯ.e.ta] | [bɯ.ta.i a.ɡa.tːa to.ta.ɴ ka.ɾe kʲi.ɲ.tɕoː de a.ɕi fɯ.ɾɯ.e.ta]
Japanese::N2::~とたん(に) | 薬を飲んだとたんに、眠くなった。 | The moment I took the medicine, I got sleepy. | [kɯ.sɯ.ɾi o no.ɲ.da to.ta.ɲ ɲi ne.mɯ.kɯ na.tːa] | [kɯ.sɯ.ɾi no.ɲ.da to.ta.ɲ ɲi ne.mɯ.kɯ na.tːa]
Japanese::N2::~とたん(に) | 彼女は結果を知ったとたん、飛び上がって喜んだ。 | The instant she learned the results, she jumped for joy. | [ka.no.dʑo wa ke.ka o ɕi.tːa to.ta.ɴ to.bi.a.ɡa.tːe jo.ro.ko.ɲ.da] | [ka.no.dʑo ke.ka ɕi.tːa to.ta.ɴ to.bʲi.a.ɡa.tːe jo.ro.ko.ɲ.da]
Japanese::N2::~とたん(に) | 会場に入ったとたんに、大きな拍手が起こった。 | The moment he entered the venue, a huge round of applause broke out. | [ka.i.dʑoː ɲi ha.i.tːa to.ta.ɲ ɲi oː.ki.na ha.kɯ.ɕɯ ɡa o.ko.tːa] | [ka.i.dʑoː ha.i.tːa to.ta.ɲ ɲi oː.ki.na ha.kɯ.ɕɯ o.ko.tːa]
Japanese::N2::~とたん(に) | 財布を開けたとたん、中身が空なのに気づいた。 | The instant I opened my wallet, I noticed it was empty. | [sa.i.fɯ o a.ke.ta to.ta.ɴ na.ka.mi ɡa ka.ɾa.na no ni ki.zɯ.i.ta] | [sa.i.fɯ a.ke.ta to.ta.ɴ na.ka.mi ka.ɾa.na no ni kʲi.zɯ.i̥.ta]
Japanese::N2::~とたん(に) | 犬は飼い主の姿を見たとたんに、しっぽを振り始めた。 | The moment the dog saw its owner, it started wagging its tail. | [i.nɯ wa ka.i.nɯ.ɕi no sɯ.ɡa.ta o mi.ta to.ta.ɲ ɲi ɕi.tː.po o fɯ.ɾi.ha.dʑi.me.ta] | [i.nɯ ka.i.nɯ.ɕi no sɯ.ɡa.ta mʲi.ta to.ta.ɲ ɲi ɕi.tː.po fɯ.ɾi.ha.dʑi.me.ta]
Japanese::N2::~とたん(に) | 火を止めたとたん、煙が消えた。 | The moment I turned off the flame, the smoke vanished. | [çi o to.me.ta to.ta.ɴ ke.mɯ.ɾi ɡa ki.e.ta] | [çi to.me.ta to.ta.ɴ ke.mɯ.ɾi kʲi.e.ta]
Japanese::N2::~とたん(に) | 彼は試験に合格したとたんに、遊び始めた。 | The moment he passed the exam, he started slacking off. | [ka.ɾe wa ɕi.ke.ɲ ɲi ɡoː.ka.kɯ ɕi.ta to.ta.ɲ ɲi a.so.bi.ha.dʑi.me.ta] | [ka.ɾe ɕi.ke.ɲ ɡoː.ka.kɯ ɕi̥.ta to.ta.ɲ ɲi a.so.bʲi.ha.dʑi.me.ta]
Japanese::N2::~とたん(に) | エンジンをかけたとたん、変な音がした。 | The instant I started the engine, there was a strange noise. | [e.ɲ.dʑi.ɲ o ka.ke.ta to.ta.ɴ he.ɲ.na o.to ɡa ɕi.ta] | [e.ɲ.dʑi.ɲ ka.ke.ta to.ta.ɴ he.ɲ.na o.to ɕi̥.ta]
Japanese::N2::~とたん(に) | 彼女は電話に出たとたんに、声が震え始めた。 | The instant she answered the phone, her voice began to shake. | [ka.no.dʑo wa de.ɲ.wa ɲi de.ta to.ta.ɲ ɲi ko.e ɡa fɯ.ɾɯ.e.ha.dʑi.me.ta] | [ka.no.dʑo de.ɲ.wa de.ta to.ta.ɲ ɲi ko.e fɯ.ɾɯ.e.ha.dʑi.me.ta]
Japanese::N2::~とたん(に) | 会議室のドアを開けたとたん、皆の視線が集まった。 | The moment I opened the meeting-room door, all eyes turned to me. | [ka.i.ɡi.ɕi.t͡sɯ no do.a o a.ke.ta to.ta.ɴ mi.nːa no ɕi.se.ɲ ɡa a.t͡sɯ.ma.tːa] | [ka.i.ɡi.ɕi̥.t͡sɯ no do.a a.ke.ta to.ta.ɴ mi.nːa no ɕi.se.ɲ a.t͡sɯ.ma.tːa]
Japanese::N2::~とたん(に) | 彼は席を立ったとたんに、電話が鳴った。 | The moment he got up from his seat, the phone rang. | [ka.ɾe wa se.ki o ta.tːa to.ta.ɲ ɲi de.ɲ.wa ɡa na.tːa] | [ka.ɾe se.ki ta.tːa to.ta.ɲ ɲi de.ɲ.wa na.tːa]
Japanese::N2::~とたん(に) | 蓋を開けたとたん、強い匂いが広がった。 | The instant I opened the lid, a strong smell filled the room. | [fɯ.ta o a.ke.ta to.ta.ɴ t.sɯ.jo.i ɲi.o.i ɡa çi.ɾo.ɡa.tːa] | [fɯ.ta a.ke.ta to.ta.ɴ t͡sɯ.jo.i ɲi.o.i çi.ɾo.ɡa.tːa]
Japanese::N2::~とたん(に) | 彼女はステージに立ったとたんに、緊張が消えた。 | The moment she stood on the stage, her nervousness disappeared. | [ka.no.dʑo wa sɯ.teː.dʑi ɲi ta.tːa to.ta.ɲ ɲi kʲi.ɲ.tɕoː ɡa ki.e.ta] | [ka.no.dʑo sɯ.teː.dʑi ta.tːa to.ta.ɲ ɲi kʲi.ɲ.tɕoː kʲi.e.ta]
Japanese::N2::~とたん(に) | 彼はニュースを見たとたん、顔が青ざめた。 | The moment he saw the news, his face turned pale. | [ka.ɾe wa njɯː.sɯ o mi.ta to.ta.ɴ ka.o ɡa a.o.za.me.ta] | [ka.ɾe njɯː.sɯ mʲi.ta to.ta.ɴ ka.o a.o.za.me.ta]
Japanese::N2::~とたん(に) | ボタンを押したとたんに、機械が止まった。 | The instant I pressed the button, the machine stopped. | [bo.ta.ɲ o o.ɕi.ta to.ta.ɲ ɲi ki.ka.i ɡa to.ma.tːa] | [bo.ta.ɲ o.ɕi̥.ta to.ta.ɲ ɲi kʲi.ka.i to.ma.tːa]
Japanese::N2::~とたん(に) | 彼女は名前を呼ばれたとたん、振り向いた。 | The instant her name was called, she turned around. | [ka.no.dʑo wa na.ma.e o jo.ba.ɾe.ta to.ta.ɴ fɯ.ɾi.mɯ.i.ta] | [ka.no.dʑo na.ma.e jo.ba.ɾe.ta to.ta.ɴ fɯ.ɾi.mɯ.i̥.ta]
Japanese::N2::~とたん(に) | 味見をしたとたんに、彼は顔をしかめた。 | The moment he tasted it, he grimaced. | [a.dʑi.mi o ɕi.ta to.ta.ɲ ɲi ka.ɾe wa ka.o o ɕi.ka.me.ta] | [a.dʑi.mʲi ɕi̥.ta to.ta.ɲ ɲi ka.ɾe ka.o ɕi.ka.me.ta]
Japanese::N2::~とたん(に) | 窓を開けたとたん、冷たい風が吹き込んだ。 | The moment I opened the window, a cold gust blew in. | [ma.do o a.ke.ta to.ta.ɴ t͡sɯ.me.ta.i ka.ze ɡa fɯ.ki.ko.ɲ.da] | [ma.do a.ke.ta to.ta.ɴ t͡sɯ.me.ta.i ka.ze fɯ.kʲi.ko.ɲ.da]
Japanese::N2::~とたん(に) | 彼は靴を履いたとたんに、痛みを感じた。 | The moment he put his shoes on, he felt a pain. | [ka.ɾe wa kɯ.t͡sɯ o ha.i.ta to.ta.ɲ ɲi i.ta.mi o ka.ɲ.dʑi.ta] | [ka.ɾe kɯ.t͡sɯ ha.i̥.ta to.ta.ɲ ɲi i.ta.mi ka.ɲ.dʑi̥.ta]
Japanese::N2::~とたん(に) | 車のエンジンを切ったとたん、静寂が戻った。 | The instant I switched off the car engine, silence returned. | [kɯ.ɾɯ.ma no e.ɲ.dʑi.ɲ o ki.tːa to.ta.ɴ seː.dʑa.kɯ ɡa mo.do.tːa] | [kɯ.ɾɯ.ma no e.ɲ.dʑi.ɲ kʲi.tːa to.ta.ɴ seː.dʑa.kɯ mo.do.tːa]
Japanese::N2::~とたん(に) | 彼女はメールを読んだとたんに、表情が曇った。 | The moment she read the email, her expression clouded over. | [ka.no.dʑo wa meː.ɾɯ o jo.ɲ.da to.ta.ɲ ɲi hjoː.dʑoː ɡa kɯ.mo.tːa] | [ka.no.dʑo meː.ɾɯ jo.ɲ.da to.ta.ɲ ɲi hjoː.dʑoː kɯ.mo.tːa]
