Spanish::A1::Describing people and things | Mi casa es grande. | My house is big. | [mi ˈka.sa ez ˈɡɾan.de] | [miˈka.sazˈɡɾan.de]
Spanish::A1::Describing people and things | El coche es pequeño. | The car is small. | [el ˈko.tʃe es peˈke.ɲo] | [elˈko.tʃespeˈke.ɲo]
Spanish::A1::Describing people and things | La ciudad es bonita. | The city is pretty. | [la sjuˈðað ez boˈni.ta] | [lasjuˈðaðezboˈni.ta]
Spanish::A1::Describing people and things | Estoy cansado. | I am tired. | [esˈtoi̯ kanˈsa.ðo] | [ehˈtoi̯kanˈsa.o]
Spanish::A1::Describing people and things | Estoy cansada. | I am tired. (f.) | [esˈtoi̯ kanˈsa.ða] | [ehˈtoi̯kanˈsa.a]
Spanish::A1::Describing people and things | Él está feliz. | He is happy. | [ˈel esˈta feˈlis] | [ˈelehˈtafeˈlih]
Spanish::A1::Describing people and things | Ella está triste. | She is sad. | [ˈe.ʝa esˈta ˈtɾis.te] | [ˈe.ʝaehˈtaˈtɾihte]
Spanish::A1::Describing people and things | El café está caliente. | The coffee is hot. | [el kaˈfe esˈta kaˈljen.te] | [elkaˈfeehˈtakaˈljente]
Spanish::A1::Describing people and things | La sopa está fría. | The soup is cold. | [la ˈso.pa esˈta ˈfɾi.a] | [laˈso.paehˈtaˈfɾi.a]
Spanish::A1::Describing people and things | Mi hermano es simpático. | My brother is nice. | [mi eɾˈma.no es simˈpa.ti.ko] | [mjeɾˈma.noessimˈpa.ti.ko]
Spanish::A1::Describing people and things | Mi hermana es simpática. | My sister is nice. | [mi eɾˈma.na es simˈpa.ti.ka] | [mjeɾˈma.naessimˈpa.ti.ka]
Spanish::A1::Describing people and things | El libro es interesante. | The book is interesting. | [el ˈli.βɾo es in.te.ɾeˈsan.te] | [elˈli.βɾoesinteɾeˈsante]
Spanish::A1::Describing people and things | La película es aburrida. | The movie is boring. | [la peˈli.ku.la es a.βuˈri.ða] | [lapeˈli.ku.laesaβuˈri.a]
Spanish::A1::Describing people and things | Estamos ocupados. | We are busy. | [esˈta.mos o.kuˈpa.ðos] | [ehˈta.mosokuˈpa.oh]
Spanish::A1::Describing people and things | Están enojados. | They are angry. | [esˈtan e.noˈxa.ðos] | [ehˈtaneˌnoˈxa.oh]
Spanish::A1::Describing people and things | El agua está fría. | The water is cold. | [el ˈa.ɣwa esˈta ˈfɾi.a] | [elˈa.ɣwaehˈtaˈfɾi.a]
Spanish::A1::Describing people and things | La comida está deliciosa. | The food is delicious. | [la koˈmi.ða esˈta de.liˈsjo.sa] | [lakoˈmi.aehˈtadeliˈsjosa]
Spanish::A1::Describing people and things | Mi perro es grande. | My dog is big. | [mi ˈpe.ro ez ˈɡɾan.de] | [miˈpe.rozˈɡɾan.de]
Spanish::A1::Describing people and things | Mi gato es pequeño. | My cat is small. | [mi ˈɡa.to es peˈke.ɲo] | [miˈɡa.tospeˈke.ɲo]
Spanish::A1::Describing people and things | El edificio es alto. | The building is tall. | [el e.ðiˈfi.sjo es ˈal.to] | [eleðiˈfi.sjoesˈal.to]
Spanish::A1::Describing people and things | La calle es larga. | The street is long. | [la ˈka.ʝe ez ˈlaɾ.ɣa] | [laˈka.ʝezˈlaɾ.ɣa]
Spanish::A1::Describing people and things | Estoy enfermo. | I am sick. | [esˈtoi̯ emˈfeɾ.mo] | [ehˈtoi̯emˈfeɾ.mo]
Spanish::A1::Describing people and things | Estoy enferma. | I am sick. (f.) | [esˈtoi̯ emˈfeɾ.ma] | [ehˈtoi̯emˈfeɾ.ma]
Spanish::A1::Describing people and things | Ella es muy inteligente. | She is very intelligent. | [ˈe.ʝa ez ˈmwi in.te.liˈxen.te] | [ˈe.ʝazˈmwiŋteliˈxente]
Spanish::A1::Describing people and things | Él es muy trabajador. | He is very hardworking. | [ˈel ez ˈmwi tɾa.βa.xaˈðoɾ] | [ˈelezˈmwitɾaβaxaˈðoɾ]
Spanish::A1::Describing people and things | Ella es muy trabajadora. | She is very hardworking. (f.) | [ˈe.ʝa ez ˈmwi tɾa.βa.xaˈðo.ɾa] | [ˈe.ʝazˈmwitɾaβaxaˈðo.ɾa]
Spanish::A1::Describing people and things | La habitación está limpia. | The room is clean. | [la a.βi.taˈsjon esˈta ˈlim.pja] | [laaβitaˈsjonehˈtaˈlimpja]
Spanish::A1::Describing people and things | El baño está sucio. | The bathroom is dirty. | [el ˈba.ɲo esˈta ˈsu.sjo] | [elˈba.ɲoehˈtaˈsu.sjo]
Spanish::A1::Describing people and things | Estamos contentos. | We are happy. | [esˈta.mos konˈten.tos] | [ehˈta.moskonˈten.toh]
Spanish::A1::Describing people and things | Los niños están tranquilos. | The children are calm. | [los ˈni.ɲos esˈtan tɾaŋˈki.los] | [lozˈni.ɲosehˈtantɾaŋˈki.loh]
Spanish::A1::Describing people and things | Mi abuelo es viejo. | My grandfather is old. | [mi aˈβwe.lo ez ˈbje.xo] | [mjaˈβwe.lozˈbje.xo]
Spanish::A1::Describing people and things | Mi abuela es vieja. | My grandmother is old. | [mi aˈβwe.la ez ˈbje.xa] | [mjaˈβwe.lazˈbje.xa]
Spanish::A1::Describing people and things | El niño es joven. | The boy is young. | [el ˈni.ɲo ez ˈxo.βen] | [elˈni.ɲozˈxo.βen]
Spanish::A1::Describing people and things | La niña es joven. | The girl is young. | [la ˈni.ɲa ez ˈxo.βen] | [laˈni.ɲazˈxo.βen]
Spanish::A1::Describing people and things | El profesor está enfermo. | The teacher is sick. | [el pɾo.feˈsoɾ esˈta emˈfeɾ.mo] | [elpɾofeˈsoɾehˈtaemˈfeɾ.mo]
Spanish::A1::Describing people and things | La ventana está abierta. | The window is open. | [la benˈta.na esˈta aˈβjeɾ.ta] | [labenˈta.naehˈtaˈβjeɾta]
Spanish::A1::Describing people and things | La puerta está cerrada. | The door is closed. | [la ˈpweɾ.ta esˈta seˈra.ða] | [laˈpweɾ.taehˈtaseˈra.a]
Spanish::A1::Describing people and things | Este libro es difícil. | This book is difficult. | [ˈes.te ˈli.βɾo ez diˈfi.sil] | [ˈehteˈli.βɾozðiˈfi.sil]
Spanish::A1::Describing people and things | Esta lección es fácil. | This lesson is easy. | [ˈes.ta lekˈsjon ez ˈfa.sil] | [ˈehtalekˈsjonezˈfa.sil]
Spanish::A1::Describing people and things | Los estudiantes están cansados. | The students are tired. | [los es.tuˈðjan.tes esˈtan kanˈsa.ðos] | [losestuˈðjan.tesehˈtaŋkanˈsa.oh]
