Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 経済成長率の鈍化が懸念されている。 | There is concern over the slowdown in the economic growth rate. | [ke.i.za.i se.i.tɕoː.ɾi.tsɯ no doɴ.ka ɡa keɴ.neɴ sa.ɾe.te i.ɾɯ] | [keː.za.i seː.tɕoː.ɾi.tsɯ no doɴ.ka ɡa keɴ.neɴ sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 政府は財政再建を最優先課題としている。 | The government has made fiscal reconstruction its top priority. | [se.i.ɸɯ wa za.i.se.i sa.i.keɴ o sa.i.jɯː.seɴ ka.da.i to ɕi.te i.ɾɯ] | [seː.ɸɯ wa za.i.seː sa.i.keɴ o sa.i.jɯː.seɴ ka.da.i to ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 労働生産性の向上が急務とされる。 | Improving labor productivity is considered an urgent task. | [roː.doː se.i.saɴ.se.i no koː.dʑoː ɡa kjɯː.mɯ to sa.ɾe.ɾɯ] | [ɾoː.doː seː.saɴ.seː no koː.dʑoː ɡa kjɯː.mɯ to sa.ɾe.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 少子化対策として育児支援制度が拡充された。 | Childcare support systems were expanded as a countermeasure to the declining birthrate. | [ɕoː.ɕi.ka ta.i.sa.kɯ to ɕi.te i.kɯ.dʑi ɕi.eɴ se.i.do ɡa ka.kɯ.dʑɯː sa.ɾe.ta] | [ɕoː.ɕi.ka ta.i.sa.kɯ to ɕte i.kɯ.dʑi ɕeɴ seː.do ɡa ka.kɯ.dʑɯː sa.ɾe.ta]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 情報漏洩の危険性が指摘されている。 | The risk of information leakage has been pointed out. | [dʑoː.hoː roː.e.i no ki.keɴ.se.i ɡa ɕi.te.ki sa.ɾe.te i.ɾɯ] | [dʑoː.hoː ɾoː.eː no ki.keɴ.seː ɡa ɕte.ki sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 企業の透明性の確保が求められている。 | Ensuring corporate transparency is being demanded. | [ki.ɡjoː no toː.me.i.se.i no ka.kɯ.ho ɡa mo.to.me.ɾa.ɾe.te i.ɾɯ] | [ki.ɡjoː no toː.meː.seː no ka.kɯ.ho ɡa mo.to.me.ɾa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国際情勢の不安定化が貿易に影響を及ぼしている。 | The instability of the international situation is affecting trade. | [ko.kɯ.sa.i dʑoː.se.i no ɸɯ.aɴ.te.i.ka ɡa boː.e.ki ni e.i.kjoː o o.jo.bo.ɕi.te i.ɾɯ] | [ko.kɯ.sa.i dʑoː.seː no ɸɯ.aɴ.teː.ka ɡa boː.eː ni eː.kjoː o o.jo.bo.ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 環境保護と経済発展の両立が課題である。 | Balancing environmental protection and economic development is a challenge. | [kaɴ.kjoː ho.ɡo to ke.i.za.i ha.tteɴ no rjoː.ɾi.tsɯ ɡa ka.da.i de a.ɾɯ] | [kaɴ.kjoː ho.ɡo to keː.za.i ha.tːeɴ no ɾjoː.ɾi.tsɯ ɡa ka.da.i de a.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 高齢化社会における医療制度の改革が急がれる。 | Reform of the medical system in an aging society is urgently needed. | [koː.re.i.ka ɕa.ka.i ni o.ke.ɾɯ i.ɾjoː se.i.do no ka.i.ka.kɯ ɡa i.so.ɡa.ɾe.ɾɯ] | [koː.ɾeː.ka ɕa.ka.i ni o.ke.ɾɯ i.ɾjoː seː.do no ka.i.ka.kɯ ɡa i.so.ɡa.ɾe.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 中央銀行は金融政策の見直しを検討している。 | The central bank is considering a review of monetary policy. | [tɕɯː.oː ɡiɴ.koː wa kiɴ.jɯː se.i.sa.kɯ no mi.na.o.ɕi o keɴ.toː ɕi.te i.ɾɯ] | [tɕɯː.oː ɡiɴ.koː wa kiɴ.jɯː seː.sa.kɯ no mi.na.o.ɕo keɴ.toː ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 地域格差の是正が政策の焦点となっている。 | Correcting regional disparities has become the focus of policy. | [tɕi.i.ki ka.kɯ.sa no ze.se.i ɡa se.i.sa.kɯ no ɕoː.teɴ to na.tte i.ɾɯ] | [tɕiː.ki ka.kɯ.sa no ze.seː ɡa seː.sa.kɯ no ɕoː.teɴ to na.tːe ɾɯ]
