Japanese::N5::Food, shopping & ordering | 水を一杯ください。 | Please give me a glass of water. | [mi.zɯ.o. ꜜ i me.pa.i.kɯ.da.sa.i. ◌̄] | [mi.zɯ.o.i.pa.i.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | これをください。 | I will take this, please. | [ko.ʁe.o. ꜜ kɯ.da.sa.i. ◌̄] | [ko.ʁe.o.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | メニューを見せてください。 | Please show me the menu. | [me.nyɯː.o. ꜜ mi.se.te.kɯ.da.sa.i. ◌̄] | [me.nyɯː.o.mi.se.te.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | お勘定をお願いします。 | Bill, please. | [o.ka.ɴ.tɕyoː.o. ꜜ o.ne.ga.i.ɕi.ma.sɯ̥. ◌̄] | [o.ka.ɴ.tɕyoː.o.o.ne.ɡa.i.ɕi.ma.sɯ]
Japanese::N5::Food, shopping & ordering | りんごを五つ買いました。 | I bought five apples. | [ʁi.ɴ.go.o. ꜜ i.tsɯ.tsɯ.ka.i.ma.ɕi.ta. ◌̄] | [ʁi.ɴ.ɡo.o.i.tsɯ.tsɯ.ka.i.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | これを三つください。 | Please give me three of these. | [ko.ʁe.o. ꜜ mi me.tsɯ.kɯ.da.sa.i. ◌̄] | [ko.ʁe.o.mi.tsɯ.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | このシャツはいくらですか。 | How much is this shirt? | [ko.no.ɕa.tsɯ.ɰa. ꜜ i.kɯ.ʁa.de.sɯ.ka. ◌̄] | [ko.no.ɕa.tsɯ.ɰa.i.kɯ.ʁa.de.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 三千円です。 | It is 3,000 yen. | [sa.ɴ.ze.ɴ.e.ɴ. ꜜ de.sɯ̥. ◌̄] | [sa.ɴ.ze.ɴ.e.ɴ.de.sɯ]
Japanese::N5::Food, shopping & ordering | 全部でいくらですか。 | How much is it in total? | [ze.ɴ.bɯ.de. ꜜ i.kɯ.ʁa.de.sɯ.ka. ◌̄] | [ze.ɴ.bɯ.de.i.kɯ.ʁa.de.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 五千円になります。 | That comes to 5,000 yen. | [go.se.ɴ.e.ɴ.ni. ꜜ na.ʁi.ma.sɯ̥. ◌̄] | [ɡo.se.ɴ.e.ɴ.ni.na.ʁi.ma.sɯ]
Japanese::N5::Food, shopping & ordering | 美味しいラーメンを食べました。 | I ate delicious ramen. | [o.i.ɕiː.ʁaː.me.ɴ.o. ꜜ ta.be.ma.ɕi.ta. ◌̄] | [o.i.ɕiː.ʁaː.me.ɴ.o.ta.be.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | コーヒーを二杯飲みました。 | I drank two cups of coffee. | [koː.çiː.o. ꜜ ni.ha.i.no.mi.ma.ɕi.ta. ◌̄] | [koː.çiː.o.ni.ha.i.no.mi.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | 温かいお茶を飲みます。 | I will drink warm tea. | [a.ta.ta.ka.i.o.tɕa.o. ꜜ no.mi.ma.sɯ̥. ◌̄] | [a.ta.ta.ka.i.o.tɕa.o.no.mi.ma.sɯ]
Japanese::N5::Food, shopping & ordering | いらっしゃいませ。 | Welcome. | [i.ʁa me.ɕya.i.ma.se. ꜜ ◌̄] | [i.ʁa.ɕya.i.ma.se]
Japanese::N5::Food, shopping & ordering | カードで払えますか。 | Can I pay by card? | [kaː.do.de. ꜜ ha.ʁa.e.ma.sɯ.ka. ◌̄] | [kaː.do.de.ha.ʁa.e.ma.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 現金で払います。 | I will pay in cash. | [ge.ɴ.ki.ɴ.de. ꜜ ha.ʁa.i.ma.sɯ̥. ◌̄] | [ɡe.ɴ.ki.ɴ.de.ha.ʁa.i.ma.sɯ]
Japanese::N5::Food, shopping & ordering | この靴を履いてみてもいいですか。 | May I try on these shoes? | [ko.no.kɯ.tsɯ.o. ꜜ ha.i.te.mi.te.mo.iː.de.sɯ.ka. ◌̄] | [ko.no.kɯ.tsɯ.o.ha.i.te.mi.te.mo.iː.de.sɯ.ka]
Japanese::N5::Food, shopping & ordering | もう少し安いものはありますか。 | Do you have something a bit cheaper? | [moː.sɯ.ko.ɕi.ya.sɯ.i.mo.no.ɰa. ꜜ a.ʁi.ma.sɯ.ka. ◌̄] | [moː.sɯ.ko.ɕi.ya.sɯ.i.mo.no.ɰa.a.ʁi.ma.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 大きいサイズはありますか。 | Do you have a larger size? | [oː.kiː.sa.i.zɯ.ɰa. ꜜ a.ʁi.ma.sɯ.ka. ◌̄] | [oː.kiː.sa.i.zɯ.ɰa.a.ʁi.ma.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 白いシャツを買いたいです。 | I want to buy a white shirt. | [ɕi.ʁo.i.ɕa.tsɯ.o. ꜜ ka.i.ta.i.de.sɯ̥. ◌̄] | [ɕi.ʁo.i.ɕa.tsɯ.o.ka.i.ta.i.de.sɯ]
Japanese::N5::Food, shopping & ordering | レジはどこですか。 | Where is the cash register? | [ʁe.ʑi.ɰa. ꜜ do.ko.de.sɯ.ka. ◌̄] | [ʁe.ʑi.ɰa.do.ko.de.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 袋をつけてください。 | Please give me a bag. | [fɯ.kɯ.ʁo.o. ꜜ tsɯ.ke.te.kɯ.da.sa.i. ◌̄] | [fɯ.kɯ.ʁo.o.tsɯ.ke.te.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | 袋はいりません。 | I don't need a bag. | [fɯ.kɯ.ʁo.ɰa. ꜜ i.ʁi.ma.se.ɴ. ◌̄] | [fɯ.kɯ.ʁo.ɰa.i.ʁi.ma.se.ɴ]
