#lang: ja -> en
Japanese::N5::Self-introduction & basic identity | 初めまして。 | How do you do? | [ha.ʑi.me.ma.ɕi.te. ◌̄] | [ha.ʑi.me.ma.ɕi.te]
Japanese::N5::Self-introduction & basic identity | 私は田中です。 | I am Tanaka. | [ɰa.ta.ɕi.ɰa. ꜜ ta.na.ka.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ta.na.ka.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は日本人です。 | I am Japanese. | [ɰa.ta.ɕi.ɰa. ꜜ ni.ho.ɴ.ʑi.ɴ.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ni.ho.ɴ.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は学生です。 | I am a student. | [ɰa.ta.ɕi.ɰa. ꜜ ga.kɯ̥.seː.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ɡa.kɯ̥.seː.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は二十歳です。 | I am twenty years old. | [ɰa.ta.ɕi.ɰa. ꜜ ha.ta.tɕi.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ha.ta.tɕi.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は先生ではありません。 | I am not a teacher. | [ɰa.ta.ɕi.ɰa. ꜜ se.ɴ.seː.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ɰa.ta.ɕi.ɰa.se.ɴ.seː.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Self-introduction & basic identity | あなたは学生ですか。 | Are you a student? | [a.na.ta.ɰa. ꜜ ga.kɯ̥.seː.de.sɯ.ka. ◌̄] | [a.na.ta.ɰa.ɡa.kɯ̥.seː.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | はい、そうです。 | Yes, that's right. | [ha.i. ꜜ soː.de.sɯ̥. ◌̄] | [ha.i.soː.de.sɯ]
Japanese::N5::Self-introduction & basic identity | いいえ、違います。 | No, that's wrong. | [iː.e. ꜜ tɕi.ga.i.ma.sɯ̥. ◌̄] | [iː.e.tɕi.ɡa.i.ma.sɯ]
Japanese::N5::Self-introduction & basic identity | 私はイギリス人です。 | I am British. | [ɰa.ta.ɕi.ɰa. ꜜ i.gi.ʁi.sɯ.ʑi.ɴ.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.i.ɡi.ʁi.sɯ.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は二十五歳です。 | I am twenty-five years old. | [ɰa.ta.ɕi.ɰa. ꜜ ni.ʑuː.go.sa.i.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ni.ʑɯː.ɡo.sa.i.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 名前は何ですか。 | What is your name? | [na.ma.e.ɰa. ꜜ na.ni.de.sɯ.ka. ◌̄] | [na.ma.e.ɰa.na.ɴ.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | 私の名前はキムです。 | My name is Kim. | [ɰa.ta.ɕi.no.na.ma.e.ɰa. ꜜ ki.mɯ.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.no.na.ma.e.ɰa.ki.mɯ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は韓国人です。 | I am Korean. | [ɰa.ta.ɕi.ɰa. ꜜ ka.ɴ.ko.kɯ̥.ʑi.ɴ.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.ka.ɴ.ko.kɯ̥.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は医者ではありません。 | I am not a doctor. | [ɰa.ta.ɕi.ɰa. ꜜ i.ɕa.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ɰa.ta.ɕi.ɰa.i.ɕa.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Self-introduction & basic identity | あの人は誰ですか。 | Who is that person? | [a.no.hi.to.ɰa. ꜜ da.ʁe.de.sɯ.ka. ◌̄] | [a.no.çi.to.ɰa.da.ʁe.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | あの人は鈴木さんです。 | That person is Mr. Suzuki. | [a.no.hi.to.ɰa. ꜜ sɯ.zɯ.ki.sa.ɴ.de.sɯ̥. ◌̄] | [a.no.çi.to.ɰa.sɯ.zɯ.ki.sa.ɴ.de.sɯ]
