#lang: de -> en
German::A1::Greetings & Introductions | Guten Morgen. | Good morning. | [ˈɡuː.tʰən ˈmɔʁ.ɡən] | [ˈɡuː.tn̩ ˈmɔɐ̯.ɡn̩]
German::A1::Greetings & Introductions | Guten Tag. | Good afternoon. | [ˈɡuː.tʰən ˈtʰaːk] | [ˈɡuː.tn̩ ˈtʰaːk]
German::A1::Greetings & Introductions | Guten Abend. | Good evening. | [ˈɡuː.tʰən ˈʔaː.bənt] | [ˈɡuː.tn̩ ˈʔaː.bm̩t]
German::A1::Greetings & Introductions | Gute Nacht. | Good night. | [ˈɡuː.tə ˈnaχt] | [ˈɡuː.tə ˈnaχt]
German::A1::Greetings & Introductions | Hallo! | Hello! | [haˈloː] | [haˈloː]
German::A1::Greetings & Introductions | Hi! | Hi! | [haɪ̯] | [haɪ̯]
German::A1::Greetings & Introductions | Tschüss! | Bye! | [tʃʏs] | [tʃʏs]
German::A1::Greetings & Introductions | Auf Wiedersehen. | Goodbye. | [ˈaʊ̯f ˈviː.dɐ.ˌzeːən] | [ˈaʊ̯f ˈviː.dɐ.zeːn]
German::A1::Greetings & Introductions | Bis später. | See you later. | [bɪs ˈʃpɛː.tɐ] | [bɪs ˈʃpɛː.tɐ]
German::A1::Greetings & Introductions | Bis bald. | See you soon. | [bɪs balt] | [bɪs balt]
German::A1::Greetings & Introductions | Wie geht es dir? | How are you? | [viː ˈɡeːt ʔɛs ˈdiːɐ̯] | [vi ˈɡeːts dɪɐ̯]
German::A1::Greetings & Introductions | Wie geht es Ihnen? | How are you? (formal) | [viː ˈɡeːt ʔɛs ˈʔiː.nən] | [vi ˈɡeːts ˈʔiː.nən]
German::A1::Greetings & Introductions | Mir geht es gut. | I am fine. | [miːɐ̯ ˈɡeːt ʔɛs ˈɡuːt] | [miɐ̯ ˈɡeːts ɡuːt]
German::A1::Greetings & Introductions | Mir geht es schlecht. | I am not well. | [miːɐ̯ ˈɡeːt ʔɛs ˈʃlɛçt] | [miɐ̯ ˈɡeːts ʃlɛçt]
German::A1::Greetings & Introductions | Es geht mir gut, danke. | I'm fine, thanks. | [ʔɛs ˈɡeːt miːɐ̯ ˈɡuːt ˈdaŋ.kə] | [ɛs ˈɡeːt miɐ̯ ɡuːt ˈdaŋ.kə]
German::A1::Greetings & Introductions | Und dir? | And you? | [ʔʊnt ˈdiːɐ̯] | [ʊn dɪɐ̯]
German::A1::Greetings & Introductions | Und Ihnen? | And you? (formal) | [ʔʊnt ˈʔiː.nən] | [ʊn ˈʔiː.nən]
German::A1::Greetings & Introductions | Wie heißt du? | What is your name? | [viː ˈhaɪ̯st duː] | [vi ˈhaɪ̯st.tu]
German::A1::Greetings & Introductions | Wie heißen Sie? | What is your name? (formal) | [viː ˈhaɪ̯.sən ziː] | [vi ˈhaɪ̯.sn̩ zi]
German::A1::Greetings & Introductions | Ich heiße Anna. | My name is Anna. | [ʔɪç ˈhaɪ̯.sə ˈʔa.na] | [ɪç ˈhaɪ̯.sə ˈʔa.na]
German::A1::Greetings & Introductions | Ich heiße Thomas. | My name is Thomas. | [ʔɪç ˈhaɪ̯.sə ˈtʰoː.mas] | [ɪç ˈhaɪ̯.sə ˈtʰoː.mas]
German::A1::Greetings & Introductions | Wie heißt er? | What is his name? | [viː ˈhaɪ̯st ʔeːɐ̯] | [vi ˈhaɪ̯sɐ]
German::A1::Greetings & Introductions | Er heißt Paul. | His name is Paul. | [ʔeːɐ̯ ˈhaɪ̯st pʰaʊ̯l] | [ɐ ˈhaɪ̯st pʰaʊ̯l]
German::A1::Greetings & Introductions | Wie heißt sie? | What is her name? | [viː ˈhaɪ̯st ziː] | [vi ˈhaɪ̯st.si]
German::A1::Greetings & Introductions | Sie heißt Maria. | Her name is Maria. | [ziː ˈhaɪ̯st maˈʁiː.a] | [zi ˈhaɪ̯st maˈʁiː.a]
German::A1::Greetings & Introductions | Ich bin Anna. | I am Anna. | [ʔɪç bɪn ˈʔa.na] | [ɪç bɪn ˈʔa.na]
German::A1::Greetings & Introductions | Ich bin Student. | I am a student. | [ʔɪç bɪn ʃtʰʊˈdɛnt] | [ɪç bɪn ʃtʰʊˈdɛnt]
German::A1::Greetings & Introductions | Ich bin Studentin. | I am a student. (female) | [ʔɪç bɪn ʃtʰʊˈdɛn.tʰɪn] | [ɪç bɪn ʃtʰʊˈdɛn.tʰɪn]
German::A1::Greetings & Introductions | Du bist nett. | You are nice. | [duː bɪst nɛt] | [du bɪs(t) nɛt]
German::A1::Greetings & Introductions | Er ist groß. | He is tall. | [ʔeːɐ̯ ʔɪst ɡʁoːs] | [ɐ ɪst ɡʁoːs]
German::A1::Greetings & Introductions | Sie ist klein. | She is small. | [ziː ʔɪst klaɪ̯n] | [zi ɪst klaɪ̯n]
German::A1::Greetings & Introductions | Es ist schön. | It is nice. | [ʔɛs ʔɪst ʃøːn] | [ɛs ɪst ʃøːn]
German::A1::Greetings & Introductions | Wir sind Freunde. | We are friends. | [viːɐ̯ zɪnt ˈfʁɔɪ̯n.də] | [viɐ̯ zɪnt ˈfʁɔɪ̯n.də]
German::A1::Greetings & Introductions | Ihr seid nett. | You (pl.) are nice. | [ʔiːɐ̯ zaɪ̯t nɛt] | [iɐ̯ zaɪ̯t nɛt]
German::A1::Greetings & Introductions | Sie sind Kollegen. | They are colleagues. | [ziː zɪnt kʰɔˈleː.ɡən] | [zi zɪnt kʰɔˈleː.ɡn̩]
German::A1::Greetings & Introductions | Sind Sie Herr Müller? | Are you Mr. Müller? | [zɪnt ziː ˈhɛʁ ˈmʏ.lɐ] | [zɪn(t) si ˈhɛʁ ˈmʏ.lɐ]
German::A1::Greetings & Introductions | Ja, ich bin Herr Müller. | Yes, I am Mr. Müller. | [jaː ʔɪç bɪn ˈhɛʁ ˈmʏ.lɐ] | [ja ɪç bɪn ˈhɛʁ ˈmʏ.lɐ]
German::A1::Greetings & Introductions | Nein, ich bin nicht Herr Müller. | No, I am not Mr. Müller. | [naɪ̯n ʔɪç bɪn nɪçt ˈhɛʁ ˈmʏ.lɐ] | [naɪ̯n ɪç bɪn nɪç ˈhɛʁ ˈmʏ.lɐ]
German::A1::Greetings & Introductions | Ich habe eine Frage. | I have a question. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈfʁaː.ɡə] | [ɪç ˈhaː.bə ˈnaɪ̯.nə ˈfʁaː.ɡə]
German::A1::Greetings & Introductions | Du hast Zeit. | You have time. | [duː hast tsaɪ̯t] | [du has(t) tsaɪ̯t]
German::A1::Greetings & Introductions | Er hat einen Bruder. | He has a brother. | [ʔeːɐ̯ hat ˈʔaɪ̯.nən ˈbʁuː.dɐ] | [ɐ hat ˈnaɪ̯.nən ˈbʁuː.dɐ]
German::A1::Greetings & Introductions | Sie hat eine Schwester. | She has a sister. | [ziː hat ˈʔaɪ̯.nə ˈʃvɛs.tɐ] | [zi hat ˈnaɪ̯.nə ˈʃvɛs.tɐ]
German::A1::Greetings & Introductions | Wir haben Freunde. | We have friends. | [viːɐ̯ ˈhaː.bən ˈfʁɔɪ̯n.də] | [viɐ̯ ˈhaː.bm̩ ˈfʁɔɪ̯n.də]
German::A1::Greetings & Introductions | Ihr habt eine Idee. | You (pl.) have an idea. | [ʔiːɐ̯ hapt ˈʔaɪ̯.nə ʔiˈdeː] | [iɐ̯ hap ˈnaɪ̯.nə ʔiˈdeː]
German::A1::Greetings & Introductions | Sie haben ein Auto. | They have a car. | [ziː ˈhaː.bən ʔaɪ̯n ˈʔaʊ̯.tʰo] | [zi ˈhaː.bm̩ ʔaɪ̯n ˈʔaʊ̯.tʰo]
German::A1::Greetings & Introductions | Haben Sie Zeit? | Do you have time? | [ˈhaː.bən ziː tsaɪ̯t] | [ˈhaː.bm̩ zi tsaɪ̯t]
German::A1::Greetings & Introductions | Woher kommst du? | Where are you from? | [voˈheːɐ̯ kʰɔmst duː] | [voˈheːɐ̯ kʰɔms.tu]
German::A1::Greetings & Introductions | Ich komme aus Deutschland. | I come from Germany. | [ʔɪç ˈkʰɔ.mə ʔaʊ̯s ˈdɔʏ̯tʃ.lant] | [ɪç ˈkʰɔ.mə aʊ̯s ˈdɔʏ̯tʃ.lant]
German::A1::Greetings & Introductions | Ich komme aus England. | I come from England. | [ʔɪç ˈkʰɔ.mə ʔaʊ̯s ˈʔɛŋ.lant] | [ɪç ˈkʰɔ.mə aʊ̯s ˈʔɛŋ.lant]
German::A1::Greetings & Introductions | Woher kommen Sie? | Where do you come from? (formal) | [voˈheːɐ̯ ˈkʰɔ.mən ziː] | [voˈheːɐ̯ ˈkʰɔ.mən zi]
German::A1::Greetings & Introductions | Ich komme aus Berlin. | I come from Berlin. | [ʔɪç ˈkʰɔ.mə ʔaʊ̯s bɛɐ̯ˈliːn] | [ɪç ˈkʰɔ.mə aʊ̯s bɛɐ̯ˈliːn]
German::A1::Greetings & Introductions | Wo wohnst du? | Where do you live? | [voː voːnst duː] | [vo voːns.tu]
German::A1::Greetings & Introductions | Ich wohne in München. | I live in Munich. | [ʔɪç ˈvoː.nə ʔɪn ˈmʏn.çən] | [ɪç ˈvoː.nə ɪn ˈmʏn.çn̩]
German::A1::Greetings & Introductions | Wo wohnen Sie? | Where do you live? (formal) | [voː ˈvoː.nən ziː] | [vo ˈvoː.nən zi]
German::A1::Greetings & Introductions | Das ist mein Freund. | This is my friend. | [das ʔɪst maɪ̯n fʁɔɪ̯nt] | [das ɪst maɪ̯n fʁɔɪ̯nt]
German::A1::Greetings & Introductions | Das ist meine Freundin. | This is my (female) friend. | [das ʔɪst ˈmaɪ̯.nə ˈfʁɔɪ̯n.dɪn] | [das ɪst ˈmaɪ̯.nə ˈfʁɔɪ̯n.dɪn]
German::A1::Greetings & Introductions | Das sind meine Eltern. | These are my parents. | [das zɪnt ˈmaɪ̯.nə ˈʔɛl.tɐn] | [das zɪnt ˈmaɪ̯.nə ˈʔɛl.tɐn]
German::A1::Greetings & Introductions | Freut mich. | Nice to meet you. | [fʁɔɪ̯t mɪç] | [fʁɔɪ̯t mɪç]
German::A1::Greetings & Introductions | Freut mich auch. | Nice to meet you too. | [fʁɔɪ̯t mɪç ʔaʊ̯χ] | [fʁɔɪ̯t mɪç aʊ̯χ]
German::A1::Greetings & Introductions | Schön, dich kennenzulernen. | Nice to meet you. | [ʃøːn dɪç ˈkʰɛ.nən.tsuː.ˌlɛɐ̯.nən] | [ʃøːn dɪç ˈkʰɛ.nən.tsu.ˌlɛɐ̯.nən]
