German::A1::Work & School | Ich arbeite in einem Büro. | I work in an office. | [ʔɪç ˈʔaʁ.baɪ̯.tə ʔɪn ˈʔaɪ̯.nəm byˈʁoː] | [ɪç ˈaɐ̯baɪ̯tə‿n ˈaɪ̯nəm byˈʁoː]
German::A1::Work & School | Was ist dein Beruf? | What is your job? | [vas ʔɪst daɪ̯n bəˈʁuːf] | [va.zɪst daɪ̯n bəˈʁuːf]
German::A1::Work & School | Ich bin Lehrer von Beruf. | I am a teacher by profession. | [ʔɪç bɪn ˈleː.ʁɐ fɔn bəˈʁuːf] | [ɪç bɪn ˈleːʁɐ fɔn bəˈʁuːf]
German::A1::Work & School | Sie arbeitet als Ärztin. | She works as a doctor. | [ziː ˈʔaʁ.baɪ̯.tət ʔals ˈʔɛːɐ̯ts.tɪn] | [zi ˈaɐ̯baɪ̯tət als ˈɛːɐ̯tstɪn]
German::A1::Work & School | Er ist Ingenieur. | He is an engineer. | [ʔeːɐ̯ ʔɪst ʔɪn.ʒeˈnjøːɐ̯] | [ɛɐ̯s ɪnʒeˈnjøːɐ̯]
German::A1::Work & School | Ich gehe jeden Tag zur Arbeit. | I go to work every day. | [ʔɪç ˈɡeː.ə ˈjeː.dn̩ tʰaːk tsuːɐ̯ ˈʔaʁ.baɪ̯t] | [ɪç ˈɡeːə ˈjeːdn̩ taːk tsuɐ̯ ˈaɐ̯baɪ̯t]
German::A1::Work & School | Die Arbeit beginnt um acht Uhr. | Work starts at eight o'clock. | [diː ˈʔaʁ.baɪ̯t bəˈɡɪnt ʔʊm ʔaxt ʔuːɐ̯] | [di ˈaɐ̯baɪ̯t bəˈɡɪnt ʊm‿axt uːɐ̯]
German::A1::Work & School | Ich glaube, dass die Arbeit interessant ist. | I believe that the work is interesting. | [ʔɪç ˈɡlaʊ̯.bə das diː ˈʔaʁ.baɪ̯t ʔɪn.tʰə.ʁɛˈsant ʔɪst] | [ɪç ˈɡlaʊ̯bə das di ˈaɐ̯baɪ̯t ɪntəʁɛˈsant ɪst]
German::A1::Work & School | Er sagt, dass er müde ist. | He says that he is tired. | [ʔeːɐ̯ zaːkt das ʔeːɐ̯ ˈmyː.də ʔɪst] | [ɛɐ̯ zaːkt das ɛɐ̯ ˈmyːdə‿s]
German::A1::Work & School | Ich weiß, dass du viel arbeitest. | I know that you work a lot. | [ʔɪç vaɪ̯s das duː fiːl ˈʔaʁ.baɪ̯.təst] | [ɪç vaɪ̯s das du fiːl ˈaɐ̯baɪ̯təs]
German::A1::Work & School | Sie denkt, dass der Chef nett ist. | She thinks that the boss is nice. | [ziː dɛŋkt das deːɐ̯ ʃɛf nɛt ʔɪst] | [zi dɛŋkt das dɛɐ̯ ʃɛf nɛt‿s]
German::A1::Work & School | Ich bin müde, weil ich viel arbeite. | I am tired because I work a lot. | [ʔɪç bɪn ˈmyː.də vaɪ̯l ʔɪç fiːl ˈʔaʁ.baɪ̯.tə] | [ɪç bɪn ˈmyːdə vaɪ̯l‿ɪç fiːl ˈaɐ̯baɪ̯tə]
German::A1::Work & School | Er bleibt zu Hause, weil er krank ist. | He stays at home because he is sick. | [ʔeːɐ̯ blaɪ̯pt tsuː ˈhaʊ̯.zə vaɪ̯l ʔeːɐ̯ kʁaŋk ʔɪst] | [ɛɐ̯ blaɪ̯pt tsu ˈhaʊ̯zə vaɪ̯l‿ɛɐ̯ kʁaŋk‿s]
German::A1::Work & School | Wir lernen Deutsch, weil wir nach Deutschland reisen wollen. | We learn German because we want to travel to Germany. | [viːɐ̯ ˈlɛʁ.nən dɔʏ̯tʃ vaɪ̯l viːɐ̯ naːx ˈdɔʏ̯tʃ.lant ˈʁaɪ̯.zn̩ ˈvɔ.lən] | [viɐ̯ ˈlɛɐ̯nən dɔʏ̯tʃ vaɪ̯l‿viɐ̯ nax ˈdɔʏ̯tʃlant ˈʁaɪ̯zn̩ ˈvɔlŋ̍]
German::A1::Work & School | Sie geht zur Schule, weil sie lernen möchte. | She goes to school because she wants to learn. | [ziː ɡeːt tsuːɐ̯ ˈʃuː.lə vaɪ̯l ziː ˈlɛʁ.nən ˈmœç.tə] | [zi ɡeːt tsuɐ̯ ˈʃuːlə vaɪ̯l zi ˈlɛɐ̯nən ˈmœçtə]
German::A1::Work & School | Ich habe eine Pause, weil ich müde bin. | I have a break because I am tired. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈpaʊ̯.zə vaɪ̯l ʔɪç ˈmyː.də bɪn] | [ɪç ˈhaːbə‿n ˈpaʊ̯zə vaɪ̯l‿ɪç ˈmyːdə bɪn]
German::A1::Work & School | Mein Kollege sagt, dass das Meeting lang ist. | My colleague says that the meeting is long. | [maɪ̯n kʰɔˈleː.ɡə zaːkt das das ˈmiː.tɪŋ laŋ ʔɪst] | [maɪ̯n kɔˈleːɡə zaːkt das das ˈmiːtɪŋ laŋ‿s]
German::A1::Work & School | Ich denke, dass die Prüfung schwer ist. | I think that the exam is difficult. | [ʔɪç ˈdɛŋ.kə das diː ˈpʁyː.fʊŋ ʃveːɐ̯ ʔɪst] | [ɪç ˈdɛŋkə das di ˈpʁyːfʊŋ ʃveɐ̯‿s]
German::A1::Work & School | Die Schule beginnt um acht Uhr. | School starts at eight o'clock. | [diː ˈʃuː.lə bəˈɡɪnt ʔʊm ʔaxt ʔuːɐ̯] | [di ˈʃuːlə bəˈɡɪnt ʊm‿axt uːɐ̯]
German::A1::Work & School | Ich gehe in die vierte Klasse. | I am in the fourth class. | [ʔɪç ˈɡeː.ə ʔɪn diː ˈfiːɐ̯.tə ˈkʰla.sə] | [ɪç ˈɡeːə‿n di ˈfiɐ̯tə ˈklasə]
German::A1::Work & School | Mein Lieblingsfach ist Mathematik. | My favourite subject is mathematics. | [maɪ̯n ˈliːp.lɪŋs.fax ʔɪst ma.te.maˈtʰiːk] | [maɪ̯n ˈliːplɪŋsfax‿s mateˈmatiːk]
