Japanese::N5::Desire & intention | 日本へ行きたいです。 | I want to go to Japan. | [ni.ho.ɴ.e i.ki.ta.i.de.sɯ̥] | [nihoɴ e ikʲtai de͍sᶍ]
Japanese::N5::Desire & intention | 水が飲みたいです。 | I want to drink water. | [mi.zɯ.ɡa no.mi.ta.i.de.sɯ̥] | [miz ŋa nomitai de͍sᶍ]
Japanese::N5::Desire & intention | 何が食べたいですか。 | What do you want to eat? | [na.ni.ɡa ta.be.ta.i.de.sɯ.ka] | [nani ŋa tabetai de͍sᶍ ka]
Japanese::N5::Desire & intention | 今日は何もしたくないです。 | I do not want to do anything today. | [kʲoː.ɰa na.ni.mo ɕi.ta.kɯ.na.i.de.sɯ̥] | [kʲoːβa nanimo ɕitak na i de͍sᶍ]
Japanese::N5::Desire & intention | 一緒に図書館へ行きましょう。 | Let us go to the library together. | [i.ʔ.ɕo.ni to.ɕo.ka.ɴ.e i.ki.ma.ɕoː] | [i t ɕoni toɕokaɴ e ikʲimaɕoː]
Japanese::N5::Desire & intention | ちょっと休みましょう。 | Let us rest for a short while. | [cho.ʔ.to ja.sɯ.mi.ma.ɕoː] | [tɕo t to jasɯmimaɕoː]
Japanese::N5::Desire & intention | 一緒に昼ご飯を食べませんか。 | Would you like to eat lunch together? | [i.ʔ.ɕo.ni hi.ɾɯ.ɡo.ha.ɴ.o ta.be.ma.se.ɴ.ka] | [i t ɕoni hiɾɯŋohaɴ o tabemaseɴ ka]
Japanese::N5::Desire & intention | コーヒーを飲みませんか。 | Would you like to drink some coffee? | [koː.hiː.o no.mi.ma.se.ɴ.ka] | [koːhiː o nomimaseɴ ka]
Japanese::N5::Desire & intention | 今週末、映画を見に行きたいです。 | I want to go and watch a film this weekend. | [ko.ɴ.ɕɯː.ma.tsɯ eː.ɡa.o mi.ni i.ki.ta.i.de.sɯ̥] | [koɴɕɯːmats eːŋa o mini ikʲtai de͍sᶍ]
Japanese::N5::Desire & intention | デパートへ買い物に行きましょう。 | Let us go shopping at the department store. | [de.paː.to.e ka.i.mo.no.ni i.ki.ma.ɕoː] | [depaːto e kaimono ni ikʲimaɕoː]
Japanese::N5::Desire & intention | 新しい服を買いに行きたいです。 | I want to go to buy new clothes. | [a.ta.ra.ɕi.i fɯ.kɯ.o ka.i.ni i.ki.ta.i.de.sɯ̥] | [ataɾaɕiː ɸɯk o kai ni ikʲtai de͍sᶍ]
