English::A1::Requests & offers | Can I have a glass of water, please? | هل يمكنني الحصول على كوب من الماء، من فضلك؟ | [ˈkʰæn ˈaɪ̯ ˈhæv ə ˈɡlɑːs ɒv ˈwɔː.tʰə ˈpʰliːz] | [kən aɪ̯ ˈhæv ə ˈɡlɑːs əv ˈwɔː.tʰə ˈpʰliːz]
English::A1::Requests & offers | Could you help me with this bag? | هل يمكنك مساعدتي في هذه الحقيبة؟ | [ˈkʰʊd jʊ ˈhɛlp miː wɪð ˈðɪs ˈbæɡ] | [kəd jə ˈhɛlp mi wɪð ðɪs ˈbæɡ]
English::A1::Requests & offers | Would you like a cup of tea? | هل ترغب في فنجان من الشاي؟ | [ˈwʊd jʊ ˈlaɪ̯k ə ˈkʰʌp ɒv ˈtʰiː] | [wəd jə ˈlaɪ̯k ə ˈkʰʌp əv ˈtʰiː]
English::A1::Requests & offers | Yes, please. I would like some tea. | نعم، من فضلك. أرغب في بعض الشاي. | [ˈjɛs ˈpʰliːz ˈaɪ̯ ˈwʊd ˈlaɪ̯k sʌm ˈtʰiː] | [jɛs ˈpʰliːz aɪ̯ d ˈlaɪ̯k səm ˈtʰiː]
English::A1::Requests & offers | Can you open the window, please? | هل يمكنك فتح النافذة، من فضلك؟ | [ˈkʰæn jʊ ˈəʊ̯.pʰən ðə ˈwɪn.dəʊ̯ ˈpʰliːz] | [kən jə ˈəʊ̯.pʰən ðə ˈwɪn.dəʊ̯ ˈpʰliːz]
English::A1::Requests & offers | Could I use your pen? | هل يمكنني استخدام قلمك؟ | [ˈkʰʊd ˈaɪ̯ ˈjuːz jɔː ˈpʰɛn] | [kəd aɪ̯ ˈjuːz jə ˈpʰɛn]
English::A1::Requests & offers | Would you like some cake? | هل ترغب في بعض الكعك؟ | [ˈwʊd jʊ ˈlaɪ̯k sʌm ˈkʰeɪ̯k] | [wəd jə ˈlaɪ̯k səm ˈkʰeɪ̯k]
English::A1::Requests & offers | No, thank you. I am full. | لا، شكراً لك. أنا شبعان. | [ˈnəʊ̯ ˈθæŋk jʊ ˈaɪ̯ ˈæm ˈfʊl] | [nəʊ̯ ˈθæŋk jə aɪ̯ m ˈfʊl]
English::A1::Requests & offers | Can I see the menu, please? | هل يمكنني رؤية قائمة الطعام، من فضلك؟ | [ˈkʰæn ˈaɪ̯ ˈsiː ðə ˈmɛn.juː ˈpʰliːz] | [kən aɪ̯ ˈsiː ðə ˈmɛn.juː ˈpʰliːz]
English::A1::Requests & offers | Could you speak slowly, please? | هل يمكنك التحدث ببطء، من فضلك؟ | [ˈkʰʊd jʊ ˈspiːk ˈsləʊ̯.li ˈpʰliːz] | [kəd jə ˈspiːk ˈsləʊ̯.li ˈpʰliːz]
English::A1::Requests & offers | I would like a coffee with milk. | أرغب في قهوة مع حليب. | [ˈaɪ̯ ˈwʊd ˈlaɪ̯k ə ˈkʰɒf.i wɪð ˈmɪlk] | [aɪ̯ d ˈlaɪ̯k ə ˈkʰɒf.i wɪð ˈmɪlk]
English::A1::Requests & offers | Would you like some help? | هل ترغب في بعض المساعدة؟ | [ˈwʊd jʊ ˈlaɪ̯k sʌm ˈhɛlp] | [wəd jə ˈlaɪ̯k səm ˈhɛlp]
English::A1::Requests & offers | Can you pass the salt, please? | هل يمكنك تمرير الملح، من فضلك؟ | [ˈkʰæn jʊ ˈpʰɑːs ðə ˈsɔːlt ˈpʰliːz] | [kən jə ˈpʰɑːs ðə ˈsɔːlt ˈpʰliːz]
English::A1::Requests & offers | Could we have the bill, please? | هل يمكننا الحصول على الفاتورة، من فضلك؟ | [ˈkʰʊd ˈwiː ˈhæv ðə ˈbɪl ˈpʰliːz] | [kəd wi ˈhæv ðə ˈbɪl ˈpʰliːz]
English::A1::Requests & offers | Would you like to sit down? | هل ترغب في الجلوس؟ | [ˈwʊd jʊ ˈlaɪ̯k tʰʊ ˈsɪt ˈdaʊ̯n] | [wəd jə ˈlaɪ̯k tə ˈsɪt ˈdaʊ̯n]
English::A1::Requests & offers | Can I carry this for you? | هل يمكنني حمل هذا عنك؟ | [ˈkʰæn ˈaɪ̯ ˈkʰæɹ.i ˈðɪs fɔː jʊ] | [kən aɪ̯ ˈkʰæɹ.i ðɪs fə jə]
English::A1::Requests & offers | Could you close the door, please? | هل يمكنك إغلاق الباب، من فضلك؟ | [ˈkʰʊd jʊ ˈkləʊ̯z ðə ˈdɔː ˈpʰliːz] | [kəd jə ˈkləʊ̯z ðə ˈdɔː ˈpʰliːz]
English::A1::Requests & offers | She would like an apple juice. | هي ترغب في عصير تفاح. | [ˈʃiː ˈwʊd ˈlaɪ̯k æn ˈæp.l̩ ˈd͡ʒuːs] | [ʃi d ˈlaɪ̯k ən ˈæp.l̩ ˈd͡ʒuːs]
English::A1::Requests & offers | Would you like another biscuit? | هل ترغب في قطعة بسكويت أخرى؟ | [ˈwʊd jʊ ˈlaɪ̯k əˈnʌð.ə ˈbɪs.kʰɪt] | [wəd jə ˈlaɪ̯k əˈnʌð.ə ˈbɪs.kʰɪt]
English::A1::Requests & offers | Can I sit here? | هل يمكنني الجلوس هنا؟ | [ˈkʰæn ˈaɪ̯ ˈsɪt ˈhɪə̯] | [kən aɪ̯ ˈsɪt ˈhɪə̯]
English::A1::Requests & offers | Yes, of course you can. | نعم، بالطبع يمكنك. | [ˈjɛs ɒv ˈkʰɔːs jʊ ˈkʰæn] | [jɛs əv ˈkʰɔːs jə kən]
English::A1::Requests & offers | Could you repeat that, please? | هل يمكنك تكرار ذلك، من فضلك؟ | [ˈkʰʊd jʊ ɹɪˈpʰiːt ˈðæt ˈpʰliːz] | [kəd jə ɹɪˈpʰiːt ðæt ˈpʰliːz]
English::A1::Requests & offers | He would like a sandwich. | هو يرغب في شطيرة. | [ˈhiː ˈwʊd ˈlaɪ̯k ə ˈsæn.wɪd͡ʒ] | [hi d ˈlaɪ̯k ə ˈsæn.wɪd͡ʒ]
English::A1::Requests & offers | Would you like to go to the park? | هل ترغب في الذهاب إلى الحديقة؟ | [ˈwʊd jʊ ˈlaɪ̯k tʰʊ ˈɡəʊ̯ tʰʊ ðə ˈpʰɑːk] | [wəd jə ˈlaɪ̯k tə ˈɡəʊ̯ tə ðə ˈpʰɑːk]
English::A1::Requests & offers | Can you call me later? | هل يمكنك الاتصال بي لاحقاً؟ | [ˈkʰæn jʊ ˈkʰɔːl miː ˈleɪ̯.tʰə] | [kən jə ˈkʰɔːl mi ˈleɪ̯.tʰə]
English::A1::Requests & offers | Could I get a ticket to London? | هل يمكنني الحصول على تذكرة إلى لندن؟ | [ˈkʰʊd ˈaɪ̯ ˈɡɛt ə ˈtʰɪk.ɪt tʰʊ ˈlʌn.dən] | [kəd aɪ̯ ˈɡɛt ə ˈtʰɪk.ɪt tə ˈlʌn.dən]
English::A1::Requests & offers | What would you like to drink? | ماذا ترغب أن تشرب؟ | [ˈwɒt ˈwʊd jʊ ˈlaɪ̯k tʰʊ ˈdɹɪŋk] | [wɒt wəd jə ˈlaɪ̯k tə ˈdɹɪŋk]
English::A1::Requests & offers | I would like some water, please. | أرغب في بعض الماء، من فضلك. | [ˈaɪ̯ ˈwʊd ˈlaɪ̯k sʌm ˈwɔː.tʰə ˈpʰliːz] | [aɪ̯ d ˈlaɪ̯k səm ˈwɔː.tʰə ˈpʰliːz]
English::A1::Requests & offers | Can you give me that book? | هل يمكنك إعطائي ذلك الكتاب؟ | [ˈkʰæn jʊ ˈɡɪv miː ˈðæt ˈbʊk] | [kən jə ˈɡɪv mi ðæt ˈbʊk]
English::A1::Requests & offers | Could you tell me the time, please? | هل يمكنك إخباري بالوقت، من فضلك؟ | [ˈkʰʊd jʊ ˈtʰɛl miː ðə ˈtʰaɪ̯m ˈpʰliːz] | [kəd jə ˈtʰɛl mi ðə ˈtʰaɪ̯m ˈpʰliːz]
