#lang: en -> ar
English::A1::Greetings & introductions | Hello. | مرحباً. | [hə.ˈləʊ̯] | [hə.ˈləʊ̯]
English::A1::Greetings & introductions | Good morning. | صباح الخير. | [ˌɡʊd ˈmɔː.nɪŋ] | [ˌɡʊb ˈmɔː.nɪŋ]
English::A1::Greetings & introductions | Good afternoon. | مساء الخير (بعد الظهر). | [ˌɡʊd ˌɑːf.tə.ˈnuːn] | [ˌɡʊd ˌɑːf.tə.ˈnuːn]
English::A1::Greetings & introductions | Good evening. | مساء الخير. | [ˌɡʊd ˈiːv.nɪŋ] | [ˌɡʊd ˈiːv.nɪŋ]
English::A1::Greetings & introductions | Good night. | تصبح على خير. | [ˌɡʊd ˈnaɪ̯t] | [ˌɡʊk ˈnaɪ̯t̚]
English::A1::Greetings & introductions | Goodbye. | مع السلامة. | [ˌɡʊd.ˈbaɪ̯] | [ˌɡəb.ˈbaɪ̯]
English::A1::Greetings & introductions | Bye. | مع السلامة. | [baɪ̯] | [baɪ̯]
English::A1::Greetings & introductions | How are you? | كيف حالك؟ | [haʊ̯ ɑː j uː] | [haʊ̯ ə jə]
English::A1::Greetings & introductions | I am fine. | أنا بخير. | [aɪ̯ æm faɪ̯n] | [aɪ̯m faɪ̯n]
English::A1::Greetings & introductions | I am well. | أنا بصحة جيدة. | [aɪ̯ æm wɛl] | [aɪ̯m wɛl]
English::A1::Greetings & introductions | Thank you. | شكراً لك. | [ˈθæŋk j uː] | [ˈθæŋk jə]
English::A1::Greetings & introductions | Thanks. | شكراً. | [θæŋks] | [θæŋks]
English::A1::Greetings & introductions | You are welcome. | على الرحب والسعة. | [j uː ɑː ˈwɛl.kəm] | [jɔː ˈwɛl.kəm]
English::A1::Greetings & introductions | My name is John. | اسمي جون. | [maɪ̯ neɪ̯m ɪz dʒɒn] | [maɪ̯ neɪ̯m ɪz dʒɒn]
English::A1::Greetings & introductions | What is your name? | ما اسمك؟ | [wɒt ɪz jɔː neɪ̯m] | [wɒts jə neɪ̯m]
English::A1::Greetings & introductions | Nice to meet you. | سررت بلقائك. | [naɪ̯s t ə miːt j uː] | [naɪ̯s tə miːtʃ uː]
English::A1::Greetings & introductions | Pleased to meet you. | يسعدني لقاؤك. | [pliːzd t ə miːt j uː] | [pliːzd tə miːtʃ uː]
English::A1::Greetings & introductions | This is Mary. | هذه ماري. | [ðɪs ɪz ˈmɛː.ɹi] | [ðɪs ɪz ˈmɛː.ɹi]
English::A1::Greetings & introductions | He is a student. | هو طالب. | [hiː ɪz ə ˈstjuː.dnt] | [hiːz ə ˈstjuː.dnt]
English::A1::Greetings & introductions | She is a teacher. | هي معلمة. | [ʃiː ɪz ə ˈtiː.tʃə] | [ʃiːz ə ˈtiː.tʃə]
English::A1::Greetings & introductions | We are friends. | نحن أصدقاء. | [wiː ɑː frɛndz] | [wɪə frɛndz]
English::A1::Greetings & introductions | They are here. | هم هنا. | [ðeɪ̯ ɑː hɪə] | [ðɛə hɪə]
English::A1::Greetings & introductions | Are you English? | هل أنت إنكليزي؟ | [ɑː j uː ˈɪŋ.ɡlɪʃ] | [ə jə ˈɪŋ.ɡlɪʃ]
English::A1::Greetings & introductions | Yes, I am. | نعم، أنا كذلك. | [jɛs aɪ̯ æm] | [jɛs aɪ̯ æm]
English::A1::Greetings & introductions | No, I am not. | لا، لست كذلك. | [nəʊ̯ aɪ̯ æm nɒt] | [nəʊ̯ aɪ̯m nɒt]
English::A1::Greetings & introductions | How is it going? | كيف تسير الأمور؟ | [haʊ̯ ɪz ɪt ˈɡəʊ̯.ɪŋ] | [haʊ̯z ɪt ˈɡəʊ̯.ɪŋ]
English::A1::Greetings & introductions | See you later. | أراك لاحقاً. | [siː j uː ˈleɪ̯.tə] | [siː jə ˈleɪ̯.tə]
English::A1::Greetings & introductions | See you tomorrow. | أراك غداً. | [siː j uː tə.ˈmɒ.ɹəʊ̯] | [siː jə tə.ˈmɒ.ɹəʊ̯]
English::A1::Greetings & introductions | Have a nice day. | أتمنى لك يوماً لطيفاً. | [hæv ə naɪ̯s deɪ̯] | [hæv ə naɪ̯s deɪ̯]
English::A1::Greetings & introductions | Welcome. | أهلاً بك. | [ˈwɛl.kəm] | [ˈwɛl.kəm]
