German::A1::Hobbies & Free Time | Was ist dein Hobby? | What is your hobby? | [vas ʔɪst daɪ̯n ˈhɔ.bi] | [va.zɪs daɪ̯n ˈhɔ.bi]
German::A1::Hobbies & Free Time | Mein Hobby ist Fußball. | My hobby is football. | [maɪ̯n ˈhɔ.bi ʔɪst ˈfuːs.bal] | [maɪ̯n ˈhɔ.bi‿s ˈfuːs.bal]
German::A1::Hobbies & Free Time | Ich spiele gern Fußball. | I like playing football. | [ʔɪç ˈʃpiː.lə ɡɛʁn ˈfuːs.bal] | [ɪç ˈʃpiːlə ɡɛɐ̯n ˈfuːsbal]
German::A1::Hobbies & Free Time | Spielst du auch Fußball? | Do you also play football? | [ˈʃpiːlst duː ʔaʊ̯x ˈfuːs.bal] | [ˈʃpiːls du‿aʊ̯x ˈfuːsbal]
German::A1::Hobbies & Free Time | Er spielt jeden Tag Fußball. | He plays football every day. | [ʔeːɐ̯ ˈʃpiːlt ˈjeː.dn̩ taːk ˈfuːs.bal] | [ɛɐ̯ ˈʃpiːlt ˈjeːdn̩ taːk ˈfuːsbal]
German::A1::Hobbies & Free Time | Wir spielen am Wochenende Fußball. | We play football at the weekend. | [viːɐ̯ ˈʃpiː.lən ʔam ˈvɔ.xn̩.ʔɛn.də ˈfuːs.bal] | [viɐ̯ ˈʃpiːlŋ̍ am ˈvɔxn̩ʔɛndə ˈfuːsbal]
German::A1::Hobbies & Free Time | Sie kann sehr gut schwimmen. | She can swim very well. | [ziː kʰan zeːɐ̯ ɡuːt ˈʃvɪ.mən] | [zi kan zeɐ̯ ɡuːt ˈʃvɪmn̩]
German::A1::Hobbies & Free Time | Ich möchte schwimmen lernen. | I would like to learn to swim. | [ʔɪç ˈmœç.tə ˈʃvɪ.mən ˈlɛʁ.nən] | [ɪç ˈmœçtə ˈʃvɪmən ˈlɛɐ̯nən]
German::A1::Hobbies & Free Time | Kannst du gut schwimmen? | Can you swim well? | [kʰanst duː ɡuːt ˈʃvɪ.mən] | [kans du ɡuːt ˈʃvɪmn̩]
German::A1::Hobbies & Free Time | Wir wollen heute schwimmen gehen. | We want to go swimming today. | [viːɐ̯ ˈvɔ.lən ˈhɔʏ̯.tə ˈʃvɪ.mən ˈɡeː.ən] | [viɐ̯ ˈvɔlŋ̍ ˈhɔʏ̯tə ˈʃvɪmən ˈɡeːn̩]
German::A1::Hobbies & Free Time | Er liest gern Bücher. | He likes reading books. | [ʔeːɐ̯ liːst ɡɛʁn ˈbyː.çɐ] | [ɛɐ̯ liːst ɡɛɐ̯n ˈbyːçɐ]
German::A1::Hobbies & Free Time | Ich möchte ein neues Buch lesen. | I would like to read a new book. | [ʔɪç ˈmœç.tə ʔaɪ̯n ˈnɔʏ̯.əs buːx ˈleː.zən] | [ɪç ˈmœçtə‿n ˈnɔʏ̯əs buːx ˈleːzn̩]
German::A1::Hobbies & Free Time | Liest du jeden Abend? | Do you read every evening? | [liːst duː ˈjeː.dn̩ ˈʔaː.bn̩t] | [liːs du ˈjeːdn̩ ˈaːbm̩t]
