German::A1::Travel & Transport | Ich bin nach Berlin gefahren. | I travelled to Berlin. | [ʔɪç bɪn naːx bɛɐ̯ˈliːn ɡəˈfaː.ʁən] | [ɪç bɪn nax bɛɐ̯ˈliːn ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Wir sind mit dem Zug gefahren. | We travelled by train. | [viːɐ̯ zɪnt mɪt deːm tsuːk ɡəˈfaː.ʁən] | [viɐ̯ zɪnt mɪt dm̩ tsuːk ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Er ist nach Spanien geflogen. | He flew to Spain. | [ʔeːɐ̯ ʔɪst naːx ˈʃpaː.njən ɡəˈfloː.ɡn̩] | [ɛɐ̯s nax ˈʃpaːnjən ɡəˈfloːɡŋ̍]
German::A1::Travel & Transport | Sie ist gestern angekommen. | She arrived yesterday. | [ziː ʔɪst ˈɡɛs.tɐn ˈʔan.ɡə.kʰɔ.mən] | [zi‿s ˈɡɛstɐn ˈaŋɡəkɔmən]
German::A1::Travel & Transport | Der Zug ist pünktlich abgefahren. | The train departed on time. | [deːɐ̯ tsuːk ʔɪst ˈpʏŋkt.lɪç ˈʔap.ɡə.faː.ʁən] | [dɛɐ̯ tsuːk‿s ˈpʏŋktlɪç ˈapɡəfaːʁn̩]
German::A1::Travel & Transport | Ich habe eine Fahrkarte gekauft. | I bought a ticket. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈfaːɐ̯.kʰaʁ.tə ɡəˈkaʊ̯ft] | [ɪç ˈhaːbə‿n ˈfaːɐ̯kaɐ̯tə ɡəˈkaʊ̯ft]
German::A1::Travel & Transport | Wir haben unsere Koffer gepackt. | We packed our suitcases. | [viːɐ̯ ˈhaː.bn̩ ˈʔʊn.zə.ʁə ˈkʰɔ.fɐ ɡəˈpakt] | [viɐ̯ ˈhaːbm̩ ˈʊnzəʁə ˈkɔfɐ ɡəˈpakt]
German::A1::Travel & Transport | Hast du das Hotel gebucht? | Have you booked the hotel? | [hast duː das hoˈtʰɛl ɡəˈbuːxt] | [has du das hoˈtɛl ɡəˈbuːxt]
German::A1::Travel & Transport | Ich habe ein Zimmer reserviert. | I have reserved a room. | [ʔɪç ˈhaː.bə ʔaɪ̯n ˈtsɪ.mɐ ʁe.zɛʁˈviːɐ̯t] | [ɪç ˈhaːbə‿n ˈtsɪmɐ ʁezɛɐ̯ˈviɐ̯t]
German::A1::Travel & Transport | Er hat seinen Pass vergessen. | He forgot his passport. | [ʔeːɐ̯ hat ˈzaɪ̯.nən pas fɛɐ̯ˈɡɛ.sn̩] | [ɛɐ̯ hat ˈzaɪ̯nən pas fɛɐ̯ˈɡɛsn̩]
German::A1::Travel & Transport | Wir haben den Zug verpasst. | We missed the train. | [viːɐ̯ ˈhaː.bn̩ deːn tsuːk fɛɐ̯ˈpast] | [viɐ̯ ˈhaːbm̩ dn̩ tsuːk fɛɐ̯ˈpast]
German::A1::Travel & Transport | Ich bin zum Bahnhof gegangen. | I went to the station. | [ʔɪç bɪn tsʊm ˈbaːn.hoːf ɡəˈɡa.ŋən] | [ɪç bɪn tsʊm ˈbaːnhoːf ɡəˈɡaŋən]
German::A1::Travel & Transport | Sie sind mit dem Bus gekommen. | They came by bus. | [ziː zɪnt mɪt deːm bʊs ɡəˈkʰɔ.mən] | [zi zɪnt mɪt dm̩ bʊs ɡəˈkɔmən]
