Spanish::A1::Talking about routines (II) | Yo como frutas todos los días. | I eat fruit every day. | [ˈʝo ˈko.mo ˈfɾu.tas ˈto.ðos loz ˈdi.as] | [ˈʝoˈkomoˈfɾutahtoðozloˈzði.ah]
Spanish::A1::Talking about routines (II) | Tú comes verduras. | You eat vegetables. | [ˈtu ˈko.mes beɾˈðu.ɾas] | [ˈtuˈkomezβeɾˈðuɾah]
Spanish::A1::Talking about routines (II) | Él come mucho arroz. | He eats a lot of rice. | [ˈel ˈko.me ˈmu.tʃo aˈros] | [ˈelˈkomeˈmutʃoaˈroh]
Spanish::A1::Talking about routines (II) | Ella come poco. | She eats little. | [ˈe.ʝa ˈko.me ˈpo.ko] | [ˈe.ʝaˈkomeˈpoko]
Spanish::A1::Talking about routines (II) | Nosotros comemos juntos. | We eat together. | [noˈso.tɾos koˈme.mos ˈxun.tos] | [noˈso.tɾoskoˈmemoˈxuntoh]
Spanish::A1::Talking about routines (II) | Ellos comen tarde. | They eat late. | [ˈe.ʝos ˈko.men ˈtaɾ.ðe] | [ˈe.ʝosˈkomenˈtaɾðe]
Spanish::A1::Talking about routines (II) | Yo bebo agua. | I drink water. | [ˈʝo ˈβe.βo ˈa.ɣwa] | [ˈʝoˈβeβoˈaɣwa]
Spanish::A1::Talking about routines (II) | Tú bebes café. | You drink coffee. | [ˈtu ˈβe.βes kaˈfe] | [ˈtuˈβeβeskaˈfe]
Spanish::A1::Talking about routines (II) | Él bebe jugo de naranja. | He drinks orange juice. | [ˈel ˈβe.βe ˈxu.ɣo ðe naˈɾaŋ.xa] | [ˈelˈβeβeˈxuɣoðenaˈɾaŋxa]
Spanish::A1::Talking about routines (II) | Ella bebe té. | She drinks tea. | [ˈe.ʝa ˈβe.βe ˈte] | [ˈe.ʝaˈβeβeˈte]
Spanish::A1::Talking about routines (II) | Nosotros bebemos leche. | We drink milk. | [noˈso.tɾos βeˈβe.mos ˈle.tʃe] | [noˈso.tɾosβeˈβemozˈletʃe]
Spanish::A1::Talking about routines (II) | Ellos beben refrescos. | They drink soft drinks. | [ˈe.ʝos ˈβe.βen reˈfɾes.kos] | [ˈe.ʝosˈβeβenreˈfɾehkoh]
Spanish::A1::Talking about routines (II) | Yo leo el periódico. | I read the newspaper. | [ˈʝo ˈle.o el peˈɾjo.ði.ko] | [ˈʝoˈleoelpeˈɾjoðiko]
Spanish::A1::Talking about routines (II) | Tú lees muchos libros. | You read many books. | [ˈtu ˈle.es ˈmu.tʃoz ˈli.βɾos] | [ˈtuˈleesˈmutʃozˈliβɾoh]
Spanish::A1::Talking about routines (II) | Él lee revistas. | He reads magazines. | [ˈel ˈle.e reˈβis.tas] | [ˈelˈle.ereˈβihtah]
Spanish::A1::Talking about routines (II) | Ella lee todas las noches. | She reads every night. | [ˈe.ʝa ˈle.e ˈto.ðas laz ˈno.tʃes] | [ˈe.ʝaˈle.etoðazlaˈznotʃeh]
Spanish::A1::Talking about routines (II) | Nosotros leemos en la biblioteca. | We read in the library. | [noˈso.tɾos leˈe.mos en la βi.βljoˈte.ka] | [noˈso.tɾosleˈemosenlaβiβljoˈteka]
Spanish::A1::Talking about routines (II) | Ellos leen en el parque. | They read in the park. | [ˈe.ʝos ˈle.en en el ˈpaɾ.ke] | [ˈe.ʝosˈle.enenelˈpaɾke]
Spanish::A1::Talking about routines (II) | Yo vivo en Bogotá. | I live in Bogotá. | [ˈʝo ˈbi.βo em bo.ɣoˈta] | [ˈʝoˈbiβoemboɣoˈta]
Spanish::A1::Talking about routines (II) | Tú vives cerca de aquí. | You live near here. | [ˈtu ˈbi.βes ˈseɾ.ka ðe aˈki] | [ˈtuˈβiβehˈseɾkaðaˈki]
Spanish::A1::Talking about routines (II) | Él vive en un apartamento. | He lives in an apartment. | [ˈel ˈbi.βe en un a.paɾ.taˈmen.to] | [ˈelˈβiβeenunapaɾtaˈmento]
Spanish::A1::Talking about routines (II) | Ella vive con su familia. | She lives with her family. | [ˈe.ʝa ˈbi.βe kon su faˈmi.lja] | [ˈe.ʝaˈβiβekonsufaˈmilja]
Spanish::A1::Talking about routines (II) | Nosotros vivimos en la ciudad. | We live in the city. | [noˈso.tɾos biˈβi.mos en la sjuˈðað] | [noˈso.tɾosβiˈβimosenlasjuˈða]
Spanish::A1::Talking about routines (II) | Ellos viven en el campo. | They live in the countryside. | [ˈe.ʝos ˈbi.βen en el ˈkam.po] | [ˈe.ʝosˈβiβenenelˈkampo]
Spanish::A1::Talking about routines (II) | Yo escribo una carta. | I write a letter. | [ˈʝo esˈkɾi.βo ˈu.na ˈkaɾ.ta] | [ˈʝoehˈkɾiβoˈu.naˈkaɾta]
Spanish::A1::Talking about routines (II) | Tú escribes muy bien. | You write very well. | [ˈtu esˈkɾi.βes ˈmwi ˈβjen] | [ˈtuehˈkɾiβezˈmwiˈβjen]
Spanish::A1::Talking about routines (II) | Él escribe correos electrónicos. | He writes emails. | [ˈel esˈkɾi.βe koˈre.os e.lekˈtɾo.ni.kos] | [ˈelehˈkɾiβekoˈre.oselekˈtɾonikoh]
Spanish::A1::Talking about routines (II) | Ella escribe un diario. | She writes a diary. | [ˈe.ʝa esˈkɾi.βe un ˈdja.ɾjo] | [ˈe.ʝaehˈkɾiβeunˈdjaɾjo]
Spanish::A1::Talking about routines (II) | Nosotros escribimos ejercicios. | We write exercises. | [noˈso.tɾos es.kɾiˈβi.mos e.xeɾˈsi.sjos] | [noˈso.tɾosehkɾiˈβimosexeɾˈsisjoh]
Spanish::A1::Talking about routines (II) | Ellos escriben mensajes. | They write messages. | [ˈe.ʝos esˈkɾi.βen menˈsa.xes] | [ˈe.ʝosehˈkɾiβenmenˈsaxeh]
