Japanese::N5::Ability & potential | 私は日本語を話すことができます。 | I can speak Japanese. | [ɰa.ta.ɕi.ɰa ni.ho.ɴ.ɡo.o ha.na.sɯ ko.to.ɡa de.ki.ma.sɯ̥] | [ɰataɕi βa nihoɴŋo o hanas kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 漢字を読むことができますか。 | Can you read kanji? | [ka.ɴ.ji.o jo.mɯ ko.to.ɡa de.ki.ma.sɯ.ka] | [kaɴdʑi o jom kot ŋa dekʲi ma͍sᶍ ka]
Japanese::N5::Ability & potential | 泳ぐことができません。 | I cannot swim. | [o.jo.ɡɯ ko.to.ɡa de.ki.ma.se.ɴ] | [ojoŋ kot ŋa dekʲima seɴ]
Japanese::N5::Ability & potential | ピアノを弾くことができます。 | I can play the piano. | [pi.a.no.o hi.kɯ ko.to.ɡa de.ki.ma.sɯ̥] | [piano o hk kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 箸を使うことができます。 | I can use chopsticks. | [ha.ɕi.o tsɯ.ka.ɯ ko.to.ɡa de.ki.ma.sɯ̥] | [haɕi o tsɯkaɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 一人で病院へ行くことができます。 | I can go to the hospital by myself. | [hi.to.ɾi.de bj oː.i.ɴ.e i.kɯ ko.to.ɡa de.ki.ma.sɯ̥] | [htoɾi de bʲoːiɴ e ik kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 車を運転することができますか。 | Can you drive a car? | [kɯ.ɾɯ.ma.o ɯ.ɴ.te.ɴ.sɯ.ɾɯ ko.to.ɡa de.ki.ma.sɯ.ka] | [kɯɾɯma o ɯnteɴ sɯɾɯ kot ŋa dekʲi ma͍sᶍ ka]
Japanese::N5::Ability & potential | ここでカードを使うことができます。 | You can use a card here. | [ko.ko.de kaː.do.o tsɯ.ka.ɯ ko.to.ɡa de.ki.ma.sɯ̥] | [koko de kaːdo o tsɯkaɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | お金をおろすことができます。 | You can withdraw money. | [o.ka.ne.o o.ro.sɯ ko.to.ɡa de.ki.ma.sɯ̥] | [okane o oɾos kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 英語の歌を歌うことができます。 | I can sing English songs. | [eː.ɡo.no ɯ.ta.o ɯ.ta.ɯ ko.to.ɡa de.ki.ma.sɯ̥] | [eːŋo no ɯta o ɯtaɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 日本の料理を作ることができます。 | I can make Japanese food. | [ni.ho.ɴ.no ɾʲoː.ɾi.o tsɯ.kɯ.ɾɯ ko.to.ɡa de.ki.ma.sɯ̥] | [nihoɴ no ɾʲoːɾi o tsɯkɯɾɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | ひらがなを書くことができます。 | I can write hiragana. | [hi.ra.ɡa.na.o ka.kɯ ko.to.ɡa de.ki.ma.sɯ̥] | [hiɾaŋana o kak kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | ここで写真を撮ることはできません。 | You cannot take photographs here. | [ko.ko.de ɕa.ɕi.ɴ.o to.ɾɯ ko.to.ɰa de.ki.ma.se.ɴ] | [koko de ɕaɕiɴ o toɾɯ kot βa dekʲima seɴ]
Japanese::N5::Ability & potential | 自転車に乗ることができます。 | I can ride a bicycle. | [ji.te.ɴ.ɕa.ni no.ɾɯ ko.to.ɡa de.ki.ma.sɯ̥] | [dʑiteɴɕa ni noɾɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 新しい靴が欲しいです。 | I want new shoes. | [a.ta.ra.ɕi.i kɯ.tsɯ.ɡa ho.ɕi.i.de.sɯ̥] | [ataɾaɕiː kɯts ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 広い部屋が欲しいです。 | I want a spacious room. | [hi.ro.i he.ja.ɡa ho.ɕi.i.de.sɯ̥] | [hiɾoi heja ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 冷たい水が欲しいです。 | I want cold water. | [tsɯ.me.ta.i mi.zɯ.ɡa ho.ɕi.i.de.sɯ̥] | [tsɯmetai miz ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 今、カメラが一番欲しいです。 | I want a camera the most right now. | [i.ma ka.me.ra.ɡa i.chi.ba.ɴ ho.ɕi.i.de.sɯ̥] | [ima kameɾa ŋa itɕibaɴ hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | パソコンは欲しくないです。 | I do not want a personal computer. | [pa.so.ko.ɴ.ɰa ho.ɕi.kɯ.na.i.de.sɯ̥] | [pasokoɴ βa hoɕk na i de͍sᶍ]
