Japanese::N5::Shopping & Prices | これはおくらですか。 | How much is this? | [ko̞ɾe̞ wa̠ o̞kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠] | [ko̞ɾe̞ wa̠ o̞kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠]
Japanese::N5::Shopping & Prices | それは千円です。 | That is 1,000 yen. | [so̞ɾe̞ wa̠ se̞ɴ e̞ɴ de̞sɨᵝ] | [so̞ɾe̞ wa̠ se̞ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | あれを二つください。 | Please give me two of those over there. | [a̠ɾe̞ o̞ fɯ̟ᵝta̠tsɨᵝ kɯ̟ᵝda̠sa̠i] | [a̠ɾe̞ o̞ fɯ̟ᵝta̠tsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | リンゴを一個買いました。 | I bought one apple. | [ɾiŋɡo̞ o̞ ikko̞ ka̠imiɕita̠] | [ɾiŋɡo̞ o̞ ikko̞ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | 切手を三枚ください。 | Please give me three stamps. | [kiɾite̞ o̞ sa̠mma̠i kɯ̟ᵝda̠sa̠i] | [kiɾtte̞ o̞ sa̠mma̠i kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | このシャツはいくらですか。 | How much is this shirt? | [ko̞no̞ ɕatsɨᵝ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠] | [ko̞no̞ ɕatsɨᵝ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠]
Japanese::N5::Shopping & Prices | その靴は五千円です。 | Those shoes are 5,000 yen. | [so̞no̞ kɯ̟ᵝtsɨᵝ wa̠ ɡo̞se̞ɴ e̞ɴ de̞sɨᵝ] | [so̞no̞ kɯ̟ᵝtsɨᵝ wa̠ ɡo̞se̞ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | 本を二冊買いました。 | I bought two books. | [ho̞ɴ o̞ ni sa̠tsɨᵝ ka̠imiɕita̠] | [ho̞ŋ o̞ ni sa̠tsɨᵝ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | ペンを四本ください。 | Please give me four pens. | [pe̞ɴ o̞ jo̞nho̞ɴ kɯ̟ᵝda̠sa̠i] | [pe̞ŋ o̞ jo̞mpo̞ɴ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | コーヒーを一杯おねがいします。 | One cup of coffee, please. | [koːhiː o̞ ippa̠i o̞ne̞ɡa̠iɕima̠sɨᵝ] | [koːhiː o̞ ippa̠i o̞ne̞ɡa̠iɕima̠sɨᵝ]
Japanese::N5::Shopping & Prices | この傘は三千円です。 | This umbrella is 3,000 yen. | [ko̞no̞ ka̠sa̠ wa̠ sa̠ɴze̞ɴ e̞ɴ de̞sɨᵝ] | [ko̞no̞ ka̠sa̠ wa̠ sa̠ɴze̞ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | 卵を十個買いました。 | I bought ten eggs. | [ta̠ma̠ɡo̞ o̞ dʑɯ̟ᵝko̞ ka̠imiɕita̠] | [ta̠ma̠ɡo̞ o̞ dʑɯ̟ᵝko̞ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | ノートを五冊ください。 | Please give me five notebooks. | [noːto̞ o̞ ɡo̞sa̠tsɨᵝ kɯ̟ᵝda̠sa̠i] | [noːto̞ o̞ ɡo̞sa̠tsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | この時計は一万円です。 | This watch is 10,000 yen. | [ko̞no̞ to̞keː wa̠ i tɕima̠ɴ e̞ɴ de̞sɨᵝ] | [ko̞no̞ to̞keː wa̠ i tɕima̠ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | パンを六つ買いました。 | I bought six bread rolls. | [pa̠ɴ o̞ mɯ̟ᵝtsɨᵝ ka̠imiɕita̠] | [pa̠ŋ o̞ mɯ̟ᵝtsɨᵝ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | お茶を二杯ください。 | Please give me two cups of tea. | [o̞tɕa̠ o̞ niha̠i kɯ̟ᵝda̠sa̠i] | [o̞tɕa̠ o̞ niha̠i kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | この鞄はいくらですか。 | How much is this bag? | [ko̞no̞ ka̠ba̠ɴ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠] | [ko̞no̞ ka̠ba̠ŋ wa̠ i kɯ̟ᵝɾa̠ de̞sɨᵝ ka̠]
Japanese::N5::Shopping & Prices | あれは八百円です。 | That one over there is 800 yen. | [a̠ɾe̞ wa̠ ha̠pya̠kɯ̟ᵝ e̞ɴ de̞sɨᵝ] | [a̠ɾe̞ wa̠ ha̠pya̠kɯ̟ᵝ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | 水を一本買いました。 | I bought one bottle of water. | [mizɯ̟ᵝ o̞ ippo̞ɴ ka̠imiɕita̠] | [mizɯ̟ᵝ o̞ ippo̞ɴ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | ケーキを七つください。 | Please give me seven pieces of cake. | [keːki o̞ na̠na̠tsɨᵝ kɯ̟ᵝda̠sa̠i] | [keːki o̞ na̠na̠tsɨᵝ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | この帽子は四千円です。 | This hat is 4,000 yen. | [ko̞no̞ boːɕi wa̠ jo̞ɴze̞ɴ e̞ɴ de̞sɨᵝ] | [ko̞no̞ boːɕi wa̠ jo̞ɴze̞ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | 紙を八枚買いました。 | I bought eight sheets of paper. | [ka̠mi o̞ ha̠tɕima̠i ka̠imiɕita̠] | [ka̠mi o̞ ha̠tɕima̠i ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | ジュースを三本ください。 | Please give me three bottles of juice. | [dʑɯ̟ᵝːsɨᵝ o̞ sa̠mbo̞ɴ kɯ̟ᵝda̠sa̠i] | [dʑɯ̟ᵝːsɨᵝ o̞ sa̠mbo̞ɴ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | その本は千五百円です。 | That book is 1,500 yen. | [so̞no̞ ho̞ɴ wa̠ se̞ɴ ɡo̞hya̠kɯ̟ᵝ e̞ɴ de̞sɨᵝ] | [so̞no̞ ho̞ŋ wa̠ se̞ŋ ɡo̞hya̠kɯ̟ᵝ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | みかんを九つ買いました。 | I bought nine satsumas. | [mika̠ɴ o̞ ko̞ko̞no̞tsɨᵝ ka̠imiɕita̠] | [mika̠ŋ o̞ ko̞ko̞no̞tsɨᵝ ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | このカメラは二万円です。 | This camera is 20,000 yen. | [ko̞no̞ ka̠me̞ɾa̠ wa̠ ni ma̠ɴ e̞ɴ de̞sɨᵝ] | [ko̞no̞ ka̠me̞ɾa̠ wa̠ ni ma̠ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | 雑誌を一枚買いました。 | I bought one magazine. | [za̠ Sːi o̞ itɕima̠i ka̠imiɕita̠] | [za̠ Sːi o̞ itɕima̠i ka̠imiɕta̠]
Japanese::N5::Shopping & Prices | 鉛筆を五本ください。 | Please give me five pencils. | [e̞mpi tsɨᵝ o̞ ɡo̞ho̞ɴ kɯ̟ᵝda̠sa̠i] | [e̞mpi tsɨᵝ o̞ ɡo̞ho̞ɴ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Shopping & Prices | その服は六千円です。 | Those clothes are 6,000 yen. | [so̞no̞ fɯ̟ᵝkɯ̟ᵝ wa̠ ro̞kɯ̟ᵝse̞ɴ e̞ɴ de̞sɨᵝ] | [so̞no̞ fɯ̟ᵝkɯ̟ᵝ wa̠ ro̞kɯ̟ᵝse̞ŋ e̞ɴ de̞sɨᵝ]
Japanese::N5::Shopping & Prices | これを全部ください。 | Please give me all of these. | [ko̞ɾe̞ o̞ ze̞mbɯ̟ᵝ kɯ̟ᵝda̠sa̠i] | [ko̞ɾe̞ o̞ ze̞mbɯ̟ᵝ kɯ̟ᵝda̠sa̠i]
