#lang: ja -> en
Japanese::N5::Greetings & Self-Introduction | 初めまして。 | How do you do? | [ha.ʑi.me.ma.ɕi.te. ‖] | [ha.ʑi.me.ma.ɕte]
Japanese::N5::Greetings & Self-Introduction | おはようございます。 | Good morning. | [o.ha.joː.ɡo.za.i.ma.sɯ. ‖] | [o.ha.joː.ɡo.za.i.mas]
Japanese::N5::Greetings & Self-Introduction | こんにちは。 | Good afternoon. | [koɴ.ni.tɕi.wa. ‖] | [koɲ.ɲi.tɕi.wa]
Japanese::N5::Greetings & Self-Introduction | こんばんは。 | Good evening. | [koɴ.baɴ.wa. ‖] | [kom.baŋ.wa]
Japanese::N5::Greetings & Self-Introduction | さようなら。 | Goodbye. | [sa.joː.na.ɾa. ‖] | [sa.joː.na.ɾa]
Japanese::N5::Greetings & Self-Introduction | おやすみなさい。 | Good night. | [o.ja.sɯ.mi.na.sa.i. ‖] | [o.ja.sɯ.mi.na.sa.i]
Japanese::N5::Greetings & Self-Introduction | ありがとう。 | Thank you. | [a.ɾi.ɡa.toː. ‖] | [a.ɾi.ɡa.toː]
Japanese::N5::Greetings & Self-Introduction | ありがとうございます。 | Thank you very much. | [a.ɾi.ɡa.toː.ɡo.za.i.ma.sɯ. ‖] | [a.ɾi.ɡa.toː.ɡo.za.i.mas]
Japanese::N5::Greetings & Self-Introduction | すみません。 | Excuse me / I'm sorry. | [sɯ.mi.ma.seɴ. ‖] | [sɯ.mi.ma.seŋ]
Japanese::N5::Greetings & Self-Introduction | ごめんなさい。 | I am sorry. | [ɡo.meɴ.na.sa.i. ‖] | [ɡo.men.na.sa.i]
Japanese::N5::Greetings & Self-Introduction | わたしはたなかです。 | I am Tanaka. | [wa.ta.ɕi.wa.ta.na.ka.de.sɯ. ‖] | [wa.ta.ɕi.wa.ta.na.ka.des]
Japanese::N5::Greetings & Self-Introduction | わたしはがくせいです。 | I am a student. | [wa.ta.ɕi.wa.ɡa.kɯ.seː.de.sɯ. ‖] | [wa.ta.ɕi.wa.ɡak.seː.des]
Japanese::N5::Greetings & Self-Introduction | わたしはいぎりすじんです。 | I am British. | [wa.ta.ɕi.wa.i.ɡi.ɾi.sɯ.ʑiɴ.de.sɯ. ‖] | [wa.ta.ɕi.wa.i.ɡi.ɾi.sɯ.ʑin.des]
Japanese::N5::Greetings & Self-Introduction | せんせいです。 | [He/She] is a teacher. | [seɴ.seː.de.sɯ. ‖] | [seɲ.seː.des]
Japanese::N5::Greetings & Self-Introduction | いしゃではありません。 | [I] am not a doctor. | [i.ɕa.de.wa.a.ɾi.ma.seɴ. ‖] | [i.ɕa.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::Greetings & Self-Introduction | いしゃじゃありません。 | [I] am not a doctor. | [i.ɕa.ʑa.a.ɾi.ma.seɴ. ‖] | [i.ɕa.ʑa.a.ɾi.ma.seŋ]
Japanese::N5::Greetings & Self-Introduction | がくせいですか。 | Are you a student? | [ɡa.kɯ.seː.de.sɯ.ka. ‖] | [ɡak.seː.des.ka]
Japanese::N5::Greetings & Self-Introduction | はい、がくせいです。 | Yes, I am a student. | [ha.i. ‖ ɡa.kɯ.seː.de.sɯ. ‖] | [ha.i ‖ ɡak.seː.des]
Japanese::N5::Greetings & Self-Introduction | いいえ、がくせいではありません。 | No, I am not a student. | [iː.e. ‖ ɡa.kɯ.seː.de.wa.a.ɾi.ma.seɴ. ‖] | [iː.e ‖ ɡak.seː.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::Greetings & Self-Introduction | おなまえはなんですか。 | What is your name? | [o.na.ma.e.wa.naɴ.de.sɯ.ka. ‖] | [o.na.ma.e.wa.nan.des.ka]
Japanese::N5::Greetings & Self-Introduction | かいしゃいんです。 | I am a company employee. | [ka.i.ɕa.iɴ.de.sɯ. ‖] | [ka.i.ɕa.in.des]
Japanese::N5::Greetings & Self-Introduction | あのひとはだれですか。 | Who is that person? | [a.no.çi.to.wa.da.ɾe.de.sɯ.ka. ‖] | [a.no.çi.to.wa.da.ɾe.des.ka]
Japanese::N5::Greetings & Self-Introduction | えんじニアです。 | I am an engineer. | [eɴ.ʑi.ni.a.de.sɯ. ‖] | [en.ʑi.ni.a.des]
Japanese::N5::Greetings & Self-Introduction | どうぞよろしく。 | Nice to meet you. | [doː.zo.jo.ɾo.ɕi.kɯ. ‖] | [doː.zo.jo.ɾo.ɕik]
Japanese::N5::Greetings & Self-Introduction | こちらこそよろしくおねがいします。 | Pleased to meet you too. | [ko.tɕi.ɾa.ko.so.jo.ɾo.ɕi.kɯ.o.ne.ɡa.i.ɕi.ma.sɯ. ‖] | [ko.tɕi.ɾa.ko.so.jo.ɾo.ɕi.ko.ne.ɡa.i.ɕi.mas]
