Japanese::N5::Giving & Receiving (Basic) | 私は田中さんに本をあげました。 | I gave a book to Mr Tanaka. | [wa̠ta̠ɕi wa̠ ta̠na̠ka̠ sa̠ɴ ni ho̞ɴ o̞ a̠ɡe̞ma̠ɕita̠] | [wa̠ta̠ɕi wa̠ ta̠na̠ka̠ sa̠ŋ ni ho̞ŋ o̞ a̠ɡe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 山田さんは花子さんに花をあげました。 | Mr Yamada gave flowers to Hanako. | [ya̠ma̠da̠ sa̠ɴ wa̠ ha̠na̠ko̞ sa̠ɴ ni ha̠na̠ o̞ a̠ɡe̞ma̠ɕita̠] | [ya̠ma̠da̠ sa̠ŋ wa̠ ha̠na̠ko̞ sa̠ɴ ni ha̠na̠ o̞ a̠ɡe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 私は佐藤さんにチョコをもらいました。 | I received chocolates from Ms Sato. | [wa̠ta̠ɕi wa̠ sa̠toː sa̠ɴ ni tɕo̞ko̞ o̞ mo̞ɾa̠ima̠ɕita̠] | [wa̠ta̠ɕi wa̠ sa̠toː sa̠ɴ ni tɕo̞ko̞ o̞ mo̞ɾa̠ima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 弟に時計をあげました。 | I gave a watch to my younger brother. | [o̞toːto̞ ni to̞keː o̞ a̠ɡe̞ma̠ɕita̠] | [o̞toːto̞ ni to̞keː o̞ a̠ɡe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 友達からプレゼントをもらいました。 | I received a present from my friend. | [to̞mo̞da̠tɕi ka̠ɾa̠ pɯ̟ᵝɾe̞ze̞nto̞ o̞ mo̞ɾa̠ima̠ɕita̠] | [to̞mo̞da̠tɕi ka̠ɾa̠ pɯ̟ᵝɾe̞ze̞nto̞ o̞ mo̞ɾa̠ima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 田中さんが私にシャツをくれました。 | Mr Tanaka gave me a shirt. | [ta̠na̠ka̠ sa̠ɴ ɡa̠ wa̠ta̠ɕi ni ɕatsɨᵝ o̞ kɯ̟ᵝɾe̞ma̠ɕita̠] | [ta̠na̠ka̠ sa̠ŋ ɡa̠ wa̠ta̠ɕi ni ɕatsɨᵝ o̞ kɯ̟ᵝɾe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 先生が私に本をくれました。 | The teacher gave me a book. | [se̞nseː ɡa̠ wa̠ta̠ɕi ni ho̞ɴ o̞ kɯ̟ᵝɾe̞ma̠ɕita̠] | [se̞nseː ɡa̠ wa̠ta̠ɕi ni ho̞ŋ o̞ kɯ̟ᵝɾe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 母が私に辞書をくれました。 | My mother gave me a dictionary. | [ha̠ha̠ ɡa̠ wa̠ta̠ɕi ni dʑiɕo̞ o̞ kɯ̟ᵝɾe̞ma̠ɕita̠] | [ha̠ha̠ ɡa̠ wa̠ta̠ɕi ni dʑiɕo̞ o̞ kɯ̟ᵝɾe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 妹にお菓子をあげました。 | I gave sweets to my younger sister. | [imoːto̞ ni o̞ka̠ɕi o̞ a̠ɡe̞ma̠ɕita̠] | [imoːto̞ ni o̞ka̠ɕi o̞ a̠ɡe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 誰にこれをもらいましたか。 | Who did you receive this from? | [da̠ɾe̞ ni ko̞ɾe̞ o̞ mo̞ɾa̠ima̠ɕita̠ ka̠] | [da̠ɾe̞ ni ko̞ɾe̞ o̞ mo̞ɾa̠ima̠ɕta̠ ka̠]
Japanese::N5::Giving & Receiving (Basic) | 木村さんにもらいました。 | I received it from Mr Kimura. | [kimɯ̟ᵝɾa̠ sa̠ɴ ni mo̞ɾa̠ima̠ɕita̠] | [kimɯ̟ᵝɾa̠ sa̠ŋ ni mo̞ɾa̠ima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 誕生日にお父さんから何をもらいましたか。 | What did you receive from your father on your birthday? | [ta̠ɴdʑoːbi ni o̞toːsa̠ɴ ka̠ɾa̠ na̠ni o̞ mo̞ɾa̠ima̠ɕita̠ ka̠] | [ta̠ɴdʑoːbi ni o̞toːsa̠ŋ ka̠ɾa̠ na̠ni o̞ mo̞ɾa̠ima̠ɕta̠ ka̠]
Japanese::N5::Giving & Receiving (Basic) | 自転車をもらいました。 | I received a bicycle. | [dʑite̞ɴɕa̠ o̞ mo̞ɾa̠ima̠ɕita̠] | [dʑite̞ɴɕa̠ o̞ mo̞ɾa̠ima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 私は友達に日本語を教えました。 | I taught Japanese to my friend. | [wa̠ta̠ɕi wa̠ to̞mo̞da̠tɕi ni niho̞ɴɡo̞ o̞ o̞ɕie̞ma̠ɕita̠] | [wa̠ta̠ɕi wa̠ to̞mo̞da̠tɕi ni niho̞ŋɡo̞ o̞ o̞ɕie̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 鈴木さんに電話をかけました。 | I made a phone call to Mr Suzuki. | [sɨᵝzɯ̟ᵝki sa̠ɴ ni de̞ɴwa̠ o̞ ka̠ke̞ma̠ɕita̠] | [sɨᵝzɯ̟ᵝki sa̠ŋ ni de̞ɴwa̠ o̞ ka̠ke̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 誰にお金を貸しましたか。 | Who did you lend money to? | [da̠ɾe̞ ni o̞ka̠ne̞ o̞ ka̠ɕima̠ɕita̠ ka̠] | [da̠ɾe̞ ni o̞ka̠ne̞ o̞ ka̠ɕima̠ɕta̠ ka̠]
Japanese::N5::Giving & Receiving (Basic) | 銀行からお金を借りました。 | I borrowed money from the bank. | [ɡiɴkoː ka̠ɾa̠ o̞ka̠ne̞ o̞ ka̠ɾima̠ɕita̠] | [ɡiŋkoː ka̠ɾa̠ o̞ka̠ne̞ o̞ ka̠ɾima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 友達にお金を返しました。 | I returned money to my friend. | [to̞mo̞da̠tɕi ni o̞ka̠ne̞ o̞ ka̠e̞ɕima̠ɕita̠] | [to̞mo̞da̠tɕi ni o̞ka̠ne̞ o̞ ka̠e̞ɕima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 彼女に切符をあげました。 | I gave a ticket to my girlfriend. | [ka̠no̞dʑo̞ ni kiːpɯ̟ᵝ o̞ a̠ɡe̞ma̠ɕita̠] | [ka̠no̞dʑo̞ ni kiːpɯ̟ᵝ o̞ a̠ɡe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 誰がこのペンをくれましたか。 | Who gave you this pen? | [da̠ɾe̞ ɡa̠ ko̞no̞ pe̞ɴ o̞ kɯ̟ᵝɾe̞ma̠ɕita̠ ka̠] | [da̠ɾe̞ ɡa̠ ko̞no̞ pe̞ŋ o̞ kɯ̟ᵝɾe̞ma̠ɕta̠ ka̠]
Japanese::N5::Giving & Receiving (Basic) | 山田さんがくれました。 | Mr Yamada gave it to me. | [ya̠ma̠da̠ sa̠ɴ ɡa̠ kɯ̟ᵝɾe̞ma̠ɕita̠] | [ya̠ma̠da̠ sa̠ŋ ɡa̠ kɯ̟ᵝɾe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 父に手紙を書きました。 | I wrote a letter to my father. | [tɕitɕi ni te̞ɡa̠mi o̞ ka̠kima̠ɕita̠] | [tɕitɕi ni te̞ɡa̠mi o̞ ka̠kima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 母に傘を貸しました。 | I lent an umbrella to my mother. | [ha̠ha̠ ni ka̠sa̠ o̞ ka̠ɕima̠ɕita̠] | [ha̠ha̠ ni ka̠sa̠ o̞ ka̠ɕima̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 友達に写真を見せました。 | I showed photos to my friend. | [to̞mo̞da̠tɕi ni ɕa̠ɕiɴ o̞ miɕe̞ma̠ɕita̠] | [to̞mo̞da̠tɕi ni ɕa̠ɕiŋ o̞ miɕe̞ma̠ɕta̠]
Japanese::N5::Giving & Receiving (Basic) | 先生に質問をしました。 | I asked the teacher a question. | [se̞nseː ni ɕitsɨᵝmo̞ɴ o̞ ɕima̠ɕita̠] | [se̞nseː ni ɕitsɨᵝmo̞ŋ o̞ ɕima̠ɕta̠]
