German::A1::Daily Routines | Ich stehe früh auf. | I get up early. | [ʔɪç ˈʃteː.ə fʁyː ʔaʊ̯f] | [ɪç ˈʃteː.ə fʁyː ʔaʊ̯f]
German::A1::Daily Routines | Du stehst spät auf. | You get up late. | [duː ʃteːst ʃpɛːt ʔaʊ̯f] | [du ʃteːts ʃpɛːt ʔaʊ̯f]
German::A1::Daily Routines | Er wacht um sechs Uhr auf. | He wakes up at six o'clock. | [ʔeːɐ̯ vaχt ʔʊm zɛks ˈʔuːɐ̯ ʔaʊ̯f] | [ɐ vaχt ʊm zɛks ˈʔuːɐ̯ ʔaʊ̯f]
German::A1::Daily Routines | Ich wasche mich. | I wash myself. | [ʔɪç ˈva.ʃə mɪç] | [ɪç ˈva.ʃə mɪç]
German::A1::Daily Routines | Ich putze mir die Zähne. | I brush my teeth. | [ʔɪç ˈpʰʊ.tsə miːɐ̯ diː ˈtsɛː.nə] | [ɪç ˈpʰʊ.tsə miɐ̯ di ˈtsɛː.nə]
German::A1::Daily Routines | Ich ziehe mich an. | I get dressed. | [ʔɪç ˈtsiː.ə mɪç ʔan] | [ɪç ˈtsiː.ə mɪç ʔan]
German::A1::Daily Routines | Ich frühstücke um sieben Uhr. | I have breakfast at seven o'clock. | [ʔɪç ˈfʁyː.ʃtʏ.kə ʔʊm ˈziː.bən ˈʔuːɐ̯] | [ɪç ˈfʁyː.ʃtʏ.kə ʊm ˈziː.bm̩ ˈʔuːɐ̯]
German::A1::Daily Routines | Ich trinke Kaffee zum Frühstück. | I drink coffee for breakfast. | [ʔɪç ˈtʰʁɪŋ.kə ˈkʰa.feː tsʊm ˈfʁyː.ʃtʏk] | [ɪç ˈtʰʁɪŋ.kə ˈkʰa.feː tsʊm ˈfʁyː.ʃtʏk]
German::A1::Daily Routines | Ich fahre mit dem Bus zur Arbeit. | I go to work by bus. | [ʔɪç ˈfaː.ʁə mɪt deːm bʊs tsuːɐ̯ ˈʔaʁ.baɪ̯t] | [ɪç ˈfaː.ʁə mɪt dm̩ bʊs tsuɐ̯ ˈʔaʁ.baɪ̯t]
German::A1::Daily Routines | Ich gehe zu Fuß zur Schule. | I walk to school. | [ʔɪç ˈɡeː.ə tsuː fuːs tsuːɐ̯ ˈʃuː.lə] | [ɪç ˈɡeː.ə tsu fuːs tsuɐ̯ ˈʃuː.lə]
German::A1::Daily Routines | Die Arbeit fängt um neun Uhr an. | Work starts at nine o'clock. | [diː ˈʔaʁ.baɪ̯t fɛŋt ʔʊm nɔʏ̯n ˈʔuːɐ̯ ʔan] | [di ˈʔaʁ.baɪ̯t fɛŋt ʊm nɔʏ̯n ˈʔuːɐ̯ ʔan]
German::A1::Daily Routines | Ich fange um neun Uhr an. | I start at nine o'clock. | [ʔɪç ˈfa.ŋə ʔʊm nɔʏ̯n ˈʔuːɐ̯ ʔan] | [ɪç ˈfa.ŋə ʊm nɔʏ̯n ˈʔuːɐ̯ ʔan]
German::A1::Daily Routines | Ich mache eine Pause. | I take a break. | [ʔɪç ˈma.χə ˈʔaɪ̯.nə ˈpʰaʊ̯.zə] | [ɪç ˈma.χə ˈnaɪ̯.nə ˈpʰaʊ̯.zə]
German::A1::Daily Routines | Ich esse zu Mittag. | I eat lunch. | [ʔɪç ˈʔɛ.sə tsuː ˈmɪt.tʰaːk] | [ɪç ˈʔɛsə tsu ˈmɪt.tʰaːk]
German::A1::Daily Routines | Ich rufe meine Mutter an. | I call my mother. | [ʔɪç ˈʁuː.fə ˈmaɪ̯.nə ˈmʊ.tʰɐ ʔan] | [ɪç ˈʁuː.fə ˈmaɪ̯.nə ˈmʊ.tʰɐ ʔan]
