Japanese::N5::Likes, Dislikes, Ability | わたしはスポーツが好きです。 | I like sports. | [wa.ta.ɕi.wa.sɯ.poː.tsɯ.ɡa.sɯ.ki.de.sɯ. ‖] | [wa.ta.ɕi.wa.sɯ.poː.tsɯ.ɡa.sɯ.ki.des]
Japanese::N5::Likes, Dislikes, Ability | 野球が好きではありません。 | I do not like baseball. | [ja.kʲɯː.ɡa.sɯ.ki.de.wa.a.ɾi.ma.seɴ. ‖] | [ja.kʲɯː.ɡa.sɯ.ki.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 田中さんは魚が嫌いです。 | Mr Tanaka dislikes fish. | [ta.na.ka.saɴ.wa.sa.ka.na.ɡa.ki.ɾa.i.de.sɯ. ‖] | [ta.na.ka.saɳ.wa.sa.ka.na.ɡa.ki.ɾa.i.des]
Japanese::N5::Likes, Dislikes, Ability | 納豆が嫌いじゃありません。 | I do not dislike natto. | [na.ttoː.ɡa.ki.ɾa.i.ʑa.a.ɾi.ma.seɴ. ‖] | [nat.toː.ɡa.ki.ɾa.i.ʑa.a.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 料理が好きですか。 | Do you like cooking? | [ɾʲoː.ɾi.ɡa.sɯ.ki.de.sɯ.ka. ‖] | [ɾʲoː.ɾi.ɡa.sɯ.ki.des.ka]
Japanese::N5::Likes, Dislikes, Ability | はい、とても好きです。 | Yes, I like it very much. | [ha.i. ‖ to.te.mo.sɯ.ki.de.sɯ. ‖] | [ha.i ‖ to.te.mo.sɯ.ki.des]
Japanese::N5::Likes, Dislikes, Ability | 日本料理が好きです。 | I like Japanese food. | [ni.hoɴ.ɾʲoː.ɾi.ɡa.sɯ.ki.de.sɯ. ‖] | [ni.hom.ɾʲoː.ɾi.ɡa.sɯ.ki.des]
Japanese::N5::Likes, Dislikes, Ability | 音楽が好きです。 | I like music. | [oɴ.ɡa.kɯ.ɡa.sɯ.ki.de.sɯ. ‖] | [oŋ.ɡa.kɯ.ɡa.sɯ.ki.des]
Japanese::N5::Likes, Dislikes, Ability | どんな果物が好きですか。 | What kind of fruit do you like? | [doɴ.na.kɯ.da.mo.no.ɡa.sɯ.ki.de.sɯ.ka. ‖] | [don.na.kɯ.da.mo.no.ɡa.sɯ.ki.des.ka]
Japanese::N5::Likes, Dislikes, Ability | りんごが好きです。 | I like apples. | [ɾiɴ.ɡo.ɡa.sɯ.ki.de.sɯ. ‖] | [ɾiŋ.ɡo.ɡa.sɯ.ki.des]
Japanese::N5::Likes, Dislikes, Ability | 歌が上手です。 | [He/She] is good at singing. | [ɯ.ta.ɡa.ʑoː.zɯ.de.sɯ. ‖] | [ɯ.ta.ɡa.ʑoː.zɯ.des]
Japanese::N5::Likes, Dislikes, Ability | わたしはダンスが上手ではありません。 | I am not good at dancing. | [wa.ta.ɕi.wa.daɴ.sɯ.ɡa.ʑoː.zɯ.de.wa.a.ɾi.ma.seɴ. ‖] | [wa.ta.ɕi.wa.dan.sɯ.ɡa.ʑoː.zɯ.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 彼は日本語が上手です。 | He is good at Japanese. | [ka.ɾe.wa.ni.hoɴ.ɡo.ɡa.ʑoː.zɯ.de.sɯ. ‖] | [ka.ɾe.wa.ni.hoŋ.ɡo.ɡa.ʑoː.zɯ.des]
Japanese::N5::Likes, Dislikes, Ability | わたしは絵が下手です。 | I am bad at drawing. | [wa.ta.ɕi.wa.e.ɡa.he.ta.de.sɯ. ‖] | [wa.ta.ɕi.wa.e.ɡa.he.ta.des]
Japanese::N5::Likes, Dislikes, Ability | スポーツが下手ではありません。 | I am not bad at sports. | [sɯ.poː.tsɯ.ɡa.he.ta.de.wa.a.ɾi.ma.seɴ. ‖] | [sɯ.poː.tsɯ.ɡa.he.ta.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 英語が分かります。 | I understand English. | [eː.ɡo.ɡa.wa.ka.ɾi.ma.sɯ. ‖] | [eː.ɡo.ɡa.wa.ka.ɾi.mas]
Japanese::N5::Likes, Dislikes, Ability | 日本語が少し分かります。 | I understand a little Japanese. | [ni.hoɴ.ɡo.ɡa.sɯ.ko.ɕi.wa.ka.ɾi.ma.sɯ. ‖] | [ni.hoŋ.ɡo.ɡa.sɯ.ko.ɕi.wa.ka.ɾi.mas]
Japanese::N5::Likes, Dislikes, Ability | 漢字がわかりません。 | I do not understand kanji. | [kaɴ.ʑi.ɡa.wa.ka.ɾi.ma.seɴ. ‖] | [kan.ʑi.ɡa.wa.ka.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 平仮名が分かりますか。 | Do you understand hiragana? | [çi.ɾa.ɡa.na.ɡa.wa.ka.ɾi.ma.sɯ.ka. ‖] | [çi.ɾa.ɡa.na.ɡa.wa.ka.ɾi.mas.ka]
Japanese::N5::Likes, Dislikes, Ability | はい、大体分かります。 | Yes, I mostly understand. | [ha.i. ‖ da.i.ta.i.wa.ka.ɾi.ma.sɯ. ‖] | [ha.i ‖ da.i.ta.i.wa.ka.ɾi.mas]
Japanese::N5::Likes, Dislikes, Ability | ひらがなが全然分かりません。 | I do not understand hiragana at all. | [çi.ɾa.ɡa.na.ɡa.zeɴ.zeɴ.wa.ka.ɾi.ma.seɴ. ‖] | [çi.ɾa.ɡa.na.zen.zen.wa.ka.ɾi.ma.seŋ]
Japanese::N5::Likes, Dislikes, Ability | 兄はサッカーが上手です。 | My older brother is good at football. | [a.ni.wa.sak.kaː.ɡa.ʑoː.zɯ.de.sɯ. ‖] | [a.ni.wa.sak.kaː.ɡa.ʑoː.zɯ.des]
