Spanish::A1::House, rooms, and location | La cocina está al lado del comedor. | The kitchen is next to the dining room. | [la ko.ˈsi.na es.ˈta al ˈla.ð̞o ð̞el ko.me.ˈð̞oɾ] | [lakoˈsi.naesˈtaal.ˈla.ð̞oð̞el.komeˈð̞oɾ]
Spanish::A1::House, rooms, and location | El libro está sobre la mesa. | The book is on the table. | [el ˈli.β̞ɾo es.ˈta ˈso.β̞ɾe la ˈme.sa] | [elˈli.β̞ɾoesˈtaˈso.β̞ɾela.ˈme.sa]
Spanish::A1::House, rooms, and location | Los zapatos están debajo de la cama. | The shoes are under the bed. | [los sa.ˈpa.tos es.ˈtan d̪e.ˈβ̞a.xo ð̞e la ˈka.ma] | [losaˈpa.tosesˈtand̪eˈβ̞a.xoð̞e.laˈka.ma]
Spanish::A1::House, rooms, and location | El baño está enfrente del dormitorio. | The bathroom is across from the bedroom. | [el ˈba.ɲo es.ˈta em.ˈfɾen.te ð̞el d̪oɾ.mi.ˈto.ɾjo] | [elˈba.ɲoesˈtaemˈfɾen.teð̞el.d̪oɾmiˈto.ɾjo]
Spanish::A1::House, rooms, and location | Mi casa está cerca del parque. | My house is near the park. | [mi ˈka.sa es.ˈta ˈseɾ.ka ð̞el ˈpaɾ.ke] | [mjˈka.saesˈtaˈseɾ.kað̞el.ˈpaɾ.ke]
Spanish::A1::House, rooms, and location | El sofá está en la sala. | The sofa is in the living room. | [el so.ˈfa es.ˈta en la ˈsa.la] | [elsoˈfaesˈtaenla.ˈsa.la]
Spanish::A1::House, rooms, and location | La lámpara está entre las dos ventanas. | The lamp is between the two windows. | [la ˈlam.pa.ɾa es.ˈta ˈen.tɾe laz ð̞os ben.ˈta.nas] | [laˈlam.pa.ɾaesˈtaen.tɾe.laz.ð̞oz.benˈta.nas]
Spanish::A1::House, rooms, and location | El coche está en el garaje. | The car is in the garage. | [el ˈko.tʃe es.ˈta en el ɣ̞a.ˈɾa.xe] | [elˈko.tʃeesˈtaenel.ɣ̞aˈɾa.xe]
Spanish::A1::House, rooms, and location | Los platos están dentro del armario. | The plates are inside the cupboard. | [los ˈpla.tos es.ˈtan ˈd̪en.tɾo ð̞el aɾ.ˈma.ɾjo] | [losˈpla.tosesˈtand̪en.tɾoð̞e.laɾˈma.ɾjo]
Spanish::A1::House, rooms, and location | El jardín está detrás de la casa. | The garden is behind the house. | [el xaɾ.ˈð̞in es.ˈta d̪e.ˈtɾaz ð̞e la ˈka.sa] | [elxaɾˈð̞inesˈtad̪eˈtɾaz.ð̞e.laˈka.sa]
Spanish::A1::House, rooms, and location | La televisión está delante del sofá. | The television is in front of the sofa. | [la te.le.β̞i.ˈsjon es.ˈta d̪e.ˈlan.te ð̞el so.ˈfa] | [latele.β̞iˈsjonesˈtad̪eˈlan.teð̞el.soˈfa]
Spanish::A1::House, rooms, and location | Mi habitación está arriba. | My room is upstairs. | [mi a.β̞i.ta.ˈsjon es.ˈta a.ˈri.β̞a] | [mja.β̞ita.ˈsjonesˈtaaˈri.β̞a]
Spanish::A1::House, rooms, and location | La cocina está abajo. | The kitchen is downstairs. | [la ko.ˈsi.na es.ˈta a.ˈβ̞a.xo] | [lakoˈsi.naesˈtaaˈβ̞a.xo]
Spanish::A1::House, rooms, and location | El espejo está encima del lavabo. | The mirror is above the sink. | [el es.ˈpe.xo es.ˈta en.ˈsi.ma ð̞el la.ˈβ̞a.β̞o] | [eles.ˈpe.xoesˈtaenˈsi.mað̞el.laˈβ̞a.β̞o]
Spanish::A1::House, rooms, and location | Las llaves están dentro de mi bolso. | The keys are inside my bag. | [laz ˈʝa.β̞es es.ˈtan ˈd̪en.tɾo ð̞e mi ˈβ̞ol.so] | [laˈʝa.β̞esesˈtand̪en.tɾoð̞e.mjˈβ̞ol.so]
Spanish::A1::House, rooms, and location | La mesa está junto a la ventana. | The table is next to the window. | [la ˈme.sa es.ˈta ˈxun.to a la ben.ˈta.na] | [laˈme.saesˈtaˈxun.toa.laβenˈta.na]
Spanish::A1::House, rooms, and location | El gato duerme sobre la silla. | The cat sleeps on the chair. | [el ˈɣ̞a.to ˈd̪weɾ.me ˈso.β̞ɾe la ˈsi.ʝa] | [elˈɣ̞a.toˈd̪weɾ.meˈso.β̞ɾela.ˈsi.ʝa]
Spanish::A1::House, rooms, and location | Hay una alfombra debajo de la mesa. | There is a rug under the table. | [ai̯ ˈu.na al.ˈfom.bɾa d̪e.ˈβ̞a.xo ð̞e la ˈme.sa] | [ai̯ˈu.naalˈfom.bɾad̪eˈβ̞a.xoð̞e.laˈme.sa]
Spanish::A1::House, rooms, and location | El edificio está lejos del centro. | The building is far from the center. | [el e.ð̞i.ˈfi.sjo es.ˈta ˈle.xoz ð̞el ˈsen.tɾo] | [ele.ð̞iˈfi.sjoesˈtaˈle.xozð̞el.ˈsen.tɾo]
Spanish::A1::House, rooms, and location | La puerta está abierta. | The door is open. | [la ˈpweɾ.ta es.ˈta a.ˈβjeɾ.ta] | [laˈpweɾ.taesˈtaaˈβjeɾ.ta]
