Japanese::N5::Advice & recommendations | 早く寝たほうがいいです。 | You had better go to bed early. | [ha.ja.kɯ ne.ta hoː.ɡa i.i.de.sɯ] | [hajak neta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 病院へ行ったほうがいいです。 | You had better go to the hospital. | [bj oː.i.ɴ.e i.ʔ.ta hoː.ɡa i.i.de.sɯ] | [bʲoːiɴ e i t ta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 薬を飲んだほうがいいですよ。 | You had better take some medicine. | [kɯ.sɯ.ɾi.o no.ɴ.da hoː.ɡa i.i.de.sɯ.jo] | [kɯsɯɾi o noɴda hoː ŋa iː des jo]
Japanese::N5::Advice & recommendations | 今日は出かけないほうがいいです。 | You had better not go out today. | [kʲoː.ɰa de.ka.ke.na.i hoː.ɡa i.i.de.sɯ] | [kʲoːβa dekakenai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 無理をしないほうがいいです。 | You had better not overwork yourself. | [mɯ.ɾi.o ɕi.na.i hoː.ɡa i.i.de.sɯ] | [mɯɾi o ɕinai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | バスより電車で行くほうが早いです。 | Going by train is faster than by bus. | [ba.sɯ.jo.ɾi de.ɴ.ɕa.de i.kɯ hoː.ɡa ha.ja.i.de.sɯ] | [bas joɾi deɴɕa de ik hoː ŋa hajai de͍sᶍ]
Japanese::N5::Advice & recommendations | 車より電車のほうが便利です。 | Trains are more convenient than cars. | [kɯ.ɾɯ.ma.jo.ɾi de.ɴ.ɕa.no hoː.ɡa be.ɴ.ɾi.de.sɯ] | [kɯɾɯma joɾi deɴɕa no hoː ŋa beɴɾi de͍sᶍ]
Japanese::N5::Advice & recommendations | りんごよりみかんのほうが好きです。 | I like satsumas more than apples. | [ɾi.ɴ.ɡo.jo.ɾi mi.ka.ɴ.no hoː.ɡa sɯ.ki.de.sɯ̥] | [ɾiŋŋo joɾi mikaɴ no hoː ŋa sk i de͍sᶍ]
Japanese::N5::Advice & recommendations | 温かいお茶を飲んだほうがいいです。 | You had better drink warm green tea. | [a.ta.ta.ka.i o.cha.o no.ɴ.da hoː.ɡa i.i.de.sɯ] | [atatkai otɕa o noɴda hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 傘を持って行ったほうがいいです。 | You had better take an umbrella with you. | [ka.sa.o mo.ʔ.te i.ʔ.ta hoː.ɡa i.i.de.sɯ] | [kasa o mo t te i t ta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 運動をしたほうがいいです。 | You had better take some exercise. | [ɯ.ɴ.doː.o ɕi.ta hoː.ɡa i.i.de.sɯ] | [ɯndoː o ɕita hoː ŋa iː de͍sᶍ]
