German::A1::House & Home | Das Buch liegt auf dem Tisch. | The book lies on the table. | [das buːx liːkt̚ ʔaʊ̯f deːm tʰɪʃ] | [das buːx liːkt̚ aʊf dm̩ tɪʃ]
German::A1::House & Home | Ich lege das Buch auf den Tisch. | I put the book on the table. | [ʔɪç ˈleː.ɡə das buːx ʔaʊ̯f deːn tʰɪʃ] | [ɪç ˈleːɡə das buːx aʊf dn̩ tɪʃ]
German::A1::House & Home | Die Lampe hängt an der Decke. | The lamp hangs on the ceiling. | [diː ˈlam.pə hɛŋt̚ ʔan deːɐ̯ ˈdɛ.kə] | [diː ˈlampə hɛŋt̚ an dɛɐ̯ ˈdɛkə]
German::A1::House & Home | Ich hänge das Bild an die Wand. | I hang the picture on the wall. | [ʔɪç ˈhɛŋ.ə das bɪlt̚ ʔan diː vant̚] | [ɪç ˈhɛŋə das bɪlt̚ an diː vant̚]
German::A1::House & Home | Der Stuhl steht neben dem Tisch. | The chair stands next to the table. | [deːɐ̯ ʃtuːl ʃteːt̚ ˈneː.bn̩ deːm tʰɪʃ] | [dɛɐ̯ ʃtuːl ʃteːt̚ ˈneːbm̩ dm̩ tɪʃ]
German::A1::House & Home | Ich stelle den Stuhl neben den Tisch. | I put the chair next to the table. | [ʔɪç ˈʃtɛ.lə deːn ʃtuːl ˈneː.bn̩ deːn tʰɪʃ] | [ɪç ˈʃtɛlə dn̩ ʃtuːl ˈneːbm̩ dn̩ tɪʃ]
German::A1::House & Home | Die Katze sitzt unter dem Bett. | The cat sits under the bed. | [diː ˈkʰa.tsə zɪtst̚ ˈʔʊn.tɐ deːm bɛt̚] | [diː ˈkatsə zɪtst̚ ˈʊntɐ dm̩ bɛt̚]
German::A1::House & Home | Die Katze läuft unter das Bett. | The cat runs under the bed. | [diː ˈkʰa.tsə lɔʏ̯ft̚ ˈʔʊn.tɐ das bɛt̚] | [diː ˈkatsə lɔʏft̚ ˈʊntɐ das bɛt̚]
German::A1::House & Home | Das Auto steht vor dem Haus. | The car stands in front of the house. | [das ˈʔaʊ̯.to ʃteːt̚ foːɐ̯ deːm haʊ̯s] | [das ˈaʊto ʃteːt̚ foɐ̯ dm̩ haʊs]
German::A1::House & Home | Ich fahre das Auto vor das Haus. | I drive the car in front of the house. | [ʔɪç ˈfaː.ʁə das ˈʔaʊ̯.to foːɐ̯ das haʊ̯s] | [ɪç ˈfaːʁə das ˈaʊto foɐ̯ das haʊs]
German::A1::House & Home | Der Schrank steht in der Ecke. | The cupboard stands in the corner. | [deːɐ̯ ʃʁaŋk ʃteːt̚ ʔɪn deːɐ̯ ˈʔɛ.kə] | [dɛɐ̯ ʃʁaŋk ʃteːt̚ ɪn dɛɐ̯ ˈɛkə]
German::A1::House & Home | Ich stelle den Schrank in die Ecke. | I put the cupboard in the corner. | [ʔɪç ˈʃtɛ.lə deːn ʃʁaŋk ʔɪn diː ˈʔɛ.kə] | [ɪç ˈʃtɛlə dn̩ ʃʁaŋk ɪn diː ˈɛkə]
German::A1::House & Home | Die Kinder spielen im Garten. | The children play in the garden. | [diː ˈkʰɪn.dɐ ˈʃpiː.lən ʔɪm ˈɡaʁ.tn̩] | [diː ˈkɪndɐ ˈʃpiːlən ɪm ˈɡaʁtn̩]
German::A1::House & Home | Die Kinder laufen in den Garten. | The children run into the garden. | [diː ˈkʰɪn.dɐ ˈlaʊ̯.fn̩ ʔɪn deːn ˈɡaʁ.tn̩] | [diː ˈkɪndɐ ˈlaʊfn̩ ɪn dn̩ ˈɡaʁtn̩]
German::A1::House & Home | Das Sofa steht im Wohnzimmer. | The sofa stands in the living room. | [das ˈzoː.fa ʃteːt̚ ʔɪm ˈvoːn.tsɪ.mɐ] | [das ˈzoːfa ʃteːt̚ ɪm ˈvoːntsɪmɐ]
German::A1::House & Home | Wir stellen das Sofa ins Wohnzimmer. | We put the sofa into the living room. | [viːɐ̯ ˈʃtɛ.lən das ˈzoː.fa ʔɪns ˈvoːn.tsɪ.mɐ] | [viɐ̯ ˈʃtɛlən das ˈzoːfa ɪns ˈvoːntsɪmɐ]
German::A1::House & Home | Der Spiegel hängt über dem Waschbecken. | The mirror hangs above the sink. | [deːɐ̯ ˈʃpiː.ɡl̩ hɛŋt̚ ˈʔyː.bɐ deːm ˈvaʃ.bɛ.kn̩] | [dɛɐ̯ ˈʃpiːɡl̩ hɛŋt̚ ˈyːbɐ dm̩ ˈvaʃbɛkn̩]
German::A1::House & Home | Ich hänge den Spiegel über das Waschbecken. | I hang the mirror above the sink. | [ʔɪç ˈhɛŋ.ə deːn ˈʃpiː.ɡl̩ ˈʔyː.bɐ das ˈvaʃ.bɛ.kn̩] | [ɪç ˈhɛŋə dn̩ ˈʃpiːɡl̩ ˈyːbɐ das ˈvaʃbɛkn̩]
German::A1::House & Home | Die Teller stehen im Schrank. | The plates stand in the cupboard. | [diː ˈtʰɛ.lɐ ˈʃteː.ən ʔɪm ʃʁaŋk] | [diː ˈtɛlɐ ˈʃteːən ɪm ʃʁaŋk]
