Japanese::N5::Inviting, Accepting & Declining | 一緒に映画を見に行きませんか。 | Won't you go to see a movie together? | [itːɕo̞ ni eːɡa͍ o̞ mi ni iki ma͍se̞ɴ ka͍] | [iɕːo̞ ɲi eːɡa͍ o̞ mi ɲiːki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | ええ、ぜひ行きましょう。 | Yes, let's definitely go. | [eː ze̞hi iki ma͍ɕoː] | [eː ze̞çiːki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | すみません、今日はちょっと都合が悪いです。 | I'm sorry, today is a bit inconvenient for me. | [sɯ͍mi ma͍se̞ɴ kjoː wa̠ t͡ɕo̞tːo̞ t͡sɯ͍ɡoː ɡa̠ wa͍ɾɯ͍i de̞sɨ̥] | [sɯ͍mima͍se̞ŋ kjoː wa̠ t͡ɕo̞tːo̞ t͡sɯ͍ɡoː ɡa͍ wa͍ɾɯ͍i de̞s]
Japanese::N5::Inviting, Accepting & Declining | 明日のお昼ご飯を一緒に食べませんか。 | Won't you eat lunch together with me tomorrow? | [a͍ɕita͍ no̞ o̞hiɾɯ͍ɡo̞ha͍ɴ o̞ itːɕo̞ ni ta͍be̞ ma͍se̞ɴ ka͍] | [a͍ɕta͍ no̞ o̞çiɾɯ͍ɡo̞ha͍ɴ o̞ iɕːo̞ ɲi ta͍be̞ ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | いいですね。そうしましょう。 | That sounds good. Let's do that. | [iː de̞sɨ̥ ne̞ soː ɕima͍ɕoː] | [iː de̞sne̞ soː ɕima͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | 残念ですが、用事があります。 | It's a pity, but I have something to do. | [za͍ɴne̞ɴ de̞sɨ̥ ɡa̠ joːd͡ʑi ɡa̠ a̠ɾʲima͍sɨ̥] | [za͍nne̞ɴ de̞s ɡa͍ joːd͡ʑi ɡa͍ a͍ɾʲima͍s]
Japanese::N5::Inviting, Accepting & Declining | 今週末、パーティーに来ませんか。 | Won't you come to a party this weekend? | [ko̞ɴɕɯːma͍t͡sɯ͍ paːtiː ni ki ma͍se̞ɴ ka͍] | [ko̞ɴɕɯːma͍t͡s paːtiː ɲi ki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | 喜んで参加します。 | I'd love to participate. | [jo̞ɾo̞ko̞ɴde̞ sa͍ɴka͍ ɕima͍sɨ̥] | [jo̞ɾo̞ko̞ɴde̞ sa͍ŋka͍ ɕima͍s]
Japanese::N5::Inviting, Accepting & Declining | せっかくですが、行けません。 | I appreciate the invitation, but I cannot go. | [se̞kːa͍kɯ͍ de̞sɨ̥ ɡa̠ ike̞ ma͍se̞ɴ] | [se̞kːa͍kɯ͍ de̞s ɡa͍ ike̞ ma͍se̞ŋ]
Japanese::N5::Inviting, Accepting & Declining | 一緒にお茶を飲みませんか。 | Won't you drink tea together with me? | [itːɕo̞ ni o̞t͡ɕa͍ o̞ no̞mi ma͍se̞ɴ ka͍] | [iɕːo̞ ɲi o̞t͡ɕa͍ o̞ no̞mi ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | はい、喜んで。 | Yes, with pleasure. | [ha͍i jo̞ɾo̞ko̞ɴde̞] | [ha͍i jo̞ɾo̞ko̞ɴde̞]
