Japanese::N5::Family & People | わたしの家族は四人です。 | There are four people in my family. | [wa.ta.ɕi.no.ka.zo.kɯ.wa.jo.niɴ.de.sɯ. ‖] | [wa.ta.ɕi.no.ka.zo.kɯ.wa.jo.nin.des]
Japanese::N5::Family & People | 父と母がいます。 | I have a father and a mother. | [tɕi.tɕi.to.ha.ha.ɡa.i.ma.sɯ. ‖] | [tɕi.tɕi.to.ha.ha.ɡa.i.mas]
Japanese::N5::Family & People | 兄が一人います。 | I have one older brother. | [a.ni.ɡa.hi.to.ɾi.i.ma.sɯ. ‖] | [a.ni.ɡa.çi.to.ɾi.i.mas]
Japanese::N5::Family & People | 姉はいません。 | I do not have an older sister. | [a.ne.wa.i.ma.seɴ. ‖] | [a.ne.wa.i.ma.seŋ]
Japanese::N5::Family & People | 弟が二人います。 | I have two younger brothers. | [o.toː.to.ɡa.fɯ.ta.ɾi.i.ma.sɯ. ‖] | [o.toː.to.ɡa.fɯ.ta.ɾi.i.mas]
Japanese::N5::Family & People | 妹は一人です。 | I have one younger sister. | [i.moː.to.wa.hi.to.ɾi.de.sɯ. ‖] | [i.moː.to.wa.çi.to.ɾi.des]
Japanese::N5::Family & People | 田中さんのお父さんは医者です。 | Mr Tanaka's father is a doctor. | [ta.na.ka.saɴ.no.o.toː.saɴ.wa.i.ɕa.de.sɯ. ‖] | [ta.na.ka.san.no.o.toː.san.wa.i.ɕa.des]
Japanese::N5::Family & People | お母さんはお元気ですか。 | Is your mother well? | [o.kaː.saɴ.wa.o.ɡeɴ.ki.de.sɯ.ka. ‖] | [o.kaː.san.wa.o.ɡeɲ.ki.des.ka]
Japanese::N5::Family & People | お兄さんは学生ですか。 | Is your older brother a student? | [o.niː.saɴ.wa.ɡa.kɯ.seː.de.sɯ.ka. ‖] | [o.niː.san.wa.ɡak.seː.des.ka]
Japanese::N5::Family & People | お姉さんは会社員です。 | Your older sister is a company employee. | [o.neː.saɴ.wa.ka.i.ɕa.iɴ.de.sɯ. ‖] | [o.neː.san.wa.ka.i.ɕa.in.des]
Japanese::N5::Family & People | 弟さんのお名前は何ですか。 | What is your younger brother's name? | [o.toː.to.saɴ.no.o.na.ma.e.wa.naɴ.de.sɯ.ka. ‖] | [o.toː.to.san.no.o.na.ma.e.wa.nan.des.ka]
Japanese::N5::Family & People | 妹さんは何歳ですか。 | How old is your younger sister? | [i.moː.to.saɴ.wa.naɴ.sa.i.de.sɯ.ka. ‖] | [i.moː.to.san.wa.nan.sa.i.des.ka]
Japanese::N5::Family & People | この人は誰ですか。 | Who is this person? | [ko.no.çi.to.wa.da.ɾe.de.sɯ.ka. ‖] | [ko.no.çi.to.wa.da.ɾe.des.ka]
Japanese::N5::Family & People | わたしの友達です。 | This is my friend. | [wa.ta.ɕi.no.to.mo.da.tɕi.de.sɯ. ‖] | [wa.ta.ɕi.no.to.mo.da.tɕi.des]
Japanese::N5::Family & People | 男の人がいます。 | There is a man. | [o.to.ko.no.çi.to.ɡa.i.ma.sɯ. ‖] | [o.to.ko.no.çi.to.ɡa.i.mas]
Japanese::N5::Family & People | 女の人が一人います。 | There is one woman. | [oɴ.na.no.çi.to.ɡa.hi.to.ɾi.i.ma.sɯ. ‖] | [on.na.no.çi.to.ɡa.çi.to.ɾi.i.mas]
Japanese::N5::Family & People | 男の子が遊んでいます。 | A boy is playing. | [o.to.ko.no.ko.ɡa.a.so.ɴ.de.i.ma.sɯ. ‖] | [o.to.ko.no.ko.ɡa.a.son.de.i.mas]
Japanese::N5::Family & People | 女の子がいます。 | There is a girl. | [oɴ.na.no.ko.ɡa.i.ma.sɯ. ‖] | [on.na.no.ko.ɡa.i.mas]
Japanese::N5::Family & People | 子どもが三人います。 | I have three children. | [ko.do.mo.ɡa.saɴ.niɴ.i.ma.sɯ. ‖] | [ko.do.mo.ɡa.san.nin.i.mas]
Japanese::N5::Family & People | あの男の子は誰ですか。 | Who is that boy? | [a.no.o.to.ko.no.ko.wa.da.ɾe.de.sɯ.ka. ‖] | [a.no.o.to.ko.no.ko.wa.da.ɾe.des.ka]
Japanese::N5::Family & People | 友達の子供です。 | It is my friend's child. | [to.mo.da.tɕi.no.ko.do.mo.de.sɯ. ‖] | [to.mo.da.tɕi.no.ko.do.mo.des]
Japanese::N5::Family & People | 赤ちゃんが泣いています。 | The baby is crying. | [a.ka.tɕaɴ.ɡa.na.i.te.i.ma.sɯ. ‖] | [a.ka.tɕaŋ.ɡa.na.i.te.i.mas]
Japanese::N5::Family & People | 両親は日本にいます。 | My parents are in Japan. | [ɾʲoː.ɕiɴ.wa.ni.hoɴ.ni.i.ma.sɯ. ‖] | [ɾʲoː.ɕiɲ.wa.ni.hon.ni.i.mas]
Japanese::N5::Family & People | ご両親はお元気ですか。 | Are your parents well? | [ɡo.ɾʲoː.ɕiɴ.wa.o.ɡeɴ.ki.de.sɯ.ka. ‖] | [ɡo.ɾʲoː.ɕiɲ.wa.o.ɡeɲ.ki.des.ka]
Japanese::N5::Family & People | 夫と妻がいます。 | I have a husband and a wife. | [o.tto.to.tsɯ.ma.ɡa.i.ma.sɯ. ‖] | [ot.to.to.tsɯ.ma.ɡa.i.mas]
