English::A1::Numbers & counting | I have one book. | لدي كتاب واحد. | [aɪ̯ hæv wʌn bʊk] | [aɪ̯ hæv wʌn bʊk]
English::A1::Numbers & counting | There are two cats. | يوجد قطتان. | [ðɛː ɹ ɑː tuː kæts] | [ðɛə ɹ ə tuː kæts]
English::A1::Numbers & counting | She has three dogs. | لديها ثلاثة كلاب. | [ʃiː hæz θriː dɒɡz] | [ʃiː hæz θriː dɒɡz]
English::A1::Numbers & counting | There are four pens on the desk. | يوجد أربعة أقلام على المكتب. | [ðɛː ɹ ɑː fɔː pɛnz ɒn ðə dɛsk] | [ðɛə ɹ ə fɔː pɛnz ɒn ðə dɛsk]
English::A1::Numbers & counting | He has five apples. | لديه خمس تفاحات. | [hiː hæz faɪ̯v ˈæ.pl̩z] | [hiː hæz faɪ̯v ˈæ.pl̩z]
English::A1::Numbers & counting | There are six chairs in the room. | يوجد ستة كراسي في الغرفة. | [ðɛː ɹ ɑː sɪks tʃɛːz ɪn ðə ruːm] | [ðɛə ɹ ə sɪks tʃɛːz ɪn ðə ruːm]
English::A1::Numbers & counting | We have seven days in a week. | لدينا سبعة أيام في الأسبوع. | [wiː hæv ˈsɛ.vn̩ deɪ̯z ɪn ə wiːk] | [wiː hæv ˈsɛ.vn̩ deɪ̯z ɪn ə wiːk]
English::A1::Numbers & counting | There are eight student books. | يوجد ثمانية كتب للطلاب. | [ðɛː ɹ ɑː eɪ̯t ˈstjuː.dnt bʊks] | [ðɛə ɹ ə eɪ̯t ˈstjuː.dnt bʊks]
English::A1::Numbers & counting | She bought nine oranges. | اشترت تسع برتقالات. | [ʃiː bɔːt naɪ̯n ˈɒ.rɪn.dʒɪz] | [ʃiː bɔːt naɪ̯n ˈɒ.rɪn.dʒɪz]
English::A1::Numbers & counting | I see ten cars. | أرى عشر سيارات. | [aɪ̯ siː tɛn kɑːz] | [aɪ̯ siː tɛŋ kɑːz]
English::A1::Numbers & counting | There is eleven pounds left. | بفي أحد عشر جنيهاً. | [ðɛː ɹ ɪz ɪ.ˈlɛ.vn̩ paʊ̯ndz lɛft] | [ðɛəz ɪ.ˈlɛ.vn̩ paʊ̯ndz lɛft]
English::A1::Numbers & counting | There are twelve months in a year. | يوجد اثنا عشر شهراً في السنة. | [ðɛː ɹ ɑː twɛlv mʌnθs ɪn ə jɪə] | [ðɛə ɹ ə twɛlv mʌnθs ɪn ə jɪə]
English::A1::Numbers & counting | He is thirteen years old. | عمره ثلاثة عشر عاماً. | [hiː ɪz ˌθɜː.ˈtiːn jɪəz əʊ̯ld] | [hiːz ˌθɜː.ˈtiːn jɪəz əʊ̯ld]
English::A1::Numbers & counting | There are fourteen students in class. | يوجد أربعة عشر طالباً في الفصل. | [ðɛː ɹ ɑː ˌfɔː.ˈtiːn ˈstjuː.dnts ɪn klɑːs] | [ðɛə ɹ ə ˌfɔː.ˈtiːn ˈstjuː.dnts ɪn klɑːs]
English::A1::Numbers & counting | She has fifteen cups. | لديها خمسة عشر كوباً. | [ʃiː hæz ˌfɪf.ˈtiːn kʌps] | [ʃiː hæz ˌfɪf.ˈtiːn kʌps]
English::A1::Numbers & counting | There are sixteen pages in this test. | يوجد ست عشرة صفحة في هذا الاختبار. | [ðɛː ɹ ɑː ˌsɪks.ˈtiːn ˈpeɪ̯.dʒɪz ɪn ðɪs tɛst] | [ðɛə ɹ ə ˌsɪks.ˈtiːn ˈpeɪ̯.dʒɪz ɪn ðɪs tɛst]
English::A1::Numbers & counting | My brother is seventeen. | أخي عمره سبعة عشر عاماً. | [maɪ̯ ˈbrʌ.ðə ɹ ɪz ˌsɛ.vn̩.ˈtiːn] | [maɪ̯ ˈbrʌ.ðə ɹ ɪz ˌsɛ.vn̩.ˈtiːn]
English::A1::Numbers & counting | There are eighteen houses on the street. | يوجد ثمانية عشر منزلاً في الشارع. | [ðɛː ɹ ɑː ˌeɪ̯.ˈtiːn ˈhaʊ̯.zɪz ɒn ðə striːt] | [ðɛə ɹ ə ˌeɪ̯.ˈtiːn ˈhaʊ̯.zɪz ɒn ðə striːt]
English::A1::Numbers & counting | She is nineteen years old. | عمرها تسعة عشر عاماً. | [ʃiː ɪz ˌnaɪ̯n.ˈtiːn jɪəz əʊ̯ld] | [ʃiːz ˌnaɪ̯n.ˈtiːn jɪəz əʊ̯ld]
English::A1::Numbers & counting | There are twenty people here. | يوجد عشرون شخصاً هنا. | [ðɛː ɹ ɑː ˈtwɛn.ti ˈpiː.pl̩ hɪə] | [ðɛə ɹ ə ˈtwɛn.ti ˈpiː.pl̩ hɪə]
English::A1::Numbers & counting | Is there any milk in the box? | هل يوجد أي حليب في الصندوق؟ | [ɪz ðɛː ɹ ˈɛ.ni mɪlk ɪn ðə bɒks] | [ɪz ðɛə ɹ ˈɛ.ni mɪlk ɪn ðə bɒks]
English::A1::Numbers & counting | There is a glass on the table. | يوجد كوب على الطاولة. | [ðɛː ɹ ɪz ə ɡlɑːs ɒn ðə ˈteɪ̯.bl̩] | [ðɛəz ə ɡlɑːs ɒn ðə ˈteɪ̯.bl̩]
English::A1::Numbers & counting | Are there any eggs left? | هل هناك أي بيض متبقٍ؟ | [ɑː ðɛː ɹ ˈɛ.ni ɛɡz lɛft] | [ə ðɛə ɹ ˈɛ.ni ɛɡz lɛft]
English::A1::Numbers & counting | There are zero problems. | لا توجد أية مشكلات. | [ðɛː ɹ ɑː ˈzɪə.ɹəʊ̯ ˈprɒb.ləmz] | [ðɛə ɹ ə ˈzɪə.ɹəʊ̯ ˈprɒb.ləmz]
English::A1::Numbers & counting | Count from one to ten. | عد من واحد إلى عشرة. | [kaʊ̯nt frɒm wʌn t ə tɛn] | [kaʊ̯nt frəm wʌn tə tɛn]
English::A1::Numbers & counting | How many books are there? | كم عدد الكتب هناك؟ | [haʊ̯ ˈmɛ.ni bʊks ɑː ðɛː] | [haʊ̯ ˈmɛ.ni bʊks ə ðɛː]
English::A1::Numbers & counting | There is only one answer. | يوجد إجابة واحدة فقط. | [ðɛː ɹ ɪz ˈəʊ̯n.li wʌn ˈɑːn.sə] | [ðɛəz ˈəʊ̯n.li wʌn ˈɑːn.sə]
English::A1::Numbers & counting | There are thirty students. | يوجد ثلاثون طالباً. | [ðɛː ɹ ɑː ˈθɜː.ti ˈstjuː.dnts] | [ðɛə ɹ ə ˈθɜː.ti ˈstjuː.dnts]
English::A1::Numbers & counting | We have forty chairs. | لدينا أربعون كرسياً. | [wiː hæv ˈfɔː.ti tʃɛːz] | [wiː hæv ˈfɔː.ti tʃɛːz]
English::A1::Numbers & counting | There are one hundred pages. | يوجد مئة صفحة. | [ðɛː ɹ ɑː wʌn ˈhʌn.drəd ˈpeɪ̯.dʒɪz] | [ðɛə ɹ ə wʌn ˈhʌn.drəd ˈpeɪ̯.dʒɪz]
