English::A1::Days, months, dates | Today is Monday. | اليوم هو الاثنين. | [tə.ˈdeɪ̯ ɪz ˈmʌn.deɪ̯] | [tə.ˈdeɪ̯ ɪz ˈmʌn.deɪ̯]
English::A1::Days, months, dates | Tomorrow is Tuesday. | غداً هو الثلاثاء. | [tə.ˈmɒ.ɹəʊ̯ ɪz ˈtjuːz.deɪ̯] | [tə.ˈmɒ.ɹəʊ̯ ɪz ˈtjuːz.deɪ̯]
English::A1::Days, months, dates | Yesterday was Sunday. | الأمس كان الأحد. | [ˈjɛs.tə.deɪ̯ wɒz ˈsʌn.deɪ̯] | [ˈjɛs.tə.deɪ̯ wəz ˈsʌn.deɪ̯]
English::A1::Days, months, dates | The meeting is on Wednesday. | الاجتماع يوم الأربعاء. | [ðə ˈmiː.tɪŋ ɪz ɒn ˈwɛnz.deɪ̯] | [ðə ˈmiː.tɪŋ ɪz ɒn ˈwɛnz.deɪ̯]
English::A1::Days, months, dates | We play football on Thursday. | نلعب كرة القدم يوم الخميس. | [wiː pleɪ̯ ˈfʊt.bɔːl ɒn ˈθɜːz.deɪ̯] | [wiː pleɪ̯ ˈfʊt.bɔːl ɒn ˈθɜːz.deɪ̯]
English::A1::Days, months, dates | Friday is my favourite day. | الجمعة هو يومي المفضل. | [ˈfraɪ̯.deɪ̯ ɪz maɪ̯ ˈfeɪ̯.və.ɹɪt deɪ̯] | [ˈfraɪ̯.deɪ̯ ɪz maɪ̯ ˈfeɪ̯.və.ɹɪt deɪ̯]
English::A1::Days, months, dates | I work on Saturday. | أعمل يوم السبت. | [aɪ̯ wɜːk ɒn ˈsæ.tə.deɪ̯] | [aɪ̯ wɜːk ɒn ˈsæ.tə.deɪ̯]
English::A1::Days, months, dates | January is cold. | كانون الثاني (يناير) بارد. | [ˈdʒæ.nju.ə.ɹi ɪz kəʊ̯ld] | [ˈdʒæ.njə.ɹi ɪz kəʊ̯ld]
English::A1::Days, months, dates | February is a short month. | شباط (فبراير) شهر قصير. | [ˈfɛ.brʊ.ə.ɹi ɪz ə ʃɔːt mʌnθ] | [ˈfɛ.brə.ɹi ɪz ə ʃɔːt mʌnθ]
English::A1::Days, months, dates | March starts in spring. | آذار (مارس) يبدأ في الربيع. | [mɑːtʃ stɑːts ɪn sprɪŋ] | [mɑːtʃ stɑːts ɪn sprɪŋ]
English::A1::Days, months, dates | Rain comes in April. | المطر يأتي في نيسان (أبريل). | [reɪ̯n kʌmz ɪn ˈeɪ̯.prəl] | [reɪ̯ŋ kʌmz ɪn ˈeɪ̯.prəl]
