Spanish::A1::Negation and contradiction | No tengo dinero hoy. | I don't have money today. | [no ˈteŋ.go d̪i.ˈne.ɾo oi̯] | [noˈteŋ.goð̞iˈne.ɾoi̯]
Spanish::A1::Negation and contradiction | No quiero café, gracias. | I don't want coffee, thanks. | [no ˈkje.ɾo ka.ˈfe ˈɣ̞ɾa.sjas] | [noˈkje.ɾokaˈfeˈɣ̞ɾa.sjas]
Spanish::A1::Negation and contradiction | No hay nadie en casa. | There's nobody home. | [no ai̯ ˈna.ð̞je eŋ ˈka.sa] | [noai̯ˈna.ð̞jeeŋˈka.sa]
Spanish::A1::Negation and contradiction | No veo a nadie en la calle. | I don't see anyone on the street. | [no ˈβ̞e.o a ˈna.ð̞je en la ˈka.ʝe] | [noˈβ̞e.oa.ˈna.ð̞jeenla.ˈka.ʝe]
Spanish::A1::Negation and contradiction | No tengo nada que decir. | I have nothing to say. | [no ˈteŋ.go ˈna.ð̞a ke d̪e.ˈsiɾ] | [noˈteŋ.goˈna.ð̞ake.ð̞eˈsiɾ]
Spanish::A1::Negation and contradiction | No compro nada en esta tienda. | I don't buy anything at this store. | [no ˈkom.pɾo ˈna.ð̞a en ˈes.ta ˈtjen.d̪a] | [noˈkom.pɾoˈna.ð̞aenes.ta.ˈtjen.d̪a]
Spanish::A1::Negation and contradiction | Nunca llego tarde al trabajo. | I never arrive late to work. | [ˈnuŋ.ka ˈʝe.ɣ̞o ˈtaɾ.ð̞e al tɾa.ˈβ̞a.xo] | [ˈnuŋ.kaˈʝe.ɣ̞oˈtaɾ.ð̞eal.tɾaˈβ̞a.xo]
Spanish::A1::Negation and contradiction | Ella nunca come carne. | She never eats meat. | [ˈe.ʝa ˈnuŋ.ka ˈko.me ˈkaɾ.ne] | [ˈe.ʝaˈnuŋ.kaˈko.meˈkaɾ.ne]
Spanish::A1::Negation and contradiction | Siempre estudio por la noche. | I always study at night. | [ˈsjem.pɾe es.ˈtu.ð̞jo poɾ la ˈno.tʃe] | [ˈsjem.pɾeesˈtu.ð̞jopoɾ.laˈno.tʃe]
Spanish::A1::Negation and contradiction | ¿Hay algo en la mesa? | Is there something on the table? | [ai̯ ˈal.ɣ̞o en la ˈme.sa] | [ai̯ˈal.ɣ̞oenla.ˈme.sa]
Spanish::A1::Negation and contradiction | No, no hay nada en la mesa. | No, there's nothing on the table. | [no no ai̯ ˈna.ð̞a en la ˈme.sa] | [nono.ai̯ˈna.ð̞aenla.ˈme.sa]
Spanish::A1::Negation and contradiction | ¿Alguien puede ayudarme? | Can someone help me? | [ˈal.ɣ̞jem ˈpwe.ð̞e a.ʝu.ˈð̞aɾ.me] | [ˈal.ɣ̞jemˈpwe.ð̞ea.ʝuˈð̞aɾ.me]
Spanish::A1::Negation and contradiction | No, nadie puede ayudarte ahora. | No, nobody can help you right now. | [no ˈna.ð̞je ˈpwe.ð̞e a.ʝu.ˈð̞aɾ.te a.ˈo.ɾa] | [noˈna.ð̞jepwe.ð̞ea.ʝuˈð̞aɾ.teaˈo.ɾa]
Spanish::A1::Negation and contradiction | No me gusta ni el té ni el café. | I don't like either tea or coffee. | [no me ˈɣ̞us.ta ni el ˈte ni el ka.ˈfe] | [nomeˈɣ̞us.tanjel.ˈteniel.kaˈfe]
Spanish::A1::Negation and contradiction | No voy nunca al cine solo. | I never go to the movies alone. | [no boi̯ ˈnuŋ.ka al ˈsi.ne ˈso.lo] | [noβoi̯ˈnuŋ.kaal.ˈsi.neˈso.lo]
Spanish::A1::Negation and contradiction | Ella no habla ni inglés ni francés. | She speaks neither English nor French. | [ˈe.ʝa no ˈa.β̞la ni iŋ.ˈɡ̞les ni fɾan.ˈses] | [ˈe.ʝanoˈa.β̞lani.iŋˈɡ̞lesnifɾanˈses]
Spanish::A1::Negation and contradiction | No conozco a nadie en esta ciudad. | I don't know anyone in this city. | [no ko.ˈnos.ko a ˈna.ð̞je en ˈes.ta sju.ˈð̞að̞] | [noko.ˈnos.koa.ˈna.ð̞jeenesta.sjuˈð̞að̞]
Spanish::A1::Negation and contradiction | No tenemos ningún problema. | We don't have any problem. | [no te.ˈne.mos niŋ.ˈɡ̞um pɾo.ˈβ̞le.ma] | [note.ˈne.mosniŋˈɡ̞um.pɾoˈβ̞le.ma]
Spanish::A1::Negation and contradiction | Él no dice nada interesante. | He doesn't say anything interesting. | [el no ˈd̪i.se ˈna.ð̞a in.te.ɾe.ˈsan.te] | [elnoˈd̪i.seˈna.ð̞ainˌteɾeˈsan.te]
Spanish::A1::Negation and contradiction | No hay ninguna tienda cerca. | There's no store nearby. | [no ai̯ niŋ.ˈɡ̞u.na ˈtjen.d̪a ˈseɾ.ka] | [noai̯niŋˈɡ̞u.naˈtjen.d̪aˈseɾ.ka]
Spanish::A1::Negation and contradiction | Nunca hago ejercicio los domingos. | I never exercise on Sundays. | [ˈnuŋ.ka ˈa.ɣ̞o e.xeɾ.ˈsi.sjo loz ð̞o.ˈmiŋ.gos] | [ˈnuŋ.kaˈa.ɣ̞oe.xeɾˈsi.sjolo.ð̞oˈmiŋ.gos]
Spanish::A1::Negation and contradiction | No queremos ir a ninguna parte. | We don't want to go anywhere. | [no ke.ˈɾe.mos iɾ a niŋ.ˈɡ̞u.na ˈpaɾ.te] | [noke.ˈɾe.mosiɾ.aniŋˈɡ̞u.naˈpaɾ.te]
Spanish::A1::Negation and contradiction | Nadie sabe la respuesta correcta. | Nobody knows the correct answer. | [ˈna.ð̞je ˈsa.β̞e la res.ˈpwes.ta ko.ˈrek.ta] | [ˈna.ð̞jeˈsa.β̞ela.resˈpwes.takoˈrek.ta]
