Japanese::N5::Comparisons & superlatives | りんごのほうがみかんよりおおきいです。 | The apple is bigger than the mandarin orange. | [ɾi.ŋɡo no hoː ɡa mi.kaɴ jo.ɾi oː.kiː de͍.sɯ̟] | [ɾʲiŋ.ŋo.no.oː.ɣa.mi.kaɴ.jo.ɾʲi.oː.kiː.de͍s]
Japanese::N5::Comparisons & superlatives | このほんはそのほんよりおもしろいです。 | This book is more interesting than that book. | [ko.no hoɴ wa so.no hoɴ jo.ɾi o.mo.ɕi.ɾo.i de͍.sɯ̟] | [ko.no.hoɴ.wa.so.no.hoɴ.jo.ɾʲi.o.mo.ɕi.ɾo.i.de͍s]
Japanese::N5::Comparisons & superlatives | きょうはきのうよりさむいです。 | Today is colder than yesterday. | [kʲoː wa ki.noː jo.ɾi sa.mɯ̟.i de͍.sɯ̟] | [kʲoː.wa.ki.noː.jo.ɾʲi.sa.mɯ̟.i.de͍s]
Japanese::N5::Comparisons & superlatives | くるまのほうがじてんしゃよりはやいです。 | Cars are faster than bicycles. | [kɯ̟.ɾɯ̟.ma no hoː ɡa dʑi.teɴ.ɕa jo.ɾi ha.ja.i de͍.sɯ̟] | [kɯ̟.ɾɯ̟.ma.no.oː.ɣa.dʑi.teɴ.ɕa.jo.ɾʲi.ha.ja.i.de͍s]
Japanese::N5::Comparisons & superlatives | にほんごはえいごよりむずかしいですか。 | Is Japanese more difficult than English? | [ni.hoɴ.ɡo wa eː.ɡo jo.ɾi mɯ̟.zɯ̟.ka.ɕiː de͍.sɯ̟ ka] | [ni.hoɴ.ŋo.wa.eː.ŋo.jo.ɾʲi.mɯ̟.zɯ̟.ka.ɕiː.de͍s.ka]
Japanese::N5::Comparisons & superlatives | たなかさんのほうがおおのさんよりせんが高いです。 | Mr. Tanaka is taller than Mr. Ono. | [ta.na.ka saɴ no hoː ɡa oː.no saɴ jo.ɾi seɴ ɡa ta.ka.i de͍.sɯ̟] | [ta.na.ka.saɴ.no.oː.ɣa.oː.no.saɴ.jo.ɾʲi.seɴ.ŋa.ta.ka.i.de͍s]
Japanese::N5::Comparisons & superlatives | すいかのほうがめろんよりおもいです。 | Watermelons are heavier than melons. | [sɯ̟.i.ka no hoː ɡa me.ɾoɴ jo.ɾi o.mo.i de͍.sɯ̟] | [sɯ̟.i.ka.no.oː.ɣa.me.ɾoɴ.jo.ɾʲi.o.mo.i.de͍s]
Japanese::N5::Comparisons & superlatives | なつのほうがふゆよりすきです。 | I like summer more than winter. | [na.tsɯ̟ no hoː ɡa execution.fɯ̟.jɯ̟ jo.ɾi sɯ̟.ki de͍.sɯ̟] | [na.tsɯ̟.no.oː.ɣa.fɯ̟.jɯ̟.jo.ɾʲi.sɯ̟.ki.de͍s]
Japanese::N5::Comparisons & superlatives | このへやはあのへやよりひろいです。 | This room is more spacious than that room over there. | [ko.no he.ja wa a.no he.ja jo.ɾi çi.ɾo.i de͍.sɯ̟] | [ko.no.he.ja.wa.a.no.he.ja.jo.ɾʲi.çi.ɾo.i.de͍s]
Japanese::N5::Comparisons & superlatives | ひこうきのほうがでんしゃよりたかいです。 | Airplanes are more expensive than trains. | [çi.koː.ki no hoː ɡa deɴ.ɕa jo.ɾi ta.ka.i de͍.sɯ̟] | [çi.koː.ki.no.oː.ɣa.deɴ.ɕa.jo.ɾʲi.ta.ka.i.de͍s]
Japanese::N5::Comparisons & superlatives | くだもののなかでいちばんすきなものはなんですか。 | What is your favourite thing among fruit? | [kɯ̟.da.mo.no no na.ka de i.tɕi.baɴ sɯ̟.ki na mo.no wa naɴ de͍.sɯ̟ ka] | [kɯ̟.da.mo.no.no.na.ka.de.i.tɕi.baɴ.sɯ̟.ki.na.mo.no.wa.naɴ.de͍s.ka]
Japanese::N5::Comparisons & superlatives | いちばんあつい月は８月です。 | The hottest month is August. | [i.tɕi.baɴ a.tsɯ̟.i tsɯ̟.ki wa ha.tɕi.ɡa.tsɯ̟ de͍.sɯ̟] | [i.tɕi.baɴ.a.tsɯ̟.i.tsɯ̟.ki.wa.ha.tɕi.ɡa.tsɯ̟.de͍s]
Japanese::N5::Comparisons & superlatives | スポーツのなかでサッカーがいちばんおもしろいです。 | Football is the most interesting sport among all sports. | [sɯ̟.poː.tsɯ̟ no na.ka de sa/kaː ɡa i.tɕi.baɴ o.mo.ɕi.ɾo.i de͍.sɯ̟] | [sɯ̟.poː.tsɯ̟.no.na.ka.de.sa/kaː.ɣa.i.tɕi.baɴ.o.mo.ɕi.ɾo.i.de͍s]
Japanese::N5::Comparisons & superlatives | くらすでだれがいちばんせが高いですか。 | Who is the tallest person in the class? | [kɯ̟.ɾa.sɯ̟ de da.ɾe ɡa i.tɕi.baɴ se ɡa ta.ka.i de͍.sɯ̟ ka] | [kɯ̟.ɾa.sɯ̟.de.da.ɾe.ɣa.i.tɕi.baɴ.se.ŋa.ta.ka.i.de͍s.ka]
Japanese::N5::Comparisons & superlatives | にほんでいちばんたかいやまはふじさんです。 | The highest mountain in Japan is Mount Fuji. | [ni.hoɴ de i.tɕi.baɴ ta.ka.i ja.ma wa execution.fɯ̟.dʑi.saɴ de͍.sɯ̟] | [ni.hoɴ.de.i.tɕi.baɴ.ta.ka.i.ja.ma.wa.fɯ̟.dʑi.saɴ.de͍s]
Japanese::N5::Comparisons & superlatives | いちばんちかいえきはどこですか。 | Where is the nearest station? | [i.tɕi.baɴ tɕi.ka.i e.ki wa do.ko de͍.sɯ̟ ka] | [i.tɕi.baɴ.tɕi.ka.i.e.ki.wa.do.ko.de͍s.ka]
Japanese::N5::Comparisons & superlatives | このみせでいちばんやすいりょうりはどれですか。 | Which is the cheapest dish in this restaurant? | [ko.no mi.se de i.tɕi.baɴ ja.sɯ̟.i ɾʲoː.ɾi wa do.ɾe de͍.sɯ̟ ka] | [ko.no.mi.se.de.i.tɕi.baɴ.ja.sɯ̟.i.ɾʲoː.ɾʲi.wa.do.ɾe.de͍s.ka]
Japanese::N5::Comparisons & superlatives | 一年でいちばんいそがしい月は十二月です。 | The busiest month of the year is December. | [i.tɕi.neɴ de i.tɕi.baɴ i.so.ɡa.ɕiː tsɯ̟.ki wa dʑuː.ni.ɡa.tsɯ̟ de͍.sɯ̟] | [i.tɕi.neɴ.de.i.tɕi.baɴ.i.so.ɣa.ɕiː.tsɯ̟.ki.wa.dʑuː.ni.ɡa.tsɯ̟.de͍s]
Japanese::N5::Comparisons & superlatives | かぞくでだれがいちばんりょうりがじょうずですか。 | Who is the best at cooking in your family? | [ka.zo.kɯ̟ de da.ɾe ɡa i.tɕi.baɴ ɾʲoː.ɾi ɡa dʑoː.zɯ̟ de͍.sɯ̟ ka] | [ka.zo.kɯ̟.de.da.ɾe.ɣa.i.tɕi.baɴ.ɾʲoː.ɾʲi.ŋa.dʑoː.zɯ̟.de͍s.ka]
Japanese::N5::Comparisons & superlatives | わたしはいぬがいちばんすきです。 | I like dogs the best. | [wa.ta.ɕi wa i.nɯ̟ ɡa i.tɕi.baɴ sɯ̟.ki de͍.sɯ̟] | [wa.ta.ɕi.wa.i.nɯ̟.ɣa.i.tɕi.baɴ.sɯ̟.ki.de͍s]
Japanese::N5::Comparisons & superlatives | にほんごとえいごとどちらがむずかしいですか。 | Which is more difficult, Japanese or English? | [ni.hoɴ.ɡo to eː.ɡo to do.tɕi.ɾa ɡa mɯ̟.zɯ̟.ka.ɕiː de͍.sɯ̟ ka] | [ni.hoɴ.ŋo.to.eː.ŋo.to.do.tɕi.ɾa.ɣa.mɯ̟.zɯ̟.ka.ɕiː.de͍s.ka]
Japanese::N5::Comparisons & superlatives | にほんごのほうかむずかしいです。 | Japanese is more difficult. | [ni.hoɴ.ɡo no hoː ɡa mɯ̟.zɯ̟.ka.ɕiː de͍.sɯ̟] | [ni.hoɴ.ŋo.no.oː.ɣa.mɯ̟.zɯ̟.ka.ɕiː.de͍s]
Japanese::N5::Comparisons & superlatives | サッカーとベースボールとどちらがすきですか。 | Which do you like better, football or baseball? | [sa/kaː to beː.sɯ̟.boː.ɾɯ̟ to do.tɕi.ɾa ɡa sɯ̟.ki de͍.sɯ̟ ka] | [sa/kaː.to.beː.sɯ̟.boː.ɾɯ̟.to.do.tɕi.ɾa.ɣa.sɯ̟.ki.de͍s.ka]
Japanese::N5::Comparisons & superlatives | どちらもすきです。 | I like both. | [do.tɕi.ɾa mo sɯ̟.ki de͍.sɯ̟] | [do.tɕi.ɾa.mo.sɯ̟.ki.de͍s]
Japanese::N5::Comparisons & superlatives | バスとでんしゃとどちらがはやいですか。 | Which is faster, the bus or the train? | [ba.sɯ̟ to deɴ.ɕa to do.tɕi.ɾa ɡa ha.ja.i de͍.sɯ̟ ka] | [ba.sɯ̟.to.deɴ.ɕa.to.do.tɕi.ɾa.ɣa.ha.ja.i.de͍s.ka]
Japanese::N5::Comparisons & superlatives | でんしゃのほうホールはやいです。 | The train is faster. | [deɴ.ɕa no hoː ɡa ha.ja.i de͍.sɯ̟] | [deɴ.ɕa.no.oː.ɣa.ha.ja.i.de͍s]
Japanese::N5::Comparisons & superlatives | コーヒーとこうちゃとどちらがいいですか。 | Which would you prefer, coffee or tea? | [koː.çiː to koː.tɕa to do.tɕi.ɾa ɡa iː de͍.sɯ̟ ka] | [koː.çiː.to.koː.tɕa.to.do.tɕi.ɾa.ɣa.iː.de͍s.ka]
Japanese::N5::Comparisons & superlatives | コーヒーをお願いします。 | Coffee, please. | [koː.çiː o o.ne.ɡa.i ɕi.ma.sɯ̟] | [koː.çiː.o.o.ne.ɣa.i.ɕi.mas]
Japanese::N5::Comparisons & superlatives | わたしはあにほどせが高くないです。 | I am not as tall as my older brother. | [wa.ta.ɕi wa a.ni ho.do se ɡa ta.ka.kɯ̟ na.i de͍.sɯ̟] | [wa.ta.ɕi.wa.a.ni.ho.do.se.ŋa.ta.ka.kɯ̟.na.i.de͍s]
Japanese::N5::Comparisons & superlatives | きょうはきのうほどさむくないです。 | Today is not as cold as yesterday. | [kʲoː wa ki.noː ho.do sa.mɯ̟.kɯ̟ na.i de͍.sɯ̟] | [kʲoː.wa.ki.noː.ho.do.sa.mɯ̟.kɯ̟.na.i.de͍s]
