Spanish::A1::Family and relationships | Esta es mi familia. | This is my family. | [ˈes.ta ez mi faˈmi.lja] | [ˈeh.taezmifaˈmilja]
Spanish::A1::Family and relationships | Mi padre se llama Juan. | My father's name is Juan. | [mi ˈpa.ðɾe se ˈʝa.ma xwan] | [mipaðɾeseˈʝamaxwan]
Spanish::A1::Family and relationships | Mi madre se llama Rosa. | My mother's name is Rosa. | [mi ˈma.ðɾe se ˈʝa.ma ˈro.sa] | [mimaðɾeseˈʝamaˈrosa]
Spanish::A1::Family and relationships | Tengo dos hermanos. | I have two brothers. | [ˈteŋ.ɡo dos eɾˈma.nos] | [ˈteŋ.ɣoðozeɾˈma.noh]
Spanish::A1::Family and relationships | Tengo una hermana. | I have one sister. | [ˈteŋ.ɡo ˈu.na eɾˈma.na] | [ˈteŋ.ɣoˈu.najɾˈma.na]
Spanish::A1::Family and relationships | Mi hermano mayor es Pablo. | My older brother is Pablo. | [mi eɾˈma.no maˈʝoɾ es ˈpa.βlo] | [mjeɾˈma.nomaˈʝoɾesˈpaβlo]
Spanish::A1::Family and relationships | Mi hermana menor es Sofía. | My younger sister is Sofía. | [mi eɾˈma.na meˈnoɾ es soˈfi.a] | [mjeɾˈma.namenoɾesoˈfi.a]
Spanish::A1::Family and relationships | Mis padres son de Colombia. | My parents are from Colombia. | [mis ˈpa.ðɾes son de koˈlom.bja] | [mihˈpa.ðɾesondekoˈlom.bja]
Spanish::A1::Family and relationships | Tu familia es grande. | Your family is big. | [tu faˈmi.lja ez ˈɡɾan.de] | [tufaˈmiljazˈɡɾande]
Spanish::A1::Family and relationships | Su familia es pequeña. | His/her family is small. | [su faˈmi.lja es peˈke.ɲa] | [sufaˈmiljaespeˈkeɲa]
Spanish::A1::Family and relationships | Nuestra familia es unida. | Our family is close. | [ˈnwes.tɾa faˈmi.lja es uˈni.ða] | [ˈnwehtɾafaˈmiljaesuˈni.a]
Spanish::A1::Family and relationships | Mis abuelos viven en México. | My grandparents live in Mexico. | [mis aˈβwe.los ˈbi.βen en ˈme.xi.ko] | [misaˈβwe.lozˈbi.βeneŋˈme.xiko]
Spanish::A1::Family and relationships | El hijo de mi tío es mi primo. | My uncle's son is my cousin. | [el ˈi.xo de mi ˈti.o ez mi ˈpɾi.mo] | [eˈli.xoðemiˈti.oezmiˈpɾimo]
Spanish::A1::Family and relationships | La hija de mi tía es mi prima. | My aunt's daughter is my cousin. | [la ˈi.xa de mi ˈti.a ez mi ˈpɾi.ma] | [laˈi.xaðemiˈti.aezmiˈpɾima]
Spanish::A1::Family and relationships | Mis tíos tienen tres hijos. | My aunts and uncles have three children. | [mis ˈti.os ˈtje.nen tɾes ˈi.xos] | [mihˈti.osˈtjenentɾeˈsi.xoh]
Spanish::A1::Family and relationships | El esposo de mi hermana es mi cuñado. | My sister's husband is my brother-in-law. | [el esˈpo.so de mi eɾˈma.na ez mi kuˈɲa.ðo] | [eleˈspo.soðemjeɾˈma.naezmikuˈɲa.o]
Spanish::A1::Family and relationships | La esposa de mi hermano es mi cuñada. | My brother's wife is my sister-in-law. | [la esˈpo.sa de mi eɾˈma.no ez mi kuˈɲa.ða] | [laeˈspo.saðemjeɾˈma.noezmikuˈɲa.a]
Spanish::A1::Family and relationships | Mis sobrinos son pequeños. | My nephews are small. | [mis soˈβɾi.nos som peˈke.ɲos] | [misoˈβɾi.nosompeˈkeɲoh]
Spanish::A1::Family and relationships | Mi sobrina se llama Elena. | My niece's name is Elena. | [mi soˈβɾi.na se ˈʝa.ma eˈle.na] | [misoˈβɾi.naseˈʝamaeˈlena]
Spanish::A1::Family and relationships | El padre de mi padre es mi abuelo. | My father's father is my grandfather. | [el ˈpa.ðɾe de mi ˈpa.ðɾe ez mi aˈβwe.lo] | [elˈpa.ðɾeðemiˈpa.ðɾeezmjaˈβwelo]
Spanish::A1::Family and relationships | La madre de mi madre es mi abuela. | My mother's mother is my grandmother. | [la ˈma.ðɾe de mi ˈma.ðɾe ez mi aˈβwe.la] | [laˈma.ðɾeðemiˈma.ðɾeezmjaˈβwela]
Spanish::A1::Family and relationships | Somos una familia feliz. | We are a happy family. | [ˈso.mos ˈu.na faˈmi.lja feˈlis] | [ˈso.mosˈu.nafaˈmiljafeˈlih]
Spanish::A1::Family and relationships | Mi esposo trabaja mucho. | My husband works a lot. | [mi esˈpo.so tɾaˈβa.xa ˈmu.tʃo] | [mjeˈspo.sotɾaˈβaxaˈmutʃo]
Spanish::A1::Family and relationships | Mi esposa trabaja en un hospital. | My wife works in a hospital. | [mi esˈpo.sa tɾaˈβa.xa en un os.piˈtal] | [mjeˈspo.satɾaˈβaxaenunospiˈtal]
Spanish::A1::Family and relationships | Tengo un hijo y una hija. | I have a son and a daughter. | [ˈteŋ.ɡo un ˈi.xo i ˈu.na ˈi.xa] | [ˈteŋ.ɣoˈuni.xojˈu.naˈi.xa]
Spanish::A1::Family and relationships | Mis hijos van a la escuela. | My children go to school. | [mis ˈi.xos ban a la esˈkwe.la] | [mihˈi.xozβanalaeˈskwela]
Spanish::A1::Family and relationships | La casa de mis padres es grande. | My parents' house is big. | [la ˈka.sa de mis ˈpa.ðɾes ez ˈɡɾan.de] | [laˈka.saðemihˈpa.ðɾezˈɡɾande]
Spanish::A1::Family and relationships | El perro de mi hermano es simpático. | My brother's dog is friendly. | [el ˈpe.ro de mi eɾˈma.no es simˈpa.ti.ko] | [elˈpe.rodemjeɾˈma.noessimˈpatiko]
Spanish::A1::Family and relationships | Los libros de mi hermana están aquí. | My sister's books are here. | [los ˈli.βɾos de mi eɾˈma.na esˈtan aˈki] | [lozˈli.βɾozðemjeɾˈma.naehˈtanaˈki]
Spanish::A1::Family and relationships | Nuestros abuelos son mayores. | Our grandparents are elderly. | [ˈnwes.tɾos aˈβwe.los som maˈʝo.ɾes] | [ˈnwehtɾosaˈβwelosommaˈʝoɾeh]
