Japanese::N5::い-Adjectives | この本は面白いです。 | This book is interesting. | [ko.no.hoɴ.wa.o.mo.ɕi.ɾo.i.de.sɯ. ‖] | [ko.no.ho.nwa.o.mo.ɕi.ɾo.i.des]
Japanese::N5::い-Adjectives | あの映画は面白くないです。 | That movie is not interesting. | [a.no.eː.ɡa.wa.o.mo.ɕi.ɾo.kɯ.na.i.de.sɯ. ‖] | [a.no.eː.ɡa.wa.o.mo.ɕi.ɾo.kɯ.na.i.des]
Japanese::N5::い-Adjectives | 今日は暑いです。 | Today is hot. | [kʲoː.wa.a.tsɯ.i.de.sɯ. ‖] | [kʲoː.wa.a.tsɯ.i.des]
Japanese::N5::い-Adjectives | 昨日は暑くなかったです。 | Yesterday was not hot. | [ki.noː.wa.a.tsɯ.kɯ.na.kat.ta.de.sɯ. ‖] | [ki.noː.wa.a.tsɯ.kɯ.na.kat.ta.des]
Japanese::N5::い-Adjectives | このお茶は熱いです。 | This tea is hot. | [ko.no.o.tɕa.wa.a.tsɯ.i.de.sɯ. ‖] | [ko.no.o.tɕa.wa.a.tsɯ.i.des]
Japanese::N5::い-Adjectives | 日本の冬は寒いです。 | Winter in Japan is cold. | [ni.hoɴ.no.fɯ.jɯ.wa.sa.mɯ.i.de.sɯ. ‖] | [ni.hoɴ.no.fɯ.jɯ.wa.sa.mɯ.i.des]
Japanese::N5::い-Adjectives | 昨日はとても寒かったです。 | Yesterday was very cold. | [ki.noː.wa.to.te.mo.sa.mɯ.kat.ta.de.sɯ. ‖] | [ki.noː.wa.to.te.mo.sa.mɯ.kat.ta.des]
Japanese::N5::い-Adjectives | この料理は美味しいです。 | This food is delicious. | [ko.no.ɾʲoː.ɾi.wa.o.i.ɕiː.de.sɯ. ‖] | [ko.no.ɾʲoː.ɾi.wa.o.i.ɕiː.des]
Japanese::N5::い-Adjectives | あまり美味しくないです。 | It is not very delicious. | [a.ma.ɾi.o.i.ɕi.kɯ.na.i.de.sɯ. ‖] | [a.ma.ɾi.o.i.ɕi.kɯ.na.i.des]
Japanese::N5::い-Adjectives | このカメラは高いです。 | This camera is expensive. | [ko.no.ka.me.ɾa.wa.ta.ka.i.de.sɯ. ‖] | [ko.no.ka.me.ɾa.wa.ta.ka.i.des]
Japanese::N5::い-Adjectives | その鞄は安いです。 | That bag is cheap. | [so.no.ka.baɴ.wa.ja.sɯ.i.de.sɯ. ‖] | [so.no.ka.ba.nwa.ja.sɯ.i.des]
