Japanese::N5::Mixed review & integration | 毎日日本語を勉強します。 | I study Japanese every day. | [ma.i.ɲi.tɕi.ɲi.hoŋ.ɡo.o.beɴ.kjoː.ɕi.ma.sɯ̥] | [maːɲtɕɲiŋɡoːbeŋkjoːɕmas]
Japanese::N5::Mixed review & integration | 昨日は雨が降りました。 | It rained yesterday. | [ki.noː.wa.a.me.ɡa.ɸɯ.ɾi.ma.ɕi.ta] | [knoːwaːmeɡaɸɯɾʲmɕta]
Japanese::N5::Mixed review & integration | 辞書を見てもいいですか。 | May I look at a dictionary? | [dʑi.ɕo.o.mi.te.mo.iː.de.sɯ.ka] | [dʑiɕoːmteːdeːka]
Japanese::N5::Mixed review & integration | 図書館で本を三冊借りました。 | I borrowed three books at the library. | [to.ɕo.kaɴ.de.hoɴ.o.saɴ.sa.tsɯ.ka.ɾi.ma.ɕi.ta] | [toɕokaɴdehoɴosaɴsatsɯkaɾʲmɕta]
Japanese::N5::Mixed review & integration | 部屋に誰もいませんでした。 | There was no one in the room. | [he.ja.ɲi.da.ɾe.mo.i.ma.seɴ.de.ɕi.ta] | [hejaɲdaɾemoːmaseɴdeɕta]
Japanese::N5::Mixed review & integration | 時間がないからタクシーで行きましょう。 | Let's go by taxi because we don't have time. | [dʑi.kaɴ.ɡa.na.i.ka.ɾa.ta.kɯ.ɕiː.de.i.ki.ma.ɕoː] | [dʑikaŋɡanaikaɾataku͍ɕiːdeːkmaɕoː]
Japanese::N5::Mixed review & integration | 冷たい水を一杯飲みたいです。 | I want to drink a glass of cold water. | [tsɯ.me.ta.i.mi.zɯ.o.iː.pa.i.no.mi.ta.i.de.sɯ] | [tsɯmetaimizɯoipːaiɲomtaides]
Japanese::N5::Mixed review & integration | この料理はあまり辛くないです。 | This food is not very spicy. | [ko.no.ɾjoː.ɾi.wa.a.ma.ɾi.ka.ɾa.kɯ.na.i.de.sɯ] | [koɲoɾjoːɾiwaːmaɾikaɾaknades]
Japanese::N5::Mixed review & integration | 来週の土曜日に友達と映画を見に行きます。 | I am going to see a movie with a friend next Saturday. | [ra.i.ɕɯː.no.do.joː.bi.ɲi.to.mo.da.tɕi.to.eː.ɡa.o.mi.ɲi.i.ki.ma.sɯ] | [raːɕɯːɲdojoːbɲtomdatɕto eːɡao mɲiːkmas]
Japanese::N5::Mixed review & integration | 窓を開けないでください。 | Please do not open the window. | [ma.do.o.a.ke.na.i.de.kɯ.da.sa.i] | [madooakeɲaːdekda sai]
Japanese::N5::Mixed review & integration | 父は会社員で母は教師です。 | My father is a company employee, and my mother is a teacher. | [tɕi.tɕi.wa.ka.i.ɕa.iɴ.de.ha.ha.wa.kjoː.ɕi.de.sɯ] | [tɕtɕiwakaːɕaːnde haha wakjoːɕides]
