German::A1::Food & Drink | Ich möchte einen Kaffee. | I would like a coffee. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nən kʰaˈfeː] | [ɪç ˈmœçtə n̩ kaˈfeː]
German::A1::Food & Drink | Ich möchte einen Tee. | I would like a tea. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nən tʰeː] | [ɪç ˈmœçtə n̩ teː]
German::A1::Food & Drink | Ich möchte ein Wasser. | I would like a water. | [ʔɪç ˈmœç.tə ʔaɪ̯n ˈva.sɐ] | [ɪç ˈmœçtn̩ ˈvasɐ]
German::A1::Food & Drink | Ich möchte eine Cola. | I would like a cola. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nə ˈkʰoː.la] | [ɪç ˈmœçtə nə ˈkoːla]
German::A1::Food & Drink | Ich esse einen Apfel. | I am eating an apple. | [ʔɪç ˈʔɛ.sə ˈʔaɪ̯.nən ˈʔap.fl̩] | [ɪç ˈɛsə n̩ ˈapfl̩]
German::A1::Food & Drink | Ich esse eine Banane. | I am eating a banana. | [ʔɪç ˈʔɛ.sə ˈʔaɪ̯.nə baˈnaː.nə] | [ɪç ˈɛsə nə baˈnaːnə]
German::A1::Food & Drink | Ich esse ein Brot. | I am eating bread. | [ʔɪç ˈʔɛ.sə ʔaɪ̯n bʁoːt̚] | [ɪç ˈɛsn̩ bʁoːt̚]
German::A1::Food & Drink | Ich esse einen Kuchen. | I am eating a cake. | [ʔɪç ˈʔɛ.sə ˈʔaɪ̯.nən ˈkʰuː.xn̩] | [ɪç ˈɛsə n̩ ˈkuːxn̩]
German::A1::Food & Drink | Ich trinke einen Saft. | I am drinking a juice. | [ʔɪç ˈtʰʁɪŋ.kə ˈʔaɪ̯.nən zaft] | [ɪç ˈtʁɪŋkə n̩ zaft]
German::A1::Food & Drink | Ich trinke ein Bier. | I am drinking a beer. | [ʔɪç ˈtʰʁɪŋ.kə ʔaɪ̯n biːɐ̯] | [ɪç ˈtʁɪŋkn̩ biːɐ]
German::A1::Food & Drink | Ich trinke einen Wein. | I am drinking a wine. | [ʔɪç ˈtʰʁɪŋ.kə ˈʔaɪ̯.nən vaɪ̯n] | [ɪç ˈtʁɪŋkə n̩ vaɪn]
German::A1::Food & Drink | Er möchte eine Suppe. | He would like a soup. | [ʔeːɐ̯ ˈmœç.tə ˈʔaɪ̯.nə ˈzʊ.pə] | [ɛɐ̯ ˈmœçtə nə ˈzʊpə]
German::A1::Food & Drink | Sie möchte einen Salat. | She would like a salad. | [ziː ˈmœç.tə ˈʔaɪ̯.nən zaˈlaːt̚] | [ziː ˈmœçtə n̩ zaˈlaːt̚]
German::A1::Food & Drink | Wir möchten ein Frühstück. | We would like a breakfast. | [viːɐ̯ ˈmœç.tn̩ ʔaɪ̯n ˈfʁyː.ʃtʏk] | [viɐ̯ ˈmœçtn̩ ˈfʁyːʃtʏk]
German::A1::Food & Drink | Ich kaufe ein Brot. | I am buying a bread. | [ʔɪç ˈkʰaʊ̯.fə ʔaɪ̯n bʁoːt̚] | [ɪç ˈkaʊfə bʁoːt̚]
German::A1::Food & Drink | Ich kaufe einen Käse. | I am buying a cheese. | [ʔɪç ˈkʰaʊ̯.fə ˈʔaɪ̯.nən ˈkʰɛː.zə] | [ɪç ˈkaʊfə n̩ ˈkɛːzə]
German::A1::Food & Drink | Ich kaufe eine Wurst. | I am buying a sausage. | [ʔɪç ˈkʰaʊ̯.fə ˈʔaɪ̯.nə vʊʁst] | [ɪç ˈkaʊfə nə vʊɐ̯st]
German::A1::Food & Drink | Ich kaufe einen Fisch. | I am buying a fish. | [ʔɪç ˈkʰaʊ̯.fə ˈʔaɪ̯.nən fɪʃ] | [ɪç ˈkaʊfə n̩ fɪʃ]
German::A1::Food & Drink | Ich koche eine Suppe. | I am cooking a soup. | [ʔɪç ˈkʰɔ.xə ˈʔaɪ̯.nə ˈzʊ.pə] | [ɪç ˈkɔxə nə ˈzʊpə]
German::A1::Food & Drink | Ich koche einen Reis. | I am cooking a rice. | [ʔɪç ˈkʰɔ.xə ˈʔaɪ̯.nən ʁaɪ̯s] | [ɪç ˈkɔxə n̩ ʁaɪs]
German::A1::Food & Drink | Ich brauche Butter. | I need butter. | [ʔɪç ˈbʁaʊ̯.xə ˈbʊ.tɐ] | [ɪç ˈbʁaʊxə ˈbʊtɐ]
German::A1::Food & Drink | Ich brauche Zucker. | I need sugar. | [ʔɪç ˈbʁaʊ̯.xə ˈtsʊ.kɐ] | [ɪç ˈbʁaʊxə ˈtsʊkɐ]
German::A1::Food & Drink | Ich brauche Salz. | I need salt. | [ʔɪç ˈbʁaʊ̯.xə zalts] | [ɪç ˈbʁaʊxə zalts]
German::A1::Food & Drink | Ich brauche Milch. | I need milk. | [ʔɪç ˈbʁaʊ̯.xə mɪlç] | [ɪç ˈbʁaʊxə mɪlç]
German::A1::Food & Drink | Hast du Hunger? | Are you hungry? | [hast duː ˈhʊŋ.ɐ] | [hastə ˈhʊŋɐ]
German::A1::Food & Drink | Ich habe Hunger. | I am hungry. | [ʔɪç ˈhaː.bə ˈhʊŋ.ɐ] | [ɪç ˈhaːbə ˈhʊŋɐ]
German::A1::Food & Drink | Ich habe Durst. | I am thirsty. | [ʔɪç ˈhaː.bə dʊʁst] | [ɪç ˈhaːbə dʊɐ̯st]
German::A1::Food & Drink | Das Brot schmeckt gut. | The bread tastes good. | [das bʁoːt̚ ʃmɛkt̚ ɡuːt̚] | [das bʁoːt̚ ʃmɛkt̚ ɡuːt̚]
