Japanese::N5::Desire & Suggestion | 日本へ行きたいです。 | I want to go to Japan. | [niho̞ɴ e̞ ikita̠i de̞sɨᵝ] | [niho̞ŋ e̞ ikita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 水を飲みたいです。 | I want to drink water. | [mizɯ̟ᵝ o̞ no̞mita̠i de̞sɨᵝ] | [mizɯ̟ᵝ o̞ no̞mita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 新しい車が欲しいです。 | I want a new car. | [a̠ta̠ɾa̠ɕiː kɯ̟ᵝɾɯ̟ᵝma̠ ɡa̠ ho̞ɕiː de̞sɨᵝ] | [a̠ta̠ɾa̠ɕiː kɯ̟ᵝɾɯ̟ᵝma̠ ɡa̠ ho̞ɕiː de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 広い家が欲しいです。 | I want a spacious house. | [hiɾo̞i ie̞ ɡa̠ ho̞ɕiː de̞sɨᵝ] | [hiɾo̞i ie̞ ɡa̠ ho̞ɕiː de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 今日は何もたくないです。 | I don't want to do anything today. | [kyoː wa̠ na̠ni mo̞ ɕita̠kɯ̟ᵝna̠i de̞sɨᵝ] | [kyoː wa̠ na̠ni mo̞ ɕta̠kɯ̟ᵝna̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 何を食べたいですか。 | What do you want to eat? | [na̠ni o̞ ta̠be̞ta̠i de̞sɨᵝ ka̠] | [na̠ni o̞ ta̠be̞ta̠i de̞sɨᵝ ka̠]
Japanese::N5::Desire & Suggestion | ラーメンを食べたいです。 | I want to eat ramen. | [ɾaːme̞ɴ o̞ ta̠be̞ta̠i de̞sɨᵝ] | [ɾaːme̞ŋ o̞ ta̠be̞ta̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | どこへ行きたいですか。 | Where do you want to go? | [do̞ko̞ e̞ ikita̠i de̞sɨᵝ ka̠] | [do̞ko̞ e̞ ikita̠i de̞sɨᵝ ka̠]
Japanese::N5::Desire & Suggestion | 京都へ行きたいです。 | I want to go to Kyoto. | [kyoːto̞ e̞ ikita̠i de̞sɨᵝ] | [kyoːto̞ e̞ ikita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 一緒に映画を見に行きませんか。 | Won't you go to watch a movie with me? | [iɕːo̞ ni eːɡa̠ o̞ mi ni ikima̠se̞ɴ ka̠] | [iɕːo̞ ni eːɡa̠ o̞ mi ni ikima̠se̞ŋ ka̠]
Japanese::N5::Desire & Suggestion | ええ、行きましょう。 | Yes, let's go. | [eː ikima̠ɕoː] | [eː ikima̠ɕoː]
