Japanese::N5::Te-Form: Prohibition & Sequencing | ここでタバコを吸ってはいけません。 | You must not smoke here. | [ko̞ko̞ de̞ ta̠ba̠ko̞ o̞ sɨᵝtte̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ de̞ ta̠ba̠ko̞ o̞ sɨᵝtte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここに車を止めてはいけません。 | You must not park your car here. | [ko̞ko̞ ni kɯ̟ᵝɾɯ̟ᵝma̠ o̞ to̞me̞te̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ ni kɯ̟ᵝɾɯ̟ᵝma̠ o̞ to̞me̞te̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 写真を撮ってはいけません。 | You must not take photographs. | [ɕa̠ɕiɴ o̞ to̞tte̞ wa̠ ike̞ma̠se̞ɴ] | [ɕa̠ɕiŋ o̞ to̞tte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここに入ってはいけません。 | You must not enter here. | [ko̞ko̞ ni ha̠itte̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ ni ha̠itte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | テスト中に話してはいけません。 | You must not speak during the test. | [te̞sɨᵝto̞ tɕɯː ni ha̠na̠ɕite̞ wa̠ ike̞ma̠se̞ɴ] | [te̞sɨᵝto̞ tɕɯː ni ha̠na̠ɕte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | お酒を飲んで運転してはいけません。 | You must not drink alcohol and drive. | [o̞sa̠ke̞ o̞ no̞nde̞ ɯ̟ᵝnte̞ɴɕite̞ wa̠ ike̞ma̠se̞ɴ] | [o̞sa̠ke̞ o̞ no̞nde̞ ɯ̟ᵝnte̞ɴɕte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここで泳いではいけません。 | You must not swim here. | [ko̞ko̞ de̞ o̞yo̞ide̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ de̞ o̞yo̞ide̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 辞書を見てはいけません。 | You must not look at a dictionary. | [dʑiɕo̞ o̞ miːte̞ wa̠ ike̞ma̠se̞ɴ] | [dʑiɕo̞ o̞ miːte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここにゴミを捨ててはいけません。 | You must not throw rubbish here. | [ko̞ko̞ ni ɡo̞mi o̞ sɨᵝte̞te̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ ni ɡo̞mi o̞ sɨᵝte̞te̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 図書館で大声で話してはいけません。 | You must not talk in a loud voice in the library. | [to̞ɕo̞ka̠ɴ de̞ oːɡo̞e̞ de̞ ha̠na̠ɕite̞ wa̠ ike̞ma̠se̞ɴ] | [to̞ɕo̞ka̠ŋ de̞ oːɡo̞e̞ de̞ ha̠na̠ɕte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 危険ですから触ってはいけません。 | Because it is dangerous, you must not touch it. | [kike̞ɴ de̞sɨᵝ ka̠ɾa̠ sa̠wa̠tte̞ wa̠ ike̞ma̠se̞ɴ] | [kike̞ɴ de̞sɨᵝ ka̠ɾa̠ sa̠wa̠tte̞ wa̠ ike̞ma̠se̞ŋ]
