German::A1::Clothing & Appearance | Ich trage heute ein blaues Hemd. | I am wearing a blue shirt today. | [ʔɪç ˈtʁaː.ɡə ˈhɔʏ̯.tə ʔaɪ̯n ˈblaʊ̯.əs hɛmt] | [ɪç ˈtʁaːɡə ˈhɔʏ̯tə‿n ˈblaʊ̯əs hɛmt]
German::A1::Clothing & Appearance | Sie trägt einen roten Rock. | She is wearing a red skirt. | [ziː tʁɛːkt ˈʔaɪ̯.nən ˈʁoː.tn̩ ʁɔk] | [zi tʁɛːkt ˈaɪ̯nən ˈʁoːtn̩ ʁɔk]
German::A1::Clothing & Appearance | Er trägt eine schwarze Hose. | He is wearing black trousers. | [ʔeːɐ̯ tʁɛːkt ˈʔaɪ̯.nə ˈʃvaʁ.tsə ˈhoː.zə] | [ɛɐ̯ tʁɛːkt‿n ˈʃvaɐ̯tsə ˈhoːzə]
German::A1::Clothing & Appearance | Das Hemd ist blau. | The shirt is blue. | [das hɛmt ʔɪst blaʊ̯] | [das hɛmt‿s blaʊ̯]
German::A1::Clothing & Appearance | Die Hose ist schwarz. | The trousers are black. | [diː ˈhoː.zə ʔɪst ʃvaʁts] | [di ˈhoːzə‿s ʃvaɐ̯ts]
German::A1::Clothing & Appearance | Der Rock ist rot. | The skirt is red. | [deːɐ̯ ʁɔk ʔɪst ʁoːt] | [dɛɐ̯ ʁɔk‿s ʁoːt]
German::A1::Clothing & Appearance | Ich kaufe einen neuen Mantel. | I am buying a new coat. | [ʔɪç ˈkaʊ̯.fə ˈʔaɪ̯.nən ˈnɔʏ̯.ən ˈman.tl̩] | [ɪç ˈkaʊ̯fə ˈaɪ̯nən ˈnɔʏ̯ən ˈmantl̩]
German::A1::Clothing & Appearance | Der Mantel ist sehr warm. | The coat is very warm. | [deːɐ̯ ˈman.tl̩ ʔɪst zeːɐ̯ vaʁm] | [dɛɐ̯ ˈmantl̩‿s zeɐ̯ vaɐ̯m]
German::A1::Clothing & Appearance | Sie trägt eine grüne Jacke. | She is wearing a green jacket. | [ziː tʁɛːkt ˈʔaɪ̯.nə ˈɡʁyː.nə ˈja.kə] | [zi tʁɛːkt‿n ˈɡʁyːnə ˈjakə]
German::A1::Clothing & Appearance | Die Jacke ist zu klein. | The jacket is too small. | [diː ˈja.kə ʔɪst tsuː klaɪ̯n] | [di ˈjakə‿s tsu klaɪ̯n]
German::A1::Clothing & Appearance | Ich brauche neue Schuhe. | I need new shoes. | [ʔɪç ˈbʁaʊ̯.xə ˈnɔʏ̯.ə ˈʃuː.ə] | [ɪç ˈbʁaʊ̯xə ˈnɔʏ̯ə ˈʃuːə]
German::A1::Clothing & Appearance | Die Schuhe sind braun. | The shoes are brown. | [diː ˈʃuː.ə zɪnt bʁaʊ̯n] | [di ˈʃuːə zɪnt bʁaʊ̯n]
German::A1::Clothing & Appearance | Meine Schuhe sind bequem. | My shoes are comfortable. | [ˈmaɪ̯.nə ˈʃuː.ə zɪnt bəˈkʰveːm] | [ˈmaɪ̯nə ˈʃuːə zɪnt bəˈkveːm]
German::A1::Clothing & Appearance | Er trägt weiße Socken. | He is wearing white socks. | [ʔeːɐ̯ tʁɛːkt ˈvaɪ̯.sə ˈzɔ.kn̩] | [ɛɐ̯ tʁɛːkt ˈvaɪ̯sə ˈzɔkn̩]
