English::A1::Classroom & basic objects | Open your book. | افتح كتابك. | [ˈəʊ̯.pən jɔː bʊk] | [ˈəʊ̯.pən jə bʊk]
English::A1::Classroom & basic objects | Close the door. | أغلق الباب. | [kləʊ̯z ðə dɔː] | [kləʊ̯z ðə dɔː]
English::A1::Classroom & basic objects | Sit down, please. | اجلس من فضلك. | [sɪt daʊ̯n pliːz] | [sɪd daʊ̯m pliːz]
English::A1::Classroom & basic objects | Stand up. | قف. | [stænd ʌp] | [stæn dʌp]
English::A1::Classroom & basic objects | Look at the board. | انظر إلى السبورة. | [lʊk æt ðə bɔːd] | [lʊk ət ðə bɔːd]
English::A1::Classroom & basic objects | Listen to the teacher. | استمع إلى المعلم. | [ˈlɪs.n̩ t ə ðə ˈtiː.tʃə] | [ˈlɪs.n̩ tə ðə ˈtiː.tʃə]
English::A1::Classroom & basic objects | Write your name. | اكتب اسمك. | [raɪ̯t jɔː neɪ̯m] | [raɪ̯t jə neɪ̯m]
English::A1::Classroom & basic objects | Read the sentence. | اقرأ الجملة. | [riːd ðə ˈsɛn.təns] | [riːd ðə ˈsɛn.təns]
English::A1::Classroom & basic objects | This is a pen. | هذا قلم. | [ðɪs ɪz ə pɛn] | [ðɪs ɪz ə pɛn]
English::A1::Classroom & basic objects | I need an eraser. | أحتاج إلى ممحاة. | [aɪ̯ niːd ən ɪ.ˈreɪ̯.zə] | [aɪ̯ niːd ən ɪ.ˈreɪ̯.zə]
English::A1::Classroom & basic objects | Do you have a pencil? | هل لديك قلم رصاص؟ | [d uː j uː hæv ə ˈpɛn.sl̩] | [də jə hæv ə ˈpɛn.sl̩]
English::A1::Classroom & basic objects | Where is my ruler? | أين مسطرتي؟ | [wɛː ɹ ɪz maɪ̯ ˈruː.lə] | [wɛːz maɪ̯ ˈruː.lə]
English::A1::Classroom & basic objects | Take a piece of paper. | خذ قطعة من الورق. | [teɪ̯k ə piːs əv ˈpeɪ̯.pə] | [teɪ̯k ə piːs əv ˈpeɪ̯.pə]
English::A1::Classroom & basic objects | Put your bag here. | ضع حقيبتك هنا. | [pʊt jɔː bæɡ hɪə] | [pʊt jə bæɡ hɪə]
English::A1::Classroom & basic objects | Don't talk, please. | لا تتحدث، من فضلك. | [dəʊ̯nt tɔːk pliːz] | [dəʊ̯n tɔːk pliːz]
English::A1::Classroom & basic objects | Raise your hand. | ارفع يدك. | [reɪ̯z jɔː hænd] | [reɪ̯z jə hænd]
English::A1::Classroom & basic objects | Ask a question. | اطرح سؤالاً. | [ɑːsk ə ˈkwɛs.tʃən] | [ɑːsk ə ˈkwɛs.tʃən]
English::A1::Classroom & basic objects | Answer the question. | أجب عن السؤال. | [ˈɑːn.sə ðə ˈkwɛs.tʃən] | [ˈɑːn.sə ðə ˈkwɛs.tʃən]
English::A1::Classroom & basic objects | Turn on the light. | شغل الضوء. | [tɜːn ɒn ðə laɪ̯t] | [tɜːn ɒn ðə laɪ̯t]
English::A1::Classroom & basic objects | Turn off the computer. | أطفئ الكمبيوتر. | [tɜːn ɒf ðə kəm.ˈpjuː.tə] | [tɜːn ɒf ðə kəm.ˈpjuː.tə]
English::A1::Classroom & basic objects | There is a desk here. | يوجد مكتب هنا. | [ðɛː ɹ ɪz ə dɛsk hɪə] | [ðɛəz ə dɛsk hɪə]
English::A1::Classroom & basic objects | This is an English dictionary. | هذا قاموس إنكليزي. | [ðɪs ɪz ən ˈɪŋ.ɡlɪʃ ˈdɪk.ʃən.ri] | [ðɪs ɪz ən ˈɪŋ.ɡlɪʃ ˈdɪk.ʃən.ri]
English::A1::Classroom & basic objects | Clean the board, please. | نظف السبورة، من فضلك. | [kliːn ðə bɔːd pliːz] | [kliːn ðə bɔːd pliːz]
English::A1::Classroom & basic objects | Work with a partner. | اعمل مع شريك. | [wɜːk wɪð ə ˈpɑːt.nə] | [wɜːk wɪð ə ˈpɑːt.nə]
English::A1::Classroom & basic objects | Open the window. | افتح النافذة. | [ˈəʊ̯.pən ðə ˈwɪn.dəʊ̯] | [ˈəʊ̯.pən ðə ˈwɪn.dəʊ̯]
English::A1::Classroom & basic objects | I don't understand. | أنا لا أفهم. | [aɪ̯ dəʊ̯nt ˌʌn.də.ˈstænd] | [aɪ̯ dəʊ̯n ˌʌn.də.ˈstænd]
English::A1::Classroom & basic objects | Repeat after me. | كرر ورائي. | [rɪ.ˈpiːt ˈɑːf.tə miː] | [rɪ.ˈpiːt ˈɑːf.tə miː]
English::A1::Classroom & basic objects | Spell your name. | اكتب اسمك بحرفاً حرفاً. | [spɛl jɔː neɪ̯m] | [spɛl jə neɪ̯m]
English::A1::Classroom & basic objects | Give me the marker. | أعطني القلم التعليمي. | [ɡɪv miː ðə ˈmɑː.kə] | [ɡɪv miː ðə ˈmɑː.kə]
English::A1::Classroom & basic objects | Sit in your chair. | اجلس على كرسيك. | [sɪt ɪn jɔː tʃɛː] | [sɪt ɪn jə tʃɛː]
