English::A1::Actions happening now | I am reading a book right now. | أنا أقرأ كتاباً الآن. | [ˈaɪ̯ ˈæm ˈɹiː.dɪŋ ə ˈbʊk ˈɹaɪ̯t ˈnaɪ̯] | [aɪ̯ m ˈɹiː.dɪŋ ə ˈbʊk ˈɹaɪ̯t ˈnaʊ̯]
English::A1::Actions happening now | She is drinking water at the moment. | هي تشرب الماء في هذه اللحظة. | [ˈʃiː ˈɪz ˈdɹɪŋk.ɪŋ ˈwɔː.tʰə æt ðə ˈməʊ̯.mənt] | [ʃi z ˈdɹɪŋk.ɪŋ ˈwɔː.tʰər ət ðə ˈməʊ̯.mənt]
English::A1::Actions happening now | They are playing football now. | هم يلعبون كرة القدم الآن. | [ˈðeɪ̯ ˈɑː ˈpʰleɪ̯.ɪŋ ˈfʊt.bɔːl ˈnaʊ̯] | [ðeɪ̯ ə ˈpʰleɪ̯.ɪŋ ˈfʊp.bɔːl ˈnaʊ̯]
English::A1::Actions happening now | He is walking to school now. | هو يمشي إلى المدرسة الآن. | [ˈhiː ˈɪz ˈwɔːk.ɪŋ tʰʊ ˈskuːl ˈnaʊ̯] | [hi z ˈwɔːk.ɪŋ tə ˈskuːl ˈnaʊ̯]
English::A1::Actions happening now | We are watching TV at the moment. | نحن نشاهد التلفزيون في هذه اللحظة. | [ˈwiː ˈɑː ˈwɒt͡ʃ.ɪŋ ˌtʰiːˈviː æt ðə ˈməʊ̯.mənt] | [wi ə ˈwɒt͡ʃ.ɪŋ ˌtʰiːˈviː ət ðə ˈməʊ̯.mənt]
English::A1::Actions happening now | Are you cooking dinner now? | هل تطبخ العشاء الآن؟ | [ˈɑː jʊ ˈkʰʊk.ɪŋ ˈdɪn.ə ˈnaʊ̯] | [ə jə ˈkʰʊk.ɪŋ ˈdɪn.ə ˈnaʊ̯]
English::A1::Actions happening now | Yes, I am making soup. | نعم، أنا أصنع الحساء. | [ˈjɛs ˈaɪ̯ ˈæm ˈmeɪ̯k.ɪŋ ˈsuːp] | [jɛs aɪ̯ m ˈmeɪ̯k.ɪŋ ˈsuːp]
English::A1::Actions happening now | Is he sleeping right now? | هل هو نائم الآن؟ | [ˈɪz ˈhiː ˈsliːp.ɪŋ ˈɹaɪ̯t ˈnaʊ̯] | [ɪz i ˈsliːp.ɪŋ ˈɹaɪ̯t ˈnaʊ̯]
English::A1::Actions happening now | No, he is listening to music. | لا، هو يستمع إلى الموسيقى. | [ˈnəʊ̯ ˈhiː ˈɪz ˈlɪs.n̩.ɪŋ tʰʊ ˈmjuː.zɪk] | [nəʊ̯ hi z ˈlɪs.n̩.ɪŋ tə ˈmjuː.zɪk]
English::A1::Actions happening now | The baby is crying now. | الطفل يبكي الآن. | [ðə ˈbeɪ̯.bi ˈɪz ˈkʰɹaɪ̯.ɪŋ ˈnaʊ̯] | [ðə ˈbeɪ̯.bi z ˈkʰɹaɪ̯.ɪŋ ˈnaʊ̯]
English::A1::Actions happening now | It is raining at the moment. | إنها تمطر في هذه اللحظة. | [ˈɪt ˈɪz ˈɹeɪ̯n.ɪŋ æt ðə ˈməʊ̯.mənt] | [ɪt s ˈɹeɪ̯n.ɪŋ ət ðə ˈməʊ̯.mənt]
English::A1::Actions happening now | She is writing a letter now. | هي تكتب رسالة الآن. | [ˈʃiː ˈɪz ˈɹaɪ̯t.ɪŋ ə ˈlɛt.ə ˈnaʊ̯] | [ʃi z ˈɹaɪ̯t.ɪŋ ə ˈlɛt.ə ˈnaʊ̯]
English::A1::Actions happening now | What are you doing right now? | ماذا تفعل الآن؟ | [ˈwɒt ˈɑː jʊ ˈduː.ɪŋ ˈɹaɪ̯t ˈnaʊ̯] | [wɒt ə jə ˈduː.ɪŋ ˈɹaɪ̯t ˈnaʊ̯]
English::A1::Actions happening now | I am learning English now. | أنا أتعلم الإنجليزية الآن. | [ˈaɪ̯ ˈæm ˈlɜː.nɪŋ ˈɪŋ.ɡlɪʃ ˈnaʊ̯] | [aɪ̯ m ˈlɜː.nɪŋ ˈɪŋ.ɡlɪʃ ˈnaʊ̯]
