Spanish::A1::Comparing people, places, things | Mi hermano es más alto que yo. | My brother is taller than me. | [mi ˈeɾ.ma.no ˈes̺ ˈmas̺ ˈal.to ˈke ˈʝo] | [mjeɾˈma.no z̺ˈmastal.tokeˈʝo]
Spanish::A1::Comparing people, places, things | Ella es más baja que su hermana. | She is shorter than her sister. | [ˈe.ʝa ˈes̺ ˈmas̺ ˈβa.xa ˈke s̺u ˈeɾ.ma.na] | [ˈe.ʝaz̺ˈmaz̺ˈβa.xa.ke.sweɾˈma.na]
Spanish::A1::Comparing people, places, things | Este libro es más interesante que aquel. | This book is more interesting than that one. | [ˈes̺.te ˈli.βɾo ˈes̺ ˈmas̺ ĩn.te.ɾe.ˈs̺an.te ˈke a.ˈkel] | [ˈes̺.teˈli.βɾoz̺ˈmastĩn.teɾe.ˈs̺an.teˈka.kel]
Spanish::A1::Comparing people, places, things | Madrid es más grande que Sevilla. | Madrid is bigger than Seville. | [ma.ˈðɾið ˈes̺ ˈmas̺ ˈɣɾan.de ˈke s̺e.ˈβi.ʝa] | [ma.ˈðɾiðˈz̺maz̺ˈɣɾan.deˈke.s̺eˈβi.ʝa]
Spanish::A1::Comparing people, places, things | Mi coche es menos caro que el tuyo. | My car is less expensive than yours. | [mi ˈko.tʃe ˈes̺ ˈme.nos̺ ˈka.ɾo ˈke el ˈtu.ʝo] | [miˈko.tʃez̺ˈme.nos̺ˈka.ɾokelˈtu.ʝo]
Spanish::A1::Comparing people, places, things | Juan es tan simpático como Pedro. | Juan is as nice as Pedro. | [ˈxwan ˈes̺ ˈtãn s̺ĩmˈpa.ti.ko ˈko.mo ˈpe.ðɾo] | [ˈxwanˈes̺tãns̺ĩmˈpa.ti.koˈko.moˈpe.ðɾo]
Spanish::A1::Comparing people, places, things | Mi casa es tan grande como la tuya. | My house is as big as yours. | [mi ˈka.s̺a ˈes̺ ˈtãn ˈɣɾan.de ˈko.mo la ˈtu.ʝa] | [miˈka.s̺aˈs̺tãnˈɣɾan.deˈko.molaˈtu.ʝa]
Spanish::A1::Comparing people, places, things | Ana es mayor que Luis. | Ana is older than Luis. | [ˈa.na ˈes̺ ma.ˈʝoɾ ˈke ˈlwis̺] | [ˈa.naz̺ma.ˈʝoɾkeˈlwis̺]
Spanish::A1::Comparing people, places, things | Pedro es menor que su hermano. | Pedro is younger than his brother. | [ˈpe.ðɾo ˈes̺ me.ˈnoɾ ˈke s̺u ˈeɾ.ma.no] | [ˈpe.ðɾoz̺me.ˈnoɾ.kes̺weɾˈma.no]
Spanish::A1::Comparing people, places, things | Este restaurante es mejor que aquel. | This restaurant is better than that one. | [ˈes̺.te res̺.taw.ˈɾan.te ˈes̺ me.ˈxoɾ ˈke a.ˈkel] | [ˈes̺.teres̺.taw.ˈɾan.tez̺me.ˈxoɾka.kel]
Spanish::A1::Comparing people, places, things | La comida aquí es peor que en casa. | The food here is worse than at home. | [la ko.ˈmi.ða a.ˈki ˈes̺ pe.ˈoɾ ˈke ẽn ˈka.s̺a] | [laˈko.mi.ða.kiz̺pe.ˈoɾkeŋˈka.s̺a]
Spanish::A1::Comparing people, places, things | Mi hermana es más inteligente que yo. | My sister is more intelligent than me. | [mi ˈeɾ.ma.na ˈes̺ ˈmas̺ ĩn.te.li.ˈxen.te ˈke ˈʝo] | [mjeɾˈma.naz̺ˈmastĩn.teli.ˈxen.tekeˈʝo]
Spanish::A1::Comparing people, places, things | El tren es más rápido que el autobús. | The train is faster than the bus. | [el ˈtɾen ˈes̺ ˈmas̺ ˈra.pi.ðo ˈke el ˌaw.to.ˈβus̺] | [elˈtɾenez̺ˈmasˈra.pi.ðokelˌaw.toˈβus̺]
Spanish::A1::Comparing people, places, things | Esta ciudad es menos ruidosa que la capital. | This city is less noisy than the capital. | [ˈes̺.ta θju.ˈðað ˈes̺ ˈme.nos̺ rwi.ˈðo.s̺a ˈke la ka.pi.ˈtal] | [ˈes̺.tas̺ju.ˈðaðz̺ˈme.nos̺rwi.ˈðo.s̺akelaka.pi.ˈtal]
Spanish::A1::Comparing people, places, things | Tu perro es más pequeño que el mío. | Your dog is smaller than mine. | [tu ˈpe.ro ˈes̺ ˈmas̺ pe.ˈke.ɲo ˈke el ˈmi.o] | [tuˈpe.roz̺ˈmastpe.ˈke.ɲokelˈmi.o]
Spanish::A1::Comparing people, places, things | Este ejercicio es más difícil que el anterior. | This exercise is more difficult than the previous one. | [ˈes̺.te e.xeɾ.ˈθi.θjo ˈes̺ ˈmas̺ di.ˈfi.θil ˈke el ˌan.te.ˈɾjoɾ] | [ˈes̺.tee.xeɾˈθi.θjoz̺ˈmastdi.ˈfi.θilkelˌan.teˈɾjoɾ]
Spanish::A1::Comparing people, places, things | Mi padre es mayor que mi madre. | My father is older than my mother. | [mi ˈpa.ðɾe ˈes̺ ma.ˈʝoɾ ˈke mi ˈma.ðɾe] | [miˈpa.ðɾez̺ma.ˈʝoɾkemiˈma.ðɾe]
Spanish::A1::Comparing people, places, things | Su apartamento es más caro que el nuestro. | Their flat is more expensive than ours. | [s̺u a.paɾ.ta.ˈmen.to ˈes̺ ˈmas̺ ˈka.ɾo ˈke el ˈnwes̺.tɾo] | [s̺wa.paɾ.taˈmen.toz̺ˈmastka.ɾokelˈnwes̺.tɾo]
Spanish::A1::Comparing people, places, things | Esta calle es más tranquila que aquella. | This street is quieter than that one. | [ˈes̺.ta ˈka.ʝe ˈes̺ ˈmas̺ tɾãŋˈki.la ˈke a.ˈke.ʝa] | [ˈes̺.taˈka.ʝez̺ˈmastɾãŋˈki.laka.ˈke.ʝa]
Spanish::A1::Comparing people, places, things | El café aquí es tan bueno como en Colombia. | The coffee here is as good as in Colombia. | [el ka.ˈfe a.ˈki ˈes̺ ˈtãm ˈbwe.no ˈko.mo ẽŋ ko.ˈlom.bja] | [elka.ˈfea.kiˈs̺tãmˈbwe.noˈko.moˌeŋkoˈlom.bja]
Spanish::A1::Comparing people, places, things | Mi amiga es tan alta como yo. | My friend is as tall as me. | [mi a.ˈmi.ɣa ˈes̺ ˈtãn ˈal.ta ˈko.mo ˈʝo] | [mja.ˈmi.ɣaˈs̺tãnˈal.taˈko.moʝo]
Spanish::A1::Comparing people, places, things | Este parque es más bonito que el otro. | This park is nicer than the other one. | [ˈes̺.te ˈpaɾ.ke ˈes̺ ˈmas̺ βo.ˈni.to ˈke el ˈo.tɾo] | [ˈes̺.teˈpaɾ.kez̺ˈmastβo.ˈni.tokelˈo.tɾo]
Spanish::A1::Comparing people, places, things | Su trabajo es menos difícil que el mío. | Their job is less difficult than mine. | [s̺u tɾa.ˈβa.xo ˈes̺ ˈme.nos̺ di.ˈfi.θil ˈke el ˈmi.o] | [s̺utɾa.ˈβa.xoz̺ˈme.nos̺di.ˈfi.θilkelˈmi.o]
Spanish::A1::Comparing people, places, things | Yo soy más joven que mi jefe. | I am younger than my boss. | [ˈʝo ˈs̺oj ˈmas̺ ˈxo.βẽn ˈke mi ˈxe.fe] | [ʝos̺ojˈmas̺ˈxo.βẽŋkemiˈxe.fe]
Spanish::A1::Comparing people, places, things | Este hotel es mejor que el anterior. | This hotel is better than the previous one. | [ˈes̺.te o.ˈtel ˈes̺ me.ˈxoɾ ˈke el ˌan.te.ˈɾjoɾ] | [ˈes̺.teo.ˈtelez̺me.ˈxoɾkelˌan.teˈɾjoɾ]
Spanish::A1::Comparing people, places, things | La playa es más bonita que el centro. | The beach is prettier than the centre. | [la ˈpla.ʝa ˈes̺ ˈmas̺ βo.ˈni.ta ˈke el ˈθẽn.tɾo] | [laˈpla.ʝaz̺ˈmastβo.ˈni.takelˈθẽn.tɾo]
Spanish::A1::Comparing people, places, things | Mi ciudad es más pequeña que Bogotá. | My city is smaller than Bogotá. | [mi θju.ˈðað ˈes̺ ˈmas̺ pe.ˈke.ɲa ˈke βo.ɣo.ˈta] | [miθju.ˈðaðz̺ˈmastpe.ˈke.ɲakeβo.ɣoˈta]
Spanish::A1::Comparing people, places, things | El examen fue más fácil que el último. | The exam was easier than the last one. | [el ek.ˈs̺a.mẽn ˈfwe ˈmas̺ ˈfa.θil ˈke el ˈul.ti.mo] | [elek.ˈs̺a.mẽɱˈfweˈmasˈfa.θilkelˈul.ti.mo]
Spanish::A1::Comparing people, places, things | Mi hermano mayor vive en Lima. | My older brother lives in Lima. | [mi ˈeɾ.ma.no ma.ˈʝoɾ ˈβi.βe ẽn ˈli.ma] | [mjeɾˈma.noma.ˈʝoɾˈβi.βeŋˈli.ma]
Spanish::A1::Comparing people, places, things | Mi hermana menor estudia en Quito. | My younger sister studies in Quito. | [mi ˈeɾ.ma.na me.ˈnoɾ es̺.ˈtu.ðja ẽŋ ˈki.to] | [mjeɾˈma.name.ˈnoɾs̺ˈtu.ðjaŋˈki.to]
Spanish::A1::Comparing people, places, things | Esta tienda tiene mejores precios que la otra. | This shop has better prices than the other one. | [ˈes̺.ta ˈtjẽn.da ˈtje.ne me.ˈxo.ɾes̺ ˈpɾe.θjos̺ ˈke la ˈo.tɾa] | [ˈes̺.taˈtjẽn.daˈtje.neme.ˈxo.ɾes̺ˈpɾe.θjoskelaˈo.tɾa]
Spanish::A1::Comparing people, places, things | El clima aquí es peor que en el sur. | The climate here is worse than in the south. | [el ˈkli.ma a.ˈki ˈes̺ pe.ˈoɾ ˈke ẽn el ˈs̺uɾ] | [elˈkli.maa.kiz̺pe.ˈoɾkeˌenelˈs̺uɾ]
Spanish::A1::Comparing people, places, things | Mi vecino es tan trabajador como tú. | My neighbour is as hard-working as you. | [mi βe.ˈθi.no ˈes̺ ˈtãn tɾa.βa.xa.ˈðoɾ ˈko.mo ˈtu] | [miβeˈθi.noˈs̺tãntɾa.βa.xaˈðoɾˈko.motu]
Spanish::A1::Comparing people, places, things | Esta película es tan larga como la primera. | This film is as long as the first one. | [ˈes̺.ta pe.ˈli.ku.la ˈes̺ ˈtãn ˈlaɾ.ɣa ˈko.mo la pɾi.ˈme.ɾa] | [ˈes̺.tape.ˈli.ku.laˈs̺tãnˈlaɾ.ɣaˈko.molapɾiˈme.ɾa]
Spanish::A1::Comparing people, places, things | Al final, mi opinión es mejor que la tuya. | In the end, my opinion is better than yours. | [al fi.ˈnal | mi o.pi.ˈnjõn ˈes̺ me.ˈxoɾ ˈke la ˈtu.ʝa] | [alfiˈnal‿mjo.pi.ˈnjõnez̺me.ˈxoɾkelaˈtu.ʝa]
