Japanese::N5::Shopping, Prices & Transactions | これはいくらですか。 | How much is this? | [ko̞ɾe̞ wa̠ ikɯ͍ɾa͍ de̞sɨ̥ ka͍] | [ko̞ɾe̞ wa̠ ikɯ͍ɾa͍ de̞ska͍]
Japanese::N5::Shopping, Prices & Transactions | そのりんごを三個ください。 | Please give me three of those apples. | [so̞no̞ ɾʲiɴɡo̞ o̞ sa͍ŋko̞ kɯ͍da͍sa͍i] | [so̞no̞ ɾʲiŋɡo̞ o̞ sa͍ŋko̞ kɯ͍da͍sa͍i]
Japanese::N5::Shopping, Prices & Transactions | このシャツは千円です。 | This shirt is 1,000 yen. | [ko̞no̞ ɕa͍t͡sɯ͍ wa̠ se̞ɴ e̞ɴ de̞sɨ̥] | [ko̞no̞ ɕa͍t͡s wa̠ se̞ŋe̞ɴ de̞s]
Japanese::N5::Shopping, Prices & Transactions | 全部で五千円になります。 | That comes to 5,000 yen in total. | [ze̞ɴbɯ͍ de̞ ɡo̞se̞ɴ e̞ɴ ni na͍ɾʲima͍sɨ̥] | [ze̞mbɯ͍ de̞ ɡo̞se̞ŋe̞ɴ ɲi na͍ɾʲima͍s]
Japanese::N5::Shopping, Prices & Transactions | クレジットカードで払えますか。 | Can I pay by credit card? | [kɯ͍ɾe̞d͡ʑitːo̞ kaːdo̞ de̞ ha͍ɾa͍e̞ma͍sɨ̥ ka͍] | [kɯ͍ɾe̞d͡ʑitːo̞ kaːdo̞ de̞ ha͍ɾa͍e̞ma͍ska͍]
Japanese::N5::Shopping, Prices & Transactions | 現金でおねがいします。 | Cash, please. | [ɡe̞ɴkiɴ de̞ o̞ne̞ɡa͍i ɕima͍sɨ̥] | [ɡe̞ŋkʲiɴ de̞ o̞ne̞ɡa͍i ɕima͍s]
Japanese::N5::Shopping, Prices & Transactions | レシートをいただけますか。 | Could I please have a receipt? | [ɾe̞ɕiːto̞ o̞ ita͍da͍ke̞ma͍sɨ̥ ka͍] | [ɾe̞ɕiːto̞ o̞ ita͍da͍ke̞ma͍ska͍]
Japanese::N5::Shopping, Prices & Transactions | おつりは五百円です。 | The change is 500 yen. | [o̞t͡sɯ͍ɾʲi wa̠ ɡo̞hja͍kɯ͍ e̞ɴ de̞sɨ̥] | [o̞t͡sɯ͍ɾʲi wa̠ ɡo̞hja͍kɯ͍ e̞ɴ de̞s]
Japanese::N5::Shopping, Prices & Transactions | ちょっと高いですね。 | It's a bit expensive, isn't it? | [t͡ɕo̞tːo̞ ta͍ka͍i de̞sɨ̥ ne̞] | [t͡ɕo̞tːo̞ ta͍ka͍i de̞sne̞]
Japanese::N5::Shopping, Prices & Transactions | もう少し安いものはありますか。 | Do you have anything a little cheaper? | [moː sɯ͍ko̞ɕi ja͍sa͍i mo̞no̞ wa̠ a̠ɾʲima͍sɨ̥ ka͍] | [moː sko̞ɕi ja͍sa͍i mo̞no̞ wa̠ a͍ɾʲima͍ska͍]
Japanese::N5::Shopping, Prices & Transactions | これを試着してもいいですか。 | May I try this on? | [ko̞ɾe̞ o̞ ɕit͡ɕa͍kɯ͍ ɕite̞ mo̞ iː de̞sɨ̥ ka͍] | [ko̞ɾe̞ o̞ ɕit͡ɕa͍kɯ͍ ɕite̞ moː de̞ska͍]
Japanese::N5::Shopping, Prices & Transactions | 大きいサイズはありますか。 | Do you have a larger size? | [oːkiː sa͍izɯ͍ wa̠ a̠ɾʲima͍sɨ̥ ka͍] | [oːkiː sa͍iz wa̠ a͍ɾʲima͍ska͍]
Japanese::N5::Shopping, Prices & Transactions | これを一つください。 | Please give me one of these. | [ko̞ɾe̞ o̞ hito̞t͡sɯ͍ kɯ͍da͍sa͍i] | [ko̞ɾe̞ o̞ hito̞t͡s kɯ͍da͍sa͍i]
Japanese::N5::Shopping, Prices & Transactions | 黒いバッグを見せてください。 | Please show me the black bag. | [kɯ͍ɾo̞i ba͍ɡːɯ͍ o̞ mise̞te̞ kɯ͍da͍sa͍i] | [kɯ͍ɾo̞i ba͍ɡːɯ͍ o̞ mise̞te̞ kɯ͍da͍sa͍i]
Japanese::N5::Shopping, Prices & Transactions | プレゼント用に包んでください。 | Please wrap it up as a present. | [pɯ͍ɾe̞ze̞ɴto̞ joː ni t͡sɯ͍t͡sɯ͍ɴde̞ kɯ͍da͍sa͍i] | [pɯ͍ɾe̞ze̞ɴto̞ joː ɲi t͡sɯ͍t͡sɯ͍ɴde̞ kɯ͍da͍sa͍i]
Japanese::N5::Shopping, Prices & Transactions | 袋はいりません。 | I don't need a bag. | [fɯ͍kɯ͍ɾo̞ wa̠ iɾima͍se̞ɴ] | [fɯ͍kɯ͍ɾo̞ wa̠ iɾima͍se̞ŋ]
Japanese::N5::Shopping, Prices & Transactions | この靴は一万円です。 | These shoes are 10,000 yen. | [ko̞no̞ kɯ͍t͡sɯ͍ wa̠ it͡ɕima͍ɴ e̞ɴ de̞sɨ̥] | [ko̞no̞ kɯ͍t͡s wa̠ it͡ɕima͍ŋe̞ɴ de̞s]
Japanese::N5::Shopping, Prices & Transactions | 一番人気の商品は何ですか。 | What is the most popular item? | [it͡ɕiba͍ɴ ɲiɴki no̞ ɕoːhiɴ wa̠ na͍ɴ de̞sɨ̥ ka͍] | [it͡ɕiba͍ɴ ɲiŋki no̞ ɕoːhiɴ wa̠ na͍ɴ de̞ska͍]
Japanese::N5::Shopping, Prices & Transactions | このお菓子を二つ買います。 | I will buy two of these sweets. | [ko̞no̞ o̞ka͍ɕi o̞ fɯ͍ta͍t͡sɯ͍ ka͍i ma͍sɨ̥] | [ko̞no̞ o̞ka͍ɕi o̞ fɯ͍ta͍t͡s ka͍i ma͍s]
Japanese::N5::Shopping, Prices & Transactions | 合計で三千円です。 | The grand total is 3,000 yen. | [ɡoːkei de̞ sa͍ɴze̞ɴ e̞ɴ de̞sɨ̥] | [ɡoːkeː de̞ sa͍ɴze̞ŋe̞ɴ de̞s]
Japanese::N5::Shopping, Prices & Transactions | お支払いは一括でお願いします。 | Single payment, please. | [o̞ɕiha͍ɾa͍i wa̠ ikːa͍t͡sɯ͍ de̞ o̞ne̞ɡa͍i ɕima͍sɨ̥] | [o̞ɕiha͍ɾa͍i wa̠ ikːa͍t͡s de̞ o̞ne̞ɡa͍i ɕima͍s]
Japanese::N5::Shopping, Prices & Transactions | 領収書をお願いします。 | Official receipt, please. | [ɾjoːɕɯːɕo̞ o̞ o̞ne̞ɡa͍i ɕima͍sɨ̥] | [ɾjoːɕɯːɕo̞ o̞ o̞ne̞ɡa͍i ɕima͍s]
Japanese::N5::Shopping, Prices & Transactions | 二万円お預かりします。 | Out of 20,000 yen, received. | [ɲima͍ɴ e̞ɴ o̞a͍zɯ͍ka͍ɾʲima͍sɨ̥] | [ɲima͍ŋe̞ɴ o̞a͍zɯ͍ka͍ɾʲima͍s]
Japanese::N5::Shopping, Prices & Transactions | おつりは千円になります。 | Your change is 1,000 yen. | [o̞t͡sɯ͍ɾʲi wa̠ se̞ɴ e̞ɴ ni na͍ɾʲima͍sɨ̥] | [o̞t͡sɯ͍ɾʲi wa̠ se̞ŋe̞ɴ ɲi na͍ɾʲima͍s]
Japanese::N5::Shopping, Prices & Transactions | セールで安くなっていました。 | It was cheap on sale. | [seːɾɯ͍ de̞ ja͍sɯ͍kɯ͍ na͍tːe̞ ima͍ɕita͍] | [seːɾɯ͍ de̞ ja͍sɯ͍kɯ͍ na͍tːe͍ima͍ɕta͍]
Japanese::N5::Shopping, Prices & Transactions | これの色違いはありますか。 | Do you have this in a different color? | [ko̞ɾe̞ no̞ iɾo̞t͡ɕiɡa͍i wa̠ a̠ɾʲima͍sɨ̥ ka͍] | [ko̞ɾe̞ no̞ iɾo̞t͡ɕiɡa͍i wa̠ a͍ɾʲima͍ska͍]
Japanese::N5::Shopping, Prices & Transactions | 他のサイズも見てもいいですか。 | May I look at other sizes too? | [ho̞ka͍ no̞ sa͍izɯ͍ mo̞ mi te̞ mo̞ iː de̞sɨ̥ ka͍] | [ho̞ka͍ no̞ sa͍iz mo̞ mi te̞ moː de̞ska͍]
Japanese::N5::Shopping, Prices & Transactions | この本を三冊買いました。 | I bought three of these books. | [ko̞no̞ ho̞ɴ o̞ sa͍ɴsa͍t͡sɯ͍ ka͍i ma͍ɕita͍] | [ko̞no̞ ho̞ɴ o̞ sa͍ɴsa͍t͡s ka͍ima͍ɕta͍]
Japanese::N5::Shopping, Prices & Transactions | お会計は別々でお願いします。 | Separate bills, please. | [o̞ka͍ikeː wa̠ be̞t͡sɯ͍be̞t͡sɯ͍ de̞ o̞ne̞ɡa͍i ɕima͍sɨ̥] | [o̞ka͍ikeː wa̠ be̞t͡sbe̞t͡s de̞ o̞ne̞ɡa͍i ɕima͍s]
Japanese::N5::Shopping, Prices & Transactions | この服はいくらですか。 | How much are these clothes? | [ko̞no̞ fɯ͍kɯ͍ wa̠ ikɯ͍ɾa͍ de̞sɨ̥ ka͍] | [ko̞no̞ fɯ͍kɯ͍ wa̠ ikɯ͍ɾa͍ de̞ska͍]
Japanese::N5::Shopping, Prices & Transactions | 五百円のお返しです。 | Here is your 500 yen change. | [ɡo̞hja͍kɯ͍ e̞ɴ no̞ o̞ka͍e̞ɕi de̞sɨ̥] | [ɡo̞hja͍kɯ͍ e̞ɴ no̞ o̞ka͍e̞ɕi de̞s]
Japanese::N5::Shopping, Prices & Transactions | 値段が書いてありません。 | The price is not written down. | [ne̞da͍ɴ ɡa̠ ka͍ite̞ a̠ɾʲima͍se̞ɴ] | [ne̞da͍ŋ ɡa͍ ka͍ite̞ a͍ɾʲima͍se̞ŋ]
Japanese::N5::Shopping, Prices & Transactions | 割引のチケットを使います。 | I will use a discount ticket. | [wa͍ɾʲibi ki no̞ t͡ɕike̞tːo̞ o̞ t͡sɯ͍ka͍i ma͍sɨ̥] | [wa͍ɾʲibki no̞ t͡ɕike̞tːo̞ o̞ t͡ska͍i ma͍s]
