Spanish::A1::Asking questions and clarifying | ¿Qué es esto? | What is this? | [ˈke es ˈes.to] | [ˈkeesˈes.to]
Spanish::A1::Asking questions and clarifying | ¿Cuál es tu nombre? | What is your name? | [ˈkwal es tu ˈnom.bɾe] | [ˈkwalestuˈnom.bɾe]
Spanish::A1::Asking questions and clarifying | ¿Quién es esa persona? | Who is that person? | [ˈkjen es ˈe.sa peɾ.ˈso.na] | [ˈkjeneˈse.sapeɾˈso.na]
Spanish::A1::Asking questions and clarifying | ¿Cómo estás? | How are you? | [ˈko.mo es.ˈtas] | [ˈko.moesˈtas]
Spanish::A1::Asking questions and clarifying | ¿Cuándo llegas a casa? | When do you arrive home? | [ˈkwan.d̪o ˈʝe.ɣ̞as a ˈka.sa] | [ˈkwan.d̪oˈʝe.ɣ̞asa.ˈka.sa]
Spanish::A1::Asking questions and clarifying | ¿Dónde vives? | Where do you live? | [ˈd̪on.d̪e ˈβ̞i.β̞es] | [ˈd̪on.d̪eˈβ̞i.β̞es]
Spanish::A1::Asking questions and clarifying | ¿Por qué estudias español? | Why do you study Spanish? | [poɾ ˈke es.ˈtu.ð̞jas es.pa.ˈɲol] | [poɾ.ˈkeesˈtu.ð̞jasesˈpa.ɲol]
Spanish::A1::Asking questions and clarifying | ¿Cuánto cuesta este libro? | How much does this book cost? | [ˈkwan.to ˈkwes.ta ˈes.te ˈli.β̞ɾo] | [ˈkwan.toˈkwes.taes.teˈli.β̞ɾo]
Spanish::A1::Asking questions and clarifying | ¿Qué haces los fines de semana? | What do you do on weekends? | [ˈke ˈa.ses los ˈfi.nes ð̞e se.ˈma.na] | [ˈkeˈa.seslo.ˈfi.neð̞e.seˈma.na]
Spanish::A1::Asking questions and clarifying | ¿Cuál es tu color favorito? | What is your favorite color? | [ˈkwal es tu ko.ˈloɾ fa.β̞o.ˈɾi.to] | [ˈkwalestu.koˈloɾfaβ̞oˈɾi.to]
Spanish::A1::Asking questions and clarifying | ¿Quién viene a la fiesta? | Who is coming to the party? | [ˈkjem ˈbje.ne a la ˈfjes.ta] | [ˈkjemˈbje.nea.laˈfjes.ta]
Spanish::A1::Asking questions and clarifying | ¿Cómo se dice esto en español? | How do you say this in Spanish? | [ˈko.mo se ˈd̪i.se ˈes.to en es.pa.ˈɲol] | [ˈko.mo.seˈð̞i.sees.toenesˈpa.ɲol]
Spanish::A1::Asking questions and clarifying | ¿Cuándo empieza la clase? | When does class start? | [ˈkwan.d̪o em.ˈpje.sa la ˈkla.se] | [ˈkwan.d̪oemˈpje.sala.ˈkla.se]
Spanish::A1::Asking questions and clarifying | ¿Dónde está la estación de tren? | Where is the train station? | [ˈd̪on.d̪e es.ˈta la es.ta.ˈsjon d̪e ˈtɾen] | [ˈd̪on.d̪eesˈtala.esta.ˈsjond̪e.ˈtɾen]
Spanish::A1::Asking questions and clarifying | ¿Por qué llegas tarde siempre? | Why do you always arrive late? | [poɾ ˈke ˈʝe.ɣ̞as ˈtaɾ.ð̞e ˈsjem.pɾe] | [poɾ.ˈkeˈʝe.ɣ̞asˈtaɾ.ð̞eˈsjem.pɾe]
Spanish::A1::Asking questions and clarifying | ¿Cuántos años tienes? | How old are you? | [ˈkwan.tos ˈa.ɲos ˈtje.nes] | [ˈkwan.tosˈa.ɲosˈtje.nes]
Spanish::A1::Asking questions and clarifying | ¿Qué quieres comer hoy? | What do you want to eat today? | [ˈke ˈkje.ɾes ko.ˈmeɾ oi̯] | [ˈkeˈkje.ɾeskoˈmeɾoi̯]
Spanish::A1::Asking questions and clarifying | ¿Cuál prefieres, el rojo o el azul? | Which do you prefer, the red or the blue? | [ˈkwal pɾe.ˈfje.ɾes el ˈro.xo o el a.ˈsul] | [ˈkwalpɾeˈfje.ɾesel.ˈro.xoel.aˈsul]
Spanish::A1::Asking questions and clarifying | ¿Quiénes son tus amigos? | Who are your friends? | [ˈkje.nes son tus a.ˈmi.ɣ̞os] | [ˈkje.nessontu.saˈmi.ɣ̞os]
Spanish::A1::Asking questions and clarifying | ¿Cómo llegaste hasta aquí? | How did you get here? | [ˈko.mo ʝe.ˈɣ̞as.te ˈas.ta a.ˈki] | [ˈko.moʝeˈɣ̞as.teas.taaˈki]
Spanish::A1::Asking questions and clarifying | ¿Cuándo es tu cumpleaños? | When is your birthday? | [ˈkwan.d̪o es tu kum.ple.ˈa.ɲos] | [ˈkwan.d̪oestu.kumpleˈa.ɲos]
Spanish::A1::Asking questions and clarifying | ¿Dónde puedo comprar boletos? | Where can I buy tickets? | [ˈd̪on.d̪e ˈpwe.ð̞o kom.ˈpɾaɾ β̞o.ˈle.tos] | [ˈd̪on.d̪eˈpwe.ð̞okomˈpɾaɾβ̞o.ˈle.tos]
Spanish::A1::Asking questions and clarifying | ¿Por qué no vienes con nosotros? | Why don't you come with us? | [poɾ ˈke no ˈbje.nes kon no.ˈso.tɾos] | [poɾ.ˈkeno.ˈbje.neskon.noˈso.tɾos]
Spanish::A1::Asking questions and clarifying | ¿Cuánta gente hay en la fiesta? | How many people are at the party? | [ˈkwan.ta ˈxen.te ai̯ en la ˈfjes.ta] | [ˈkwan.taˈxen.teai̯enla.ˈfjes.ta]
Spanish::A1::Asking questions and clarifying | ¿Qué idiomas hablas? | What languages do you speak? | [ˈke i.ˈð̞jo.mas ˈa.β̞las] | [ˈkei.ˈð̞jo.masˈa.β̞las]
Spanish::A1::Asking questions and clarifying | ¿Cuál es el problema? | What's the problem? | [ˈkwal es el pɾo.ˈβ̞le.ma] | [ˈkwalesel.pɾoˈβ̞le.ma]
Spanish::A1::Asking questions and clarifying | ¿Quién te enseñó eso? | Who taught you that? | [ˈkjen te en.se.ˈɲo ˈe.so] | [ˈkjenteen.seˈɲoˈe.so]
Spanish::A1::Asking questions and clarifying | ¿Cómo puedo ayudarte? | How can I help you? | [ˈko.mo ˈpwe.ð̞o a.ʝu.ˈð̞aɾ.te] | [ˈko.moˈpwe.ð̞oa.ʝuˈð̞aɾ.te]
Spanish::A1::Asking questions and clarifying | ¿Cuándo vuelves de tu viaje? | When do you come back from your trip? | [ˈkwan.d̪o ˈbwel.β̞es d̪e tu ˈβja.xe] | [ˈkwan.d̪oˈbwel.β̞esde.tuˈβja.xe]
Spanish::A1::Asking questions and clarifying | ¿Dónde dejaste las llaves? | Where did you leave the keys? | [ˈd̪on.d̪e d̪e.ˈxas.te laz ˈʝa.β̞es] | [ˈd̪on.d̪eð̞eˈxas.telaˈʝa.β̞es]
Spanish::A1::Asking questions and clarifying | ¿Por qué está cerrada la tienda? | Why is the store closed? | [poɾ ˈke es.ˈta se.ˈra.ð̞a la ˈtjen.d̪a] | [poɾ.ˈkeesˈtasera.ð̞ala.ˈtjen.d̪a]
Spanish::A1::Asking questions and clarifying | ¿Cuánto tiempo llevas aquí? | How long have you been here? | [ˈkwan.to ˈtjem.po ˈʝe.β̞as a.ˈki] | [ˈkwan.toˈtjem.poˈʝe.β̞asaˈki]
Spanish::A1::Asking questions and clarifying | ¿Qué significa esta palabra? | What does this word mean? | [ˈke siɣ̞.ni.ˈfi.ka ˈes.ta pa.ˈla.β̞ɾa] | [ˈkesiɣ̞.niˈfi.kaes.tapa.ˈla.β̞ɾa]
Spanish::A1::Asking questions and clarifying | ¿Puedes repetir, por favor? | Can you repeat, please? | [ˈpwe.ð̞es re.pe.ˈtiɾ poɾ fa.ˈβ̞oɾ] | [ˈpwe.ð̞esrepeˈtiɾpoɾ.faˈβ̞oɾ]
Spanish::A1::Asking questions and clarifying | ¿Puede hablar más despacio? | Can you speak more slowly? | [ˈpwe.ð̞e a.ˈβ̞laɾ maz d̪es.ˈpa.sjo] | [ˈpwe.ð̞eaˈβ̞laɾmaz.ð̞esˈpa.sjo]
Spanish::A1::Asking questions and clarifying | No entiendo, ¿puede explicarlo otra vez? | I don't understand, can you explain it again? | [no en.ˈtjen.d̪o ˈpwe.ð̞e eks.pli.ˈkaɾ.lo ˈo.tɾa β̞es] | [noen.ˈtjen.d̪opwe.ð̞eeksˌpliˈkaɾ.loo.tɾaβ̞es]
Spanish::A1::Asking questions and clarifying | ¿Cómo se escribe tu apellido? | How do you spell your last name? | [ˈko.mo se es.ˈkɾi.β̞e tu a.pe.ˈʝi.ð̞o] | [ˈko.mo.sees.ˈkɾi.β̞etu.apeˈʝi.ð̞o]
Spanish::A1::Asking questions and clarifying | ¿Qué significa esto en inglés? | What does this mean in English? | [ˈke siɣ̞.ni.ˈfi.ka ˈes.to en iŋ.ˈɡ̞les] | [ˈkesiɣ̞.niˈfi.kaes.toeniŋˈɡ̞les]
Spanish::A1::Asking questions and clarifying | ¿Me lo puede repetir? | Can you repeat that for me? | [me lo ˈpwe.ð̞e re.pe.ˈtiɾ] | [melo.ˈpwe.ð̞erepeˈtiɾ]
Spanish::A1::Asking questions and clarifying | ¿Está claro o necesita más explicación? | Is it clear or does it need more explanation? | [es.ˈta ˈkla.ɾo o ne.se.ˈsi.ta maz eks.pli.ka.ˈsjon] | [esˈtaˈkla.ɾoone.seˈsi.tamazˌekspli.kaˈsjon]
