Japanese::N5::Te-Form: Requests & Permission | ここに名前を書いてください。 | Please write your name here. | [ko̞ko̞ ni na̠ma̠e̞ o̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i] | [ko̞ko̞ ni na̠ma̠e̞ o̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | ここに入ってもいいですか。 | May I enter here? | [ko̞ko̞ ni ha̠itte̞ mo̞ iː de̞sɨᵝ ka̠] | [ko̞ko̞ ni ha̠itte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 写真を撮ってもいいですか。 | May I take a photo? | [ɕa̠ɕiɴ o̞ to̞tte̞ mo̞ iː de̞sɨᵝ ka̠] | [ɕa̠ɕiŋ o̞ to̞tte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | ここに座ってもいいですか。 | May I sit here? | [ko̞ko̞ ni sɨᵝwa̠tte̞ mo̞ iː de̞sɨᵝ ka̠] | [ko̞ko̞ ni sɨᵝwa̠tte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | タバコを吸ってもいいですか。 | May I smoke? | [ta̠ba̠ko̞ o̞ sɨᵝtte̞ mo̞ iː de̞sɨᵝ ka̠] | [ta̠ba̠ko̞ o̞ sɨᵝtte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 辞書を使ってもいいですか。 | May I use the dictionary? | [dʑiɕo̞ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠] | [dʑiɕo̞ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | この本を借りてもいいですか。 | May I borrow this book? | [ko̞no̞ ho̞ɴ o̞ ka̠ɾite̞ mo̞ iː de̞sɨᵝ ka̠] | [ko̞no̞ ho̞ŋ o̞ ka̠ɾite̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | テレビをつけてもいいですか。 | May I turn on the television? | [te̞ɾe̞bi o̞ tsɨᵝke̞te̞ mo̞ iː de̞sɨᵝ ka̠] | [te̞ɾe̞bi o̞ tsɨᵝke̞te̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 窓を開けてもいいですか。 | May I open the window? | [ma̠do̞ o̞ a̠ke̞te̞ mo̞ iː de̞sɨᵝ ka̠] | [ma̠do̞ o̞ a̠ke̞te̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 電気をつけるてもいいですか。 | May I turn on the light? | [de̞ŋki o̞ tsɨᵝke̞te̞ mo̞ iː de̞sɨᵝ ka̠] | [de̞ŋki o̞ tsɨᵝke̞te̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | はい、入ってもいいです。 | Yes, you may enter. | [ha̠i ha̠itte̞ mo̞ iː de̞sɨᵝ] | [ha̠i ha̠itte̞ mo̞ iː de̞sɨᵝ]
Japanese::N5::Te-Form: Requests & Permission | はい、どうぞ座ってください。 | Yes, please go ahead and sit down. | [ha̠i doːzo̞ sɨᵝwa̠tte̞ kɯ̟ᵝda̠sa̠i] | [ha̠i doːzo̞ sɨᵝwa̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | 少々待ってください。 | Please wait a moment. | [ɕoːɕoː ma̠tte̞ kɯ̟ᵝda̠sa̠i] | [ɕoːɕoː ma̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | もう一度言ってください。 | Please say that again. | [moː itɕido̞ itːe̞ kɯ̟ᵝda̠sa̠i] | [moː itɕido̞ itːe̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | ゆっくり話してください。 | Please speak slowly. | [yɯ̟ᵝkːɯ̟ᵝɾi ha̠na̠ɕite̞ kɯ̟ᵝda̠sa̠i] | [yɯ̟ᵝkːɯ̟ᵝɾi ha̠na̠ɕte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | 英語で書いてください。 | Please write in English. | [eːɡo̞ de̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i] | [eːɡo̞ de̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | 傘を貸してください。 | Please lend me an umbrella. | [ka̠sa̠ o̞ ka̠ɕite̞ kɯ̟ᵝda̠sa̠i] | [ka̠sa̠ o̞ ka̠ɕte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Requests & Permission | ここで休んでもいいですか。 | May I rest here? | [ko̞ko̞ de̞ ya̠sɨᵝnde̞ mo̞ iː de̞sɨᵝ ka̠] | [ko̞ko̞ de̞ ya̠sɨᵝnde̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 荷物を置いてもいいですか。 | May I leave my luggage here? | [ni mo̞tsɨᵝ o̞ o̞ite̞ mo̞ iː de̞sɨᵝ ka̠] | [ni mo̞tsɨᵝ o̞ o̞ite̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | ボールペンを使ってもいいですか。 | May I use a ballpoint pen? | [boːɾɯ̟ᵝpe̞ɴ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠] | [boːɾɯ̟ᵝpe̞ŋ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 水を飲んでもいいですか。 | May I drink water? | [mizɯ̟ᵝ o̞ no̞nde̞ mo̞ iː de̞sɨᵝ ka̠] | [mizɯ̟ᵝ o̞ no̞nde̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | 電話を使ってもいいですか。 | May I use the telephone? | [de̞ɴwa̠ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠] | [de̞ɴwa̠ o̞ tsɨᵝka̠tte̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | ここで遊んでもいいですか。 | May we play here? | [ko̞ko̞ de̞ a̠so̞nde̞ mo̞ iː de̞sɨᵝ ka̠] | [ko̞ko̞ de̞ a̠so̞nde̞ mo̞ iː de̞sɨᵝ ka̠]
Japanese::N5::Te-Form: Requests & Permission | ドアを閉めてもいいですか。 | May I close the door? | [do̞a̠ o̞ ɕime̞te̞ mo̞ iː de̞sɨᵝ ka̠] | [do̞a̠ o̞ ɕime̞te̞ mo̞ iː de̞sɨᵝ ka̠]
