Japanese::N2::Mixed Review & Integration | 彼は忙しいにもかかわらず、必ず毎朝メールをチェックする。 | Despite being busy, he always checks his email every morning. | [ka.ɾe wa i.so.ga.ɕi.i ni mo ka.ka.wa.ɾa.zɯ ka.na.ɾa.zɯ ma.i.a.sa me.e.ɾɯ o tʃe.kkɯ sɯ.ɾɯ] | [ka.ɾe̞ wa i.so.ɡa.ɕiː ni mo ka.ka.wa.ɾa.zɯ ka̠.na.ɾa.zɯ ma.i.a.sa me̞ː.ɾɯ o tɕe̞k.kɯ sɯ.ɾɯ]
Japanese::N2::Mixed Review & Integration | 子供が熱を出したものだから、会社を早退した。 | Since my child came down with a fever, I left work early. | [ko.do.mo ɡa ne.tsɯ o da.ɕi.ta mo.no da.ka.ɾa ka.i.ɕa o soː.ta.i ɕi.ta] | [ko.do.mo ɡa ne̞.tsɯ o da̠ɕta mo.no da̠.ka̠.ɾa ka.i.ɕa o soː.ta̠i ɕta]
Japanese::N2::Mixed Review & Integration | さすが老舗だけあって、料理の味も接客も一級品だ。 | As one would expect from a long-established shop, both the taste of the food and the service are top-class. | [sa.sɯ.ɡa ɕi.nʲi.se da.ke at.te rjoː.ɾʲi no a.dʑi mo se̞k.kʲa.kɯ mo i.kkʲɯː.hʲin da] | [sa.sɯ.ɡa ɕi.nʲi.se̞ da.ke̞ at.te ɾʲoː.ɾʲi no a.dʑi mo se̞k.kʲa.kɯ mo ikkʲɯː.hʲim da]
Japanese::N2::Mixed Review & Integration | この値段にしては、品質がかなり良いと思う。 | For this price, I think the quality is quite good. | [ko.no ne.dan ni ɕi.te wa hʲin.ɕi.tsɯ ɡa ka.na.ɾʲi joː i to o.mo.ɯ] | [ko.no ne̞.daɰ̃ ni ɕte̞ wa çin.ɕi.tsɯ ɡa ka.na.ɾʲi jo̞i to o.mo̞ɯ]
Japanese::N2::Mixed Review & Integration | 行くにしても行かないにしても、早めに連絡してください。 | Whether you go or not, please contact me early. | [i.kɯ ni ɕi.te mo i.ka.na.i ni ɕi.te mo ha.ja.me ni ɾe̞n.ɾa.kɯ ɕi.te kɯ.da.sa.i] | [i.kɯ ni ɕte̞ mo i.ka.na̠i ni ɕte̞ mo ha.ja.me̞ ni ɾe̞n.ɾa.kɯ ɕte̞ kɯ.da̠.sa.i]
Japanese::N2::Mixed Review & Integration | 値段のわりには、なかなか丈夫な作りだと思う。 | Considering the price, it's surprisingly sturdy construction. | [ne.dan no wa.ɾʲi ni.wa na.ka.na.ka dʑoː.bɯ na tsɯ.kɯ.ɾʲi da to o.mo.ɯ] | [ne̞.daɰ̃ no wa.ɾʲi ni.wa na.ka.na.ka dʑoː.bɯ na tsɯ.kɯ.ɾʲi da̠ to o.mo̞ɯ]
Japanese::N2::Mixed Review & Integration | 税金ぬきで、この商品はいくらになりますか。 | Excluding tax, how much would this product be? | [ze.i.kʲin nɯ.kʲi de ko.no ɕoː.hʲin wa i.kɯ.ɾa ni na.ɾʲi.ma.sɯ ka] | [ze̞ː.kʲin nɯ.kʲi de̞ ko.no ɕoː.hʲin wa i.kɯ.ɾa ni na.ɾʲi.ma̠.sɯ ka̠]
Japanese::N2::Mixed Review & Integration | ドアが開くか開かないかのうちに、彼は飛び出していった。 | The moment the door opened, he dashed out. | [do.a ɡa a.kʲi.ta ka a.ka.na.i ka no ɯ.tʃi ni ka.ɾe wa to.bʲi.da.ɕi.te i.ta] | [do.a ɡa a.kʲi.ta̠ ka a.ka.na̠i ka no ɯ.tɕi ni ka.ɾe wa to.bʲi.da.ɕte̞ tta]
Japanese::N2::Mixed Review & Integration | 彼女は部屋に入ったとたん、泣き出してしまった。 | The instant she entered the room, she burst into tears. | [ka.no.dʑo wa he.ja ni hait.ta to.tan na.kʲi.da.ɕi.te ɕi.mat.ta] | [ka.no.dʑo wa he̞.ja ni ha̠itta to.tan na.kʲi.da̠.ɕte̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | ご連絡いただき次第、すぐに対応いたします。 | As soon as we hear from you, we will respond immediately. | [go.ɾe̞n.ɾa.kɯ i.ta.da.kʲi ɕi.da.i sɯ.ɡɯ ni ta.i.oː i.ta.ɕi.ma.sɯ] | [ɡo.ɾe̞n.ɾa.kɯ i.ta.da.kʲi ɕi.da.i sɯ.ɡɯ ni ta.i.oː i.ta.ɕi.ma̠.sɯ]
Japanese::N2::Mixed Review & Integration | ここまで来た上は、最後までやり遂げるしかない。 | Now that we've come this far, there's no choice but to see it through to the end. | [ko.ko ma.de kʲi.ta ɯ.e wa sa.i.go ma.de ja.ɾʲi.to.ge.ɾɯ ɕi.ka na.i] | [ko.ko ma.de̞ kʲta ɯ.e̞ wa sa.i.ɡo ma.de̞ ja.ɾʲi.to.ɡe̞.ɾɯ ɕka na̠i]
