English::A1::Hobbies & free time | I like reading books. | أحب قراءة الكتب. | [ˈaɪ̯ ˈlaɪ̯k ˈɹiː.dɪŋ ˈbʊks] | [aɪ̯ ˈlaɪ̯k ˈɹiː.dɪŋ ˈbʊks]
English::A1::Hobbies & free time | She loves listening to music. | هي تحب الاستماع إلى الموسيقى. | [ˈʃiː ˈlʌvz ˈlɪs.n̩.ɪŋ tʰʊ ˈmjuː.zɪk] | [ʃi ˈlʌvz ˈlɪs.n̩.ɪŋ tə ˈmjuː.zɪk]
English::A1::Hobbies & free time | He hates watching football. | هو يكره مشاهدة كرة القدم. | [ˈhiː ˈheɪ̯ts ˈwɒt͡ʃ.ɪŋ ˈfʊt.bɔːl] | [hi ˈheɪ̯ts ˈwɒt͡ʃ.ɪŋ ˈfʊp.bɔːl]
English::A1::Hobbies & free time | Do you like playing tennis? | هل تحب لعب التنس؟ | [ˈduː jʊ ˈlaɪ̯k ˈpʰleɪ̯.ɪŋ ˈtʰɛn.ɪs] | [də jə ˈlaɪ̯k ˈpʰleɪ̯.ɪŋ ˈtʰɛn.ɪs]
English::A1::Hobbies & free time | We love swimming in the sea. | نحن نحب السباحة في البحر. | [ˈwiː ˈlʌv ˈswɪm.ɪŋ ɪn ðə ˈsiː] | [wi ˈlʌv ˈswɪm.ɪŋ ɪn ðə ˈsiː]
English::A1::Hobbies & free time | They enjoy cooking dinner. | هم يستمتعون بطبخ العشاء. | [ˈðeɪ̯ ɪnˈd͡ʒɔɪ̯ ˈkʰʊk.ɪŋ ˈdɪn.ə] | [ðeɪ̯ ɪnˈd͡ʒɔɪ̯ ˈkʰʊk.ɪŋ ˈdɪn.ə]
English::A1::Hobbies & free time | I like playing video games. | أحب لعب ألعاب الفيديو. | [ˈaɪ̯ ˈlaɪ̯k ˈpʰleɪ̯.ɪŋ ˈvɪd.ɪ.əʊ̯ ˌɡeɪ̯mz] | [aɪ̯ ˈlaɪ̯k ˈpʰleɪ̯.ɪŋ ˈvɪd.ɪ.əʊ̯ ˌɡeɪ̯mz]
English::A1::Hobbies & free time | She hates running in the park. | هي تكره الركض في الحديقة. | [ˈʃiː ˈheɪ̯ts ˈɹʌn.ɪŋ ɪn ðə ˈpʰɑːk] | [ʃi ˈheɪ̯ts ˈɹʌn.ɪŋ ɪn ðə ˈpʰɑːk]
English::A1::Hobbies & free time | Do they like watching movies? | هل يحبون مشاهدة الأفلام؟ | [ˈduː ˈðeɪ̯ ˈlaɪ̯k ˈwɒt͡ʃ.ɪŋ ˈmuː.viːz] | [də ðeɪ̯ ˈlaɪ̯k ˈwɒt͡ʃ.ɪŋ ˈmuː.viːz]
English::A1::Hobbies & free time | He likes drawing pictures. | هو يحب رسم الصور. | [ˈhiː ˈlaɪ̯ks ˈdɹɔː.ɪŋ ˈpʰɪk.t͡ʃəz] | [hi ˈlaɪ̯ks ˈdɹɔː.ɪŋ ˈpʰɪk.t͡ʃəz]
English::A1::Hobbies & free time | I love dancing with friends. | أحب الرقص مع الأصدقاء. | [ˈaɪ̯ ˈlʌv ˈdɑːn.sɪŋ wɪð ˈfɹɛndz] | [aɪ̯ ˈlʌv ˈdɑːn.sɪŋ wɪð ˈfɹɛnz]
English::A1::Hobbies & free time | We hate waiting for the bus. | نحن نكره انتظار الحافلة. | [ˈwiː ˈheɪ̯t ˈweɪ̯t.ɪŋ fɔː ðə ˈbʌs] | [wi ˈheɪ̯t ˈweɪ̯t.ɪŋ fə ðə ˈbʌs]
English::A1::Hobbies & free time | Does she like cooking? | هل تحب الطبخ؟ | [ˈdʌz ˈʃiː ˈlaɪ̯k ˈkʰʊk.ɪŋ] | [dəz ʃi ˈlaɪ̯k ˈkʰʊk.ɪŋ]
English::A1::Hobbies & free time | Yes, she loves cooking. | نعم، هي تحب الطبخ. | [ˈjɛs ˈʃiː ˈlʌvz ˈkʰʊk.ɪŋ] | [jɛs ʃi ˈlʌvz ˈkʰʊk.ɪŋ]
English::A1::Hobbies & free time | I hate getting up early. | أكره الاستيقاظ مبكراً. | [ˈaɪ̯ ˈheɪ̯t ˈɡɛt.ɪŋ ˈʌp ˈɜː.li] | [aɪ̯ ˈheɪ̯t ˈɡɛt.ɪŋ ˈʌp ˈɜː.li]
English::A1::Hobbies & free time | They like travelling to new places. | هم يحبون السفر إلى أماكن جديدة. | [ˈðeɪ̯ ˈlaɪ̯k ˈtʰɹæv.əl.ɪŋ tʰʊ ˈnjuː ˈpʰleɪ̯.sɪz] | [ðeɪ̯ ˈlaɪ̯k ˈtʰɹæv.l̩.ɪŋ tə ˈnjuː ˈpʰleɪ̯.sɪz]
English::A1::Hobbies & free time | He loves playing the guitar. | هو يحب العزف على القيثارة. | [ˈhiː ˈlʌvz ˈpʰleɪ̯.ɪŋ ðə ɡɪˈtʰɑː] | [hi ˈlʌvz ˈpʰleɪ̯.ɪŋ ðə ɡɪˈtʰɑː]
English::A1::Hobbies & free time | Do you like gardening? | هل تحب البستنة؟ | [ˈduː jʊ ˈlaɪ̯k ˈɡɑː.dn̩.ɪŋ] | [də jə ˈlaɪ̯k ˈɡɑː.dn̩.ɪŋ]
English::A1::Hobbies & free time | No, I hate gardening. | لا، أكره البستنة. | [ˈnəʊ̯ ˈaɪ̯ ˈheɪ̯t ˈɡɑː.dn̩.ɪŋ] | [nəʊ̯ aɪ̯ ˈheɪ̯t ˈɡɑː.dn̩.ɪŋ]
English::A1::Hobbies & free time | She likes taking photos. | هي تحب التقاط الصور. | [ˈʃiː ˈlaɪ̯ks ˈtʰeɪ̯k.ɪŋ ˈfəʊ̯.tʰəʊ̯z] | [ʃi ˈlaɪ̯ks ˈtʰeɪ̯k.ɪŋ ˈfəʊ̯.tʰəʊ̯z]
English::A1::Hobbies & free time | We enjoy walking in the forest. | نحن نستمتع بـ المشي في الغابة. | [ˈwiː ɪnˈd͡ʒɔɪ̯ ˈwɔːk.ɪŋ ɪn ðə ˈfɒɹ.ɪst] | [wi ɪnˈd͡ʒɔɪ̯ ˈwɔːk.ɪŋ ɪn ðə ˈfɒɹ.ɪst]
