Japanese::N5::な-Adjectives | この町は静かです。 | This town is quiet. | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.de.sɯ. ‖] | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.des]
Japanese::N5::な-Adjectives | この町は静かではありません。 | This town is not quiet. | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.de.wa.a.ɾi.ma.seɴ. ‖] | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::な-Adjectives | あの通りは賑やかです。 | That street is lively. | [a.no.toː.ɾi.wa.ni.ɡi.ja.ka.de.sɯ. ‖] | [a.no.toː.ɾi.wa.ni.ɡi.ja.ka.des]
Japanese::N5::な-Adjectives | 昨日は暇でした。 | I was free yesterday. | [ki.noː.wa.çi.ma.de.ɕi.ta. ‖] | [ki.noː.wa.çi.ma.de.ɕta]
Japanese::N5::な-Adjectives | 今日は暇じゃありません。 | I am not free today. | [kʲoː.wa.çi.ma.ʑa.a.ɾi.ma.seɴ. ‖] | [kʲoː.wa.çi.ma.ʑa.a.ɾi.ma.seŋ]
Japanese::N5::な-Adjectives | 田中さんは親切な人です。 | Mr Tanaka is a kind person. | [ta.na.ka.saɴ.wa.ɕiɴ.se.tsɯ.na.çi.to.de.sɯ. ‖] | [ta.na.ka.san.wa.ɕiɳ.se.tsɯ.na.çi.to.des]
Japanese::N5::な-Adjectives | この公園は有名です。 | This park is famous. | [ko.no.koː.eɴ.wa.jɯː.meː.de.sɯ. ‖] | [ko.no.koː.eɳ.wa.jɯː.meː.des]
Japanese::N5::な-Adjectives | ここは綺麗な場所です。 | This is a beautiful place. | [ko.ko.wa.ki.ɾeː.na.ba.ɕo.de.sɯ. ‖] | [ko.ko.wa.ki.ɾeː.na.ba.ɕo.des]
Japanese::N5::な-Adjectives | 部屋は綺麗ではありません。 | The room is not clean. | [he.ja.wa.ki.ɾeː.de.wa.a.ɾi.ma.seɴ. ‖] | [he.ja.wa.ki.ɾeː.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::な-Adjectives | 先生は元気です。 | The teacher is energetic. | [seɴ.seː.wa.ɡeɴ.ki.de.sɯ. ‖] | [seɲ.seː.wa.ɡeɲ.ki.des]
Japanese::N5::な-Adjectives | お元気ですか。 | How are you? | [o.ɡeɴ.ki.de.sɯ.ka. ‖] | [o.ɡeɲ.ki.des.ka]
Japanese::N5::な-Adjectives | この作業は簡単です。 | This work is simple. | [ko.no.sa.ɡʲoː.wa.kaɴ.taɴ.de.sɯ. ‖] | [ko.no.sa.ɡʲoː.wa.kan.tan.des]
Japanese::N5::な-Adjectives | テストは簡単ではありませんでした。 | The test was not simple. | [te.sɯ.to.wa.kaɴ.taɴ.de.wa.a.ɾi.ma.seɴ.de.ɕi.ta. ‖] | [te.sɯ.to.wa.kan.tan.de.wa.a.ɾi.ma.seŋ.de.ɕta]
Japanese::N5::な-Adjectives | 便利な場所ですね。 | It is a convenient place, isn't it? | [beɴ.ɾi.na.ba.ɕo.de.sɯ.ne. ‖] | [ben.ɾi.na.ba.ɕo.des.ne]
Japanese::N5::な-Adjectives | このバスは不便です。 | This bus is inconvenient. | [ko.no.ba.sɯ.wa.fɯ.beɴ.de.sɯ. ‖] | [ko.no.ba.sɯ.wa.fɯ.ben.des]
Japanese::N5::な-Adjectives | 富士山は有名な山です。 | Mt. Fuji is a famous mountain. | [fɯ.ʑi.saɴ.wa.jɯː.meː.na.ja.ma.de.sɯ. ‖] | [fɯ.ʑi.saɳ.wa.jɯː.meː.na.ja.ma.des]
Japanese::N5::な-Adjectives | あの店は静かじゃありません。 | That shop is not quiet. | [a.no.mi.se.wa.ɕi.zɯ.ka.ʑa.a.ɾi.ma.seɴ. ‖] | [a.no.mi.se.wa.ɕi.zɯ.ka.ʑa.a.ɾi.ma.seŋ]
Japanese::N5::な-Adjectives | 京都は綺麗な町でした。 | Kyoto was a beautiful city. | [kʲoː.to.wa.ki.ɾeː.na.ma.tɕi.de.ɕi.ta. ‖] | [kʲoː.to.wa.ki.ɾeː.na.ma.tɕi.de.ɕta]
Japanese::N5::な-Adjectives | 昨日の試験は大変でした。 | Yesterday's exam was tough. | [ki.noː.no.ɕi.keɴ.wa.ta.i.heɴ.de.ɕi.ta. ‖] | [ki.noː.no.ɕi.keɳ.wa.ta.i.hen.de.ɕta]
