English::A1::Family & people | This is my family. | هذه عائلتي. | [ðɪs ɪz maɪ̯ ˈfæ.məl.i] | [ðɪs ɪz maɪ̯ ˈfæ.məl.i]
English::A1::Family & people | I have a brother. | لدي أخ. | [aɪ̯ hæv ə ˈbrʌ.ðə] | [aɪ̯ hæv ə ˈbrʌ.ðə]
English::A1::Family & people | She has a sister. | لديها أخت. | [ʃiː hæz ə ˈsɪs.tə] | [ʃiː hæz ə ˈsɪs.tə]
English::A1::Family & people | My mother is kind. | أمي طيبة. | [maɪ̯ ˈmʌ.ðə ɹ ɪz kaɪ̯nd] | [maɪ̯ ˈmʌ.ðə ɹ ɪz kaɪ̯nd]
English::A1::Family & people | My father is tall. | أبي طويل. | [maɪ̯ ˈfɑː.ðə ɹ ɪz tɔːl] | [maɪ̯ ˈfɑː.ðə ɹ ɪz tɔːl]
English::A1::Family & people | These are my parents. | هؤلاء هما والداي. | [ðiːz ɑː maɪ̯ ˈpɛː.ɹənts] | [ðiːz ə maɪ̯ ˈpɛː.ɹənts]
English::A1::Family & people | He is my son. | هو ابني. | [hiː ɪz maɪ̯ sʌn] | [hiːz maɪ̯ sʌn]
English::A1::Family & people | She is my daughter. | هي ابنتي. | [ʃiː ɪz maɪ̯ ˈdɔː.tə] | [ʃiːz maɪ̯ ˈdɔː.tə]
English::A1::Family & people | They have two children. | لديهم طفلان. | [ðeɪ̯ hæv tuː ˈtʃɪl.drən] | [ðeɪ̯ hæv tuː ˈtʃɪl.drən]
English::A1::Family & people | This boy is my cousin. | هذا الولد هو ابن عمي. | [ðɪs bɔɪ̯ ɪz maɪ̯ ˈkʌz.n̩] | [ðɪs bɔɪ̯ ɪz maɪ̯ ˈkʌz.n̩]
English::A1::Family & people | That girl is my friend. | تلك الفتاة هي صديقتي. | [ðæt ɡɜːl ɪz maɪ̯ frɛnd] | [ðæk ɡɜːl ɪz maɪ̯ frɛnd]
English::A1::Family & people | My grandfather is old. | جدي كبير في السن. | [maɪ̯ ˈɡræn.fɑː.ðə ɹ ɪz əʊ̯ld] | [maɪ̯ ˈɡræm.fɑː.ðə ɹ ɪz əʊ̯ld]
English::A1::Family & people | My grandmother is happy. | جدتي سعيدة. | [maɪ̯ ˈɡræn.mʌ.ðə ɹ ɪz ˈhæ.pi] | [maɪ̯ ˈɡræm.mʌ.ðə ɹ ɪz ˈhæ.pi]
English::A1::Family & people | Do you have any brothers? | هل لديك أي إخوة؟ | [d uː j uː hæv ˈɛ.ni ˈbrʌ.ðəz] | [də jə hæv ˈɛ.ni ˈbrʌ.ðəz]
