Spanish::A1::Telling time, schedules, appointments | Son las tres de la tarde. | It's three in the afternoon. | [son las ˈtɾes ð̞e la ˈtaɾ.ð̞e] | [son.laˈtɾeð̞e.laˈtaɾ.ð̞e]
Spanish::A1::Telling time, schedules, appointments | Es la una en punto. | It's one o'clock sharp. | [ez la ˈu.na em ˈpun.to] | [ez.laˈu.naemˈpun.to]
Spanish::A1::Telling time, schedules, appointments | La reunión es a las diez. | The meeting is at ten. | [la re.u.ˈnjon es a laz ˈdjes] | [la.rewˈnjonesa.laˈð̞jes]
Spanish::A1::Telling time, schedules, appointments | ¿Qué hora es? | What time is it? | [ˈke ˈo.ɾa es] | [ˈke.ˈo.ɾaes]
Spanish::A1::Telling time, schedules, appointments | El tren sale a las ocho y media. | The train leaves at half past eight. | [el ˈtɾen ˈsa.le a laz ˈo.tʃo i ˈme.ð̞ja] | [elˈtɾen.ˈsa.lea.laˈso.tʃoiˈme.ð̞ja]
Spanish::A1::Telling time, schedules, appointments | Tengo una cita a las cuatro. | I have an appointment at four. | [ˈteŋ.go ˈu.na ˈsi.ta a las ˈkwa.tɾo] | [ˈteŋ.goˈu.na.ˈsi.taa.lasˈkwa.tɾo]
Spanish::A1::Telling time, schedules, appointments | La clase empieza a las nueve de la mañana. | Class starts at nine in the morning. | [la ˈkla.se em.ˈpje.sa a las ˈnwe.β̞e ð̞e la ma.ˈɲa.na] | [laˈkla.seem.ˈpje.sa.la.znwe.β̞eð̞e.laˈɲa.na]
Spanish::A1::Telling time, schedules, appointments | Son las seis y cuarto. | It's a quarter past six. | [son las ˈsei̯s i ˈkwaɾ.to] | [son.laˈsei̯.siˈkwaɾ.to]
Spanish::A1::Telling time, schedules, appointments | El restaurante abre a las doce. | The restaurant opens at noon. | [el res.tau̯.ˈɾan.te ˈa.β̞ɾe a laz ˈð̞o.se] | [elˌres.tau̯ˈɾan.teˈa.β̞ɾea.laˈð̞o.se]
Spanish::A1::Telling time, schedules, appointments | Llegamos a las siete de la noche. | We arrive at seven at night. | [ʝe.ˈɣ̞a.mos a las ˈsje.te ð̞e la ˈno.tʃe] | [ʝeˈɣ̞a.mo.sa.laˈsje.teð̞e.laˈno.tʃe]
Spanish::A1::Telling time, schedules, appointments | Mi cita con el médico es mañana. | My doctor's appointment is tomorrow. | [mi ˈsi.ta kon el ˈme.ð̞i.ko ez ma.ˈɲa.na] | [mjˈsi.takonel.ˈme.ð̞i.koez.maˈɲa.na]
Spanish::A1::Telling time, schedules, appointments | La película empieza a las ocho. | The movie starts at eight. | [la pe.ˈli.ku.la em.ˈpje.sa a las ˈo.tʃo] | [lapeˈli.ku.laem.ˈpje.sa.laˈso.tʃo]
Spanish::A1::Telling time, schedules, appointments | El avión llega a las once y media. | The plane arrives at half past eleven. | [el a.ˈβ̞jon ˈʝe.ɣ̞a a las ˈon.se i ˈme.ð̞ja] | [ela.ˈβ̞jonˈʝe.ɣ̞aa.laˈson.seiˈme.ð̞ja]
Spanish::A1::Telling time, schedules, appointments | ¿A qué hora cierra la tienda? | What time does the store close? | [a ˈke ˈo.ɾa ˈsje.ra la ˈtjen.d̪a] | [aˈke.ˈo.ɾaˈsje.ra.laˈtjen.d̪a]
Spanish::A1::Telling time, schedules, appointments | Trabajo de nueve a cinco. | I work from nine to five. | [tɾa.ˈβ̞a.xo ð̞e ˈnwe.β̞e a ˈsiŋ.ko] | [tɾaˈβ̞a.xoð̞e.ˈnwe.β̞easiŋ.ko]
Spanish::A1::Telling time, schedules, appointments | La fiesta es el sábado por la noche. | The party is on Saturday night. | [la ˈfjes.ta ez el ˈsa.β̞a.ð̞o poɾ la ˈno.tʃe] | [laˈfjes.taezelˈsa.β̞a.ð̞opoɾ.laˈno.tʃe]
Spanish::A1::Telling time, schedules, appointments | Son las cinco menos diez. | It's ten to five. | [son las ˈsiŋ.ko ˈme.nos ˈdjes] | [son.lasˈsiŋ.koˈme.noð̞jes]
Spanish::A1::Telling time, schedules, appointments | Tenemos clase los martes y jueves. | We have class on Tuesdays and Thursdays. | [te.ˈne.mos ˈkla.se loz ˈmaɾ.tes i ˈxwe.β̞es] | [teˈne.mosˈkla.se.loˈmaɾ.te.siˈxwe.β̞es]
Spanish::A1::Telling time, schedules, appointments | El banco abre a las nueve en punto. | The bank opens at nine sharp. | [el ˈβ̞aŋ.ko ˈa.β̞ɾe a las ˈnwe.β̞e em ˈpun.to] | [elˈβ̞aŋ.koˈa.β̞ɾea.laˈznwe.β̞eemˈpun.to]
Spanish::A1::Telling time, schedules, appointments | Nos vemos a las dos de la tarde. | See you at two in the afternoon. | [noz ˈβ̞e.mos a laz ˈð̞os ð̞e la ˈtaɾ.ð̞e] | [noˈβ̞e.mo.sa.laˈð̞oð̞e.laˈtaɾ.ð̞e]
Spanish::A1::Telling time, schedules, appointments | La cena es a las ocho y cuarto. | Dinner is at a quarter past eight. | [la ˈse.na es a las ˈo.tʃo i ˈkwaɾ.to] | [laˈse.naesa.laˈso.tʃoiˈkwaɾ.to]
Spanish::A1::Telling time, schedules, appointments | ¿Tienes tiempo el viernes por la tarde? | Do you have time on Friday afternoon? | [ˈtje.nes ˈtjem.po el ˈβ̞jeɾ.nes poɾ la ˈtaɾ.ð̞e] | [ˈtje.nesˈtjem.poelˈβ̞jeɾ.nespoɾ.laˈtaɾ.ð̞e]
Spanish::A1::Telling time, schedules, appointments | El vuelo sale a medianoche. | The flight leaves at midnight. | [el ˈbwe.lo ˈsa.le a me.ð̞ja.ˈno.tʃe] | [elˈbwe.loˈsa.lea.með̞jaˈno.tʃe]
Spanish::A1::Telling time, schedules, appointments | Voy al gimnasio por la mañana. | I go to the gym in the morning. | [boi̯ al xim.ˈna.sjo poɾ la ma.ˈɲa.na] | [boi̯.alximˈna.sjopoɾ.laˈɲa.na]
Spanish::A1::Telling time, schedules, appointments | La oficina cierra a las seis. | The office closes at six. | [la o.fi.ˈsi.na ˈsje.ra a las ˈsei̯s] | [laofiˈsi.naˈsje.raa.laˈsei̯s]
Spanish::A1::Telling time, schedules, appointments | Mi horario es de lunes a viernes. | My schedule is from Monday to Friday. | [mi o.ˈɾa.ɾjo ez ð̞e ˈlu.nes a ˈβ̞jeɾ.nes] | [mjoˈɾa.ɾjoezð̞e.ˈlu.ne.saˈβ̞jeɾ.nes]
Spanish::A1::Telling time, schedules, appointments | La conferencia dura dos horas. | The conference lasts two hours. | [la kom.fe.ˈɾen.sja ˈd̪u.ɾa ð̞oz ˈo.ɾas] | [laˌkomfeˈɾen.sjaˈd̪u.ɾað̞oˈo.ɾas]
Spanish::A1::Telling time, schedules, appointments | Nos reunimos a mediodía. | We meet at noon. | [noz re.u.ˈni.mos a me.ð̞jo.ˈð̞i.a] | [noz.rewˈni.mosa.með̞joˈð̞i.a]
Spanish::A1::Telling time, schedules, appointments | El examen es el próximo lunes. | The exam is next Monday. | [el ek.ˈsa.men es el ˈpɾok.si.mo ˈlu.nes] | [eleˈksa.mene.selˈpɾok.si.moˈlu.nes]
Spanish::A1::Telling time, schedules, appointments | Llego tarde a la reunión siempre. | I always arrive late to the meeting. | [ˈʝe.ɣ̞o ˈtaɾ.ð̞e a la re.u.ˈnjon ˈsjem.pɾe] | [ˈʝe.ɣ̞oˈtaɾ.ð̞eala.rewˈnjonˈsjem.pɾe]
Spanish::A1::Telling time, schedules, appointments | El museo abre de martes a domingo. | The museum is open from Tuesday to Sunday. | [el mu.ˈse.o ˈa.β̞ɾe ð̞e ˈmaɾ.tes a ð̞o.ˈmiŋ.go] | [elmuˈse.oˈa.β̞ɾeð̞e.ˈmaɾ.tesa.ð̞oˈmiŋ.go]
Spanish::A1::Telling time, schedules, appointments | Salgo del trabajo a las cinco y media. | I leave work at half past five. | [ˈsal.ɣ̞o ð̞el tɾa.ˈβ̞a.xo a las ˈsiŋ.ko i ˈme.ð̞ja] | [ˈsal.ɣ̞oð̞el.tɾaˈβ̞a.xoa.lasˈsiŋ.koiˈme.ð̞ja]
