Japanese::N2::~ぬきで / ~ぬきにして | 冗談ぬきで、この件は深刻な問題だ。 | Joking aside, this matter is a serious problem. | [ʑoː.da.n nɯ.ki de ko.no ke̞ɴ wa ɕi.ɴ.ko.kɯ na mo.n da.i da] | [ʑoːdaɲ nɯkide ko.no keɴ wa ɕiŋko̞kɯ na mo̞ɲdaida]
Japanese::N2::~ぬきで / ~ぬきにして | お世辞ぬきで、あなたの提案は素晴らしいと思う。 | Flattery aside, I think your proposal is wonderful. | [o se̞.ʑi nɯ.ki de a.na.ta no te̞ː.a.ɴ wa sɯ.ba.ɾa.ɕiː to o.mo.ɯ] | [o.se̞ʑi nɯkide a.na.ta no te̞ːaŋ wa sɯbaɾaɕiː to o.moː]
Japanese::N2::~ぬきで / ~ぬきにして | サービス料ぬきで、この料理は千円だ。 | Excluding the service charge, this dish costs a thousand yen. | [sa.ː.bi.sɯ.ɾjoː nɯ.ki de ko.no ɾjoː.ɾi wa se̞.ɴ.e̞ɴ da] | [saːbisɯɾjoː nɯkide ko.no ɾjoːɾi wa se̞ɴ.e̞ŋda]
Japanese::N2::~ぬきで / ~ぬきにして | 今日は仕事の話ぬきで、楽しく飲みましょう。 | Let's set aside talk of work today and just enjoy our drinks. | [kjoː wa ɕi.ɡo.to no ha.na.ɕi nɯ.ki de ta.no.ɕi.kɯ no.mi.ma.ɕoː] | [kjoː wa ɕiɡo̞to̞ no ha.naɕi nɯkide ta.noɕikɯ no.mma.ɕoː]
Japanese::N2::~ぬきで / ~ぬきにして | 冗談を抜きにして、彼の実力は本物だ。 | Joking aside, his ability is the real thing. | [ʑoː.da.ɴ o nɯ.ki ni ɕi.te ka.ɾe no ʑi.tsɯ.ɾjo.kɯ wa ho.n.mo.no da] | [ʑoːdaŋ o nɯkiniɕte ka.ɾe no ʑtsɯɾjo̞kɯ wa hoɱmo̞no̞da]
Japanese::N2::~ぬきで / ~ぬきにして | 部長ぬきで会議を進めるわけにはいかない。 | We can't very well proceed with the meeting without the department head. | [bɯ.tɕoː nɯ.ki de ka.i.ɡi o sɯ.sɯ.me̞.ɾɯ wa.ke ni wa i.ka.na.i] | [bɯtɕoː nɯkide ka.i.ɡi o sɯsɯme̞ɾɯ wake̞ ni wa i.ka.naː]
Japanese::N2::~ぬきで / ~ぬきにして | 前置きぬきで、本題に入りましょう。 | Without further preamble, let's get to the main topic. | [ma.e o.ki nɯ.ki de ho.n.da.i ni ha.i.ɾi.ma.ɕoː] | [ma.eo̞ki nɯkide hoɲdai ni ha.i.ɾma.ɕoː]
Japanese::N2::~ぬきで / ~ぬきにして | 感情論を抜きにして、事実だけを話してほしい。 | Setting emotional arguments aside, I want you to tell me just the facts. | [ka.n.ʑoː.ɾoɴ o nɯ.ki ni ɕi.te ʑi.ʑi.tsɯ da.ke o ha.na.ɕi.te ho.ɕiː] | [kaɲʑoːɾoɴ o nɯkiniɕte ʑiʑtsɯ da.ke̞ o ha.naɕte ho̞ɕiː]
Japanese::N2::~ぬきで / ~ぬきにして | 遠慮ぬきで、思ったことを言ってください。 | Without holding back, please say what you think. | [e̞ɴ.ɾjo nɯ.ki de o.mo.ta ko.to o i.te kɯ.da.sa.i] | [e̞ɴɾjo nɯkide o.mo̞ːta ko̞to̞ o iʔte kɯ.dasaː]
Japanese::N2::~ぬきで / ~ぬきにして | 通訳ぬきでは、この会議は成立しない。 | Without an interpreter, this meeting can't take place. | [tsɯː.ja.kɯ nɯ.ki de wa ko.no ka.i.ɡi wa se̞ː.ɾi.tsɯ ɕi.na.i] | [tsɯːjakɯ nɯkide wa ko.no ka.i.ɡi wa se̞ːɾi.tsɯ ɕna.iː]
Japanese::N2::~ぬきで / ~ぬきにして | お愛想を抜きにして、率直な感想を聞かせてほしい。 | Flattery aside, I want to hear your candid impressions. | [o a.i.soː o nɯ.ki ni ɕi.te so.ʔtɕo.kɯ na ka.n.soː o ki.ka.se̞.te ho.ɕiː] | [o.a.isoː o nɯkiniɕte soʔtɕo̞kɯ na kaɲsoː o ki.kase̞te ho̞ɕiː]
Japanese::N2::~ぬきで / ~ぬきにして | 今夜は仕事抜きで、純粋にパーティーを楽しもう。 | Let's set work aside tonight and just purely enjoy the party. | [ko.n ja wa ɕi.ɡo.to nɯ.ki de ʑɯɴ.sɯi ni paː.ti.ː o ta.no.ɕi.moː] | [koɲja wa ɕiɡo̞to̞ nɯkide ʑɯɲsɯi ni paːtiː o ta.no̞ɕi.moː]
Japanese::N2::~ぬきで / ~ぬきにして | 冷凍食品抜きで、毎日の献立を考えるのは大変だ。 | Without relying on frozen foods, planning daily meals is tough. | [ɾe̞ː.toː ɕo.kɯ.çiɴ nɯ.ki de ma.i.ni.tɕi no ko̞ɴ.da.te o ka.n ɡa.e.ɾɯ no wa ta.i.he̞ɴ da] | [ɾe̞ːtoː ɕo̞kɯçiŋ nɯkide ma.iɲtɕi no ko̞ɴdate o kaŋ.ɡa.e̞ɾɯ no wa ta.ihe̞ɴda]
Japanese::N2::~ぬきで / ~ぬきにして | 話を抜きにしても、彼の作品自体が素晴らしい。 | Even setting the story aside, his work itself is wonderful. | [ha.na.ɕi o nɯ.ki ni ɕi.te mo ka.ɾe no sa.kɯ.çiɴ ʑi.ta.i ɡa sɯ.ba.ɾa.ɕiː] | [ha.naɕi o nɯkiniɕte mo ka.ɾe no sa.kɯçiɲ ʑi.tai ɡa sɯ.baɾaɕiː]
Japanese::N2::~ぬきで / ~ぬきにして | 建前抜きで話し合えば、もっと早く解決できたはずだ。 | If we'd talked without the formalities, we could have resolved it faster. | [ta.te̞.ma.e nɯ.ki de ha.na.ɕi.a.e̞.ba mo.to ha.ja.kɯ ka.i.ke̞.tsɯ de̞.ki.ta ha.zɯ da] | [ta.te̞mae nɯkide ha.naɕiaeba moʔto̞ ha.jakɯ ka.i.ke̞tsɯ de̞kitːa ha.zɯda]
Japanese::N2::~ぬきで / ~ぬきにして | 政治の話は抜きにして、純粋に映画の感想を語ろう。 | Let's leave politics aside and just talk about our impressions of the film. | [se̞ː.ʑi no ha.na.ɕi wa nɯ.ki ni ɕi.te ʑɯɴ.sɯi ni e̞ː.ɡa no ka.n.soː o ka.ta.ɾoː] | [se̞ːʑi no ha.naɕi wa nɯkiniɕte ʑɯɲsɯi ni e̞ːɡa no kaɲsoː o ka.ta.ɾoː]
Japanese::N2::~ぬきで / ~ぬきにして | 保護者抜きで、子供たちだけで旅行に行くのは初めてだ。 | This is the first time the children have traveled without their guardians. | [ho.ɡo.ɕa nɯ.ki de ko.do.mo.ta.tɕi da.ke de ɾjo.koː ni i.kɯ no wa ha.ʑi.me̞.te da] | [ho̞ɡo̞ɕa nɯkide ko̞.do̞mo.ta.tɕi da.ke̞ de ɾjo̞ko̞ː ni i.kɯ no wa ha.ʑme̞teda]
Japanese::N2::~ぬきで / ~ぬきにして | 見栄を抜きにして、正直な予算を伝えてください。 | Vanity aside, please tell me the honest budget. | [mi.e̞ o nɯ.ki ni ɕi.te ɕoː.ʑi.ki na jo.sa.ɴ o tsɯ.ta.e̞.te kɯ.da.sa.i] | [mie̞ o nɯkiniɕte ɕoːʑki na jo.saŋ o tsɯ.tae̞te kɯ.dasaː]
Japanese::N2::~ぬきで / ~ぬきにして | 冗談は抜きにして、明日までに提出をお願いします。 | Joking aside, please submit it by tomorrow. | [ʑoː.da.ɴ wa nɯ.ki ni ɕi.te a.ɕi.ta ma.de ni te̞ː.ɕɯ.tsɯ o o ne̞.ɡa.i ɕi.ma.sɯ] | [ʑoːdaŋ wa nɯkiniɕte a.ɕta made ni te̞ːɕɯtsɯ o o.ne̞ɡaːɕma.sɯ]
Japanese::N2::~ぬきで / ~ぬきにして | 儀式ぬきで、シンプルに式を済ませたい。 | Without ceremony, we'd like to keep the wedding simple. | [ɡi.ɕi.ki nɯ.ki de ɕi.n.pɯ.ɾɯ ni ɕi.ki o sɯ.ma.se̞.ta.i] | [ɡi.ɕiki nɯkide ɕiɱpɯɾɯ ni ɕiki o sɯma.se̞taː]
Japanese::N2::~ぬきで / ~ぬきにして | お世辞抜きで、この写真は本当によく撮れている。 | Flattery aside, this photo is genuinely very well taken. | [o se̞.ʑi nɯ.ki de ko.no ɕa.ɕi.ɴ wa ho.n toː ni jo.kɯ to.ɾe̞.te i.ɾɯ] | [o.se̞ʑi nɯkide ko.no ɕaɕiɴ wa hoɲtoː ni jo̞kɯ to.ɾe̞te.ɾɯ]
Japanese::N2::~ぬきで / ~ぬきにして | 昼食ぬきで働き続けたので、夕方には空腹だった。 | Since I kept working without lunch, I was starving by evening. | [tɕɯː.ɕo.kɯ nɯ.ki de ha.ta.ɾa.ki tsɯ.zɯ.ke̞.ta no de jɯː.ɡa.ta ni wa kɯː.ɸɯ.kɯ da.ta] | [tɕɯːɕo̞kɯ nɯkide ha.taɾaki tsɯzɯke̞ta no de jɯːɡata ni wa kɯːɸɯkɯ daːta]
Japanese::N2::~ぬきで / ~ぬきにして | 忖度抜きにして、正しいと思うことを主張してほしい。 | Without reading between the lines and second-guessing, please assert what you believe is right. | [so̞ɴ.ta.kɯ nɯ.ki ni ɕi.te ta.da.ɕiː to o.mo.ɯ ko.to o ɕɯ.tɕoː ɕi.te ho.ɕiː] | [soɴ.takɯ nɯkiniɕte ta.daɕiː to o.moː ko̞to̞ o ɕɯtɕoː ɕte ho̞ɕiː]
Japanese::N2::~ぬきで / ~ぬきにして | 前提を抜きにして議論するのは難しい。 | It's difficult to discuss something while leaving out the premise. | [ze̞ɴ.te̞ː o nɯ.ki ni ɕi.te ɡi.ɾo̞ɴ sɯ.ɾɯ no wa mɯ.zɯ.ka.ɕiː] | [ze̞ɲteː o nɯkiniɕte ɡi.ɾo̞ɴ sɯɾɯ no wa mɯzɯkaɕiː]
Japanese::N2::~ぬきで / ~ぬきにして | 上司ぬきで飲み会を開くことにした。 | We decided to hold the drinking party without the boss. | [ʑoː.ɕi nɯ.ki de no.mi.ka.i o çi.ɾa.kɯ ko.to ni ɕi.ta] | [ʑoːɕi nɯkide no.mma.i o çiɾakɯ ko̞to̞ ni ɕta]
Japanese::N2::~ぬきで / ~ぬきにして | お世辞は抜きにして評価してくれる上司は貴重だ。 | A boss who evaluates you honestly, without flattery, is precious. | [o se̞.ʑi wa nɯ.ki ni ɕi.te çjoː.ka ɕi.te kɯ.ɾe̞.ɾɯ ʑoː.ɕi wa ki.tɕoː da] | [o.se̞ʑi wa nɯkiniɕte çjoːka ɕte kɯɾe̞ɾɯ ʑoːɕi wa ki.tɕoːda]
