German::A1::Family & People | Das ist mein Vater. | This is my father. | [das ʔɪst maɪ̯n ˈfaː.tʰɐ] | [das ɪst maɪ̯n ˈfaː.tʰɐ]
German::A1::Family & People | Das ist meine Mutter. | This is my mother. | [das ʔɪst ˈmaɪ̯.nə ˈmʊ.tʰɐ] | [das ɪst ˈmaɪ̯.nə ˈmʊ.tʰɐ]
German::A1::Family & People | Das ist mein Bruder. | This is my brother. | [das ʔɪst maɪ̯n ˈbʁuː.dɐ] | [das ɪst maɪ̯n ˈbʁuː.dɐ]
German::A1::Family & People | Das ist meine Schwester. | This is my sister. | [das ʔɪst ˈmaɪ̯.nə ˈʃvɛs.tʰɐ] | [das ɪst ˈmaɪ̯.nə ˈʃvɛs.tʰɐ]
German::A1::Family & People | Das ist mein Sohn. | This is my son. | [das ʔɪst maɪ̯n zoːn] | [das ɪst maɪ̯n zoːn]
German::A1::Family & People | Das ist meine Tochter. | This is my daughter. | [das ʔɪst ˈmaɪ̯.nə ˈtʰɔχ.tʰɐ] | [das ɪst ˈmaɪ̯.nə ˈtʰɔχ.tʰɐ]
German::A1::Family & People | Das ist mein Onkel. | This is my uncle. | [das ʔɪst maɪ̯n ˈʔɔŋ.kʰəl] | [das ɪst maɪ̯n ˈʔɔŋ.kl̩]
German::A1::Family & People | Das ist meine Tante. | This is my aunt. | [das ʔɪst ˈmaɪ̯.nə ˈtʰan.tʰə] | [das ɪst ˈmaɪ̯.nə ˈtʰan.tʰə]
German::A1::Family & People | Das ist mein Großvater. | This is my grandfather. | [das ʔɪst maɪ̯n ˈɡʁoːs.ˌfaː.tʰɐ] | [das ɪst maɪ̯n ˈɡʁoːs.ˌfaː.tʰɐ]
German::A1::Family & People | Das ist meine Großmutter. | This is my grandmother. | [das ʔɪst ˈmaɪ̯.nə ˈɡʁoːs.ˌmʊ.tʰɐ] | [das ɪst ˈmaɪ̯.nə ˈɡʁoːs.ˌmʊ.tʰɐ]
German::A1::Family & People | Das ist dein Freund. | This is your friend. | [das ʔɪst daɪ̯n fʁɔɪ̯nt] | [das ɪst daɪ̯n fʁɔɪ̯nt]
German::A1::Family & People | Das ist deine Freundin. | This is your (female) friend. | [das ʔɪst ˈdaɪ̯.nə ˈfʁɔɪ̯n.dɪn] | [das ɪst ˈdaɪ̯.nə ˈfʁɔɪ̯n.dɪn]
German::A1::Family & People | Ist das dein Bruder? | Is that your brother? | [ʔɪst das daɪ̯n ˈbʁuː.dɐ] | [ɪs.das daɪ̯n ˈbʁuː.dɐ]
German::A1::Family & People | Ist das deine Schwester? | Is that your sister? | [ʔɪst das ˈdaɪ̯.nə ˈʃvɛs.tʰɐ] | [ɪs.das ˈdaɪ̯.nə ˈʃvɛs.tʰɐ]
German::A1::Family & People | Er ist mein Cousin. | He is my cousin. | [ʔeːɐ̯ ʔɪst maɪ̯n kʰuˈzɛ̃ː] | [ɐ ɪst maɪ̯n kʰuˈzɛ̃ː]
German::A1::Family & People | Sie ist meine Cousine. | She is my cousin. (female) | [ziː ʔɪst ˈmaɪ̯.nə kʰuˈziː.nə] | [zi ɪst ˈmaɪ̯.nə kʰuˈziː.nə]
German::A1::Family & People | Mein Mann heißt Peter. | My husband is called Peter. | [maɪ̯n man ˈhaɪ̯st ˈpʰeː.tʰɐ] | [maɪ̯n man ˈhaɪ̯st ˈpʰeː.tʰɐ]
German::A1::Family & People | Meine Frau heißt Julia. | My wife is called Julia. | [ˈmaɪ̯.nə fʁaʊ̯ ˈhaɪ̯st ˈjuː.li̯a] | [ˈmaɪ̯.nə fʁaʊ̯ ˈhaɪ̯st ˈjuː.li̯a]
German::A1::Family & People | Sein Vater ist Lehrer. | His father is a teacher. | [zaɪ̯n ˈfaː.tʰɐ ʔɪst ˈleː.ʁɐ] | [zaɪ̯n ˈfaː.tʰɐ ɪst ˈleː.ʁɐ]
German::A1::Family & People | Ihre Mutter ist Ärztin. | Her mother is a doctor. | [ˈʔiː.ʁə ˈmʊ.tʰɐ ʔɪst ˈʔɛːɐ̯ts.tʰɪn] | [ˈʔiː.ʁə ˈmʊ.tʰɐ ɪst ˈʔɛːɐ̯ts.tʰɪn]
German::A1::Family & People | Seine Schwester wohnt in Berlin. | His sister lives in Berlin. | [ˈzaɪ̯.nə ˈʃvɛs.tʰɐ voːnt ʔɪn bɛɐ̯ˈliːn] | [ˈzaɪ̯.nə ˈʃvɛs.tʰɐ voːnt ɪn bɛɐ̯ˈliːn]
German::A1::Family & People | Ihre Kinder sind klein. | Her children are small. | [ˈʔiː.ʁə ˈkʰɪn.dɐ zɪnt klaɪ̯n] | [ˈʔiː.ʁə ˈkʰɪn.dɐ zɪnt klaɪ̯n]
German::A1::Family & People | Wir haben zwei Kinder. | We have two children. | [viːɐ̯ ˈhaː.bən tsvaɪ̯ ˈkʰɪn.dɐ] | [viɐ̯ ˈhaː.bm̩ tsvaɪ̯ ˈkʰɪn.dɐ]
German::A1::Family & People | Meine Eltern wohnen in Hamburg. | My parents live in Hamburg. | [ˈmaɪ̯.nə ˈʔɛl.tʰɐn ˈvoː.nən ʔɪn ˈham.bʊʁk] | [ˈmaɪ̯.nə ˈʔɛl.tʰɐn ˈvoː.nən ɪn ˈham.bʊʁk]
