Japanese::N5::Progressive/Resultant State | 今雨が降っています。 | It is raining now. | [ima̠ a̠me̞ ɡa̠ fɯ̟ᵝtte̞ ima̠sɨᵝ] | [ima̠ a̠me̞ ɡa̠ fɯ̟ᵝtte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 太郎さんは今本を読んでいます。 | Taro is reading a book right now. | [ta̠ɾoː sa̠ɴ wa̠ ima̠ ho̞ɴ o̞ yo̞nde̞ ima̠sɨᵝ] | [ta̠ɾoː sa̠ŋ wa̠ ima̠ ho̞ŋ o̞ yo̞nde̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 田中さんは結婚しています。 | Mr Tanaka is married. | [ta̠na̠ka̠ sa̠ɴ wa̠ ke̞kːo̞ɴɕite̞ ima̠sɨᵝ] | [ta̠na̠ka̠ sa̠ŋ wa̠ ke̞kːo̞ɴɕte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 私は東京に住んでいます。 | I live in Tokyo. | [wa̠ta̠ɕi wa̠ toːkyoː ni sɨᵝnde̞ ima̠sɨᵝ] | [wa̠ta̠ɕi wa̠ toːkyoː ni sɨᵝnde̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 妹はメガネをかけています。 | My younger sister wears glasses. | [imoːto̞ wa̠ me̞ɡa̠ne̞ o̞ ka̠ke̞te̞ ima̠sɨᵝ] | [imoːto̞ wa̠ me̞ɡa̠ne̞ o̞ ka̠ke̞te̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 父は銀行で働いています。 | My father works at a bank. | [tɕitɕi wa̠ ɡiɴkoː de̞ ha̠ta̠ɾa̠kite̞ ima̠sɨᵝ] | [tɕitɕi wa̠ ɡiŋkoː de̞ ha̠ta̠ɾa̠kite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 白いシャツを着ています。 | He is wearing a white shirt. | [ɕiɾo̞i ɕatsɨᵝ o̞ kite̞ ima̠sɨᵝ] | [ɕiɾo̞i ɕatsɨᵝ o̞ kite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 弟は車を持っています。 | My younger brother owns a car. | [o̞toːto̞ wa̠ kɯ̟ᵝɾɯ̟ᵝma̠ o̞ mo̞tte̞ ima̠sɨᵝ] | [o̞toːto̞ wa̠ kɯ̟ᵝɾɯ̟ᵝma̠ o̞ mo̞tte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | そのニュースを知っていますか。 | Do you know that news? | [so̞no̞ nyːsɨᵝ o̞ ɕitte̞ ima̠sɨᵝ ka̠] | [so̞no̞ nyːsɨᵝ o̞ ɕitte̞ ima̠sɨᵝ ka̠]
Japanese::N5::Progressive/Resultant State | いいえ、知りません。 | No, I do not know. | [iːe̞ ɕiɾima̠se̞ɴ] | [iːe̞ ɕiɾima̠se̞ŋ]
Japanese::N5::Progressive/Resultant State | 母は今料理を作っています。 | My mother is cooking right now. | [ha̠ha̠ wa̠ ima̠ ɾyoːɾi o̞ tsɨᵝkɯ̟ᵝtte̞ ima̠sɨᵝ] | [ha̠ha̠ wa̠ ima̠ ɾyoːɾi o̞ tsɨᵝkɯ̟ᵝtte̞ ima̠sɨᵝ]
