Japanese::N2::~ものだから / ~もので | 急いでいたものだから、財布を忘れてしまった。 | I was in such a hurry that I forgot my wallet. | [i.so.i.de i.ta mo.no da.ka.ɾa sa.i.ɸɯ o wa.sɯ.ɾe̞.te ɕi.ma.ta] | [i.so̞i.de.ta mo.no da.ka.ɾa sa.i.ɸɯ o wa.sɯɾe̞.tɕaːta]
Japanese::N2::~ものだから / ~もので | あまりに疲れていたものだから、途中で寝てしまった。 | I was so tired that I fell asleep partway through. | [a.ma.ɾi ni tsɯ.ka.ɾe̞.te i.ta mo.no da.ka.ɾa to.tɕɯː de ne.te ɕi.ma.ta] | [a.ma.ɾini tsɯkaɾe̞.te.ta mo.no da.ka.ɾa toʔtɕɯːde ne̞.tɕaːta]
Japanese::N2::~ものだから / ~もので | 子供が熱を出したものだから、会社を休みました。 | Since my child came down with a fever, I took the day off work. | [ko.do.mo ɡa ne̞.tsɯ o da.ɕi.ta mo.no da.ka.ɾa ka.i.ɕa o ja.sɯ.mi.ma.ɕi.ta] | [ko̞do̞mo ɡa ne̞tsɯ o daɕta mo.no da.ka.ɾa ka.i.ɕa o ja.sɯ.mma.ɕta]
Japanese::N2::~ものだから / ~もので | 電車が遅れたものだから、遅刻してしまいました。 | Since the train was delayed, I ended up being late. | [de̞ɴ.ɕa ɡa o.kɯ.ɾe̞.ta mo.no da.ka.ɾa tɕi.ko.kɯ ɕi.te ɕi.ma.i.ma.ɕi.ta] | [de̞ɲɕa ɡa o.kɯɾe̞ta mo.no da.ka.ɾa tɕiko̞kɯ ɕtɕa.i.ma.ɕta]
Japanese::N2::~ものだから / ~もので | 話が面白かったものだから、つい長話をしてしまった。 | The story was so interesting that I ended up chatting for far too long. | [ha.na.ɕi ɡa o.mo.ɕi.ɾo.ka.ta mo.no da.ka.ɾa tsɯ.i na.ɡa.ba.na.ɕi o ɕi.te ɕi.ma.ta] | [ha.naɕi ɡa o̞mo̞ɕiɾokːatːa mo.no da.ka.ɾa tsɯi naɡaba̠naɕi o ɕi.tɕaːta]
Japanese::N2::~ものだから / ~もので | 田舎に住んでいるもので、便利な店が近くにありません。 | Since I live in the countryside, there aren't any convenient shops nearby. | [i.na.ka ni sɯ.ɴ.de i.ɾɯ mo.no de be̞ɴ.ɾi na mi.se ɡa tɕi.ka.kɯ ni a.ɾi.ma.se̞ɴ] | [i.naka ni sɯɲ.de.ɾɯ mo.no de be̞ɴɾi na mi.se ɡa tɕka.kɯ ni a.ɾi.ma.se̞ɴ]
Japanese::N2::~ものだから / ~もので | 上司に急かされたものだから、確認が不十分になってしまった。 | Because my boss was rushing me, the check ended up being insufficient. | [ʑoː.ɕi ni se̞.ka.sa.ɾe̞.ta mo.no da.ka.ɾa ka.kɯ.ɲiɴ ɡa ɸɯ.ʑɯː.bɯ.ɴ ni na.te ɕi.ma.ta] | [ʑoːɕi ni se̞kasaɾe̞ta mo.no da.ka.ɾa ka.kɯ.ɲiɴ ɡa ɸɯʑɯːbɯn ni naʔ.tɕaːta]
Japanese::N2::~ものだから / ~もので | 予算が限られているもので、大きな買い物はできません。 | Since the budget is limited, we can't make any big purchases. | [jo.sa.ɴ ɡa ɡe̞ɴ.ɾa.ɾe̞.te i.ɾɯ mo.no de oː.ki.na ka.i.mo.no wa de̞.ki.ma.se̞ɴ] | [jo.saŋ ɡa ɡe̞ɴ.ɾaɾe̞te.ɾɯ mo.no de oːki na ka.i.mo̞no̞ wa de̞ki.ma.se̞ɴ]
Japanese::N2::~ものだから / ~もので | あまりにも人気があるものだから、チケットはすぐ売り切れる。 | It's so popular that the tickets sell out immediately. | [a.ma.ɾi ni mo ni.n.ki ɡa a.ɾɯ mo.no da.ka.ɾa tɕi.ke̞ʔ.to wa sɯ.ɡɯ ɯ.ɾi.ki.ɾe̞.ɾɯ] | [a.ma.ɾini niŋki ɡa a.ɾɯ mo.no da.ka.ɾa tɕke̞ʔto wa sɯɡɯ ɯɾi.kiɾe̞ɾɯ]
Japanese::N2::~ものだから / ~もので | 昨夜あまり眠れなかったものだから、今日は頭がぼんやりしている。 | Since I couldn't sleep much last night, my head is foggy today. | [sa.kɯ.ja a.ma.ɾi ne̞.mɯ.ɾe̞.na.ka.ta mo.no da.ka.ɾa kjoː wa a.ta.ma ɡa bo.ɴ.ja.ɾi ɕi.te i.ɾɯ] | [sakɯja a.maɾi ne̞mɯɾe̞.na.katːa mo.no da.ka.ɾa kjoː wa a.ta.ma ɡa boɲ.jaɾi ɕte.ɾɯ]
Japanese::N2::~ものだから / ~もので | 隣の部屋がうるさかったものだから、勉強に集中できなかった。 | Since the room next door was noisy, I couldn't concentrate on studying. | [to.na.ɾi no he̞.ja ɡa ɯ.ɾɯ.sa.ka.ta mo.no da.ka.ɾa be̞ɴ.kjoː ni ɕɯː.tɕɯː de̞.ki.na.ka.ta] | [to.na.ɾi no he̞ja ɡa ɯɾɯsakːatːa mo.no da.ka.ɾa be̞ŋkjoː ni ɕɯːtɕɯː de̞ki.naːta]
