Japanese::N5::Comparison (Basic) | これとそれとどちらが大きいですか。 | Which is bigger, this or that? | [ko̞ɾe̞ to̞ so̞ɾe̞ to̞ do̞tɕiɾa̠ ɡa̠ oːkiː de̞sɨᵝ ka̠] | [ko̞ɾe̞ to̞ so̞ɾe̞ to̞ do̞tɕiɾa̠ ɡa̠ oːkiː de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | これの方が大きいです。 | This one is bigger. | [ko̞ɾe̞ no̞ hoː ɡa̠ oːkiː de̞sɨᵝ] | [ko̞ɾe̞ no̞ hoː ɡa̠ oːkiː de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | バスと電車とどちらが速いですか。 | Which is faster, the bus or the train? | [ba̠sɨᵝ to̞ de̞ɴɕa̠ to̞ do̞tɕiɾa̠ ɡa̠ ha̠ya̠i de̞sɨᵝ ka̠] | [ba̠sɨᵝ to̞ de̞ɴɕa̠ to̞ do̞tɕiɾa̠ ɡa̠ ha̠ya̠i de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 電車の方が速いです。 | The train is faster. | [de̞ɴɕa̠ no̞ hoː ɡa̠ ha̠ya̠i de̞sɨᵝ] | [de̞ɴɕa̠ no̞ hoː ɡa̠ ha̠ya̠i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 犬と猫とどちらが好きですか。 | Which do you like better, dogs or cats? | [inɯ̟ᵝ to̞ ne̞ko̞ to̞ do̞tɕiɾa̠ ɡa̠ sɨᵝki de̞sɨᵝ ka̠] | [inɯ̟ᵝ to̞ ne̞ko̞ to̞ do̞tɕiɾa̠ ɡa̠ sɨᵝki de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 猫の方が好きです。 | I like cats better. | [ne̞ko̞ no̞ hoː ɡa̠ sɨᵝki de̞sɨᵝ] | [ne̞ko̞ no̞ hoː ɡa̠ sɨᵝki de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | リンゴはミカンより大きいです。 | Apples are bigger than mandarins. | [ɾiŋɡo̞ wa̠ mika̠ɴ yo̞ɾi oːkiː de̞sɨᵝ] | [ɾiŋɡo̞ wa̠ mika̠ŋ yo̞ɾi oːkiː de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 北海道は九州より広いです。 | Hokkaido is spacious/larger than Kyushu. | [ho̞kka̠idoː wa̠ kyːɕɯː yo̞ɾi hiɾo̞i de̞sɨᵝ] | [ho̞kka̠idoː wa̠ kyːɕɯː yo̞ɾi hiɾo̞i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 夏と冬とどちらが寒いですか。 | Which is colder, summer or winter? | [na̠tsɨᵝ to̞ fɯ̟ᵝyɯ̟ᵝ to̞ do̞tɕiɾa̠ ɡa̠ sa̠mɯ̟ᵝi de̞sɨᵝ ka̠] | [na̠tsɨᵝ to̞ fɯ̟ᵝyɯ̟ᵝ to̞ do̞tɕiɾa̠ ɡa̠ sa̠mɯ̟ᵝi de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 冬の方が寒いです。 | Winter is colder. | [fɯ̟ᵝyɯ̟ᵝ no̞ hoː ɡa̠ sa̠mɯ̟ᵝi de̞sɨᵝ] | [fɯ̟ᵝyɯ̟ᵝ no̞ hoː ɡa̠ sa̠mɯ̟ᵝi de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 飛行機は新幹線より速いです。 | Aeroplanes are faster than bullet trains. | [hikoːki wa̠ ɕiɴka̠ɴse̞ɴ yo̞ɾi ha̠ya̠i de̞sɨᵝ] | [hikoːki wa̠ ɕiŋka̠ɴse̞ŋ yo̞ɾi ha̠ya̠i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 英語と日本語とどちらが難しいですか。 | Which is more difficult, English or Japanese? | [eːɡo̞ to̞ niho̞ɴɡo̞ to̞ do̞tɕiɾa̠ ɡa̠ mɯ̟ᵝzɯ̟ᵝka̠ɕiː de̞sɨᵝ ka̠] | [eːɡo̞ to̞ niho̞ŋɡo̞ to̞ do̞tɕiɾa̠ ɡa̠ mɯ̟ᵝzɯ̟ᵝka̠ɕiː de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 日本語の方が難しいです。 | Japanese is more difficult. | [niho̞ɴɡo̞ no̞ hoː ɡa̠ mɯ̟ᵝzɯ̟ᵝka̠ɕiː de̞sɨᵝ] | [niho̞ŋɡo̞ no̞ hoː ɡa̠ mɯ̟ᵝzɯ̟ᵝka̠ɕiː de̞sɨᵝ]
