Japanese::N5::Numbers, Dates, Time | いまなんじですか。 | What time is it now? | [i.ma.naɴ.ʑi.de.sɯ.ka. ‖] | [i.ma.nan.ʑi.des.ka]
Japanese::N5::Numbers, Dates, Time | いまくじです。 | It is nine o'clock now. | [i.ma.kɯ.ʑi.de.sɯ. ‖] | [i.ma.kɯ.ʑi.des]
Japanese::N5::Numbers, Dates, Time | くじはんにおきます。 | I wake up at half past nine. | [kɯ.ʑi.haɴ.ni.o.ki.ma.sɯ. ‖] | [kɯ.ʑi.han.ni.o.ki.mas]
Japanese::N5::Numbers, Dates, Time | きょうはなんがつなんにちですか。 | What month and day is it today? | [kʲoː.wa.naɴ.ɡa.tsɯ.naɴ.ni.tɕi.de.sɯ.ka. ‖] | [kʲoː.wa.naŋ.ɡa.tsɯ.nan.ni.tɕi.des.ka]
Japanese::N5::Numbers, Dates, Time | きょうはしちがつついたちです。 | Today is July 1st. | [kʲoː.wa.ɕi.tɕi.ɡa.tsɯ.tsɯ.i.ta.tɕi.de.sɯ. ‖] | [kʲoː.wa.ɕi.tɕi.ɡa.tsɯ.tsɯ.i.ta.tɕi.des]
Japanese::N5::Numbers, Dates, Time | げつようびにがっこうへいきます。 | I go to school on Monday. | [ɡe.tsɯ.joː.bi.ni.ɡak.koː.he.i.ki.ma.sɯ. ‖] | [ɡe.tsɯ.joː.bi.ni.ɡak.koː.e.i.ki.mas]
Japanese::N5::Numbers, Dates, Time | あしたはかようびです。 | Tomorrow is Tuesday. | [a.ɕi.ta.wa.ka.joː.bi.de.sɯ. ‖] | [a.ɕta.wa.ka.joː.bi.des]
Japanese::N5::Numbers, Dates, Time | きのうはすいようびでした。 | Yesterday was Wednesday. | [ki.noː.wa.sɯ.i.joː.bi.de.ɕi.ta. ‖] | [ki.noː.wa.sɯ.i.joː.bi.de.ɕta]
Japanese::N5::Numbers, Dates, Time | もくようびにえいがをみます。 | I will watch a movie on Thursday. | [mo.kɯ.joː.bi.ni.eː.ɡa.o.mi.ma.sɯ. ‖] | [mo.kɯ.joː.bi.ni.eː.ɡa.o.mi.mas]
Japanese::N5::Numbers, Dates, Time | きんようびにはたらきます。 | I work on Friday. | [kiɴ.joː.bi.ni.ha.ta.ɾa.ki.ma.sɯ. ‖] | [kiɲ.joː.bi.ni.ha.ta.ɾa.ki.mas]
Japanese::N5::Numbers, Dates, Time | どようびとにおうびはやすみです。 | Saturday and Sunday are holidays. | [do.joː.bi.to.ni.tɕi.joː.bi.wa.ja.sɯ.mi.de.sɯ. ‖] | [do.joː.bi.to.ni.tɕi.joː.bi.wa.ja.sɯ.mi.des]
