Spanish::A1::Reflexive daily routines | Me despierto a las siete. | I wake up at seven. | [me ð̞esˈpjeɾ.to a las ˈsje.te] | [með̞esˈpjeɾ.t‿a.la‿ˈsje.te]
Spanish::A1::Reflexive daily routines | ¿A qué hora te levantas? | What time do you get up? | [a ˈke ˈo.ɾa te le.ˈβ̞an.tas] | [aˈke.ˈo.ɾa.te.leˈβ̞an.tas]
Spanish::A1::Reflexive daily routines | Ella se ducha por la mañana. | She showers in the morning. | [ˈe.ʝa se ˈd̪u.tʃa poɾ la ma.ˈɲa.na] | [ˈe.ʝa.se.ˈd̪u.tʃapoɾ.laˈɲa.na]
Spanish::A1::Reflexive daily routines | Nos lavamos los dientes después de comer. | We brush our teeth after eating. | [nos la.ˈβ̞a.mos loz ˈdjen.tez ð̞es.ˈpwez ð̞e ko.ˈmeɾ] | [noz.laˈβ̞a.moz.loð̞ˈjen.teð̞esˈpwe.ð̞e.koˈmeɾ]
Spanish::A1::Reflexive daily routines | Mi hermano se afeita todos los días. | My brother shaves every day. | [mi eɾ.ˈma.no se a.ˈfei̯.ta ˈto.ð̞oz loz ˈdi.as] | [mjeɾˈma.no.sea.ˈfei̯.taˈto.ð̞oz.loð̞ˈi.as]
Spanish::A1::Reflexive daily routines | Yo me visto rápido. | I get dressed quickly. | [ʝo me ˈβ̞is.to ˈra.pi.ð̞o] | [ʝo.meˈβ̞is.toˈra.pi.ð̞o]
Spanish::A1::Reflexive daily routines | ¿Te peinas antes de salir? | Do you comb your hair before going out? | [te ˈpei̯.nas ˈan.tez ð̞e sa.ˈliɾ] | [te.ˈpei̯.na.san.teð̞e.saˈliɾ]
Spanish::A1::Reflexive daily routines | Los niños se acuestan a las nueve. | The children go to bed at nine. | [loz ˈni.ɲos se a.ˈkwes.tan a las ˈnwe.β̞e] | [loz.ˈni.ɲo.sea.ˈkwes.ta.na.laz.ˈnwe.β̞e]
Spanish::A1::Reflexive daily routines | Nosotros nos sentamos en la mesa. | We sit at the table. | [no.ˈso.tɾoz nos sen.ˈta.mos en la ˈme.sa] | [noˈso.tɾoz.nos.senˈta.mo.senˈla.me.sa]
Spanish::A1::Reflexive daily routines | Ustedes se quedan en casa hoy. | You all stay home today. | [us.ˈte.ð̞es se ˈke.ð̞an en ˈka.sa oi̯] | [usˈte.ð̞e.se.ˈke.ð̞a.neŋˈka.sao̯i̯]
Spanish::A1::Reflexive daily routines | Me baño con agua caliente. | I bathe with hot water. | [me ˈba.ɲo koŋ ˈa.ɣ̞wa ka.ˈljen.te] | [meˈba.ɲoˌkoŋˈa.ɣ̞wa.kaˈljen.te]
Spanish::A1::Reflexive daily routines | ¿Cómo te llamas? | What is your name? | [ˈko.mo te ˈʝa.mas] | [ˈko.mo.teˈʝa.mas]
Spanish::A1::Reflexive daily routines | Ella se pone el abrigo. | She puts on her coat. | [ˈe.ʝa se ˈpo.ne el a.ˈβ̞ɾi.ɣ̞o] | [ˈe.ʝa.se.ˈpo.nele.la.ˈβ̞ɾi.ɣ̞o]
Spanish::A1::Reflexive daily routines | Nos despertamos temprano los lunes. | We wake up early on Mondays. | [noz ð̞es.peɾ.ˈta.mos tem.ˈpɾa.no loz ˈlu.nes] | [noð̞esˌpeɾˈta.mo.stemˈpɾa.no.loˈlu.nes]
Spanish::A1::Reflexive daily routines | Él se lava la cara. | He washes his face. | [el se ˈla.β̞a la ˈka.ɾa] | [elseˈla.β̞ala.ˈka.ɾa]
Spanish::A1::Reflexive daily routines | Yo me seco el pelo. | I dry my hair. | [ʝo me ˈse.ko el ˈpe.lo] | [ʝo.meˈse.koel.ˈpe.lo]
Spanish::A1::Reflexive daily routines | ¿Te duchas por la noche? | Do you shower at night? | [te ˈd̪u.tʃas poɾ la ˈno.tʃe] | [teˈd̪u.tʃaspoɾ.laˈno.tʃe]
Spanish::A1::Reflexive daily routines | Los estudiantes se sientan en silencio. | The students sit in silence. | [los es.tu.ˈð̞jan.tes se ˈsjen.tan en si.ˈlen.sjo] | [lo.sesˌtuˈð̞jan.te.se.ˈsjen.ta.nensiˈlen.sjo]
Spanish::A1::Reflexive daily routines | Mi madre se maquilla antes del trabajo. | My mother puts on makeup before work. | [mi ˈma.ð̞ɾe se ma.ˈki.ʝa ˈan.tez ð̞el tɾa.ˈβ̞a.xo] | [mjˈma.ð̞ɾe.se.maˈki.ʝan.teð̞el.tɾaˈβ̞a.xo]
Spanish::A1::Reflexive daily routines | Nosotros nos vestimos para la fiesta. | We get dressed for the party. | [no.ˈso.tɾoz noz β̞es.ˈti.mos ˈpa.ɾa la ˈfjes.ta] | [noˈso.tɾoz.noβ̞esˈti.mos.paɾa.laˈfjes.ta]
Spanish::A1::Reflexive daily routines | Ella se cepilla el pelo. | She brushes her hair. | [ˈe.ʝa se se.ˈpi.ʝa el ˈpe.lo] | [ˈe.ʝa.se.seˈpi.ʝael.ˈpe.lo]
Spanish::A1::Reflexive daily routines | Me quito los zapatos en casa. | I take off my shoes at home. | [me ˈki.to loz sa.ˈpa.tos eŋ ˈka.sa] | [meˈki.to.losa.ˈpa.to.seŋˈka.sa]
Spanish::A1::Reflexive daily routines | ¿A qué hora se acuestan ustedes? | What time do you all go to bed? | [a ˈke ˈo.ɾa se a.ˈkwes.tan us.ˈte.ð̞es] | [aˈke.ˈo.ɾa.sea.ˈkwes.ta.nusˈte.ð̞es]
Spanish::A1::Reflexive daily routines | Yo me relajo los fines de semana. | I relax on weekends. | [ʝo me re.ˈla.xo los ˈfi.nes ð̞e se.ˈma.na] | [ʝo.mereˈla.xolo.ˈfi.neð̞e.seˈma.na]
Spanish::A1::Reflexive daily routines | Él se enferma en invierno. | He gets sick in winter. | [el se em.ˈfeɾ.ma en im.ˈbjeɾ.no] | [elseemˈfeɾ.maenimˈbjeɾ.no]
Spanish::A1::Reflexive daily routines | Nos sentimos cansados hoy. | We feel tired today. | [nos sen.ˈti.mos kan.ˈsa.ð̞os oi̯] | [noˌsenˈti.mos.kanˈsa.ð̞o.soi̯]
Spanish::A1::Reflexive daily routines | Ella se aburre en clase. | She gets bored in class. | [ˈe.ʝa se a.ˈβ̞u.re eŋ ˈkla.se] | [ˈe.ʝa.sea.ˈβ̞u.reŋˈkla.se]
Spanish::A1::Reflexive daily routines | Me divierto con mis amigos. | I have fun with my friends. | [me di.ˈβ̞jeɾ.to kon mis a.ˈmi.ɣ̞os] | [með̞iˈβ̞jeɾ.tokon.mi.saˈmi.ɣ̞os]
Spanish::A1::Reflexive daily routines | ¿Te preparas para el examen? | Are you preparing for the exam? | [te pɾe.ˈpa.ɾas ˈpa.ɾa el ek.ˈsa.men] | [te.pɾeˈpa.ɾas.paɾael.ekˈsa.men]
Spanish::A1::Reflexive daily routines | Los novios se casan en junio. | The couple gets married in June. | [loz ˈno.β̞jos se ˈka.san en ˈxu.njo] | [loˈno.β̞jo.se.ˈka.sanenˈxu.njo]
Spanish::A1::Reflexive daily routines | Nosotros nos mudamos a otra ciudad. | We are moving to another city. | [no.ˈso.tɾoz noz mu.ˈð̞a.mos a ˈo.tɾa sju.ˈð̞að̞] | [noˈso.tɾoz.nomu.ˈð̞a.mosao.tɾa.sjuˈð̞að̞]
Spanish::A1::Reflexive daily routines | Yo me miro en el espejo. | I look at myself in the mirror. | [ʝo me ˈmi.ɾo en el es.ˈpe.xo] | [ʝo.meˈmi.ɾoenel.esˈpe.xo]
Spanish::A1::Reflexive daily routines | Ella se despide de su familia. | She says goodbye to her family. | [ˈe.ʝa se d̪es.ˈpi.ð̞e ð̞e su fa.ˈmi.lja] | [ˈe.ʝa.seð̞esˈpi.ð̞eð̞e.sufaˈmi.lja]
Spanish::A1::Reflexive daily routines | Te levantas muy tarde los domingos. | You get up very late on Sundays. | [te le.ˈβ̞an.tas mwi ˈtaɾ.ð̞e loz ð̞o.ˈmiŋ.gos] | [te.leˈβ̞an.taz.mwiˈtaɾ.ð̞e.loð̞oˈmiŋ.gos]
Spanish::A1::Reflexive daily routines | Mi padre se ducha con agua fría. | My father showers with cold water. | [mi ˈpa.ð̞ɾe se ˈd̪u.tʃa kon ˈa.ɣ̞wa ˈfɾi.a] | [mjˈpa.ð̞ɾe.seˈd̪u.tʃakoŋˈa.ɣ̞waˈfɾi.a]
Spanish::A1::Reflexive daily routines | Nos vamos a las ocho de la mañana. | We leave at eight in the morning. | [noz ˈβ̞a.mos a las ˈo.tʃo ð̞e la ma.ˈɲa.na] | [noˈβ̞a.mo.sa.laˈso.tʃoð̞e.laˈɲa.na]
Spanish::A1::Reflexive daily routines | Los niños se lavan las manos antes de comer. | The children wash their hands before eating. | [loz ˈni.ɲos se ˈla.β̞an laz ˈma.nos ˈan.tez ð̞e ko.ˈmeɾ] | [loz.ˈni.ɲo.seˈla.β̞an.laz.ˈma.no.san.teð̞e.koˈmeɾ]
Spanish::A1::Reflexive daily routines | ¿Cómo se llama tu profesor? | What is your teacher's name? | [ˈko.mo se ˈʝa.ma tu pɾo.fe.ˈsoɾ] | [ˈko.mo.seˈʝa.ma.tu.pɾofeˈsoɾ]
Spanish::A1::Reflexive daily routines | Yo me acuesto tarde entre semana. | I go to bed late on weekdays. | [ʝo me a.ˈkwes.to ˈtaɾ.ð̞e ˈen.tɾe se.ˈma.na] | [ʝo.mea.ˈkwes.toˈtaɾ.ð̞een.tɾe.seˈma.na]
Spanish::A1::Reflexive daily routines | Ella se siente feliz hoy. | She feels happy today. | [ˈe.ʝa se ˈsjen.te fe.ˈlis oi̯] | [ˈe.ʝa.seˈsjen.tefeˈli.soi̯]
