English::A1::House & rooms | There is a big kitchen in my house. | يوجد مطبخ كبير في بيتي. | [ðɛə̯ ˈɪz ə ˈbɪɡ ˈkʰɪt͡ʃ.ən ɪn maɪ̯ ˈhaʊ̯s] | [ðə z ə ˈbɪɡ ˈkʰɪt͡ʃ.n̩ ɪn maɪ̯ ˈhaʊ̯s]
English::A1::House & rooms | There are three bedrooms upstairs. | توجد ثلاث غرف نوم في الطابق العلوي. | [ðɛə̯ ˈɑː ˈθɹiː ˈbɛd.ɹuːmz ˌʌpˈstɛə̯z] | [ðəɹ ə ˈθɹiː ˈbɛd.ɹʊmz ˌʌpˈstɛə̯z]
English::A1::House & rooms | Is there a bathroom on this floor? | هل يوجد حمام في هذا الطابق؟ | [ˈɪz ðɛə̯ ə ˈbɑːθ.ɹuːm ɒn ˈðɪs ˈflɔː] | [ɪz ðəɹ ə ˈbɑːθ.ɹʊm ɒn ðɪs ˈflɔː]
English::A1::House & rooms | Yes, there is a small bathroom. | نعم، يوجد حمام صغير. | [ˈjɛs ðɛə̯ ˈɪz ə ˈsmɔːl ˈbɑːθ.ɹuːm] | [jɛs ðə z ə ˈsmɔːl ˈbɑːθ.ɹʊm]
English::A1::House & rooms | There are no chairs in the living room. | لا توجد كراسي في غرفة المعيشة. | [ðɛə̯ ˈɑː ˈnəʊ̯ ˈt͡ʃɛə̯z ɪn ðə ˈlɪv.ɪŋ ˌɹuːm] | [ðər ə ˈnəʊ̯ ˈt͡ʃɛə̯z ɪn ðə ˈlɪv.ɪŋ ˌɹʊm]
English::A1::House & rooms | The table is in the middle of the room. | الطاولة في وسط الغرفة. | [ðə ˈtʰeɪ̯.bl̩ ˈɪz ɪn ðə ˈmɪd.l̩ ɒv ðə ˈɹuːm] | [ðə ˈtʰeɪ̯.bl̩ z ɪn ðə ˈmɪd.l̩ əv ðə ˈɹuːm]
English::A1::House & rooms | The sofa is next to the window. | الأريكة بجانب النافذة. | [ðə ˈsəʊ̯.fə ˈɪz ˈnɛkst tʰʊ ðə ˈwɪn.dəʊ̯] | [ðə ˈsəʊ̯.fə z ˈnɛks tə ðə ˈwɪn.dəʊ̯]
English::A1::House & rooms | A lamp is on the desk. | يوجد مصباح على المكتب. | [ə ˈlæmp ˈɪz ɒn ðə ˈdɛsk] | [ə ˈlæmp s ɒn ðə ˈdɛsk]
English::A1::House & rooms | The clock is on the wall. | الساعة على الحائط. | [ðə ˈkl̥ɒk ˈɪz ɒn ðə ˈwɔːl] | [ðə ˈkl̥ɒk s ɒn ðə ˈwɔːl]
English::A1::House & rooms | My bed is under the window. | سريري تحت النافذة. | [maɪ̯ ˈbɛd ˈɪz ˈʌn.də ðə ˈwɪn.dəʊ̯] | [maɪ̯ ˈbɛd z ˈʌn.də ðə ˈwɪn.dəʊ̯]
English::A1::House & rooms | There is a garden behind the house. | توجد حديقة خلف المنزل. | [ðɛə̯ ˈɪz ə ˈɡɑː.dn̩ bɪˈhaɪ̯nd ðə ˈhaʊ̯s] | [ðə z ə ˈɡɑː.dn̩ bɪˈhaɪ̯n ðə ˈhaʊ̯s]
English::A1::House & rooms | Is there a garage near the house? | هل يوجد مرآب بالقرب من المنزل؟ | [ˈɪz ðɛə̯ ə ˈɡæɹ.ɑːʒ ˈnɪə̯ ðə ˈhaʊ̯s] | [ɪz ðəɹ ə ˈɡæɹ.ɑːʒ ˈnɪə̯ ðə ˈhaʊ̯s]
English::A1::House & rooms | No, there is no garage. | لا، لا يوجد مرآب. | [ˈnəʊ̯ ðɛə̯ ˈɪz ˈnəʊ̯ ˈɡæɹ.ɑːʒ] | [nəʊ̯ ðə z ˈnəʊ̯ ˈɡæɹ.ɑːʒ]
English::A1::House & rooms | There are two pictures on the wall. | توجد صورتان على الحائط. | [ðɛə̯ ˈɑː ˈtʰuː ˈpʰɪk.t͡ʃəz ɒn ðə ˈwɔːl] | [ðəɹ ə ˈtʰuː ˈpʰɪk.t͡ʃəz ɒn ðə ˈwɔːl]
English::A1::House & rooms | The cat is under the table. | القط تحت الطاولة. | [ðə ˈkʰæt ˈɪz ˈʌn.də ðə ˈtʰeɪ̯.bl̩] | [ðə ˈkʰæt s ˈʌn.də ðə ˈtʰeɪ̯.bl̩]
English::A1::House & rooms | The shoes are in front of the door. | الأحذية أمام الباب. | [ðə ˈʃuːz ˈɑː ɪn ˈfɹʌnt ɒv ðə ˈdɔː] | [ðə ˈʃuːz ə ɪn ˈfɹʌnt əv ðə ˈdɔː]
English::A1::House & rooms | There is a TV in the living room. | يوجد تلفزيون في غرفة المعيشة. | [ðɛə̯ ˈɪz ə ˌtʰiːˈviː ɪn ðə ˈlɪv.ɪŋ ˌɹuːm] | [ðə z ə ˌtʰiːˈviː ɪn ðə ˈlɪv.ɪŋ ˌɹʊm]
English::A1::House & rooms | Are there any books on the shelf? | هل توجد أي كتب على الرف؟ | [ˈɑː ðɛə̯ ˈɛn.i ˈbʊks ɒn ðə ˈʃɛlf] | [ə ðəɹ ˈɛn.i ˈbʊks ɒn ðə ˈʃɛlf]
English::A1::House & rooms | Yes, there are many books. | نعم، توجد كتب كثيرة. | [ˈjɛs ðɛə̯ ˈɑː ˈmɛn.i ˈbʊks] | [jɛs ðəɹ ə ˈmɛn.i ˈbʊks]
English::A1::House & rooms | The fridge is in the kitchen. | الثلاجة في المطبخ. | [ðə ˈfɹɪd͡ʒ ˈɪz ɪn ðə ˈkʰɪt͡ʃ.ən] | [ðə ˈfɹɪd͡ʒ ɪz ɪn ðə ˈkʰɪt͡ʃ.n̩]
English::A1::House & rooms | There is a mirror in the hall. | توجد مرآة في الممر. | [ðɛə̯ ˈɪz ə ˈmɪɹ.ə ɪn ðə ˈhɔːl] | [ðə z ə ˈmɪɹ.ər ɪn ðə ˈhɔːl]
