English::A1::Daily routines | I wake up at seven o'clock. | أستيقظ في الساعة السابعة. | [aɪ̯ weɪ̯k ʌp æt ˈsɛ.vn̩ ə.ˈklɒk] | [aɪ̯ weɪ̯k ʌp ət ˈsɛ.vn̩ ə.ˈklɒk]
English::A1::Daily routines | She gets up early every day. | هي تنهض مبكراً كل يوم. | [ʃiː ɡɛts ʌp ˈɜː.li ˈɛv.ɹi deɪ̯] | [ʃiː ɡɛts ʌp ˈɜː.li ˈɛv.ɹi deɪ̯]
English::A1::Daily routines | He brushes his teeth in the morning. | هو ينظف أسنانه بالفرشاة في الصباح. | [hiː ˈbrʌ.ʃɪz hɪz tiːθ ɪn ðə ˈmɔː.nɪŋ] | [hiː ˈbrʌ.ʃɪz ɪz tiːθ ɪn ðə ˈmɔː.nɪŋ]
English::A1::Daily routines | I wash my face every morning. | أغسل وجهي كل صباح. | [aɪ̯ wɒʃ maɪ̯ feɪ̯s ˈɛv.ɹi ˈmɔː.nɪŋ] | [aɪ̯ wɒʃ maɪ̯ feɪ̯s ˈɛv.ɹi ˈmɔː.nɪŋ]
English::A1::Daily routines | She has breakfast at eight. | هي تتناول الفطور في الساعة الثامنة. | [ʃiː hæz ˈbrɛk.fəst æt eɪ̯t] | [ʃiː hæz ˈbrɛk.fəst ət eɪ̯t]
English::A1::Daily routines | He drinks coffee every day. | هو يشرب القهوة كل يوم. | [hiː drɪŋks ˈkɒ.fi ˈɛv.ɹi deɪ̯] | [hiː drɪŋks ˈkɒ.fi ˈɛv.ɹi deɪ̯]
English::A1::Daily routines | I go to work by bus. | أذهب إلى العمل بالحافلة. | [aɪ̯ ɡəʊ̯ t ə wɜːk baɪ̯ bʌs] | [aɪ̯ ɡəʊ̯ tə wɜːk baɪ̯ bʌs]
English::A1::Daily routines | She walks to school every morning. | هي تسير إلى المدرسة كل صباح. | [ʃiː wɔːks t ə skuːl ˈɛv.ɹi ˈmɔː.nɪŋ] | [ʃiː wɔːks tə skuːl ˈɛv.ɹi ˈmɔː.nɪŋ]
English::A1::Daily routines | He starts work at nine o'clock. | هو يبدأ العمل في الساعة التاسعة. | [hiː stɑːts wɜːk æt naɪ̯n ə.ˈklɒk] | [hiː stɑːts wɜːk ət naɪ̯n ə.ˈklɒk]
English::A1::Daily routines | We eat lunch at one o'clock. | نأكل الغداء في الساعة الواحدة. | [wiː iːt lʌntʃ æt wʌn ə.ˈklɒk] | [wiː iːt lʌntʃ ət wʌn ə.ˈklɒk]
English::A1::Daily routines | She finishes work at five. | هي تنهي العمل في الساعة الخامسة. | [ʃiː ˈfɪ.nɪ.ʃɪz wɜːk æt faɪ̯v] | [ʃiː ˈfɪ.nɪ.ʃɪz wɜːk ət faɪ̯v]
English::A1::Daily routines | I go home after work. | أذهب إلى البيت بعد العمل. | [aɪ̯ ɡəʊ̯ həʊ̯m ˈɑːf.tə wɜːk] | [aɪ̯ ɡəʊ̯ həʊ̯m ˈɑːf.tə wɜːk]
